學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學生總人數(A)(A=B+C+D+E)男,境外學生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
108,公立,一般大學,0001,國立政治大學,碩士班(日間),波蘭共和國,歐洲,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),法國,歐洲,10,4,6,10,4,6,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),阿根廷,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),俄羅斯聯邦,其他亞洲地區,15,2,13,15,2,13,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),科索沃共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),英國,歐洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),香港,港澳,38,21,17,0,0,0,0,0,0,38,21,17,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),哥倫比亞共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),哥斯大黎加共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),泰國,東協,22,9,13,20,9,11,2,0,2,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),秘魯共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),馬來西亞,東協,58,27,31,21,7,14,37,20,17,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),斯洛維尼亞共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),菲律賓共和國,東協,7,3,4,6,3,3,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),越南社會主義共和國,東協,13,2,11,12,2,10,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),愛爾蘭共和國,歐洲,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),瑞士聯邦,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),聖文森(及格瑞那丁),中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),寮人民民主共和國(寮國),東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),墨西哥合眾國,中南美洲,6,4,2,6,4,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),澳門,港澳,23,16,7,0,0,0,0,0,0,23,16,7,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),薩爾瓦多,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,碩士班(日間),羅馬尼亞,歐洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,土耳其共和國,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,大陸地區,大陸地區,138,63,75,0,0,0,0,0,0,0,0,0,138,63,75
108,公立,一般大學,0001,國立政治大學,博士班,大韓民國(南韓),其他亞洲地區,12,6,6,12,6,6,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,巴基斯坦,南亞,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,比利時王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,加拿大,北美洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0001,國立政治大學,博士班,尼加拉瓜,中南美洲,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
