學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,04134042,行政管理碩士學程,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,5,4,1,3,0,1,0,0,1,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,8,6,2,3,0,2,1,0,0,1,1,0,0,6,5,1,8,6,2
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,4,3,1,0,0,0,0,0,1,3,0,0,0,1,0,1,4,3,1
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,7,6,1,4,0,1,0,1,1,0,0,0,0,7,6,1,7,6,1
106,公立,一般大學,0001,國立政治大學,04199Y27,商學院,8,6,2,1,2,5,0,0,0,0,0,0,0,8,6,2,8,6,2
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,6,6,0,5,0,1,0,0,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0001,國立政治大學,04299075,法學院,15,14,1,8,0,2,1,3,0,1,0,0,0,14,13,1,15,14,1
106,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,7,5,2,3,0,1,0,1,2,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,3,3,0,2,0,0,0,1,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,5,5,0,1,0,1,0,1,0,2,0,0,0,3,3,0,5,5,0
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,11,8,3,1,1,1,1,3,0,3,1,0,0,7,5,2,11,8,3
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0001,國立政治大學,99999999,國際關係研究中心,8,5,3,5,1,0,1,0,1,0,0,0,0,8,5,3,8,5,3
106,公立,一般大學,0001,國立政治大學,99999999,選舉研究中心,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0001,國立政治大學,99999Z05,師資培育中心,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0001,國立政治大學,99999Z07,體育室,15,12,3,1,0,4,0,1,2,6,1,0,0,8,6,2,15,12,3
106,公立,一般大學,0001,國立政治大學,99999Z08,外文中心,19,7,12,0,1,0,0,2,1,5,10,0,0,4,2,2,19,7,12
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,19,12,7,0,1,1,0,7,2,4,4,0,0,11,8,3,19,12,7
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,5,1,4,0,1,0,0,0,0,1,3,0,0,1,0,1,5,1,4
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,12,2,10,0,0,1,1,0,1,1,8,0,0,3,1,2,12,2,10
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,3,2,1,0,0,1,0,1,1,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,5,1,4,0,0,0,0,0,1,1,3,0,0,1,0,1,5,1,4
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,18,16,2,2,0,1,2,0,0,13,0,0,0,5,3,2,18,16,2
106,公立,一般大學,0002,國立清華大學,01199Y02,竹師教育學院,5,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,5,2,3
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,20,12,8,1,1,0,0,3,1,8,6,0,0,6,4,2,20,12,8
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,77,18,59,0,1,6,7,8,25,4,26,0,0,47,14,33,77,18,59
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,11,7,4,2,2,0,1,4,1,1,0,0,0,10,6,4,11,7,4
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,2,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,8,4,4,1,0,2,0,1,2,0,2,0,0,6,4,2,8,4,4
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,28,7,21,0,1,0,2,1,7,6,11,0,0,11,1,10,28,7,21
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,4,3,1,1,0,0,0,1,1,1,0,0,0,3,2,1,4,3,1
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,32,16,16,2,0,0,0,5,12,9,4,0,0,19,7,12,32,16,16
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,4,2,2,1,0,1,0,0,1,0,1,0,0,3,2,1,4,2,2
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,9,5,4,0,0,1,1,0,0,4,3,0,0,2,1,1,9,5,4
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,11,6,5,2,1,0,3,1,1,3,0,0,0,8,3,5,11,6,5
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,6,5,1,1,0,1,0,3,1,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,12,8,4,1,0,2,0,1,4,4,0,0,0,8,4,4,12,8,4
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,10,7,3,7,0,0,1,0,0,0,2,0,0,8,7,1,10,7,3
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,11,9,2,0,0,1,1,4,1,4,0,0,0,7,5,2,11,9,2
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,4,3,1,2,1,0,0,1,0,0,0,0,0,4,3,1,4,3,1
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,3,2,1,0,0,0,0,1,1,1,0,0,0,2,1,1,3,2,1
106,公立,一般大學,0002,國立清華大學,05311037,化學系,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,4,4,0,2,0,2,0,0,0,0,0,0,0,4,4,0,4,4,0
106,公立,一般大學,0002,國立清華大學,05399040,先進光源科技碩士學位學程,2,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0002,國立清華大學,05411043,數學系,11,9,2,4,1,2,0,2,1,1,0,0,0,10,8,2,11,9,2
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,9,9,0,4,0,1,0,3,0,1,0,0,0,8,8,0,9,9,0
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,3,3,0,2,0,0,0,1,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,5,4,1,4,0,0,0,0,0,0,1,0,0,4,4,0,5,4,1
