年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入占總收入比率(%)(財務結構，註1),負債占總資產比率(%)(財務結構允當性),速動比率(%)(短期償債能力),營運活動淨現金流量占流動負債比率(%)(指學校營運產生的主要收支現金賸餘，用以償還流動負債之能力)
106,國立,一般大學,0032,國立聯合大學,30.08,5.82,470.87,56.47
106,國立,技專校院,0033,國立虎尾科技大學,29.39,11.05,464.12,50.85
106,國立,技專校院,0034,國立高雄海洋科技大學,29.25,15.99,309.76,35.02
106,國立,一般大學,0035,國立臺南藝術大學,17.13,3.83,1532.45,215.46
106,國立,一般大學,0036,國立臺南大學,23.73,12.38,398.87,60.66
106,國立,一般大學,0037,國立臺北教育大學,21.09,8.42,755.43,56.39
106,國立,一般大學,0039,國立臺中教育大學,21.72,13.02,539.86,54.06
106,國立,技專校院,0042,國立澎湖科技大學,23.43,2.60,1987.90,108.02
106,國立,技專校院,0043,國立勤益科技大學,39.79,8.24,441.77,57.38
106,國立,一般大學,0044,國立體育大學,17.16,5.19,1256.16,102.58
106,國立,技專校院,0046,國立臺北護理健康大學,28.89,5.29,1400.09,145.54
106,國立,技專校院,0047,國立高雄餐旅大學,31.88,12.00,360.15,37.22
106,國立,一般大學,0048,國立金門大學,31.80,10.95,283.45,62.18
106,國立,一般大學,0049,國立臺灣體育運動大學,24.10,5.19,1177.42,153.27
106,國立,技專校院,0050,國立臺中科技大學,39.61,3.47,2682.72,256.35
106,國立,技專校院,0051,國立臺北商業大學,35.58,2.80,2368.27,193.40
106,國立,一般大學,0052,國立屏東大學,26.66,6.25,1312.23,108.57
106,國立,技專校院,0144,國立臺灣戲曲學院,5.78,9.10,3668.81,361.00
106,國立,技專校院,0221,國立臺南護理專科學校,23.01,1.22,4298.53,316.59
106,國立,技專校院,0222,國立臺東專科學校,15.27,2.37,2596.71,157.83
107,國立,一般大學,0001,國立政治大學,24.94,34.01,54.43,29.61
107,國立,一般大學,0002,國立清華大學,11.63,31.23,121.35,36.19
107,國立,一般大學,0003,國立臺灣大學,10.29,35.09,95.67,19.08
107,國立,一般大學,0004,國立臺灣師範大學,13.87,16.26,349.82,31.52
107,國立,一般大學,0005,國立成功大學,12.14,33.30,115.80,24.62
107,國立,一般大學,0006,國立中興大學,14.81,66.07,137.17,34.15
107,國立,一般大學,0007,國立陽明交通大學,11.95,38.58,13.61,22.20
107,國立,一般大學,0008,國立中央大學,14.20,27.87,21.24,26.94
