學校名稱,課程資訊公開網址 
台北海洋技術學院,http://bdgt.tcmt.edu.tw/files/13-1023-4404.php?Lang=zh-tw
馬偕醫護管理專科學校,http://info.mkc.edu.tw/d6.aspx
仁德醫護管理專科學校,http://oaa.jente.edu.tw/
育達科技大學,http://course.ydu.edu.tw/LP/CosTable.aspx
樹人醫護管理專科學校,http://www.szmc.edu.tw/DeptACC/new_DeptACC/FinanceInformation/pdf/d4_1.pdf
慈惠醫護管理專科學校,http://163.24.235.235/SC2008/Main4ST.asp?ScrX=1920&ScrY=1080&RUN=
耕莘健康管理專科學校,http://www.ctcn.edu.tw/SchoolOpenData/index.htm
高美醫護管理專科學校,http://163.16.225.4/?Page=Bulletin&Guid=7b7bff6c-7a20-743c-0a1a-650c3a38b38e
敏惠醫護管理專科學校,http://210.59.15.1/minhwei_webmis/teacher_qry_techguidtop.asp
育英醫護管理專科學校,http://www.yuhing.edu.tw/releaseRedirect.do?unitID=1&pageID=3050
崇仁醫護管理專科學校,http://cjcwebserver.cjc.edu.tw/acad/AcadMain.html
聖母醫護管理專科學校,http://www.smc.edu.tw/info/
新生醫護管理專科學校,http://aa.web.hsc.edu.tw/files/11-1001-3.php?Lang=zh-tw
