年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「學術研究」計畫經費-小計,學校承接「學術研究」計畫經費-政府部門資助,學校承接「學術研究」計畫經費-企業部門資助,學校承接「學術研究」計畫經費-其他單位資助,學校承接「學術研究」計畫經費-學校自籌經費,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,專任教師每師平均-承接學校自籌補助學術研究計畫經費
105,私立,一般大學,1013,華梵大學,120,14179250,13319000,0,0,860250,110991.67,7168.75
105,私立,一般大學,1014,義守大學,501,127153690,122307522,0,1800000,3046168,247719.60,6080.18
105,私立,一般大學,1015,世新大學,319,25730000,25730000,0,0,0,80658.31,0
105,私立,一般大學,1016,銘傳大學,593,60786888,58511000,555000,845888,875000,101031.85,1475.55
105,私立,一般大學,1017,實踐大學,410,23694222,20430082,0,0,3264140,49829.47,7961.32
105,私立,技專校院,1018,朝陽科技大學,407,53776928,50418178,0,0,3358750,123877.59,8252.46
105,私立,一般大學,1019,高雄醫學大學,563,481775096,330608096,0,33757000,117410000,647184.90,208543.52
105,私立,一般大學,1020,南華大學,225,14044000,13119000,0,0,925000,58306.67,4111.11
105,私立,一般大學,1021,真理大學,294,20078000,19353000,0,0,725000,65826.53,2465.99
105,私立,一般大學,1022,大同大學,176,46676850,45979950,0,0,696900,261249.72,3959.66
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,576,97034776,90819697,0,0,6215079,157673.09,10790.07
105,私立,技專校院,1024,崑山科技大學,376,50924740,48874740,0,0,2050000,129986.01,5452.13
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,493,34922536,32483356,2149180,0,290000,70248.55,588.24
105,私立,技專校院,1026,樹德科技大學,282,23620500,22621000,0,0,999500,80216.31,3544.33
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,257,97962338,66224000,0,28767938,2970400,369618.44,11557.98
105,私立,一般大學,1028,臺北醫學大學,580,744859870,658961870,0,32968000,52930000,1192982.53,91258.62
105,私立,一般大學,1029,中山醫學大學,417,250169554,197197912,49171792,0,3799850,590814.64,9112.35
105,私立,技專校院,1030,龍華科技大學,244,17893500,17893500,0,0,0,73334.02,0
105,私立,技專校院,1031,輔英科技大學,340,14217494,14217494,0,0,0,41816.16,0
105,私立,技專校院,1032,明新學校財團法人明新科技大學,375,16112000,15312000,0,0,800000,40832,2133.33
105,私立,一般大學,1033,長榮大學,343,34328603,33402721,0,0,925882,97384.03,2699.36
105,私立,技專校院,1034,弘光科技大學,328,47570092,45440092,0,0,2130000,138536.87,6493.90
105,私立,一般大學,1035,中國醫藥大學,508,384926559,364176559,0,0,20750000,716882.99,40846.46
105,私立,技專校院,1036,健行學校財團法人健行科技大學,325,22888752,22888752,0,0,0,70426.93,0
105,私立,技專校院,1037,正修學校財團法人正修科技大學,440,20354698,20354698,0,0,0,46260.68,0
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,249,6368000,6368000,0,0,0,25574.30,0
105,私立,一般大學,1039,玄奘大學,158,23676000,10296000,0,13360000,20000,149721.52,126.58
105,私立,技專校院,1040,建國科技大學,275,9283764,9283764,0,0,0,33759.14,0
105,私立,技專校院,1041,明志科技大學,197,72164547,68839547,0,0,3325000,349439.32,16878.17
105,私立,技專校院,1042,高苑科技大學,269,24650000,23400000,0,0,1250000,86988.85,4646.84
105,私立,技專校院,1043,大仁科技大學,271,17243036,16718036,0,0,525000,61690.17,1937.27
105,私立,技專校院,1044,聖約翰科技大學,194,18691500,16202000,0,0,2489500,83515.46,12832.47
105,私立,技專校院,1045,嶺東科技大學,268,13218750,13020000,0,0,198750,48582.09,741.60
105,私立,技專校院,1046,中國科技大學,312,4167970,4167970,0,0,0,13358.88,0
