,學年度,學校代碼,學校名稱,"人事費支出
（含退休撫卹）",%,"業務費
(不含折舊及攤銷)",%,折舊及攤銷,%,獎學金支出,%,補助弱勢清寒學生之助學性支出,%,"建築物及設備
之維護費用",%,利息費用,%,各項投資、基金及附屬機構損失,%,其他校務支出,%,合計,%
,104,1026,樹德科技大學,638109,45.09,428964,30.31,144284,10.19,18613,1.32,102398,7.24,63107,4.46,14,0,-,-,19761,1.4,1415249,100
,104,1030,龍華科技大學,572959,51.8,296648,26.82,124781,11.28,6867,0.62,42512,3.84,42154,3.81,-,-,-,-,20138,1.82,1106059,100
,104,1031,輔英科技大學,654975,59.71,287313,26.19,79312,7.23,7246,0.66,24106,2.2,18439,1.68,85,0.01,684,0.06,24729,2.25,1096888,100
,104,1032,明新科技大學,838285,63.24,205148,15.48,151455,11.43,10475,0.79,44819,3.38,54218,4.09,5810,0.44,-,-,15418,1.16,1325628,100
,104,1034,弘光科技大學,836180,56.96,372404,25.37,133394,9.09,9285,0.63,57530,3.92,27782,1.89,-,-,1039,0.07,30509,2.08,1468123,100
,104,1036,健行科技大學,717994,56.55,280096,22.06,152361,12,13160,1.04,41284,3.25,40086,3.16,-,-,-,-,24617,1.94,1269598,100
,104,1037,正修科技大學,1156639,55,507477,24.13,290060,13.79,13028,0.62,79054,3.76,38550,1.83,3055,0.15,-,-,15098,0.72,2102960,100
,104,1038,萬能科技大學,557543,51.26,248120,22.81,123933,11.39,29974,2.76,40779,3.75,44856,4.12,-,-,-,-,42528,3.91,1087733,100
,104,1040,建國科技大學,625450,57.86,264488,24.47,112419,10.4,6198,0.57,34883,3.23,21523,1.99,1838,0.17,-,-,14254,1.32,1081054,100
,104,1041,明志科技大學,507309,44.2,236544,20.61,231264,20.15,16541,1.44,67917,5.92,79117,6.89,-,-,-,-,9181,0.8,1147873,100
,104,1042,高苑科技大學,543952,63.05,170262,19.73,66990,7.76,6275,0.73,48015,5.57,16020,1.86,58,0.01,-,-,11206,1.3,862778,100
,104,1043,大仁科技大學,568166,61.92,181056,19.73,86951,9.48,31618,3.45,18835,2.05,24616,2.68,-,-,-,-,6347,0.69,917589,100
,104,1044,聖約翰科技大學,432512,56.3,164115,21.36,100283,13.05,4591,0.6,26713,3.48,32412,4.22,-,-,-,-,7593,0.99,768218,100
,104,1045,嶺東科技大學,584205,62.63,148183,15.89,108947,11.68,3935,0.42,31497,3.38,31405,3.37,3476,0.37,-,-,21200,2.27,932847,100
,104,1046,中國科技大學,664025,58.66,205286,18.14,144452,12.76,9129,0.81,38361,3.39,53072,4.69,-,-,-,-,17584,1.55,1131908,100
,104,1047,中臺科技大學,626177,64.97,147016,15.25,94473,9.8,28137,2.92,29508,3.06,31154,3.23,1369,0.14,-,-,6011,0.62,963844,100
,104,1051,台南應用科技大學,701521,59.75,209219,17.82,145431,12.39,7577,0.65,42451,3.62,32835,2.8,61,0.01,2519,0.21,32499,2.77,1174112,100
,104,1052,遠東科技大學,561493,53.77,248589,23.8,134739,12.9,16156,1.55,61708,5.91,18472,1.77,-,-,-,-,3138,0.3,1044296,100
,104,1053,元培醫事科技大學,467743,58.09,176010,21.86,95889,11.91,9316,1.16,25078,3.11,26774,3.33,-,-,-,-,4364,0.54,805174,100
,104,1054,景文科技大學,512832,49.83,159742,15.52,101226,9.84,6550,0.64,29220,2.84,21924,2.13,-,-,-,-,197715,19.21,1029208,100
,104,1055,中華醫事科技大學,581440,59.87,187897,19.35,105279,10.84,13630,1.4,31301,3.22,46049,4.74,1060,0.11,-,-,4514,0.46,971171,100
,104,1056,東南科技大學,468077,55.94,161844,19.34,88131,10.53,31814,3.8,18492,2.21,65989,7.89,-,-,-,-,2446,0.29,836794,100
,104,1057,德明財經科技大學,509373,59.88,138894,16.33,67161,7.9,8714,1.02,102782,12.08,16602,1.95,-,-,-,-,7143,0.84,850669,100
,104,1060,南開科技大學,425843,60.39,128276,18.19,79193,11.23,11601,1.65,35150,4.98,17744,2.52,377,0.05,-,-,6997,0.99,705182,100
,104,1061,中華科技大學,500285,57.07,177739,20.27,113592,12.96,5256,0.6,31855,3.63,39276,4.48,3611,0.41,2098,0.24,2951,0.34,876661,100
,104,1062,僑光科技大學,444007,45.77,147150,15.17,94632,9.76,5173,0.53,31395,3.24,240495,24.79,-,-,-,-,7212,0.74,970064,100
,104,1063,育達科技大學,336657,54.56,132886,21.54,74999,12.15,19355,3.14,16748,2.71,22441,3.64,-,-,-,-,13983,2.27,617068,100
,104,1064,美和科技大學,467314,57.78,185231,22.9,82929,10.25,29918,3.7,17531,2.17,12951,1.6,2366,0.29,-,-,10551,1.3,808790,100
,104,1065,吳鳳科技大學,344832,53.8,109009,17.01,88797,13.85,44608,6.96,30080,4.69,12727,1.99,902,0.14,-,-,10029,1.56,640983,100
,104,1066,環球科技大學,348774,49.79,181358,25.89,89441,12.77,14196,2.03,35812,5.11,15987,2.28,5667,0.81,-,-,9258,1.32,700494,100
,104,1068,中州科技大學,237714,42.93,208195,37.6,74809,13.51,2602,0.47,16173,2.92,7531,1.36,2151,0.39,-,-,4557,0.82,553732,100
,104,1069,修平科技大學,481333,64.01,140371,18.67,81849,10.89,5769,0.77,17548,2.33,11314,1.5,1212,0.16,-,-,12537,1.67,751932,100
,104,1070,長庚科技大學,703026,52.14,329567,24.44,146674,10.88,2947,0.22,30952,2.3,67987,5.04,-,-,696,0.05,66492,4.93,1348341,100
,104,1071,臺北城市科技大學,540133,64.53,131720,15.74,113397,13.55,6994,0.84,20792,2.48,18034,2.15,-,-,-,-,5932,0.71,837001,100
,104,1072,大華科技大學,225124,47.47,152161,32.09,67192,14.17,12732,2.68,4660,0.98,6578,1.39,3785,0.8,-,-,1995,0.42,474225,100
,104,1073,醒吾科技大學,478700,56.6,199371,23.57,93074,11,8455,1,26242,3.1,37782,4.47,162,0.02,-,-,2028,0.24,845814,100
,104,1074,南榮科技大學,216320,53.98,71971,17.96,49618,12.38,1851,0.46,51236,12.78,6295,1.57,206,0.05,-,-,3278,0.82,400775,100
,104,1075,文藻外語大學,606163,59.99,189977,18.8,85097,8.42,27375,2.71,58612,5.8,24927,2.47,-,-,-,-,18369,1.82,1010520,100
,104,1076,華夏科技大學,360078,64.05,101251,18.01,52981,9.42,2851,0.51,20857,3.71,12311,2.19,-,-,-,-,11894,2.12,562223,100
,104,1077,慈濟科技大學,290134,46.89,152537,24.65,79042,12.77,14198,2.29,66994,10.83,10816,1.75,-,-,-,-,5033,0.81,618755,100
,104,1148,大漢技術學院,95655,45.99,49800,23.94,39308,18.9,3099,1.49,11260,5.41,3628,1.74,-,-,-,-,5241,2.52,207990,100
,104,1159,和春技術學院,160548,45.11,84320,23.69,84428,23.72,1238,0.35,18936,5.32,3970,1.12,-,-,-,-,2457,0.69,355898,100
,104,1164,致理技術學院,569141,60.13,204667,21.62,102799,10.86,8827,0.93,29157,3.08,25953,2.74,-,-,-,-,6047,0.64,946591,100
,104,1166,亞東技術學院,353624,49.62,146705,20.58,110939,15.57,10477,1.47,15351,2.15,49622,6.96,-,-,-,-,25978,3.65,712697,100
,104,1168,南亞技術學院,358859,56.44,115702,18.2,81777,12.86,10381,1.63,9985,1.57,37846,5.95,2569,0.4,-,-,18665,2.94,635783,100
,104,1179,德霖技術學院,380133,66.41,107649,18.81,55538,9.7,4567,0.8,13235,2.31,9387,1.64,-,-,-,-,1916,0.33,572425,100
,104,1182,蘭陽技術學院,180543,57.04,50868,16.07,57686,18.23,4334,1.37,10454,3.3,7719,2.44,300,0.09,-,-,4610,1.46,316515,100
,104,1183,黎明技術學院,283134,61.91,70156,15.34,56320,12.32,22843,5,12139,2.65,4759,1.04,1574,0.34,-,-,6392,1.4,457317,100
,104,1184,東方設計學院,282031,56.19,118322,23.57,59574,11.87,14834,2.96,7918,1.58,11918,2.37,55,0.01,-,-,7315,1.46,501967,100
,104,1185,經國管理暨健康學院,262960,54.57,98526,20.45,78135,16.21,11798,2.45,6757,1.4,15274,3.17,1742,0.36,-,-,6693,1.39,481885,100
,104,1187,崇右技術學院,209512,53.11,102557,26,51497,13.05,8383,2.13,13995,3.55,5667,1.44,1571,0.4,-,-,1295,0.33,394477,100
,104,1188,大同技術學院,146561,47.68,67134,21.84,35762,11.63,31978,10.4,9933,3.23,8664,2.82,-,-,-,-,7354,2.39,307387,100
,104,1189,亞太創意技術學院,124932,50.95,55921,22.81,47295,19.29,2149,0.88,4264,1.74,2280,0.93,2501,1.02,-,-,5863,2.39,245206,100
,104,1192,臺灣觀光學院,97112,50.49,40432,21.02,38446,19.99,1186,0.62,2820,1.47,7449,3.87,-,-,-,-,4895,2.55,192340,100
,104,1197,台北海洋技術學院,318116,54.42,126644,21.66,80889,13.84,4587,0.78,16581,2.84,21513,3.68,9306,1.59,-,-,6950,1.19,584587,100
,104,1282,馬偕醫護管理專科學校,221451,48.01,86966,18.85,77440,16.79,1104,0.24,41849,9.07,21565,4.67,4669,1.01,-,-,6253,1.36,461296,100
,104,1283,仁德醫護管理專科學校,289228,62.82,79754,17.32,50862,11.05,4278,0.93,9177,1.99,17024,3.7,398,0.09,163,0.04,9503,2.06,460388,100
,104,1284,樹人醫護管理專科學校,290372,63.04,91660,19.9,46112,10.01,4396,0.95,13860,3.01,10534,2.29,-,-,-,-,3713,0.81,460646,100
,104,1285,慈惠醫護管理專科學校,247296,55.28,101864,22.77,66820,14.94,2477,0.55,15693,3.51,12886,2.88,-,-,-,-,329,0.07,447365,100
,104,1286,耕莘健康管理專科學校,236397,56.23,78174,18.6,69526,16.54,892,0.21,13852,3.3,5910,1.41,2785,0.66,-,-,12850,3.06,420386,100
,104,1287,敏惠醫護管理專科學校,173015,39.75,51309,11.79,57582,13.23,26081,5.99,111300,25.57,12988,2.98,591,0.14,1336,0.31,1045,0.24,435247,100
,104,1288,高美醫護管理專科學校,35019,29.63,20710,17.52,16385,13.86,1382,1.17,3326,2.81,1857,1.57,401,0.34,-,-,39104,33.09,118184,100
,104,1289,育英醫護管理專科學校,92784,57.43,35558,22.01,25175,15.58,359,0.22,3800,2.35,2564,1.59,-,-,-,-,1316,0.81,161556,100
,104,1290,崇仁醫護管理專科學校,149176,57.05,39849,15.24,51966,19.87,793,0.3,9332,3.57,3239,1.24,-,-,-,-,7109,2.72,261464,100
,104,1291,聖母醫護管理專科學校,169914,61.75,46927,17.05,39074,14.2,1923,0.7,10106,3.67,1905,0.69,1957,0.71,-,-,3359,1.22,275164,100
,104,1292,新生醫護管理專科學校,266478,62.15,67871,15.83,53808,12.55,6391,1.49,9802,2.29,6888,1.61,3495,0.82,-,-,14009,3.27,428742,100
