學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,私立,一般大學,1029,中山醫學大學,09191020,公共衛生學系,學士班(日間),3,2,1
105,1,私立,一般大學,1029,中山醫學大學,09231045,醫學社會暨社會工作學系,學士班(日間),5,1,4
105,1,私立,一般大學,1029,中山醫學大學,10221021,職業安全衛生學系,學士班(日間),1,0,1
105,1,私立,技專校院,1031,輔英科技大學,02311001,應用外語科,五專,1,0,1
105,1,私立,技專校院,1031,輔英科技大學,05121006,生物科技系,學士班(日間),1,1,0
105,1,私立,一般大學,1033,長榮大學,02112013,藝術創意與設計學士學位學程,學士班(進修),1,0,1
105,1,私立,一般大學,1033,長榮大學,02112015,媒體設計科技學系,學士班(日間),2,0,2
105,1,私立,一般大學,1033,長榮大學,02112016,數位內容設計學系,學士班(日間),2,0,2
105,1,私立,一般大學,1033,長榮大學,02131001,美術學系,碩士班(日間),1,0,1
105,1,私立,一般大學,1033,長榮大學,02312007,翻譯學系,學士班(日間),3,0,3
105,1,私立,一般大學,1033,長榮大學,03131018,健康心理學系,學士班(日間),2,1,1
105,1,私立,一般大學,1033,長榮大學,04111024,會計資訊學系,學士班(日間),1,0,1
105,1,私立,一般大學,1033,長榮大學,04121030,財務金融學系,學士班(日間),1,0,1
105,1,私立,一般大學,1033,長榮大學,04131025,企業管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1033,長榮大學,04131027,管理學士學位學程,學士班(進修),3,1,2
105,1,私立,一般大學,1033,長榮大學,04131028,國際企業學系,學士班(日間),2,1,1
105,1,私立,一般大學,1033,長榮大學,04133031,醫務管理學系,學士班(日間),1,0,1
105,1,私立,一般大學,1033,長榮大學,05121035,生物科技學系,學士班(日間),1,1,0
105,1,私立,一般大學,1033,長榮大學,06131039,資訊工程學系,學士班(日間),4,3,1
105,1,私立,一般大學,1033,長榮大學,07141041,科技工程與管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1033,長榮大學,09231055,社會工作學系,學士班(日間),1,0,1
105,1,私立,一般大學,1033,長榮大學,10151057,觀光與餐飲管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1033,長榮大學,10412061,航運管理學系,碩士班(日間),2,2,0
105,1,私立,技專校院,1034,弘光科技大學,04133005,健康事業管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1034,弘光科技大學,09211027,老人福利與事業系,學士班(日間),1,0,1
105,1,私立,技專校院,1034,弘光科技大學,09211027,老人福利與事業系,學士班(進修),1,1,0
105,1,私立,一般大學,1035,中國醫藥大學,05121043,生物科技學系,學士班(日間),1,1,0
105,1,私立,一般大學,1035,中國醫藥大學,05191021,營養學系,學士班(日間),1,1,0
105,1,私立,一般大學,1035,中國醫藥大學,09111030,口腔衛生學系,學士班(日間),7,0,7
105,1,私立,一般大學,1035,中國醫藥大學,09191038,職業安全與衛生學系,學士班(日間),4,0,4
105,1,私立,技專校院,1037,正修學校財團法人正修科技大學,02311001,應用外語系,學士班(日間),1,0,1
105,1,私立,一般大學,1039,玄奘大學,02112013,視覺傳達設計學系,學士班(日間),1,0,1
105,1,私立,一般大學,1039,玄奘大學,02112013,視覺傳達設計學系,學士班(進修),3,2,1
105,1,私立,一般大學,1039,玄奘大學,02131005,藝術與創意設計學系,學士班(日間),2,1,1
105,1,私立,一般大學,1039,玄奘大學,02199015,設計學院碩士班,碩士班(日間),1,0,1
105,1,私立,一般大學,1039,玄奘大學,02211010,宗教與文化學系,學士班(日間),2,0,2
105,1,私立,一般大學,1039,玄奘大學,02311008,應用外語學系,學士班(日間),1,1,0
105,1,私立,一般大學,1039,玄奘大學,03131016,應用心理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1039,玄奘大學,03211018,大眾傳播學系,學士班(日間),3,2,1
105,1,私立,一般大學,1039,玄奘大學,04211032,法律學系,學士班(進修),1,1,0
105,1,私立,一般大學,1039,玄奘大學,09231036,社會工作學系,學士班(日間),4,0,4
105,1,私立,一般大學,1039,玄奘大學,09231036,社會工作學系,學士班(進修),3,0,3
105,1,私立,一般大學,1039,玄奘大學,10131040,餐旅管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1039,玄奘大學,10131040,餐旅管理學系,學士班(進修),1,1,0
105,1,私立,技專校院,1041,明志科技大學,07111018,化學工程系,碩士班(日間),1,1,0
105,1,私立,技專校院,1043,大仁科技大學,02311001,應用外語系,學士班(日間),1,0,1
105,1,私立,技專校院,1043,大仁科技大學,04132005,行銷與流通管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1043,大仁科技大學,05121007,生物科技系,學士班(日間),2,1,1
105,1,私立,技專校院,1043,大仁科技大學,09131016,護理系,學士班(日間),1,0,1
105,1,私立,技專校院,1043,大仁科技大學,09161015,藥學系,學士班(日間),1,1,0
105,1,私立,技專校院,1043,大仁科技大學,09231018,社會工作系,學士班(日間),1,0,1
105,1,私立,技專校院,1043,大仁科技大學,10131021,餐旅管理系,學士班(日間),1,1,0
105,1,私立,技專校院,1044,聖約翰科技大學,02311001,應用英語系,學士班(日間),1,1,0
105,1,私立,技專校院,1045,嶺東科技大學,02122002,流行設計系,碩士班(日間),1,0,1
105,1,私立,技專校院,1045,嶺東科技大學,04132024,行銷與流通管理系,學士班(進修),1,1,0
105,1,私立,技專校院,1045,嶺東科技大學,06131031,資訊管理系,學士班(日間),1,1,0
105,1,私立,技專校院,1047,中臺科技大學,04133008,醫療暨健康產業管理系,學士班(日間),2,2,0
105,1,私立,一般大學,1048,亞洲大學,03131013,心理學系,學士班(日間),2,0,2
105,1,私立,一般大學,1048,亞洲大學,03211014,資訊傳播學系,學士班(日間),1,0,1
105,1,私立,一般大學,1048,亞洲大學,04121019,財務金融學系,學士班(日間),1,1,0
105,1,私立,一般大學,1048,亞洲大學,04131017,經營管理學系,學士班(進修),1,1,0
105,1,私立,一般大學,1048,亞洲大學,04212027,財經法律學系,學士班(日間),7,7,0
105,1,私立,一般大學,1048,亞洲大學,05121028,生物科技學系,學士班(日間),3,2,1
105,1,私立,一般大學,1048,亞洲大學,05191043,保健營養生技學系,學士班(日間),6,2,4
105,1,私立,一般大學,1048,亞洲大學,06134033,行動商務與多媒體應用學系,學士班(日間),10,8,2
105,1,私立,一般大學,1048,亞洲大學,06134037,資訊工程學系,學士班(日間),1,1,0
105,1,私立,一般大學,1048,亞洲大學,07141040,光電與通訊學系,學士班(日間),2,2,0
105,1,私立,一般大學,1048,亞洲大學,07141040,光電與通訊學系,碩士班(日間),2,2,0
105,1,私立,一般大學,1048,亞洲大學,09131046,護理學系,學士班(日間),1,0,1
105,1,私立,一般大學,1048,亞洲大學,09211021,健康產業管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1048,亞洲大學,09231048,社會工作學系,學士班(日間),3,3,0
105,1,私立,一般大學,1048,亞洲大學,10151049,休閒與遊憩管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1049,開南大學,04111014,會計學系,學士班(日間),2,2,0
105,1,私立,一般大學,1049,開南大學,05191037,保健營養學系,學士班(日間),2,0,2
105,1,私立,一般大學,1049,開南大學,10151039,觀光與餐飲旅館學系,學士班(日間),1,0,1
105,1,私立,一般大學,1050,佛光大學,02211010,佛教學系,博士班,1,1,0
105,1,私立,一般大學,1050,佛光大學,02311007,外國語文學系,學士班(日間),2,0,2
105,1,私立,一般大學,1050,佛光大學,03131024,心理學系,碩士班(日間),1,0,1
105,1,私立,一般大學,1050,佛光大學,06134032,資訊應用學系,學士班(日間),2,1,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02112012,視覺傳達設計系,學士班(進修),1,0,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02122010,時尚設計系,學士班(日間),4,0,4
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02124015,室內設計系,學士班(日間),3,1,2
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02124015,室內設計系,學士班(進修),1,0,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02125042,服飾設計管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02131001,美術系,學士班(日間),16,9,7
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02131001,美術系,學士班(進修),2,0,2
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02131001,美術系,碩士在職專班,1,0,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02151003,音樂系,學士班(日間),6,1,5
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02152005,舞蹈系,學士班(日間),31,4,27
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02311009,應用英語系,學士班(日間),10,1,9
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,02311009,應用英語系,學士班(進修),6,2,4
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,04111018,會計資訊系,學士班(日間),2,1,1
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,04121025,財務金融系,學士班(日間),2,2,0
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,04131021,企業管理系,學士班(日間),7,2,5
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,04131023,國際企業經營系,學士班(日間),4,1,3
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,06131027,資訊管理系,學士班(日間),5,2,3
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,09221029,幼兒保育系,學士班(日間),5,0,5
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,09221029,幼兒保育系,學士班(進修),3,0,3
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10111038,生活服務產業系生活應用科學碩士在職專班,碩士在職專班,2,0,2
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10111038,生活服務產業系生活應用科學碩士班,碩士班(日間),3,0,3
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10121044,美容造型設計系,學士班(進修),4,0,4
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10131030,旅館管理系,學士班(日間),11,1,10
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10131032,餐飲系,學士班(日間),3,0,3
105,1,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10151034,養生休閒管理學位學程,學士班(日間),10,2,8
105,1,私立,技專校院,1052,遠東科技大學,04131007,企業管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1052,遠東科技大學,06131015,資訊管理系,學士班(日間),2,2,0
105,1,私立,技專校院,1052,遠東科技大學,07141017,電機工程系,學士班(日間),4,4,0
105,1,私立,技專校院,1052,遠東科技大學,10151032,旅遊事業管理系,學士班(日間),2,1,1
105,1,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,07193016,生物醫學工程系,學士班(日間),1,1,0
105,1,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,10152038,健康休閒管理系,學士班(日間),3,0,3
105,1,私立,技專校院,1054,景文科技大學,04132014,行銷與流通管理系,學士班(日間),3,3,0
105,1,私立,技專校院,1054,景文科技大學,10131020,餐飲管理系,學士班(日間),3,0,3
105,1,私立,一般大學,1058,明道學校財團法人明道大學,01115001,課程與教學研究所,碩士在職專班,1,0,1
105,1,私立,技專校院,1060,南開科技大學,07151023,機械工程系,學士班(進修),6,6,0
105,1,私立,技專校院,1061,中華學校財團法人中華科技大學,07151017,機械工程系機電光碩士班,碩士班(日間),1,1,0
105,1,私立,技專校院,1061,中華學校財團法人中華科技大學,07321021,土木工程系土木防災與管理碩士班,碩士班(日間),1,1,0
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,01121002,幼兒教育學系,學士班(進修),1,0,1
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,02311003,應用外語學系,學士班(日間),6,6,0
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,04199016,休閒資訊管理學系,學士班(日間),5,1,4
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,06134021,資訊與多媒體設計學系,學士班(日間),5,5,0
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10131030,餐旅管理學系,學士班(日間),5,3,2
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10131030,餐旅管理學系,學士班(進修),1,0,1
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10131034,飯店管理學系,學士班(日間),1,1,0
105,1,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10151036,觀光事業管理學系,學士班(日間),3,1,2
105,1,私立,技專校院,1068,中州學校財團法人中州科技大學,04132006,行銷與流通管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1068,中州學校財團法人中州科技大學,10131027,餐飲廚藝系,學士班(進修),1,1,0
105,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131004,護理系,學士班(日間),3,0,3
105,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131004,護理系,學士班(進修),2,0,2
105,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131004,護理系,碩士在職專班,1,0,1
105,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09131004,護理科,五專,14,3,11
105,1,私立,技專校院,1070,長庚學校財團法人長庚科技大學,09221008,幼兒保育系,學士班(日間),3,0,3
105,1,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,07141016,電腦與通訊工程系,學士班(日間),2,2,0
105,1,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,10152027,休閒事業系,碩士班(日間),1,1,0
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,01131002,外語教學系,學士班(日間),2,0,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311005,外語文教事業發展研究所,碩士在職專班,1,0,1
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文系,學士班(日間),5,1,4
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文系,學士班(進修),3,1,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文科,五專,2,0,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311009,法國語文系,學士班(日間),2,1,1
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311009,法國語文科,五專,1,0,1
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311010,德國語文系,學士班(日間),6,2,4
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311010,德國語文科,五專,2,2,0
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311011,西班牙語文系,學士班(進修),1,1,0
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311011,西班牙語文科,五專,2,0,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311012,日本語文系,學士班(日間),1,1,0
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02312013,翻譯系,學士班(日間),2,0,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,03122016,國際事務系,學士班(日間),4,2,2
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,03211018,傳播藝術系,學士班(日間),1,0,1
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,04131020,國際企業管理系,學士班(日間),13,7,6
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,04131020,國際企業管理系,學士班(進修),2,2,0
105,1,私立,技專校院,1075,文藻學校財團法人文藻外語大學,06134024,數位內容應用與管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1076,華夏學校財團法人華夏科技大學,02112002,數位媒體設計系,學士班(日間),1,1,0
105,1,私立,技專校院,1076,華夏學校財團法人華夏科技大學,10121019,化妝品應用系,學士班(進修),1,0,1
105,1,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,04132003,行銷與流通管理系,學士班(日間),10,3,7
105,1,私立,技專校院,1078,致理學校財團法人致理科技大學,02311011,應用日語系,學士班(日間),1,1,0
105,1,私立,技專校院,1078,致理學校財團法人致理科技大學,06131021,資訊管理系,學士班(日間),2,2,0
105,1,私立,一般大學,1079,康寧學校財團法人康寧大學,10152055,休閒管理學系,學士班(日間),1,1,0
105,1,私立,技專校院,1166,亞東技術學院,06131008,資訊管理系,學士班(日間),2,2,0
105,1,私立,技專校院,1166,亞東技術學院,07151014,機械工程系,學士班(日間),2,2,0
105,1,私立,技專校院,1166,亞東技術學院,07151014,機械工程系,學士班(進修),1,1,0
105,1,私立,技專校院,1166,亞東技術學院,09131021,護理系,學士班(日間),3,0,3
105,1,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,02112004,視覺傳達設計系,學士班(日間),2,0,2
105,1,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,02311003,觀光英語系,學士班(日間),3,2,1
105,1,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,04131006,企業管理系,學士班(日間),1,0,1
105,1,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,07151012,機械工程系,學士班(日間),4,4,0
105,1,私立,一般大學,1176,稻江科技暨管理學院,09231034,老人福祉與社會工作學系,學士班(進修),2,0,2
105,1,私立,技專校院,1179,德霖技術學院,10131020,餐旅管理系,學士班(進修),1,1,0
105,1,私立,技專校院,1188,大同技術學院,02112004,數位媒體設計系,學士班(進修),1,1,0
105,1,私立,技專校院,1188,大同技術學院,09231021,社會工作與服務管理系,學士班(進修),2,1,1
105,1,私立,技專校院,1192,臺灣觀光學院,10131016,廚藝管理系,學士班(日間),2,2,0
105,1,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,09121002,醫學系,學士班(日間),1,1,0
105,1,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,09131004,護理學系,學士班(日間),3,1,2
105,1,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,01199001,生命教育碩士學位學程,碩士班(日間),1,1,0
105,1,私立,技專校院,1285,慈惠醫護管理專科學校,09131006,護理科,五專,3,0,3
105,1,私立,技專校院,1292,新生醫護管理專科學校,04141004,國際商務科,五專,1,0,1
105,1,私立,技專校院,1292,新生醫護管理專科學校,09221011,幼兒保育科,五專,2,0,2
105,1,私立,技專校院,1292,新生醫護管理專科學校,10152012,健康休閒管理科,五專,1,0,1
105,1,公立,一般大學,3002,臺北市立大學,01111001,教育學系,學士班(日間),5,0,5
105,1,公立,一般大學,3002,臺北市立大學,01111001,教育學系,碩士班(日間),2,0,2
105,1,公立,一般大學,3002,臺北市立大學,01111001,教育學系,博士班,3,1,2
105,1,公立,一般大學,3002,臺北市立大學,01113029,特殊教育學系,碩士班(日間),2,0,2
105,1,公立,一般大學,3002,臺北市立大學,01115036,學習與媒材設計學系,學士班(日間),6,0,6
105,1,公立,一般大學,3002,臺北市立大學,01116015,數位學習碩士學位學程,碩士班(日間),1,0,1
105,1,公立,一般大學,3002,臺北市立大學,01121027,幼兒教育學系,學士班(日間),1,1,0
105,1,公立,一般大學,3002,臺北市立大學,01121027,幼兒教育學系,碩士班(日間),1,0,1
105,1,公立,一般大學,3002,臺北市立大學,01131017,英語教學系,學士班(日間),3,0,3
105,1,公立,一般大學,3002,臺北市立大學,02111040,視覺藝術學系,碩士班(日間),1,0,1
105,1,公立,一般大學,3002,臺北市立大學,02322043,中國語文學系,學士班(日間),8,3,5
105,1,公立,一般大學,3002,臺北市立大學,03131055,心理與諮商學系,學士班(日間),4,2,2
105,1,公立,一般大學,3002,臺北市立大學,04134056,社會暨公共事務學系,學士班(日間),3,0,3
105,1,公立,一般大學,3002,臺北市立大學,04199045,都會產業經營與行銷學系,學士班(日間),3,0,3
105,1,公立,一般大學,3002,臺北市立大學,05399011,應用物理暨化學系,學士班(日間),3,2,1
105,1,公立,一般大學,3002,臺北市立大學,05399011,應用物理暨化學系,碩士班(日間),1,1,0
105,1,公立,一般大學,3002,臺北市立大學,05411012,數學系,學士班(日間),21,16,5
105,1,公立,一般大學,3002,臺北市立大學,10141054,競技運動訓練研究所,博士班,1,1,0
105,1,公立,一般大學,3002,臺北市立大學,10142053,運動科學研究所,博士班,1,1,0
105,1,公立,一般大學,3002,臺北市立大學,10152052,運動健康科學系,學士班(日間),10,6,4
105,2,公立,一般大學,0001,國立政治大學,01111001,教育學系,學士班(日間),11,4,7
105,2,公立,一般大學,0001,國立政治大學,01111001,教育學系,碩士班(日間),6,1,5
105,2,公立,一般大學,0001,國立政治大學,01111001,教育學系,博士班,16,8,8
105,2,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,博士班,2,2,0
105,2,公立,一般大學,0001,國立政治大學,02221020,歷史學系,學士班(日間),4,3,1
105,2,公立,一般大學,0001,國立政治大學,02221020,歷史學系,碩士班(日間),7,3,4
105,2,公立,一般大學,0001,國立政治大學,02221020,歷史學系,博士班,1,0,1
105,2,公立,一般大學,0001,國立政治大學,02221021,台灣史研究所,碩士班(日間),10,5,5
105,2,公立,一般大學,0001,國立政治大學,02222031,民族學系,博士班,1,1,0
105,2,公立,一般大學,0001,國立政治大學,02231022,哲學系,博士班,1,1,0
105,2,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,學士班(日間),5,2,3
105,2,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,博士班,1,0,1
105,2,公立,一般大學,0001,國立政治大學,02321007,台灣文學研究所,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,02322008,中國文學系,學士班(日間),8,1,7
105,2,公立,一般大學,0001,國立政治大學,02322008,中國文學系,碩士班(日間),22,7,15
105,2,公立,一般大學,0001,國立政治大學,02322008,中國文學系,博士班,12,5,7
105,2,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),2,2,0
105,2,公立,一般大學,0001,國立政治大學,03121026,政治學系,博士班,2,2,0
105,2,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),4,2,2
105,2,公立,一般大學,0001,國立政治大學,03131032,心理學系,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,03131033,輔導與諮商碩士學位學程,碩士班(日間),9,2,7
105,2,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),2,0,2
105,2,公立,一般大學,0001,國立政治大學,03143028,東亞研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,03143036,日本研究博士學位學程,博士班,1,1,0
105,2,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),5,0,5
105,2,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),2,0,2
105,2,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),3,1,2
105,2,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,03299056,傳播學院大一大二不分系,學士班(日間),2,0,2
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),3,0,3
105,2,公立,一般大學,0001,國立政治大學,04111059,會計學系,博士班,1,0,1
105,2,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),2,0,2
105,2,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),3,3,0
105,2,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),3,3,0
105,2,公立,一般大學,0001,國立政治大學,04134043,地政學系,碩士班(日間),2,2,0
105,2,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),1,0,1
105,2,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),2,1,1
105,2,公立,一般大學,0001,國立政治大學,04211073,法律學系,博士班,1,1,0
105,2,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,05411078,應用數學系,碩士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),1,1,0
105,2,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),2,0,2
105,2,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),12,6,6
105,2,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),1,0,1
105,2,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),3,0,3
105,2,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),1,1,0
105,2,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),1,0,1
105,2,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),10,0,10
105,2,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),13,2,11
105,2,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),2,1,1
105,2,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,1,1,0
105,2,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),2,2,0
105,2,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),1,0,1
105,2,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,4,0,4
105,2,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),6,3,3
105,2,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0002,國立清華大學,03143013,台灣研究教師在職進修碩士學位班,碩士在職專班,1,1,0
105,2,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),2,0,2
105,2,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),2,1,1
105,2,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),3,0,3
105,2,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),3,2,1
105,2,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,1,0,1
105,2,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),5,0,5
105,2,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,博士班,1,1,0
105,2,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),3,0,3
105,2,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),1,0,1
105,2,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),1,0,1
105,2,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),3,3,0
105,2,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),2,1,1
105,2,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),1,1,0
105,2,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),17,16,1
