學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,申請學校宿舍人數(A),學生實際住宿情形-自有宿舍住宿人數-小計(B),學生實際住宿情形-自有宿舍住宿人數-男,學生實際住宿情形-自有宿舍住宿人數-女,學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),學生實際住宿情形-學校租賃宿舍住宿人數-男,學生實際住宿情形-學校租賃宿舍住宿人數-女,學生校外租屋人數(107學年度新增)-小計(D),學生校外租屋人數(107學年度新增)-男,學生校外租屋人數(107學年度新增)-女,學校提供學生實際住宿之比率(%)E=(B+C)/（B+C+D）
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,新竹縣,108,102,81,21,0,0,0,5,1,4,95.33
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,新北市,1248,888,330,558,232,107,125,653,366,287,63.17
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,高雄市,1007,762,159,603,0,0,0,"2,985",785,"2,200",20.34
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,新北市,267,0,0,0,267,150,117,18,8,10,93.68
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,花蓮縣,2085,2029,442,1587,0,0,0,202,43,159,90.95
110,私立,技專校院,1078,致理學校財團法人致理科技大學,新北市,776,579,163,416,104,0,104,163,40,123,80.73
110,私立,一般大學,1079,康寧學校財團法人康寧大學,臺北市,828,825,98,727,0,0,0,33,8,25,96.15
110,私立,一般大學,1079,康寧學校財團法人康寧大學,臺南市,21,21,17,4,0,0,0,0,0,0,100
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,新北市,307,307,173,134,0,0,0,51,24,27,85.75
110,私立,技專校院,1081,東方學校財團法人東方設計大學,高雄市,235,235,123,112,0,0,0,31,15,16,88.35
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,基隆市,258,258,90,168,0,0,0,89,22,67,74.35
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,臺北市,394,389,297,92,0,0,0,119,52,67,76.57
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,新北市,710,634,328,306,0,0,0,100,45,55,86.38
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,新北市,194,159,85,74,0,0,0,169,93,76,48.48
