學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),美國,北美洲,6,2,4,0,0,0
105,2,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,碩士班(日間),美國,北美洲,2,1,1,0,0,0
105,2,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),法國,歐洲,1,1,0,1,1,0
105,2,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),法國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,博士班,法國,歐洲,3,2,1,0,0,0
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),越南社會主義共和國,東協,0,0,0,4,4,0
105,2,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0004,國立臺灣師範大學,02221036,臺灣史研究所,碩士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),馬來西亞,東協,0,0,0,1,0,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),大韓民國(南韓),其他亞洲地區,0,0,0,1,0,1
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,博士班,大韓民國(南韓),其他亞洲地區,0,0,0,1,0,1
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),馬來西亞,東協,0,0,0,2,0,2
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),美國,北美洲,2,0,2,0,0,0
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,碩士班(日間),美國,北美洲,3,2,1,0,0,0
105,2,公立,一般大學,0004,國立臺灣師範大學,03143045,歐洲文化與觀光研究所,碩士班(日間),法國,歐洲,6,0,6,0,0,0
105,2,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),德意志聯邦共和國,歐洲,0,0,0,3,3,0
105,2,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),馬來西亞,東協,0,0,0,3,0,3
105,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,碩士班(日間),英國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0005,國立成功大學,04121126,財務金融研究所,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),法國,歐洲,2,0,2,0,0,0
105,2,公立,一般大學,0005,國立成功大學,04131124,國際企業研究所,碩士班(日間),英國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士班(日間),法國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0005,國立成功大學,04199056,電信管理研究所,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,碩士班(日間),英國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,碩士班(日間),德意志聯邦共和國,歐洲,4,4,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,碩士班(日間),法國,歐洲,0,0,0,2,2,0
105,2,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,博士班,美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),法國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,碩士班(日間),英國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0006,國立中興大學,04211023,法律學系科技法律碩士班,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,碩士班(日間),日本,其他亞洲地區,4,4,0,0,0,0
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,博士班,大陸地區,大陸地區,0,0,0,1,1,0
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,碩士班(日間),日本,其他亞洲地區,2,2,0,0,0,0
105,2,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,博士班,美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0006,國立中興大學,08112066,動物科學系,博士班,法國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,博士班,美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系族群與文化碩士班,碩士班(日間),馬來西亞,東協,1,0,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,02299010,社會與文化研究所,博士班,法國,歐洲,0,0,0,3,3,0
105,2,公立,一般大學,0007,國立陽明交通大學,04131016,管理學院企業管理碩士學位學程,碩士班(日間),美國,北美洲,3,2,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,04131017,經營管理研究所,碩士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,博士班,美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系分子科學博士班,博士班,日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系奈米科技碩士班,碩士班(日間),比利時王國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),比利時王國,歐洲,6,5,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),比利時王國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141064,電控工程研究所,碩士班(日間),法國,歐洲,1,1,0,0,0,0
