學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,參與競賽獲獎人次,學生論文出版及展演活動篇數(場數),學生論文出版及展演活動人次,在學學生出席國際會議人次
106,公立,一般大學,0052,國立屏東大學,碩士在職專班,0,30,30,0
106,公立,一般大學,0052,國立屏東大學,博士班,0,22,30,0
106,公立,技專校院,0053,國立高雄科技大學,學士班(日間),343,23,68,49
106,公立,技專校院,0053,國立高雄科技大學,學士班(進修),3,0,0,0
106,公立,技專校院,0053,國立高雄科技大學,碩士班(日間),118,53,44,26
106,公立,技專校院,0053,國立高雄科技大學,碩士在職專班,4,22,22,0
106,公立,技專校院,0053,國立高雄科技大學,博士班,2,16,13,16
106,公立,技專校院,0221,國立臺南護理專科學校,五專,108,1,3,0
106,公立,技專校院,0222,國立臺東專科學校,二專(日間),22,4,13,0
106,公立,技專校院,0222,國立臺東專科學校,五專,18,0,0,0
106,私立,一般大學,1001,東海大學,學士班(日間),728,68,448,209
106,私立,一般大學,1001,東海大學,學士班(進修),43,9,38,0
106,私立,一般大學,1001,東海大學,碩士班(日間),94,137,271,61
106,私立,一般大學,1001,東海大學,碩士在職專班,28,19,42,20
106,私立,一般大學,1001,東海大學,博士班,3,23,23,14
106,私立,一般大學,1002,輔仁大學,學士班(日間),270,96,96,2
106,私立,一般大學,1002,輔仁大學,學士班(進修),2,0,0,0
106,私立,一般大學,1002,輔仁大學,碩士班(日間),7,51,51,26
106,私立,一般大學,1002,輔仁大學,碩士在職專班,2,0,0,0
106,私立,一般大學,1002,輔仁大學,博士班,0,24,24,9
106,私立,一般大學,1003,東吳大學,學士班(日間),361,28,39,4
106,私立,一般大學,1003,東吳大學,學士班(進修),2,2,4,1
106,私立,一般大學,1003,東吳大學,碩士班(日間),16,65,68,35
106,私立,一般大學,1003,東吳大學,碩士在職專班,3,28,32,11
106,私立,一般大學,1003,東吳大學,博士班,0,30,30,22
106,私立,一般大學,1004,中原大學,學士班(日間),666,27,83,1
106,私立,一般大學,1004,中原大學,碩士班(日間),78,69,78,57
106,私立,一般大學,1004,中原大學,碩士在職專班,0,6,6,3
106,私立,一般大學,1004,中原大學,博士班,14,41,45,59
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),536,12,38,15
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),87,111,115,151
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,1,11,11,18
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,38,38,38,56
106,私立,一般大學,1006,中國文化大學,學士班(日間),226,49,505,948
106,私立,一般大學,1006,中國文化大學,學士班(進修),2,0,0,0
106,私立,一般大學,1006,中國文化大學,碩士班(日間),4,105,110,256
106,私立,一般大學,1006,中國文化大學,碩士在職專班,3,90,90,57
106,私立,一般大學,1006,中國文化大學,博士班,0,32,34,16
106,私立,一般大學,1007,逢甲大學,學士班(日間),421,11,78,18
106,私立,一般大學,1007,逢甲大學,學士班(進修),9,0,0,0
106,私立,一般大學,1007,逢甲大學,碩士班(日間),108,231,324,123
106,私立,一般大學,1007,逢甲大學,碩士在職專班,1,3,6,0
106,私立,一般大學,1007,逢甲大學,博士班,14,42,56,30
106,私立,一般大學,1008,靜宜大學,學士班(日間),583,28,54,115
106,私立,一般大學,1008,靜宜大學,碩士班(日間),63,87,114,34
106,私立,一般大學,1008,靜宜大學,碩士在職專班,3,0,1,0
106,私立,一般大學,1008,靜宜大學,博士班,7,27,33,3
106,私立,一般大學,1009,長庚大學,學士班(日間),489,21,25,21
106,私立,一般大學,1009,長庚大學,碩士班(日間),17,82,83,73
106,私立,一般大學,1009,長庚大學,博士班,1,116,117,66
106,私立,一般大學,1010,元智大學,學士班(日間),519,15,19,8
106,私立,一般大學,1010,元智大學,碩士班(日間),37,111,119,37
106,私立,一般大學,1010,元智大學,博士班,7,88,105,14
106,私立,一般大學,1011,中華大學學校財團法人中華大學,學士班(日間),140,25,55,10
106,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士班(日間),0,141,145,33
106,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士在職專班,0,43,43,3
106,私立,一般大學,1011,中華大學學校財團法人中華大學,博士班,0,45,46,11
106,私立,一般大學,1012,大葉大學,學士班(日間),631,218,518,17
106,私立,一般大學,1012,大葉大學,學士班(進修),50,2,4,0
106,私立,一般大學,1012,大葉大學,碩士班(日間),43,131,181,14
106,私立,一般大學,1012,大葉大學,碩士在職專班,1,18,18,8
106,私立,一般大學,1012,大葉大學,博士班,18,44,63,4
106,私立,一般大學,1013,華梵大學,學士班(日間),71,45,372,0
106,私立,一般大學,1013,華梵大學,碩士班(日間),2,13,13,16
106,私立,一般大學,1013,華梵大學,碩士在職專班,0,1,1,0
106,私立,一般大學,1013,華梵大學,博士班,0,13,13,6
106,私立,一般大學,1014,義守大學,學士班(日間),388,95,605,98
106,私立,一般大學,1014,義守大學,學士班(進修),16,0,0,0
106,私立,一般大學,1014,義守大學,碩士班(日間),30,83,106,56
106,私立,一般大學,1014,義守大學,碩士在職專班,2,9,10,0
106,私立,一般大學,1014,義守大學,博士班,2,38,40,20
106,私立,一般大學,1015,世新大學,學士班(日間),582,3,168,3
106,私立,一般大學,1015,世新大學,碩士班(日間),14,12,13,9
106,私立,一般大學,1015,世新大學,碩士在職專班,0,6,6,0
106,私立,一般大學,1015,世新大學,博士班,0,18,19,1
106,私立,一般大學,1016,銘傳大學,學士班(日間),1481,96,340,1170
106,私立,一般大學,1016,銘傳大學,碩士班(日間),12,168,177,267
106,私立,一般大學,1016,銘傳大學,碩士在職專班,1,58,60,109
106,私立,一般大學,1016,銘傳大學,博士班,0,13,13,9
106,私立,一般大學,1017,實踐大學,學士班(日間),422,34,321,264
106,私立,一般大學,1017,實踐大學,學士班(進修),7,0,3,0
106,私立,一般大學,1017,實踐大學,碩士班(日間),19,15,26,17
106,私立,一般大學,1017,實踐大學,碩士在職專班,7,1,2,2
106,私立,技專校院,1018,朝陽科技大學,學士班(日間),419,12,124,0
106,私立,技專校院,1018,朝陽科技大學,學士班(進修),9,1,1,0
106,私立,技專校院,1018,朝陽科技大學,碩士班(日間),23,108,169,46
106,私立,技專校院,1018,朝陽科技大學,碩士在職專班,0,5,5,0
106,私立,技專校院,1018,朝陽科技大學,博士班,4,6,9,11
106,私立,一般大學,1019,高雄醫學大學,學士班(日間),327,7,7,20
106,私立,一般大學,1019,高雄醫學大學,碩士班(日間),13,28,27,32
106,私立,一般大學,1019,高雄醫學大學,碩士在職專班,1,0,0,0
106,私立,一般大學,1019,高雄醫學大學,博士班,6,17,16,35
106,私立,一般大學,1020,南華大學,學士班(日間),99,72,604,140
106,私立,一般大學,1020,南華大學,學士班(進修),0,2,10,0
106,私立,一般大學,1020,南華大學,碩士班(日間),6,33,47,22
106,私立,一般大學,1020,南華大學,碩士在職專班,0,1,2,7
106,私立,一般大學,1020,南華大學,博士班,0,2,4,0
106,私立,一般大學,1021,真理大學,學士班(日間),100,18,634,4
106,私立,一般大學,1021,真理大學,碩士班(日間),0,2,2,0
106,私立,一般大學,1022,大同大學,學士班(日間),66,16,32,43
106,私立,一般大學,1022,大同大學,碩士班(日間),12,98,134,48
106,私立,一般大學,1022,大同大學,碩士在職專班,0,5,6,0
106,私立,一般大學,1022,大同大學,博士班,0,27,30,10
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(日間),1784,16,52,14
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學士班(進修),27,0,0,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士班(日間),155,49,56,52
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士在職專班,4,1,1,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,博士班,28,27,28,32
106,私立,技專校院,1024,崑山科技大學,學士班(日間),751,17,38,0
106,私立,技專校院,1024,崑山科技大學,學士班(進修),27,0,0,0
106,私立,技專校院,1024,崑山科技大學,碩士班(日間),76,18,25,1
106,私立,技專校院,1024,崑山科技大學,碩士在職專班,33,5,5,0
106,私立,技專校院,1024,崑山科技大學,博士班,3,11,22,0
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(日間),388,15,59,3
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,學士班(進修),57,0,0,0
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士班(日間),2,5,5,10
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士在職專班,0,0,4,5
106,私立,技專校院,1026,樹德科技大學,學士班(日間),709,15,43,8
106,私立,技專校院,1026,樹德科技大學,學士班(進修),31,2,2,1
106,私立,技專校院,1026,樹德科技大學,碩士班(日間),29,34,42,6
106,私立,技專校院,1026,樹德科技大學,碩士在職專班,18,0,0,0
106,私立,技專校院,1026,樹德科技大學,博士班,0,16,16,16
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學士班(日間),167,28,31,75
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士班(日間),16,30,30,30
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,博士班,1,6,6,11
106,私立,一般大學,1028,臺北醫學大學,學士班(日間),252,20,20,141
106,私立,一般大學,1028,臺北醫學大學,碩士班(日間),6,13,13,96
106,私立,一般大學,1028,臺北醫學大學,碩士在職專班,3,1,1,36
106,私立,一般大學,1028,臺北醫學大學,博士班,7,107,107,87
106,私立,一般大學,1029,中山醫學大學,學士班(日間),286,31,66,16
106,私立,一般大學,1029,中山醫學大學,碩士班(日間),63,39,57,37
106,私立,一般大學,1029,中山醫學大學,碩士在職專班,0,1,1,0
106,私立,一般大學,1029,中山醫學大學,博士班,2,48,55,18
106,私立,技專校院,1030,龍華科技大學,學士班(日間),263,0,0,0
106,私立,技專校院,1030,龍華科技大學,學士班(進修),1,0,0,0
106,私立,技專校院,1030,龍華科技大學,碩士班(日間),10,24,24,4
106,私立,技專校院,1031,輔英科技大學,五專,9,0,0,0
106,私立,技專校院,1031,輔英科技大學,學士班(日間),28,5,7,1
106,私立,技專校院,1031,輔英科技大學,學士班(進修),9,0,0,0
106,私立,技專校院,1031,輔英科技大學,碩士班(日間),0,7,7,2
106,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(日間),315,29,102,79
106,私立,技專校院,1032,明新學校財團法人明新科技大學,學士班(進修),0,1,5,5
106,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士班(日間),11,30,42,24
106,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士在職專班,7,6,6,6
106,私立,一般大學,1033,長榮大學,學士班(日間),485,30,53,12
106,私立,一般大學,1033,長榮大學,碩士班(日間),30,20,20,13
106,私立,一般大學,1033,長榮大學,碩士在職專班,0,2,2,0
106,私立,一般大學,1033,長榮大學,博士班,0,4,4,11
106,私立,技專校院,1034,弘光科技大學,二專(進修),1,0,0,0
106,私立,技專校院,1034,弘光科技大學,五專,1,0,0,0
106,私立,技專校院,1034,弘光科技大學,學士班(日間),330,36,71,53
106,私立,技專校院,1034,弘光科技大學,學士班(進修),5,0,0,0
106,私立,技專校院,1034,弘光科技大學,碩士班(日間),19,25,28,4
106,私立,技專校院,1034,弘光科技大學,博士班,0,14,4,0
106,私立,一般大學,1035,中國醫藥大學,學士班(日間),273,48,98,73
106,私立,一般大學,1035,中國醫藥大學,碩士班(日間),8,136,163,101
106,私立,一般大學,1035,中國醫藥大學,碩士在職專班,0,18,20,18
106,私立,一般大學,1035,中國醫藥大學,博士班,2,233,274,62
106,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(日間),378,11,37,0
106,私立,技專校院,1036,健行學校財團法人健行科技大學,學士班(進修),11,0,0,0
106,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士班(日間),28,88,92,3
106,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士在職專班,0,7,7,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,學士班(日間),348,0,2,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士班(日間),10,1,1,2
106,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士在職專班,0,0,0,1
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(日間),210,0,0,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學士班(進修),34,0,0,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士班(日間),8,0,0,0
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士在職專班,9,0,0,0
106,私立,一般大學,1039,玄奘大學,學士班(日間),142,41,160,374
106,私立,一般大學,1039,玄奘大學,學士班(進修),0,1,1,0
106,私立,一般大學,1039,玄奘大學,碩士班(日間),2,16,16,16
106,私立,一般大學,1039,玄奘大學,碩士在職專班,0,1,1,0
106,私立,技專校院,1040,建國科技大學,學士班(日間),553,11,130,3
106,私立,技專校院,1040,建國科技大學,碩士班(日間),0,3,3,0
106,私立,技專校院,1041,明志科技大學,學士班(日間),57,130,284,0
106,私立,技專校院,1041,明志科技大學,學士班(進修),0,3,3,0
106,私立,技專校院,1041,明志科技大學,碩士班(日間),37,535,737,97
106,私立,技專校院,1041,明志科技大學,碩士在職專班,0,22,23,0
106,私立,技專校院,1042,高苑科技大學,學士班(日間),361,0,0,0
106,私立,技專校院,1042,高苑科技大學,學士班(進修),2,0,0,0
106,私立,技專校院,1042,高苑科技大學,碩士班(日間),64,3,3,0
106,私立,技專校院,1042,高苑科技大學,碩士在職專班,2,0,0,0
106,私立,技專校院,1043,大仁科技大學,學士班(日間),89,0,0,0
106,私立,技專校院,1043,大仁科技大學,學士班(進修),12,0,0,0
106,私立,技專校院,1044,聖約翰科技大學,學士班(日間),92,0,0,0
106,私立,技專校院,1044,聖約翰科技大學,碩士班(日間),9,0,0,0
106,私立,技專校院,1045,嶺東科技大學,學士班(日間),420,0,0,0
106,私立,技專校院,1045,嶺東科技大學,碩士班(日間),1,1,1,0
106,私立,技專校院,1046,中國科技大學,學士班(日間),622,18,618,0
106,私立,技專校院,1046,中國科技大學,學士班(進修),10,0,0,0
106,私立,技專校院,1046,中國科技大學,碩士班(日間),7,39,50,1
106,私立,技專校院,1046,中國科技大學,碩士在職專班,0,9,0,0
106,私立,技專校院,1047,中臺科技大學,學士班(日間),246,22,115,4
106,私立,技專校院,1047,中臺科技大學,學士班(進修),8,0,0,0
106,私立,技專校院,1047,中臺科技大學,碩士班(日間),2,7,7,14
106,私立,技專校院,1047,中臺科技大學,碩士在職專班,5,7,7,28
106,私立,一般大學,1048,亞洲大學,學士班(日間),278,10,16,369
106,私立,一般大學,1048,亞洲大學,碩士班(日間),11,35,40,71
106,私立,一般大學,1048,亞洲大學,碩士在職專班,3,0,0,0
106,私立,一般大學,1048,亞洲大學,博士班,0,0,0,12
106,私立,一般大學,1049,開南大學,學士班(日間),58,0,0,0
106,私立,一般大學,1049,開南大學,學士班(進修),1,0,0,0
106,私立,一般大學,1049,開南大學,碩士班(日間),0,4,4,1
106,私立,一般大學,1050,佛光大學,學士班(日間),303,12,12,68
106,私立,一般大學,1050,佛光大學,碩士班(日間),3,34,34,48
106,私立,一般大學,1050,佛光大學,碩士在職專班,0,3,3,3
106,私立,一般大學,1050,佛光大學,博士班,0,2,2,24
