學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,12,11.67,8,0,0
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,0,8.44,0,0,0
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,10.63,9.25,13,0,0
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,9.08,10.80,9.70,0,0
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,9.50,10.25,15.50,0,0
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,3,4.83,0,0,0
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,4.83,5,6,0,0
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,7,7.50,9,0,0
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,5.25,4.75,8,0,0
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,6.25,8.42,6,9,0
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,6,6,6,0,0
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,6.50,6.88,0,0,0
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,5.20,5.50,6,0,0
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,7.50,6.67,7.77,0,0
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,5.80,6.50,9,0,0
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,7.17,6.80,4.75,0,0
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,8.69,9.70,8.35,0,0
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,0,6.17,4.50,0,0
106,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,6.19,7.64,0,0,0
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,8.78,6.40,7.50,0,0
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,8.42,7.67,5.75,0,0
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,5.50,3.50,0,0,0
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,6.90,6.17,4.50,0,0
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,4.30,0,0,0,0
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,3.67,4.83,4.97,0,0
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,4.38,4.66,8,0,0
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,4.17,6,5.95,0,0
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,5.17,5.66,6.50,0,0
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,2.67,5,6.75,0,0
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,4.80,9.91,0,0,0
106,公立,一般大學,0002,國立清華大學,05311037,化學系,4.59,5.17,4.50,0,0
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,6.63,9.67,6.43,0,0
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,8,4.50,0,0,0
106,公立,一般大學,0002,國立清華大學,05411043,數學系,4.47,6.33,5,0,0
106,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,5.60,7.87,0,0,0
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,5,5.33,0,0,0
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,4.48,5.81,3,0,0
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,4.86,5.75,4.25,0,0
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,4.68,6.38,4.50,0,0
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,3,7.50,6,0,0
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,6.84,6.30,6.50,0,0
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,4.09,5,3.97,0,0
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,4.70,4.65,3,0,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,5.28,5,3.90,0,0
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,5.55,4.40,10,0,0
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,4.50,4.67,3,0,0
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,2.69,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,,共同教育中心,10.44,14.40,12.50,14.86,0
106,公立,一般大學,0003,國立臺灣大學,,凝態科學研究中心,4,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,,學生事務處,0,0,0,0,9
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,0,0,10.25,0,0
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,4,7.50,0,0,0
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,9.20,12.75,0,12.33,0
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,6,6,6,0,0
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,6.27,6.50,7.29,0,0
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,6.50,8.42,8.40,0,0
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,7.72,7.33,8.25,0,0
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,7.39,9.33,9.21,13.20,0
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,10.33,10.50,12.67,14.50,0
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,0,0,14.50,0,0
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,8,9,7.50,0,0
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,7.10,8.35,8.50,0,0
106,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,8,10.50,11.50,0,0
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,5.43,7.19,4.56,0,0
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,6.04,5.25,8.20,0,0
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,10.14,14.42,10.33,0,0
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,5.78,6.33,7.40,0,0
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,8.25,9.50,7.25,0,0
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,6.78,7.25,7.50,0,0
106,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,7,6.50,0,0,0
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,7.83,11.50,11,0,0
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,6.21,7,5.75,0,0
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,5.50,7.50,5.17,0,0
106,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,9,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,0,0,6,0,0
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,8.11,6.88,6.13,0,0
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,7.18,6.17,7.50,0,0
106,公立,一般大學,0003,國立臺灣大學,04134022,公共事務研究所,6,6.25,7,0,0
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,10.63,11,13.30,0,0
106,公立,一般大學,0003,國立臺灣大學,04212036,科際整合法律學研究所,11.17,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,16.95,23,12.38,23.17,0
106,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,16.83,20.50,10,0,0
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,24.21,18.50,20.25,0,0
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,30.83,17.20,0,0,0
106,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,14.50,15.50,16,0,0
106,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,16.50,17.17,12.67,0,0
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,22.25,29.50,25,0,0
106,公立,一般大學,0003,國立臺灣大學,05123050,生物化學暨分子生物學研究所,28,32,23.60,0,0
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,8.60,13.50,17.25,0,0
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,20.98,25.88,24.30,17.50,0
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,15.33,19.50,15.75,0,0
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,6.85,13,8.67,0,0
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,10.83,11.20,10.83,0,0
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,7.13,8.17,8,0,0
106,公立,一般大學,0003,國立臺灣大學,05331055,應用物理學研究所,9,6,7.50,0,0
106,公立,一般大學,0003,國立臺灣大學,05332058,天文物理研究所,5.75,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,4.96,8.50,6.50,0,0
106,公立,一般大學,0003,國立臺灣大學,05499061,應用數學科學研究所,7.43,3,5.50,0,0
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,9.05,10,14,0,0
106,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,11.50,10,11,0,0
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,9.95,10.25,10,0,0
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,9.67,11.80,10,0,0
106,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,6.83,0,7,0,0
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,13.47,16.17,17.75,0,0
106,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,7,11.83,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,11.02,17.17,11,0,0
106,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,12.96,10.25,9,0,0
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,10.47,13.75,9.50,0,0
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,8.55,9.50,9,0,0
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,10.07,11,15.50,0,0
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,15.15,16.75,13.25,0,0
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,7.92,8.50,10.50,0,0
106,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,6.50,9.50,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,16.29,16,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,4.44,7,5.25,0,0
106,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,17.80,15,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07211099,食品科技研究所,20.43,33.33,30.25,0,0
106,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,12,9,12,0,0
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,9.11,9.72,10.85,0,0
