,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,總計,男,女
,102,私立,一般大學,1050,佛光大學,220804,佛教學系,學士班(日間),1,0,1
,102,私立,一般大學,1050,佛光大學,220804,佛教學系,碩士班(日間),1,1,0
,102,私立,一般大學,1050,佛光大學,220804,佛教學系,博士班,1,0,1
,102,私立,一般大學,1050,佛光大學,229908,文化資產與創意學系,學士班(日間),2,1,1
,102,私立,一般大學,1058,明道大學,230206,數位設計學系,學士班(日間),1,1,0
,102,私立,一般大學,1058,明道大學,340501,財務金融學系,學士班(日間),3,3,0
,102,私立,一般大學,1058,明道大學,521314,光電暨能源工程學系,學士班(日間),3,3,0
,102,私立,一般大學,1058,明道大學,580201,景觀設計學系,學士班(日間),2,2,0
,102,私立,一般大學,1067,台灣首府大學,140401,幼兒教育學系,學士班(日間),2,1,1
,102,私立,一般大學,1067,台灣首府大學,810508,休閒管理學系,學士班(日間),1,0,1
,102,私立,一般大學,1R01,法鼓佛教學院,220804,佛教學系,碩士班(日間),1,0,1
,102,私立,技專校院,1018,朝陽科技大學,220312,應用英語系,學士班(日間),1,1,0
,102,私立,技專校院,1018,朝陽科技大學,230201,視覺傳達設計系,學士班(日間),6,0,6
,102,私立,技專校院,1018,朝陽科技大學,230303,工業設計系,學士班(日間),6,5,1
,102,私立,技專校院,1018,朝陽科技大學,320104,傳播藝術系,學士班(日間),2,1,1
,102,私立,技專校院,1018,朝陽科技大學,340201,會計系,學士班(日間),4,1,3
,102,私立,技專校院,1018,朝陽科技大學,340301,企業管理系,學士班(日間),3,1,2
,102,私立,技專校院,1018,朝陽科技大學,340501,財務金融系,學士班(日間),4,3,1
,102,私立,技專校院,1018,朝陽科技大學,340605,保險金融管理系,學士班(日間),2,2,0
,102,私立,技專校院,1018,朝陽科技大學,340802,行銷與流通管理系,學士班(日間),1,1,0
,102,私立,技專校院,1018,朝陽科技大學,480101,資訊科技研究所,博士班,1,0,1
,102,私立,技專校院,1018,朝陽科技大學,480109,資訊管理系,博士班,1,0,1
,102,私立,技專校院,1018,朝陽科技大學,520114,資訊工程系,學士班(日間),2,2,0
,102,私立,技專校院,1018,朝陽科技大學,520164,資訊與通訊系,學士班(日間),1,1,0
,102,私立,技專校院,1018,朝陽科技大學,580101,建築系,學士班(日間),1,1,0
,102,私立,技專校院,1018,朝陽科技大學,580101,建築系室內設計組,學士班(日間),4,2,2
,102,私立,技專校院,1018,朝陽科技大學,580101,建築系建築組,學士班(日間),3,2,1
,102,私立,技專校院,1018,朝陽科技大學,580207,景觀及都市設計系,學士班(日間),10,4,6
,102,私立,技專校院,1018,朝陽科技大學,810508,休閒事業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1023,南臺科技大學,230201,視覺傳達設計系商業設計組,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,230313,創新產品設計系,學士班(日間),3,2,1
,102,私立,技專校院,1023,南臺科技大學,320105,資訊傳播系,學士班(日間),2,2,0
,102,私立,技專校院,1023,南臺科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,340501,財務金融系,學士班(日間),2,1,1
,102,私立,技專校院,1023,南臺科技大學,340802,行銷與流通管理系,學士班(日間),2,2,0
,102,私立,技專校院,1023,南臺科技大學,349909,管理與資訊系工業管理組,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,520101,電機工程系控制與晶片組,學士班(日間),2,2,0
,102,私立,技專校院,1023,南臺科技大學,520103,電子工程系系統應用組,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,520106,光電工程系,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,520201,機械工程系自動化控制組,學士班(日間),1,1,0
,102,私立,技專校院,1023,南臺科技大學,520403,化學工程與材料工程系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,220312,應用英語系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,230201,視覺傳達設計系,學士班(日間),3,1,2
,102,私立,技專校院,1024,崑山科技大學,230402,空間設計系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,320107,視訊傳播設計系,學士班(日間),3,1,2
,102,私立,技專校院,1024,崑山科技大學,320401,公共關係暨廣告系,學士班(日間),3,2,1
,102,私立,技專校院,1024,崑山科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,340401,國際貿易系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,340501,財務金融系,學士班(日間),1,0,1
,102,私立,技專校院,1024,崑山科技大學,349967,房地產開發與管理系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,520101,電機工程系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,520103,電子工程系,學士班(日間),3,3,0
,102,私立,技專校院,1024,崑山科技大學,520130,電腦與通訊系,學士班(日間),1,1,0
,102,私立,技專校院,1024,崑山科技大學,520255,機械與能源工程研究所,博士班,4,2,2
,102,私立,技專校院,1024,崑山科技大學,760401,幼兒保育系,學士班(日間),1,0,1
,102,私立,技專校院,1025,嘉南藥理大學,220303,應用外語系,學士班(日間),1,0,1
,102,私立,技專校院,1025,嘉南藥理大學,349930,文化事業發展系,學士班(日間),1,0,1
,102,私立,技專校院,1025,嘉南藥理大學,520903,環境工程與科學系,學士班(日間),2,1,1
,102,私立,技專校院,1025,嘉南藥理大學,720306,醫藥化學系,學士班(日間),2,1,1
,102,私立,技專校院,1025,嘉南藥理大學,760401,嬰幼兒保育系,學士班(日間),2,0,2
,102,私立,技專校院,1026,樹德科技大學,210707,表演藝術系,學士班(日間),4,1,3
,102,私立,技專校院,1026,樹德科技大學,211011,藝術管理與藝術經紀學位學程,學士班(日間),1,0,1
,102,私立,技專校院,1026,樹德科技大學,220303,應用外語系,學士班(日間),1,0,1
,102,私立,技專校院,1026,樹德科技大學,230103,流行設計系,學士班(日間),5,1,4
,102,私立,技專校院,1026,樹德科技大學,230124,動畫與遊戲設計系,學士班(日間),5,3,2
,102,私立,技專校院,1026,樹德科技大學,230201,視覺傳達設計系,學士班(日間),8,7,1
,102,私立,技專校院,1026,樹德科技大學,230304,生活產品設計系,學士班(日間),9,3,6
,102,私立,技專校院,1026,樹德科技大學,230401,室內設計系,學士班(日間),9,6,3
,102,私立,技專校院,1026,樹德科技大學,340308,國際企業與貿易系,學士班(日間),2,1,1
,102,私立,技專校院,1026,樹德科技大學,340412,會議展覽與國際行銷學位學程,學士班(日間),2,1,1
,102,私立,技專校院,1026,樹德科技大學,340505,金融系,學士班(日間),3,2,1
,102,私立,技專校院,1026,樹德科技大學,340805,運籌管理系,學士班(日間),1,1,0
,102,私立,技專校院,1026,樹德科技大學,480109,資訊管理系數位創新應用組,學士班(日間),1,0,1
,102,私立,技專校院,1026,樹德科技大學,520130,電腦與通訊系,學士班(日間),1,1,0
,102,私立,技專校院,1026,樹德科技大學,810230,休閒與觀光管理系,學士班(日間),1,1,0
,102,私立,技專校院,1030,龍華科技大學,220303,應用外語系,學士班(日間),1,1,0
,102,私立,技專校院,1030,龍華科技大學,230137,文化創意與數位媒體設計系,學士班(日間),4,4,0
,102,私立,技專校院,1030,龍華科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1030,龍華科技大學,340501,財務金融系,學士班(日間),12,7,5
,102,私立,技專校院,1030,龍華科技大學,480109,資訊管理系,學士班(日間),1,0,1
,102,私立,技專校院,1030,龍華科技大學,480301,多媒體與遊戲發展科學系,學士班(日間),6,5,1
,102,私立,技專校院,1030,龍華科技大學,520117,資訊網路工程系,學士班(日間),1,0,1
,102,私立,技專校院,1030,龍華科技大學,520403,化工與材料工程系,學士班(日間),1,1,0
,102,私立,技專校院,1031,輔英科技大學,420302,生物科技系,學士班(日間),1,0,1
,102,私立,技專校院,1031,輔英科技大學,520903,環境工程與科學系,學士班(日間),1,1,0
,102,私立,技專校院,1031,輔英科技大學,720504,保健營養系,學士班(日間),1,0,1
,102,私立,技專校院,1031,輔英科技大學,720601,護理系,學士班(日間),1,0,1
,102,私立,技專校院,1032,明新科技大學,520601,工業工程與管理系,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,220312,應用英語系,學士班(日間),1,0,1
,102,私立,技專校院,1034,弘光科技大學,349930,文化事業發展系,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,480109,資訊管理系,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,520905,環境與安全衛生工程系環境工程組,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,620602,食品科技系,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,720401,物理治療系,學士班(日間),1,1,0
,102,私立,技專校院,1034,弘光科技大學,720601,護理系,學士班(日間),2,0,2
,102,私立,技專校院,1036,健行科技大學,340501,財務金融系,學士班(日間),1,0,1
,102,私立,技專校院,1036,健行科技大學,520114,資訊工程系網路技術組,學士班(日間),1,1,0
,102,私立,技專校院,1036,健行科技大學,520301,土木工程系,學士班(日間),1,1,0
,102,私立,技專校院,1037,正修科技大學,220303,應用外語系商務英文組,學士班(日間),1,0,1
,102,私立,技專校院,1037,正修科技大學,230125,時尚生活創意設計系,學士班(日間),2,1,1
,102,私立,技專校院,1037,正修科技大學,230404,建築與室內設計系室內設計組,學士班(日間),2,2,0
,102,私立,技專校院,1037,正修科技大學,230404,建築與室內設計系建築設計組,學士班(日間),1,1,0
,102,私立,技專校院,1037,正修科技大學,340301,企業管理系投資理財組,學士班(日間),2,2,0
,102,私立,技專校院,1037,正修科技大學,340307,國際企業系國際貿易組,學士班(日間),4,3,1
,102,私立,技專校院,1037,正修科技大學,340307,國際企業系國際行銷組,學士班(日間),2,2,0
,102,私立,技專校院,1037,正修科技大學,340501,財務金融系公司理財組,學士班(日間),3,2,1
,102,私立,技專校院,1037,正修科技大學,349972,創意產業經營學位學程,學士班(日間),2,0,2
,102,私立,技專校院,1037,正修科技大學,480505,數位內容科技管理學位學程,學士班(日間),1,0,1
,102,私立,技專校院,1037,正修科技大學,520101,電機工程系電機與控制組,學士班(日間),1,1,0
,102,私立,技專校院,1037,正修科技大學,520103,電子工程系光電組,學士班(日間),2,2,0
,102,私立,技專校院,1037,正修科技大學,520302,土木與工程資訊系工程技術組,學士班(日間),3,2,1
,102,私立,技專校院,1037,正修科技大學,810815,化妝品與時尚彩妝系,碩士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,230302,商業設計系數位媒體設計組,學士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,340301,企業管理系,學士班(日間),2,2,0
,102,私立,技專校院,1038,萬能科技大學,340802,行銷與流通管理系,學士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,520106,光電工程系,學士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,520114,資訊工程系,學士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,520312,營建科技系營建與物業管理組,學士班(日間),1,1,0
,102,私立,技專校院,1038,萬能科技大學,810204,觀光與休閒事業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1040,建國科技大學,230302,商業設計系,學士班(日間),1,1,0
,102,私立,技專校院,1041,明志科技大學,230201,視覺傳達設計系,學士班(日間),1,1,0
,102,私立,技專校院,1041,明志科技大學,230303,工業設計系,學士班(日間),1,1,0
,102,私立,技專校院,1041,明志科技大學,520601,工業工程與管理系,學士班(日間),1,1,0
,102,私立,技專校院,1042,高苑科技大學,520103,電子工程系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,230111,創意設計系,學士班(日間),1,0,1
,102,私立,技專校院,1044,聖約翰科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,340403,國際商務系,學士班(日間),4,2,2
,102,私立,技專校院,1044,聖約翰科技大學,340501,財務金融系投資理財組,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,340802,行銷與流通管理系創意行銷組,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,520101,電機工程系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,520103,電子工程系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,520114,資訊工程系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,520220,機械與電腦輔助工程系,學士班(日間),1,1,0
,102,私立,技專校院,1044,聖約翰科技大學,520601,工業工程與管理系,學士班(日間),1,1,0
,102,私立,技專校院,1045,嶺東科技大學,220303,應用外語系,學士班(日間),2,0,2
,102,私立,技專校院,1045,嶺東科技大學,230103,流行設計系,學士班(日間),4,1,3
,102,私立,技專校院,1045,嶺東科技大學,230201,視覺傳達設計系,學士班(日間),8,2,6
,102,私立,技專校院,1045,嶺東科技大學,230203,數位媒體設計系,學士班(日間),3,1,2
,102,私立,技專校院,1045,嶺東科技大學,230306,科技商品設計系,學士班(日間),1,1,0
,102,私立,技專校院,1045,嶺東科技大學,340501,財務金融系,學士班(日間),15,11,4
,102,私立,技專校院,1045,嶺東科技大學,340501,財務金融研究所,碩士班(日間),2,2,0
,102,私立,技專校院,1045,嶺東科技大學,340802,行銷與流通管理系,學士班(日間),2,2,0
,102,私立,技專校院,1045,嶺東科技大學,810201,觀光與休閒管理系,學士班(日間),3,2,1
,102,私立,技專校院,1046,中國科技大學,230201,視覺傳達設計系,學士班(日間),4,3,1
,102,私立,技專校院,1046,中國科技大學,230401,室內設計系,學士班(日間),8,3,5
,102,私立,技專校院,1046,中國科技大學,340201,會計系,學士班(日間),4,2,2
,102,私立,技專校院,1046,中國科技大學,340301,企業管理系,學士班(日間),7,3,4
,102,私立,技專校院,1046,中國科技大學,340403,國際商務系,學士班(日間),1,1,0
,102,私立,技專校院,1046,中國科技大學,340501,財務金融系,學士班(日間),1,1,0
,102,私立,技專校院,1046,中國科技大學,340802,行銷與流通管理系,學士班(日間),6,3,3
,102,私立,技專校院,1046,中國科技大學,520130,電腦與通訊系,學士班(日間),1,1,0
,102,私立,技專校院,1046,中國科技大學,520323,土木與防災設計系,學士班(日間),3,3,0
,102,私立,技專校院,1046,中國科技大學,580101,建築系,學士班(日間),1,1,0
,102,私立,技專校院,1046,中國科技大學,810204,觀光與休閒事業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1046,中國科技大學,810508,休閒事業管理系,學士班(日間),2,1,1
,102,私立,技專校院,1047,中臺科技大學,720712,醫學影像暨放射科學系,學士班(日間),1,1,0
,102,私立,技專校院,1051,台南應用科技大學,230401,室內設計系,學士班(日間),1,1,0
,102,私立,技專校院,1051,台南應用科技大學,810704,服飾設計管理系,學士班(日間),1,0,1
,102,私立,技專校院,1052,遠東科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1052,遠東科技大學,520222,自動化控制系,學士班(日間),1,1,0
,102,私立,技專校院,1052,遠東科技大學,810103,餐飲管理系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,220312,應用英語系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,340504,應用財務管理系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,340901,醫務管理系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,420302,生物科技系,學士班(日間),1,1,0
,102,私立,技專校院,1053,元培醫事科技大學,520902,環境工程衛生系,學士班(日間),2,1,1
,102,私立,技專校院,1053,元培醫事科技大學,620601,食品科學系,學士班(日間),1,0,1
,102,私立,技專校院,1053,元培醫事科技大學,720601,護理系,學士班(日間),1,0,1
,102,私立,技專校院,1053,元培醫事科技大學,720717,醫學影像暨放射技術系,學士班(日間),3,2,1
,102,私立,技專校院,1053,元培醫事科技大學,810103,餐飲管理系,學士班(日間),1,1,0
,102,私立,技專校院,1054,景文科技大學,230201,視覺傳達設計系,學士班(日間),3,0,3
,102,私立,技專校院,1054,景文科技大學,340301,企業管理系,學士班(日間),1,1,0
,102,私立,技專校院,1054,景文科技大學,340501,財務金融系,學士班(日間),5,2,3
,102,私立,技專校院,1054,景文科技大學,340802,行銷與流通管理系,學士班(日間),1,1,0
,102,私立,技專校院,1054,景文科技大學,480109,資訊管理系數位多媒體組,學士班(日間),1,1,0
,102,私立,技專校院,1054,景文科技大學,810103,餐飲管理系,學士班(日間),2,0,2
,102,私立,技專校院,1054,景文科技大學,810216,旅運管理系,學士班(日間),1,1,0
,102,私立,技專校院,1056,東南科技大學,220312,應用英語系,學士班(日間),1,0,1
,102,私立,技專校院,1056,東南科技大學,340301,企業管理系,學士班(日間),2,2,0
,102,私立,技專校院,1056,東南科技大學,520201,機械工程系,學士班(日間),2,2,0
,102,私立,技專校院,1056,東南科技大學,520901,環境工程系,學士班(日間),2,1,1
,102,私立,技專校院,1057,德明財經科技大學,340201,會計資訊系,學士班(日間),2,1,1
,102,私立,技專校院,1057,德明財經科技大學,340401,國際貿易系,學士班(日間),1,0,1
,102,私立,技專校院,1057,德明財經科技大學,340605,保險金融管理系,學士班(日間),1,1,0
,102,私立,技專校院,1057,德明財經科技大學,340702,財政稅務系,學士班(日間),1,0,1
,102,私立,技專校院,1060,南開科技大學,340501,財務金融系,學士班(日間),2,2,0
,102,私立,技專校院,1060,南開科技大學,760204,福祉科技與服務管理系福祉產業科技組,學士班(日間),1,1,0
,102,私立,技專校院,1061,中華科技大學,520101,電機工程系,學士班(日間),1,1,0
,102,私立,技專校院,1061,中華科技大學,520201,機械工程系,學士班(日間),2,2,0
,102,私立,技專校院,1063,育達科技大學,340301,企業管理系,學士班(日間),3,3,0
,102,私立,技專校院,1063,育達科技大學,340523,財務資訊與金融系,學士班(日間),2,2,0
,102,私立,技專校院,1063,育達科技大學,340802,行銷與流通管理系,學士班(日間),1,1,0
,102,私立,技專校院,1064,美和科技大學,230130,珠寶系,學士班(日間),1,1,0
,102,私立,技專校院,1066,環球科技大學,220303,應用外語系,學士班(日間),2,1,1
,102,私立,技專校院,1066,環球科技大學,230201,視覺傳達設計系,學士班(日間),1,0,1
,102,私立,技專校院,1066,環球科技大學,230309,創意商品設計系,學士班(日間),2,1,1
,102,私立,技專校院,1066,環球科技大學,340801,行銷管理系,學士班(日間),1,0,1
,102,私立,技專校院,1069,修平科技大學,520601,工業工程與管理系,學士班(日間),2,1,1
,102,私立,技專校院,1071,臺北城市科技大學,340301,企業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1071,臺北城市科技大學,810103,餐飲管理系,學士班(日間),1,1,0
,102,私立,技專校院,1073,醒吾科技大學,320105,資訊傳播系,學士班(日間),1,1,0
,102,私立,技專校院,1073,醒吾科技大學,340301,企業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1075,文藻外語大學,220204,應用華語文系,學士班(日間),1,0,1
,102,私立,技專校院,1075,文藻外語大學,220307,英國語文系,學士班(日間),1,0,1
,102,私立,技專校院,1075,文藻外語大學,220314,法國語文系,學士班(日間),2,0,2
,102,私立,技專校院,1075,文藻外語大學,220315,德國語文系,學士班(日間),3,0,3
,102,私立,技專校院,1075,文藻外語大學,220318,西班牙語文系,學士班(日間),3,0,3
,102,私立,技專校院,1075,文藻外語大學,220320,日本語文系,學士班(日間),1,1,0
,102,私立,技專校院,1075,文藻外語大學,220501,翻譯系,學士班(日間),5,2,3
,102,私立,技專校院,1075,文藻外語大學,310901,國際事務系,學士班(日間),1,0,1
,102,私立,技專校院,1075,文藻外語大學,320104,傳播藝術系,學士班(日間),1,0,1
,102,私立,技專校院,1075,文藻外語大學,340307,國際企業管理系,學士班(日間),2,1,1
,102,私立,技專校院,1148,大漢技術學院,810202,觀光事業管理系,學士班(日間),1,0,1
,102,私立,技專校院,1150,慈濟技術學院,520114,資訊工程系資訊科技與管理組,學士班(日間),1,0,1
,102,私立,技專校院,1159,和春技術學院,480109,資訊管理系,學士班(日間),1,1,0
,102,私立,技專校院,1164,致理技術學院,220312,應用英語系,學士班(日間),1,0,1
,102,私立,技專校院,1164,致理技術學院,220321,應用日語系,學士班(日間),1,1,0
,102,私立,技專校院,1164,致理技術學院,340201,會計資訊系,學士班(日間),1,1,0
,102,私立,技專校院,1164,致理技術學院,340401,國際貿易系,學士班(日間),1,0,1
,102,私立,技專校院,1164,致理技術學院,340501,財務金融系,學士班(日間),4,2,2
,102,私立,技專校院,1164,致理技術學院,340802,行銷與流通管理系,學士班(日間),1,0,1
,102,私立,技專校院,1184,東方設計學院,210301,美術工藝系,學士班(日間),1,1,0
,102,私立,技專校院,1191,華夏技術學院,230401,室內設計系,學士班(日間),1,1,0
,102,私立,技專校院,1197,台北海洋技術學院,230142,數位遊戲與動畫設計系,學士班(日間),1,0,1
,102,私立,技專校院,1197,台北海洋技術學院,840121,海空物流與行銷系,學士班(日間),4,2,2
,103,公立,一般大學,1,國立政治大學,140101,教育學系,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,140101,教育學系,博士班,2,1,1
,103,公立,一般大學,1,國立政治大學,140401,幼兒教育研究所,碩士班(日間),2,0,2
,103,公立,一般大學,1,國立政治大學,220101,台灣文學研究所,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,220201,中國文學系,學士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,220201,中國文學系,碩士班(日間),6,4,2
,103,公立,一般大學,1,國立政治大學,220201,中國文學系,博士班,6,2,4
,103,公立,一般大學,1,國立政治大學,220307,英國語文學系,學士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,220307,英國語文學系,博士班,2,1,1
,103,公立,一般大學,1,國立政治大學,220701,語言學研究所,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,220801,宗教研究所,碩士班(日間),4,2,2
,103,公立,一般大學,1,國立政治大學,220801,宗教研究所,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,220901,歷史學系,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,220901,歷史學系,博士班,1,1,0
,103,公立,一般大學,1,國立政治大學,221101,哲學系,碩士班(日間),3,1,2
,103,公立,一般大學,1,國立政治大學,221101,哲學系,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,310101,經濟學系,學士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,310101,經濟學系,碩士班(日間),4,4,0
,103,公立,一般大學,1,國立政治大學,310101,經濟學系,博士班,1,1,0
,103,公立,一般大學,1,國立政治大學,310201,政治學系,碩士班(日間),5,4,1
,103,公立,一般大學,1,國立政治大學,310201,政治學系,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,310301,社會學系,碩士班(日間),4,2,2
,103,公立,一般大學,1,國立政治大學,310401,民族學系,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,310401,民族學系,博士班,1,1,0
,103,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,310705,日本研究碩士學位學程,碩士班(日間),3,1,2
,103,公立,一般大學,1,國立政治大學,310709,俄羅斯研究所,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,310728,亞太研究英語碩士學位學程,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,310801,公共行政學系,碩士班(日間),2,0,2
,103,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),9,6,3
,103,公立,一般大學,1,國立政治大學,311002,國家發展研究所,博士班,2,2,0
,103,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),9,1,8
,103,公立,一般大學,1,國立政治大學,320201,新聞學系,博士班,2,0,2
,103,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),4,1,3
,103,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),2,1,1
,103,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,博士班,1,1,0
,103,公立,一般大學,1,國立政治大學,320802,廣告學系,碩士班(日間),2,0,2
,103,公立,一般大學,1,國立政治大學,329999,傳播學院傳播碩士學位學程,碩士班(日間),19,4,15
,103,公立,一般大學,1,國立政治大學,329999,傳播學院,博士班,6,2,4
,103,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),6,2,4
,103,公立,一般大學,1,國立政治大學,340201,會計學系,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,340301,企業管理研究所(MBA學位學程),碩士班(日間),2,1,1
,103,公立,一般大學,1,國立政治大學,340301,企業管理學系,碩士班(日間),2,2,0
,103,公立,一般大學,1,國立政治大學,340301,企業管理學系,博士班,2,1,1
,103,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),1,0,1
,103,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),7,2,5
,103,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),3,1,2
,103,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),7,3,4
,103,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),4,1,3
,103,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,340701,財政學系,碩士班(日間),2,2,0
,103,公立,一般大學,1,國立政治大學,349901,科技管理研究所,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,349901,科技管理與智慧財產研究所科技管理組,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所科技管理組,碩士班(日間),2,2,0
,103,公立,一般大學,1,國立政治大學,349984,科技管理與智慧財產研究所智慧財產組,碩士班(日間),2,1,1
,103,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),14,6,8
,103,公立,一般大學,1,國立政治大學,380101,法律學系,博士班,2,2,0
,103,公立,一般大學,1,國立政治大學,380204,法律科際整合研究所,碩士班(日間),4,2,2
,103,公立,一般大學,1,國立政治大學,460102,應用數學系,碩士班(日間),1,1,0
,103,公立,一般大學,1,國立政治大學,460201,統計學系,碩士班(日間),2,0,2
,103,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),3,1,2
,103,公立,一般大學,1,國立政治大學,520116,資訊科學系,博士班,1,0,1
,103,公立,一般大學,1,國立政治大學,760301,社會工作研究所,碩士班(日間),2,0,2
,103,公立,一般大學,1,國立政治大學,760301,社會工作研究所,博士班,2,0,2
,103,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,碩士班(日間),3,1,2
,103,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,博士班,1,0,1
,103,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),10,1,9
,103,公立,一般大學,2,國立清華大學,220201,中國文學系,博士班,1,0,1
,103,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),3,1,2
,103,公立,一般大學,2,國立清華大學,220901,歷史研究所,博士班,2,2,0
,103,公立,一般大學,2,國立清華大學,221001,人類學研究所,碩士班(日間),3,2,1
,103,公立,一般大學,2,國立清華大學,221101,哲學研究所,碩士班(日間),1,1,0
,103,公立,一般大學,2,國立清華大學,310101,經濟學系,碩士班(日間),4,0,4
,103,公立,一般大學,2,國立清華大學,310101,經濟學系,博士班,1,1,0
,103,公立,一般大學,2,國立清華大學,310301,社會學研究所,碩士班(日間),4,1,3
,103,公立,一般大學,2,國立清華大學,310301,社會學研究所,博士班,1,1,0
