,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,總計,男,女
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系一般心理學組,碩士班(日間),3,0,3
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,碩士班(日間),6,3,3
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,博士班,3,3,0
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,碩士班(日間),15,4,11
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,博士班,1,0,1
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,碩士班(日間),3,2,1
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系,碩士班(日間),9,2,7
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系,博士班,2,0,2
,101,公立,一般大學,3,國立臺灣大學,420202,生態學與演化生物學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,420310,生化科技學系,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,420313,分子與細胞生物學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,420401,微生物學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,440203,地質科學系地質組,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,440301,物理學系,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,480202,資訊網路與多媒體研究所,碩士班(日間),4,3,1
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,碩士班(日間),5,5,0
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,博士班,2,1,1
,101,公立,一般大學,3,國立臺灣大學,520103,電子工程學研究所,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,520103,電子工程學研究所,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520114,資訊工程學系,碩士班(日間),5,5,0
,101,公立,一般大學,3,國立臺灣大學,520123,電信工程學研究所,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,520123,電信工程學研究所,博士班,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520239,生物產業機電工程學系,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系結構工程組,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系交通工程組,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,520315,生物環境系統工程學系,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,520401,化學工程學系,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,520502,材料科學與工程學系,碩士班(日間),3,1,2
,101,公立,一般大學,3,國立臺灣大學,520601,工業工程學研究所,碩士班(日間),2,2,0
,101,公立,一般大學,3,國立臺灣大學,520901,環境工程學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,520901,環境工程學研究所環境科學與工程組,碩士班(日間),2,1,1
,101,公立,一般大學,3,國立臺灣大學,520901,環境工程學研究所,博士班,1,0,1
,101,公立,一般大學,3,國立臺灣大學,521307,醫學工程學研究所,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,589901,建築與城鄉研究所,碩士班(日間),3,1,2
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,620402,植物病理與微生物學系,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,620501,農業經濟學系,碩士班(日間),5,4,1
,101,公立,一般大學,3,國立臺灣大學,620510,生物產業傳播暨發展學系,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,620602,食品科技研究所,碩士班(日間),1,0,1
,101,公立,一般大學,3,國立臺灣大學,620801,農業化學系,碩士班(日間),1,1,0
,101,公立,一般大學,3,國立臺灣大學,720301,藥學系,碩士班(日間),2,2,0
,101,公立,一般大學,4,國立臺灣師範大學,140107,教育心理與輔導學系諮商心理學組,碩士班(日間),1,1,0
,101,公立,一般大學,4,國立臺灣師範大學,140215,人類發展與家庭學系幼兒發展與教育組,碩士班(日間),1,1,0
,101,公立,一般大學,4,國立臺灣師範大學,140315,體育學系,碩士班(日間),3,3,0
,101,公立,一般大學,4,國立臺灣師範大學,210101,美術學系,碩士班(日間),1,0,1
,101,公立,一般大學,4,國立臺灣師範大學,230106,設計學系,碩士班(日間),1,1,0
,101,公立,一般大學,4,國立臺灣師範大學,310702,東亞學系,碩士班(日間),1,0,1
,101,公立,一般大學,4,國立臺灣師範大學,310908,全球經營與策略研究所,碩士班(日間),2,0,2
,101,公立,一般大學,4,國立臺灣師範大學,320602,圖書資訊學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,4,國立臺灣師範大學,320702,圖文傳播學系,碩士班(日間),1,1,0
,101,公立,一般大學,4,國立臺灣師範大學,340306,管理研究所,碩士班(日間),2,1,1
,101,公立,一般大學,4,國立臺灣師範大學,520908,海洋環境科技研究所,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,220101,台灣文學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,220201,中國文學系,碩士班(日間),1,0,1
,101,公立,一般大學,5,國立成功大學,230109,創意產業設計研究所,碩士班(日間),1,0,1
,101,公立,一般大學,5,國立成功大學,230303,工業設計學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,310101,經濟學系,碩士班(日間),2,2,0
,101,公立,一般大學,5,國立成功大學,310109,政治經濟研究所,碩士班(日間),2,1,1
,101,公立,一般大學,5,國立成功大學,340201,會計學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,340501,財務金融研究所,碩士班(日間),2,1,1
,101,公立,一般大學,5,國立成功大學,380101,法律學系,碩士班(日間),2,0,2
,101,公立,一般大學,5,國立成功大學,440101,化學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,460201,統計學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,480109,資訊管理研究所,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,520106,光電科學與工程學系,碩士班(日間),1,0,1
,101,公立,一般大學,5,國立成功大學,520168,電腦與通信工程研究所,碩士班(日間),3,3,0
,101,公立,一般大學,5,國立成功大學,520201,機械工程學系,碩士班(日間),3,3,0
,101,公立,一般大學,5,國立成功大學,520301,土木工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,520901,環境工程學系,碩士班(日間),1,0,1
,101,公立,一般大學,5,國立成功大學,580101,建築學系,碩士班(日間),1,1,0
,101,公立,一般大學,5,國立成功大學,580101,建築學系,博士班,1,1,0
,101,公立,一般大學,5,國立成功大學,580301,都市計劃學系,碩士班(日間),3,2,1
,101,公立,一般大學,5,國立成功大學,720216,環境醫學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,6,國立中興大學,310810,國家政策與公共事務研究所,碩士班(日間),1,1,0
,101,公立,一般大學,6,國立中興大學,620109,國際農學碩士學位學程,碩士班(日間),1,1,0
,101,公立,一般大學,6,國立中興大學,640101,獸醫學系,碩士班(日間),1,0,1
,101,公立,一般大學,7,國立交通大學,140101,教育研究所,碩士班(日間),1,0,1
,101,公立,一般大學,7,國立交通大學,210901,應用藝術研究所,碩士班(日間),1,0,1
,101,公立,一般大學,7,國立交通大學,229901,人文社會學系族群與文化碩士班,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,310307,社會與文化研究所,碩士班(日間),2,0,2
,101,公立,一般大學,7,國立交通大學,320102,傳播研究所,碩士班(日間),3,0,3
,101,公立,一般大學,7,國立交通大學,340303,經營管理研究所,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,340306,管理科學系,碩士班(日間),2,1,1
,101,公立,一般大學,7,國立交通大學,340501,財務金融研究所,碩士班(日間),3,3,0
,101,公立,一般大學,7,國立交通大學,480109,資訊管理研究所,碩士班(日間),2,1,1
,101,公立,一般大學,7,國立交通大學,520103,電子研究所,碩士班(日間),2,2,0
,101,公立,一般大學,7,國立交通大學,520110,顯示科技研究所,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,520119,資訊科學與工程研究所,碩士班(日間),2,1,1
