年度,設立別,學校類別,學校統計處代碼,學校名稱,國立學校可用資金,國立學校本年度現金增減情形-業務活動之淨現金流入(出),國立學校本年度現金增減情形-投資活動之淨現金流入(出),國立學校本年度現金增減情形-融資活動之淨現金流入(出),國立學校本年度現金增減情形-匯率變動影響數(107新增),國立學校本年度現金增減情形-小計
107,國立,技專校院,0222,國立臺東專科學校,590104,21202,-70292,85504,0,36414
108,國立,一般大學,0001,國立政治大學,2506093,540789,-971236,246103,-1265,-185608
108,國立,一般大學,0002,國立清華大學,1170073,1276387,-2096728,297758,-11,-522595
108,國立,一般大學,0003,國立臺灣大學,4827139,2770005,-3448627,983749,-24187,280940
108,國立,一般大學,0004,國立臺灣師範大學,2136477,485884,-755989,350259,-7535,72619
108,國立,一般大學,0005,國立成功大學,1762952,958447,-1334704,563991,0,187734
108,國立,一般大學,0006,國立中興大學,1071083,595025,-794040,185295,0,-13720
108,國立,一般大學,0007,國立陽明交通大學,257295,927323,-1191748,368819,0,104393
108,國立,一般大學,0008,國立中央大學,1384836,314790,-786177,230025,-2223,-243586
108,國立,一般大學,0009,國立中山大學,1502253,273946,-527185,149157,0,-104082
108,國立,一般大學,0012,國立臺灣海洋大學,1576377,66219,-366248,113398,-284,-186916
108,國立,一般大學,0013,國立中正大學,2233987,-39732,-356713,146268,-388,-250565
108,國立,一般大學,0014,國立高雄師範大學,1444364,112251,-502353,76036,289,-313777
108,國立,一般大學,0015,國立彰化師範大學,841960,86110,583020,111275,-460,779945
108,國立,一般大學,0016,國立陽明大學,705905,197754,-9735,-137388,0,50631
108,國立,一般大學,0017,國立臺北大學,1054152,204248,-322962,83142,0,-35572
108,國立,一般大學,0018,國立嘉義大學,1873674,240347,-309942,40532,0,-29063
108,國立,一般大學,0019,國立高雄大學,715717,122167,-274047,189655,0,37775
108,國立,一般大學,0020,國立東華大學,2171719,357149,-428618,101734,0,30265
108,國立,一般大學,0021,國立暨南國際大學,304860,136822,-275219,56350,-300,-82348
108,國立,技專校院,0022,國立臺灣科技大學,1142905,528732,-1124623,453946,-175,-142120
108,國立,技專校院,0023,國立雲林科技大學,2492907,303564,-447353,310299,-212,166298
108,國立,技專校院,0024,國立屏東科技大學,1355552,304183,-470630,177459,-2042,8970
108,國立,技專校院,0025,國立臺北科技大學,2035904,564601,-771241,504225,0,297585
108,國立,一般大學,0028,國立臺北藝術大學,375087,107644,-151413,37183,-7,-6594
108,國立,一般大學,0029,國立臺灣藝術大學,1640010,118143,-388638,100595,-16021,-185920
108,國立,一般大學,0030,國立臺東大學,875328,82189,-252997,150194,0,-20614
108,國立,一般大學,0031,國立宜蘭大學,2025968,164670,-361876,156007,-8990,-50189
108,國立,一般大學,0032,國立聯合大學,1233831,158769,-147460,74421,-45,85686
108,國立,技專校院,0033,國立虎尾科技大學,1769481,165735,-586195,380877,0,-39583
108,國立,一般大學,0035,國立臺南藝術大學,955042,70133,42037,24178,0,136348
108,國立,一般大學,0036,國立臺南大學,983705,78913,-130432,60281,0,8762
108,國立,一般大學,0037,國立臺北教育大學,1627930,128462,-109216,59371,0,78617
108,國立,一般大學,0039,國立臺中教育大學,1583487,164110,-110264,51369,0,105215
108,國立,技專校院,0042,國立澎湖科技大學,1079575,107971,-132192,30964,0,6743
108,國立,技專校院,0043,國立勤益科技大學,1243501,293300,-627320,141115,0,-192906
108,國立,一般大學,0044,國立體育大學,1244700,94076,-173504,60828,0,-18600
108,國立,技專校院,0046,國立臺北護理健康大學,1206538,118811,-230022,88364,0,-22846
108,國立,技專校院,0047,國立高雄餐旅大學,903483,-67523,-86675,77060,0,-77138
108,國立,一般大學,0048,國立金門大學,428848,213676,-262891,29883,0,-19333
108,國立,一般大學,0049,國立臺灣體育運動大學,1058785,118257,-219079,136359,0,35536
108,國立,技專校院,0050,國立臺中科技大學,3276322,237337,-335700,77090,0,-21273
108,國立,技專校院,0051,國立臺北商業大學,1769648,155312,-205900,85595,0,35007
108,國立,一般大學,0052,國立屏東大學,2827145,178960,-220997,92459,0,50423
108,國立,技專校院,0053,國立高雄科技大學,4812779,831115,-650924,517815,0,698005
108,國立,技專校院,0144,國立臺灣戲曲學院,649583,69003,-42229,52783,0,79556
108,國立,技專校院,0221,國立臺南護理專科學校,673178,72410,-74480,27035,0,24965
108,國立,技專校院,0222,國立臺東專科學校,584544,-19390,-176400,84228,0,-111561
109,國立,一般大學,0001,國立政治大學,2806518,556245,-225694,337281,-1673,666159
109,國立,一般大學,0002,國立清華大學,1383631,1175743,-1400792,359007,-23,133935
109,國立,一般大學,0003,國立臺灣大學,5333939,1241154,-138293,699883,-27341,1775403
109,國立,一般大學,0004,國立臺灣師範大學,2338016,643422,-1104825,633077,-14000,157674
109,國立,一般大學,0005,國立成功大學,2034320,1527197,-1984152,750010,0,293055
109,國立,一般大學,0006,國立中興大學,1113874,645646,-609923,239535,0,275258
109,國立,一般大學,0007,國立陽明交通大學,1031331,1381245,-1648673,436709,0,169281
109,國立,一般大學,0008,國立中央大學,1262513,437145,-653509,214642,2507,785
109,國立,一般大學,0009,國立中山大學,1368731,352464,-433414,129286,-2340,45996
109,國立,一般大學,0012,國立臺灣海洋大學,1379126,257130,-401938,100846,-991,-44953
109,國立,一般大學,0013,國立中正大學,2211135,308930,-232324,104866,-498,180974
109,國立,一般大學,0014,國立高雄師範大學,1438697,126560,-70034,51200,-160,107566
109,國立,一般大學,0015,國立彰化師範大學,738027,98781,-638724,100774,-697,-439866
109,國立,一般大學,0017,國立臺北大學,907937,267126,-387603,61689,0,-58788
109,國立,一般大學,0018,國立嘉義大學,1916432,273577,-393396,81562,0,-38257
109,國立,一般大學,0019,國立高雄大學,673718,74843,-240775,127802,0,-38130
109,國立,一般大學,0020,國立東華大學,2146675,415961,-383251,114700,0,147410
109,國立,一般大學,0021,國立暨南國際大學,351384,208289,-172327,51309,-190,87081
109,國立,技專校院,0022,國立臺灣科技大學,1292260,366639,-1146844,844589,-480,63904
109,國立,技專校院,0023,國立雲林科技大學,2413685,348973,-469491,110930,-193,-9781
109,國立,技專校院,0024,國立屏東科技大學,1225438,273561,-677854,129605,0,-274688
109,國立,技專校院,0025,國立臺北科技大學,2293523,432701,-594508,363475,-307,201361
109,國立,一般大學,0028,國立臺北藝術大學,428909,92687,-428532,216220,-15,-119640
109,國立,一般大學,0029,國立臺灣藝術大學,1675156,226230,-291427,101359,-264,35898
109,國立,一般大學,0030,國立臺東大學,874429,80994,-217211,109827,0,-26390
109,國立,一般大學,0031,國立宜蘭大學,1964112,187495,-667329,109053,-207,-370988
109,國立,一般大學,0032,國立聯合大學,1319787,169092,-196113,75969,-92,48856
109,國立,技專校院,0033,國立虎尾科技大學,1559456,212211,-357402,135012,0,-10179
109,國立,一般大學,0035,國立臺南藝術大學,1001214,72348,-91266,49676,0,30758
109,國立,一般大學,0036,國立臺南大學,1041241,114838,-97047,68980,0,86771
109,國立,一般大學,0037,國立臺北教育大學,1695909,87799,-237123,67395,0,-81929
109,國立,一般大學,0039,國立臺中教育大學,1638565,141620,-210375,49198,0,-19557
109,國立,技專校院,0042,國立澎湖科技大學,1020094,71205,-169010,61691,0,-36114
109,國立,技專校院,0043,國立勤益科技大學,1336987,261183,-339074,102027,0,24136
109,國立,一般大學,0044,國立體育大學,1250485,164629,-189799,28219,0,3049
109,國立,技專校院,0046,國立臺北護理健康大學,1197325,150928,-641792,601416,0,110552
109,國立,技專校院,0047,國立高雄餐旅大學,933468,54726,-121417,51621,0,-15070
109,國立,一般大學,0048,國立金門大學,640326,194384,-378372,34960,0,-149028
109,國立,一般大學,0049,國立臺灣體育運動大學,1067707,101570,-417603,159218,0,-156815
109,國立,技專校院,0050,國立臺中科技大學,3395201,233932,-616085,121213,0,-260940
109,國立,技專校院,0051,國立臺北商業大學,1925983,143636,-317854,36414,0,-137804
109,國立,一般大學,0052,國立屏東大學,2873309,225370,-426585,112628,0,-88587
109,國立,技專校院,0053,國立高雄科技大學,4847234,828066,-451074,195798,-1944,570846
109,國立,技專校院,0144,國立臺灣戲曲學院,718588,57726,-195726,55592,0,-82408
109,國立,技專校院,0221,國立臺南護理專科學校,710273,35684,-79491,27096,0,-16711
109,國立,技專校院,0222,國立臺東專科學校,531695,-26525,-98020,67253,0,-57292
