學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,一年級學生申請學校宿舍人數(A),一年級學生實際住宿情形-自有宿舍住宿人數-小計(B),一年級學生實際住宿情形-自有宿舍住宿人數-男,一年級學生實際住宿情形-自有宿舍住宿人數-女,一年級學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),一年級學生實際住宿情形-學校租賃宿舍住宿人數-男,一年級學生實際住宿情形-學校租賃宿舍住宿人數-女,一年級學生校外租屋人數(107學年度新增)-小計(D),一年級學生校外租屋人數(107學年度新增)-男,一年級學生校外租屋人數(107學年度新增)-女,學校提供一年級學生實際住宿之比率(%)E=(B+C)/（B+C+D）
108,公立,一般大學,0052,國立屏東大學,屏東縣,1473,1473,585,888,0,0,0,40,22,18,97.36
108,公立,技專校院,0053,國立高雄科技大學,高雄市,4337,3321,1644,1677,0,0,0,943,841,102,77.88
108,公立,技專校院,0144,國立臺灣戲曲學院,臺北市,92,92,25,67,0,0,0,5,3,2,94.85
108,公立,技專校院,0221,國立臺南護理專科學校,臺南市,217,217,17,200,0,0,0,0,0,0,100
108,公立,技專校院,0222,國立臺東專科學校,臺東縣,320,277,200,77,0,0,0,34,28,6,89.07
108,私立,一般大學,1001,東海大學,臺中市,3518,3058,1266,1792,0,0,0,8,5,3,99.74
108,私立,一般大學,1002,輔仁大學,新北市,1577,1577,602,975,0,0,0,"1,167",514,653,57.47
108,私立,一般大學,1003,東吳大學,臺北市,1389,596,213,383,608,217,391,333,148,185,78.33
108,私立,一般大學,1004,中原大學,桃園市,2641,2575,1335,1240,0,0,0,442,280,162,85.35
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,新北市,2732,1137,0,1137,706,541,165,"1,823","1,120",703,50.27
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,宜蘭縣,272,272,124,148,0,0,0,0,0,0,100
108,私立,一般大學,1006,中國文化大學,臺北市,2223,2107,817,1290,0,0,0,494,402,92,81.01
108,私立,一般大學,1007,逢甲大學,臺中市,3237,2003,717,1286,1088,1067,21,111,67,44,96.53
108,私立,一般大學,1008,靜宜大學,臺中市,2221,1880,682,1198,315,146,169,124,41,83,94.65
108,私立,一般大學,1009,長庚大學,桃園市,1081,1081,506,575,0,0,0,8,1,7,99.27
108,私立,一般大學,1010,元智大學,桃園市,1266,1255,714,541,0,0,0,70,40,30,94.72
108,私立,一般大學,1011,中華大學學校財團法人中華大學,新竹市,919,862,562,300,0,0,0,22,14,8,97.51
108,私立,一般大學,1012,大葉大學,彰化縣,1118,1118,497,621,0,0,0,290,190,100,79.40
108,私立,一般大學,1013,華梵大學,新北市,91,91,54,37,0,0,0,3,3,0,96.81
108,私立,一般大學,1014,義守大學,高雄市,2886,2336,1196,1140,550,276,274,65,30,35,97.80
108,私立,一般大學,1015,世新大學,新北市,229,74,28,46,156,47,109,71,22,49,76.41
108,私立,一般大學,1015,世新大學,臺北市,362,310,86,224,52,52,0,211,81,130,63.18
108,私立,一般大學,1016,銘傳大學,新北市,79,0,0,0,79,35,44,0,0,0,100
108,私立,一般大學,1016,銘傳大學,臺北市,545,542,198,344,0,0,0,91,28,63,85.62
108,私立,一般大學,1016,銘傳大學,金門縣,35,35,12,23,0,0,0,0,0,0,100
108,私立,一般大學,1016,銘傳大學,桃園市,1436,977,265,712,442,216,226,321,173,148,81.55
108,私立,一般大學,1017,實踐大學,臺北市,537,471,2,469,66,41,25,60,48,12,89.95
108,私立,一般大學,1017,實踐大學,高雄市,1200,783,4,779,382,376,6,27,14,13,97.73
108,私立,技專校院,1018,朝陽科技大學,臺中市,1681,310,114,196,950,341,609,645,282,363,66.14
108,私立,一般大學,1019,高雄醫學大學,高雄市,907,891,359,532,0,0,0,86,41,45,91.20
108,私立,一般大學,1020,南華大學,嘉義縣,1079,1017,442,575,62,47,15,14,11,3,98.72
108,私立,一般大學,1021,真理大學,新北市,740,602,229,373,0,0,0,73,53,20,89.19
108,私立,一般大學,1022,大同大學,臺北市,249,249,176,73,0,0,0,0,0,0,100
