學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,年齡組別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0003,國立臺灣大學,編制外,60歲至未滿65歲,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,30歲至未滿35歲,4,0,1,3,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,35歲至未滿40歲,44,4,14,25,0,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,40歲至未滿45歲,83,25,32,24,1,0,0,0,0,0,0,1,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,45歲至未滿50歲,145,60,63,18,1,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0004,國立臺灣師範大學,編制內,50歲至未滿55歲,173,100,47,12,6,0,0,0,0,0,0,0,0,8
110,公立,一般大學,0004,國立臺灣師範大學,編制內,55歲至未滿60歲,208,151,41,6,3,0,0,0,0,4,1,0,0,2
110,公立,一般大學,0004,國立臺灣師範大學,編制內,60歲至未滿65歲,114,99,12,1,2,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制內,65歲以上,13,11,2,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,25歲至未滿30歲,2,0,0,0,0,0,0,0,2,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,30歲至未滿35歲,5,0,0,0,0,0,0,1,4,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,35歲至未滿40歲,11,0,0,0,0,0,0,8,3,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,40歲至未滿45歲,7,0,0,0,0,0,0,5,2,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,45歲至未滿50歲,9,0,0,0,0,0,0,4,5,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,50歲至未滿55歲,2,0,0,0,0,0,0,1,1,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,55歲至未滿60歲,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0004,國立臺灣師範大學,編制外,60歲至未滿65歲,4,0,0,0,0,0,0,0,4,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,25歲至未滿30歲,2,0,0,2,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,30歲至未滿35歲,22,0,1,21,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,35歲至未滿40歲,82,0,20,62,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制內,40歲至未滿45歲,203,26,107,69,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0005,國立成功大學,編制內,45歲至未滿50歲,226,86,111,21,0,0,0,0,0,0,0,0,0,8
110,公立,一般大學,0005,國立成功大學,編制內,50歲至未滿55歲,193,114,63,11,0,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0005,國立成功大學,編制內,55歲至未滿60歲,239,168,58,4,6,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0005,國立成功大學,編制內,60歲至未滿65歲,229,174,47,5,2,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0005,國立成功大學,編制內,65歲以上,90,82,7,1,0,0,0,0,0,0,0,0,0,0
