學年度,設立別 ,學校類別,學校代碼,學校名稱,中文圖書總類,哲學類,宗教類,科學類,應用科學類,社會科學類,史地類(含世界史地類),語言文學類,藝術類,外文圖書,,線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),,報紙(種),期刊中日文(種),西文(種),圖書閱覽座位數,借書(含視聽資料及其他館藏)人次,圖書(含視聽資料及其他館藏)借閱冊數,線上及光碟資料庫(含電子書及電子期刊)檢索人次
101,公立,一般大學,3102,臺北市立體育學院,4102,6270,1687,5226,13058,26245,6873,17774,8324,12828,4736,4,0,28,1578,0,10,169,52,360,3583,8152,79654
101,公立,技專校院,22,國立臺灣科技大學,33737,14699,4624,20823,46693,31405,18554,39875,12315,87985,70427,211,3,36886,1326245,18189,10,910,2359,630,161230,354707,781939
101,公立,技專校院,23,國立雲林科技大學,32725,15692,7016,25508,54251,50848,28212,52557,27641,76493,36770,105,0,47907,1024685,12807,15,2058,1387,1500,152921,313778,638098
101,公立,技專校院,24,國立屏東科技大學,12010,11345,6094,28971,81443,47054,20633,32805,13746,46728,62984,82,0,30,335000,16100,15,767,412,728,85099,135496,377000
101,公立,技專校院,25,國立臺北科技大學,40740,11520,3759,36647,71522,34656,20817,32674,17031,89203,38364,245,1,40003,712289,10965,101,578,144,1170,99154,180863,338113
101,公立,技專校院,26,國立高雄第一科技大學,4181,11208,5497,22351,47091,46763,14617,37908,11751,63098,34240,278,5,25953,302063,24062,16,1865,1317,1380,45355,125866,1898262
101,公立,技專校院,27,國立高雄應用科技大學,14560,10464,3822,25547,47275,36361,11108,23508,8113,59723,26902,125,0,27433,2695393,8015,11,572,195,349,34191,103836,293309
101,公立,技專校院,33,國立虎尾科技大學,9890,6647,2746,18543,52493,19036,8562,22444,8634,35986,19058,129,0,33892,172132,5726,17,772,145,840,49951,81465,1194451
101,公立,技專校院,34,國立高雄海洋科技大學,13904,9249,3327,23765,49193,32847,17712,39825,9342,46836,38740,134,29,18081,80583,7879,24,1047,169,628,43274,76389,166664
101,公立,技專校院,42,國立澎湖科技大學,3730,11876,4249,24911,37823,31314,12437,32808,11471,21840,3859,62,1,43421,120647,9589,14,1187,262,470,21765,49387,82922
101,公立,技專校院,43,國立勤益科技大學,9122,11716,3299,18491,51312,28443,18420,37027,9962,32579,0,112,5,34508,236342,11351,11,1390,343,906,54028,115219,328998
101,公立,技專校院,46,國立臺北護理健康大學,34779,8839,2717,13409,34623,24686,10014,27685,10105,78717,0,89,0,48125,72208,37457,18,528,152,360,26372,88438,111248
101,公立,技專校院,47,國立高雄餐旅大學,9110,10528,4030,6258,33663,24994,15730,36109,11049,18904,0,163,0,48011,147151,10713,16,493,174,608,42258,93155,206270
101,公立,技專校院,50,國立臺中科技大學,32404,19989,5710,21829,45761,51497,25088,56892,19714,49307,17415,257,15,79430,566122,13592,22,1553,367,1226,84977,183844,320932
101,公立,技專校院,136,國立屏東商業技術學院,9731,13018,6309,16527,37093,48332,16297,53450,14512,50061,0,70,7,17731,54057,15123,11,647,13,808,17563,52539,333549
101,公立,技專校院,142,國立臺北商業技術學院,19668,6888,1619,14645,30145,32407,8392,28943,7138,35247,4702,49,1,15386,67407,570,13,284,128,584,58229,93975,189764
101,公立,技專校院,144,國立臺灣戲曲學院,3562,7841,2419,3299,10231,12489,9842,38257,20491,5819,0,49,0,0,1851,9786,7,174,9,207,1596,3717,450
101,公立,技專校院,221,國立臺南護理專科學校,3939,6752,1485,5616,17476,11913,8712,17618,3763,4561,3889,73,0,10518,9924,5234,3,195,21,106,9864,19221,55455
101,公立,技專校院,222,國立臺東專科學校,3563,5354,1440,6775,19770,8398,5379,15915,5386,2767,0,48,81,0,100,1105,6,234,2,116,6544,13941,1689
101,私立,一般大學,1001,東海大學,70348,46158,21992,19869,45586,115142,89933,109341,31747,256407,126426,188,6,36027,367472,46348,20,1019,338,2082,97098,282947,1339936
101,私立,一般大學,1002,輔仁大學,72593,37504,22526,24669,68852,133533,73776,115169,26330,362832,150204,604,0,26484,1268771,23084,1855,1448,1056,1946,182991,417469,5389382
101,私立,一般大學,1003,東吳大學,85744,24561,13502,17553,33328,148038,69089,101522,20535,318156,0,234,6,32649,627365,38132,13,1234,412,2702,119690,237245,1073524
101,私立,一般大學,1004,中原大學,17395,27919,21101,49105,96702,113152,33106,70059,33258,225013,80216,228,38,27782,1074164,33678,12,1164,339,1452,162658,350751,1745528
101,私立,一般大學,1005,淡江大學,83788,43317,14817,66075,103828,175618,96479,151544,32706,463482,0,560,61,65560,1888924,60569,14,1432,2281,3116,228323,527672,471962
101,私立,一般大學,1006,中國文化大學,125918,55060,21981,62450,89605,157732,126301,150694,65579,390821,0,184,6,31428,224189,50775,14,3476,3433,1709,101176,259557,1360399
101,私立,一般大學,1007,逢甲大學,50774,29850,11124,55555,120170,112466,55430,86113,26989,183974,89766,240,53,36917,753845,42936,2219,918,465,1303,158936,382951,1873898
101,私立,一般大學,1008,靜宜大學,63725,30266,16972,33855,60550,95461,50012,119096,29783,208898,0,331,8,27173,497071,39056,32,3085,1770,2053,95232,225910,1440098
101,私立,一般大學,1009,長庚大學,10578,8638,1542,14150,49714,18916,10846,26539,8134,219298,0,192,3,74502,72324,25313,15,383,1410,1242,52406,135210,1647944
101,私立,一般大學,1010,元智大學,30476,20002,9650,25467,45566,54513,27443,83292,23057,92076,30117,178,44,43422,584115,31395,12,663,533,1070,74915,192793,395000
101,私立,一般大學,1011,中華大學,15436,11887,4305,23018,41234,36946,13252,32428,14685,67282,0,91,4,38083,132997,11498,13,616,262,812,30597,80209,237014
101,私立,一般大學,1012,大葉大學,25257,17668,6748,32798,66019,54420,20382,49321,19375,71663,36125,183,3,44016,279631,22881,15,952,323,995,46809,160285,497702
101,私立,一般大學,1013,華梵大學,36927,15800,19061,11316,22160,24205,17741,30429,19662,61531,1420,57,18,11728,90145,6057,7,1237,538,600,19033,65776,7802
101,私立,一般大學,1014,義守大學,12202,16268,3469,56663,54919,51523,14854,45848,13904,86625,30587,204,0,103734,3792894,14080,26,940,965,3191,175568,262704,393084
101,私立,一般大學,1015,世新大學,39139,22631,7302,17579,26346,78045,45238,86715,34499,110446,57357,301,125,52994,3137,23983,38,3301,2453,1023,64165,129398,579541
101,私立,一般大學,1016,銘傳大學,79288,38510,11656,43735,93171,124742,58287,128481,38233,153789,35944,218,3,44995,1104283,80615,22,1002,1151,1487,108007,312094,1398595
101,私立,一般大學,1017,實踐大學,26812,15139,5230,16422,44085,61282,22050,46820,26104,76124,9426,135,20,27235,298207,25206,23,1401,720,934,60175,136857,100261
101,私立,一般大學,1019,高雄醫學大學,10087,12075,3286,11184,29964,23903,11398,34904,11610,150283,0,129,7,27439,65126,12734,12,1130,2118,1201,56142,165570,264752
101,私立,一般大學,1020,南華大學,18070,20990,7746,13045,28380,43858,29578,75454,22003,68024,18188,256,2,24597,1544,30869,14,2503,1513,672,45247,89313,106343
101,私立,一般大學,1021,真理大學,46843,20685,16615,22476,51365,63247,30817,56876,24227,80892,0,168,0,47870,222091,1604,22,962,71,802,21166,63499,15226
101,私立,一般大學,1022,大同大學,9505,5672,2497,15263,27244,20757,12865,20543,7329,50707,36472,138,0,21633,89954,5873,10,96,147,604,13939,33302,95387
101,私立,一般大學,1027,慈濟大學,7914,13720,14477,11427,30282,33160,17773,42925,12879,61006,50957,197,13,21668,17044,17778,15,417,86,868,45389,92421,173322
101,私立,一般大學,1028,臺北醫學大學,1628,3894,2164,5357,15857,8260,5167,15594,2378,44392,37997,107,1,15026,83890,8871,7,478,121,660,46001,159469,216622
101,私立,一般大學,1029,中山醫學大學,8788,8185,3362,11406,35702,20596,10131,24016,5740,56385,82638,122,11,24596,667798,15144,10,308,144,341,31351,84334,1010424
101,私立,一般大學,1033,長榮大學,11037,18677,9924,29760,51301,60238,19685,52572,15582,65624,0,324,142,28715,125958,14988,15,1212,278,1247,56342,168873,581749
101,私立,一般大學,1035,中國醫藥大學,11494,9036,3574,13051,62956,18002,14200,30057,8474,49585,78253,132,0,28314,244349,16136,13,1561,1762,1093,65071,143915,591331
101,私立,一般大學,1039,玄奘大學,17997,16858,28433,12497,25189,57197,25572,44731,15599,59507,5727,117,3,23739,119307,7693,12,1103,41,524,22326,60176,328327
101,私立,一般大學,1048,亞洲大學,9160,33779,11174,29044,68183,76432,27951,93360,18858,87443,18275,269,1,46732,1020849,8934,19,1250,413,683,105658,322100,489053
101,私立,一般大學,1049,開南大學,11081,14952,6706,18573,45868,76857,19847,41095,12284,66814,652,142,0,41854,39663,4335,13,443,133,1067,22379,38328,55686
101,私立,一般大學,1050,佛光大學,29808,12341,17586,5611,9761,29321,26091,40623,12430,54156,14196,66,25,19911,233633,12241,9,634,270,754,19860,60034,266469
101,私立,一般大學,1058,明道大學,7505,9672,14428,40163,37313,11447,11112,69029,20083,53048,3504,103,0,40036,30660,3496,20,643,47,300,27686,60736,9621
101,私立,一般大學,1059,康寧大學,5323,10821,3835,15713,36291,29267,12012,32699,12334,25787,8787,68,0,7210,48707,6968,3,958,206,623,2831,14997,9873
101,私立,一般大學,1067,台灣首府大學,16185,41534,20067,44982,104065,82446,58332,113218,46994,35333,0,85,0,7,19,14782,11,455,7,600,19296,79963,23415
101,私立,一般大學,1125,興國管理學院,5171,13075,6542,15459,36279,40376,14455,39617,10052,41051,5068,101,0,9291,66658,3441,4,466,70,1007,6916,16945,81656
101,私立,一般大學,1176,稻江科技暨管理學院,4061,16281,5847,11818,32078,37595,13231,51597,19810,36250,90,44,0,15537,48525,3429,11,247,44,192,10615,24409,50423
101,私立,一般大學,1195,馬偕醫學院,339,1588,375,1384,5629,1760,1802,9348,1311,7219,406,32,56,8948,36,983,5,58,56,51,1729,4963,72168
101,私立,一般大學,1R01,法鼓佛教學院,4194,2265,34487,676,781,1551,3831,2522,563,21080,6506,22,37,1292,93,12846,5,418,106,129,4085,10797,15625
101,私立,一般大學,1R02,基督教台灣浸會神學院,433,1960,19123,171,844,2677,2311,2155,1680,26133,3523,9,0,65,171,8509,7,235,79,180,2113,6551,577
101,私立,一般大學,1R03,臺北基督學院,2037,2414,7297,1710,1531,7459,3687,8660,2210,20746,8029,10,0,4349,212569,1931,9,100,20,56,1605,3398,683
101,私立,技專校院,1018,朝陽科技大學,10641,23069,11590,37752,65855,82823,24488,71140,25141,96390,0,222,10,29411,550262,47549,21,759,161,1048,63748,437935,91999
101,私立,技專校院,1023,南臺科技大學,36197,11617,4526,27864,57937,47320,23208,52414,19008,70155,18248,169,0,25134,782665,23170,17,543,179,1699,80508,244102,110935
101,私立,技專校院,1024,崑山科技大學,21869,13544,5036,24225,54008,39887,18745,50557,15954,29876,26262,201,5,31921,2591048,33553,14,1038,253,2600,48235,121230,222120
101,私立,技專校院,1025,嘉南藥理大學,35193,18929,6234,25573,60386,41501,19479,47919,15403,43828,3821,139,2,2218,78447,25318,14,3026,455,1460,39605,107188,146431
101,私立,技專校院,1026,樹德科技大學,15301,21932,9133,21309,52003,52096,23869,62385,25624,58992,0,89,0,290,94892,21412,15,691,175,500,66247,181829,136909
101,私立,技專校院,1030,龍華科技大學,5640,15464,6103,41467,73986,41048,16613,52442,11583,57207,9024,200,0,32819,104852,7784,14,237,161,700,71693,118716,690284
101,私立,技專校院,1031,輔英科技大學,6732,13929,6543,18582,46502,29249,13595,47281,10860,31935,19658,109,0,32011,37362,12594,14,702,213,405,42885,115532,665287
101,私立,技專校院,1032,明新科技大學,11109,10334,3704,26823,43712,35951,14990,48298,9479,69787,9321,123,0,11290,141189,26618,8,496,72,738,60052,157424,92412
101,私立,技專校院,1034,弘光科技大學,8980,17808,5690,23933,50475,43239,17504,58452,11918,33688,0,74,0,21178,4480,12179,17,466,260,416,98375,139758,278641
101,私立,技專校院,1036,健行科技大學,14529,6903,3577,34936,61714,25348,13432,24860,6826,60223,6004,210,0,37539,115557,32447,16,696,121,638,30272,83367,251032
101,私立,技專校院,1037,正修科技大學,13935,8126,3415,32262,68015,37102,11921,35042,11878,54098,10680,27,0,7186,5229,19595,13,677,70,1280,46486,104096,84735
101,私立,技專校院,1038,萬能科技大學,9598,12430,2740,33477,59071,24822,16052,40255,14685,56835,11081,135,36,25384,1818,13909,12,405,100,622,58401,84268,96813
101,私立,技專校院,1040,建國科技大學,16216,14744,6731,25853,64228,32047,18830,48302,19794,43900,0,110,5,16723,257629,14525,15,676,113,420,63631,176582,53232
101,私立,技專校院,1041,明志科技大學,1105,5713,1449,21299,43541,5503,5836,25176,7443,35479,21856,47,0,26248,1196858,2349,7,190,76,407,13872,44980,93627
101,私立,技專校院,1042,高苑科技大學,4950,11794,4432,27898,58861,36536,16817,36617,16595,33743,22264,116,5,26302,42690,25158,13,860,86,806,34699,100082,88698
101,私立,技專校院,1043,大仁科技大學,9400,10459,4499,23578,56756,28667,15285,51997,16353,31511,0,163,7,17954,92257,9865,13,611,186,902,42008,126025,221736
101,私立,技專校院,1044,聖約翰科技大學,11503,13028,11420,42717,41853,25457,16397,29839,13458,29375,0,124,6,34512,20482,11169,14,324,154,629,20950,67349,88496
101,私立,技專校院,1045,嶺東科技大學,16579,17409,4523,24588,48673,56948,20054,59819,14640,42047,0,110,5,23453,361556,7900,17,750,174,915,51487,115686,114529
101,私立,技專校院,1046,中國科技大學,8380,12182,3156,29802,61347,44680,15987,44919,18498,35583,6725,47,0,148,3861,8602,9,384,181,892,68058,277620,23037
101,私立,技專校院,1047,中臺科技大學,8318,14119,7290,24799,57652,36185,13584,45033,16799,49534,0,120,3,41668,17125,13865,10,677,206,1091,48901,122967,634516
101,私立,技專校院,1051,台南應用科技大學,13303,12632,4285,11306,42465,43429,18252,46834,32876,60429,11298,82,9,1424,75707,26533,24,629,381,1374,93154,255076,246983
101,私立,技專校院,1052,遠東科技大學,10130,7741,3582,43979,57495,24402,11412,36711,12118,33032,1087,92,6,26383,3054398,8488,70,833,124,956,50151,164482,171877
101,私立,技專校院,1053,元培醫事科技大學,6265,13424,6459,22576,47694,28619,13299,41521,12010,37501,18011,142,14,34614,273006,6683,7,710,54,603,32780,82486,249986
101,私立,技專校院,1054,景文科技大學,9573,9843,4917,27334,40562,49657,14624,40227,12762,58402,0,125,0,48866,42881,16418,14,467,199,905,41519,95016,52553
101,私立,技專校院,1055,中華醫事科技大學,4321,12383,4866,16662,47538,26016,11955,39904,9162,16127,16377,79,0,27154,2247173,7548,5,550,135,337,23431,62184,112610
