學年度,設立別 ,學校類別,學校代碼,學校名稱,中文圖書總類,哲學類,宗教類,科學類,應用科學類,社會科學類,史地類(含世界史地類),語言文學類,藝術類,外文圖書,,線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),,報紙(種),期刊中日文(種),西文(種),圖書閱覽座位數,借書(含視聽資料及其他館藏)人次,圖書(含視聽資料及其他館藏)借閱冊數,線上及光碟資料庫(含電子書及電子期刊)檢索人次
101,私立,技專校院,1185,經國管理暨健康學院,13957,12588,5022,9038,35675,26060,13040,34811,9416,16605,0,133,4,32315,523541,9142,6,525,87,224,10630,45445,79948
101,私立,技專校院,1187,崇右技術學院,7301,7944,3014,8938,22372,27412,11703,28961,4684,13154,2937,37,0,1,1546,4104,6,712,117,117,5968,21595,11589
101,私立,技專校院,1188,大同技術學院,4502,12502,4122,12884,35935,33066,11613,31565,6957,13449,247,45,0,0,76,11583,11,421,62,422,10227,33279,44665
101,私立,技專校院,1189,亞太創意技術學院,4574,5787,2390,21200,30775,18096,7568,20593,7503,20731,7167,86,4,956,72916,12752,7,405,52,202,11074,32549,15732
101,私立,技專校院,1190,高鳳數位內容學院,3550,11726,5167,8651,20453,17096,11082,31317,10327,11968,842,25,2,7,210,861,9,389,53,176,353,6114,143
101,私立,技專校院,1191,華夏技術學院,5016,6902,2328,28318,45188,16271,9077,24720,11981,27261,5881,71,4,10089,64609,7075,10,437,111,300,10311,35891,28039
101,私立,技專校院,1192,臺灣觀光學院,3740,12784,4447,10993,29642,25856,15009,45726,10506,5185,0,17,0,0,338,4376,11,326,51,66,4146,13147,5429
101,私立,技專校院,1194,台北海洋技術學院,11600,4406,1326,15728,22875,18623,13339,18888,6896,15996,16713,102,2,9640,25866,7703,11,404,33,226,10459,22980,24612
101,私立,技專校院,1281,康寧醫護暨管理專科學校,4359,9981,3123,12698,26988,28236,10007,26975,9256,15680,2628,60,0,26,571,16063,6,273,19,320,7517,43435,96370
101,私立,技專校院,1282,馬偕醫護管理專科學校,2100,7646,3971,9657,29252,19287,8136,25574,6440,17210,0,71,25,16335,80818,10000,10,213,82,597,16842,41614,89038
101,私立,技專校院,1283,仁德醫護管理專科學校,2319,9359,3350,8043,25916,13956,7459,25652,5011,13475,1477,66,0,13501,0,1548,4,195,41,197,32258,81658,348459
101,私立,技專校院,1284,樹人醫護管理專科學校,2513,7897,3249,9598,20185,13810,8595,45734,6483,25545,1757,41,0,20540,1254,4619,11,467,101,252,26434,109208,58446
101,私立,技專校院,1285,慈惠醫護管理專科學校,2350,12159,3608,7706,28624,15998,7204,30399,5604,13462,2693,34,0,17129,1409,4470,5,374,44,600,4653,15740,129436
101,私立,技專校院,1286,耕莘健康管理專科學校,4748,8257,3166,7293,22048,12562,6946,22899,5616,22341,2419,54,0,0,76,8669,10,233,75,697,31845,53006,309941
101,私立,技專校院,1287,敏惠醫護管理專科學校,4139,6809,2359,6602,17174,14533,7777,16501,2916,5505,938,47,1,14,500,3152,9,223,47,238,8700,15510,62651
101,私立,技專校院,1288,高美醫護管理專科學校,1003,5865,1968,4035,20866,8256,3292,13270,2570,4214,0,17,0,0,2,1248,3,107,10,78,1728,7220,52408
101,私立,技專校院,1289,育英醫護管理專科學校,1764,5893,1740,5707,16804,8318,5275,14354,3384,10091,292,53,0,11,236,9618,3,156,19,150,3495,11444,191636
101,私立,技專校院,1290,崇仁醫護管理專科學校,2530,5606,4164,5612,15133,9362,5363,15409,2825,7261,813,19,0,5063,186,5451,6,170,16,392,11265,23645,29462
101,私立,技專校院,1291,聖母醫護管理專科學校,3081,4823,1800,6300,16102,9957,5484,13897,3220,1630,374,32,32,10,16940,5874,3,196,19,126,3555,6527,10615
101,私立,技專校院,1292,新生醫護管理專科學校,1860,6324,1807,4532,15293,11316,6844,17807,4439,11360,67,38,0,10,59075,2342,8,143,10,174,10386,33714,78806
102,公立,一般大學,1,國立政治大學,344733,53036,39777,33147,79554,318215,225402,212143,19888,630218,230365,280,38,46584,636284,27943,447,1930,1612,3016,215701,647104,2611341
102,公立,一般大學,2,國立清華大學,67015,27531,18132,59078,65925,103940,100151,121237,39568,340413,307131,411,7,98338,1749591,87568,45,1897,1317,2425,126766,437232,287239
102,公立,一般大學,3,國立臺灣大學,136358,66026,40882,108054,306643,402372,265681,261643,83003,2296830,860506,567,0,49053,2627640,171111,30,2627,5496,3345,231028,703429,28199935
102,公立,一般大學,4,國立臺灣師範大學,138990,70632,22538,61109,73922,243840,153235,207370,67780,490321,126885,390,4,74059,1883663,69093,21,1282,1408,1182,239252,590954,6674268
102,公立,一般大學,5,國立成功大學,177879,33208,21265,49211,109369,121982,99446,125076,39367,574245,421228,548,28,44134,639489,50957,22,2154,838,3130,167840,648118,4414488
102,公立,一般大學,6,國立中興大學,106992,22821,9672,48368,84286,90598,61951,87255,18915,252708,141116,397,0,51246,796452,59875,18,1357,195,2047,72252,191053,1983125
102,公立,一般大學,7,國立交通大學,89942,17279,9655,60551,71989,76599,38473,63703,36427,350429,166452,293,1,68850,582896,66796,19,1074,1924,1310,151418,384325,3372000
102,公立,一般大學,8,國立中央大學,83414,22051,14868,25621,41654,69512,54240,77763,23715,250224,152082,409,16,41852,580173,53547,21,1311,1108,1485,103783,393683,993381
102,公立,一般大學,9,國立中山大學,118430,25811,12070,36164,62926,84963,58995,95213,29345,358130,130379,250,29,82769,122576,24634,14,636,752,1051,77941,245926,934799
102,公立,一般大學,12,國立臺灣海洋大學,34711,14098,3533,34426,44404,47661,24412,43421,12649,101582,74340,264,3,59988,129266,10238,9,820,240,683,31805,198879,662250
102,公立,一般大學,13,國立中正大學,89332,27741,19555,30132,61879,127000,75101,111846,37898,379121,0,175,0,83449,489774,25073,19,1086,609,1756,85841,257121,1466748
102,公立,一般大學,14,國立高雄師範大學,92762,18992,6000,17010,24990,71924,36079,68830,21377,197070,0,153,0,39286,531610,9467,21,846,231,1033,57657,382748,918876
102,公立,一般大學,15,國立彰化師範大學,42933,16869,7375,20302,38695,69810,28824,48461,13687,125967,0,121,0,84724,114062,29419,16,670,514,1215,51409,159603,1857089
102,公立,一般大學,16,國立陽明大學,12654,8281,2435,10348,26031,16669,10984,28599,7018,77246,61351,184,0,20727,100519,18588,7,253,78,348,32500,79812,932734
102,公立,一般大學,17,國立臺北大學,40596,8102,3593,7040,17030,62457,27052,33234,6281,161987,40001,157,11,66073,177727,5270,7,152,164,632,26234,58020,600680
102,公立,一般大學,18,國立嘉義大學,41717,25143,8878,50375,80566,147324,50415,97486,31372,137843,48222,173,1,57885,721055,23965,17,1201,250,1290,81542,155748,60212
102,公立,一般大學,19,國立高雄大學,9292,14628,6123,15118,36877,49284,19710,52883,19554,52801,19205,89,19,18434,372382,16893,10,527,210,930,51821,142901,328916
102,公立,一般大學,20,國立東華大學,72832,48235,21717,50265,83348,187160,101898,163921,59077,187454,77791,238,30,66379,1015515,84102,25,3084,2614,1053,99786,508453,653051
102,公立,一般大學,21,國立暨南國際大學,36401,17204,9261,9012,17940,63039,54459,60244,12161,109990,70654,223,3,63235,138594,18438,25,989,123,1260,207246,180327,31031
102,公立,一般大學,28,國立臺北藝術大學,18108,5704,5062,2228,3783,12655,22497,41856,43644,73748,39935,122,5,13762,63253,37062,5,326,180,230,20873,89507,20641
102,公立,一般大學,29,國立臺灣藝術大學,29007,5236,2212,2983,10988,15613,15842,21372,51615,37803,32112,85,0,19577,32759,23219,16,452,128,425,32537,83901,420536
102,公立,一般大學,30,國立臺東大學,51775,16381,5589,25503,24020,95638,32968,95192,29757,160504,29204,31,13,21339,216867,15945,16,1621,586,392,40533,162401,136572
102,公立,一般大學,31,國立宜蘭大學,20134,7565,4217,23414,55778,32335,18818,29521,11848,46226,0,83,4,22644,374321,10783,14,977,111,814,20498,48655,147526
102,公立,一般大學,32,國立聯合大學,9852,9915,4020,22872,46107,34661,19544,33380,16944,48954,16122,93,8,103196,231622,10205,15,455,109,341,23434,53272,345748
102,公立,一般大學,35,國立臺南藝術大學,6067,4331,4316,1511,3651,13316,21094,15018,32510,81382,18800,9,93,48281,1443838,27782,11,370,323,234,24344,88989,29306
102,公立,一般大學,36,國立臺南大學,43966,20361,9324,28559,25683,137388,36123,67328,36870,89029,28458,112,1,20989,294468,28493,19,1074,267,501,34937,166232,201089
102,公立,一般大學,37,國立臺北教育大學,39399,21534,6651,29369,23656,140600,35810,79533,30361,82228,26340,190,13,28284,413174,20049,18,1436,280,725,55831,215368,290864
102,公立,一般大學,38,國立新竹教育大學,32820,14516,4912,19691,14878,96217,23928,65251,28255,46075,23289,104,1,27708,619854,29055,13,795,282,675,29334,77452,98180
102,公立,一般大學,39,國立臺中教育大學,40353,18302,4170,21805,24183,69915,30312,68683,26370,84589,0,108,7,21895,344511,22547,12,590,155,483,57914,143486,441432
102,公立,一般大學,40,國立屏東教育大學,39019,18610,5816,23682,19139,130034,27727,74869,24247,57538,21207,134,0,23075,72843,29302,19,2024,552,688,64281,192842,9866845
102,公立,一般大學,44,國立體育大學,3079,13765,2484,6138,22466,42825,8547,18098,6517,29662,12702,8,41,6119,5589,9614,7,214,121,240,5685,16986,54000
102,公立,一般大學,48,國立金門大學,6431,6541,3605,6943,22942,28126,15483,19686,9702,15884,3735,14,0,7,31,1022,7,348,81,456,4850,13422,16757
102,公立,一般大學,49,國立臺灣體育運動大學,15592,10818,2976,9828,25626,52480,14661,30569,16588,30572,0,43,1,2504,125568,18899,11,238,138,240,8699,32538,33501
102,公立,一般大學,3002,臺北市立大學,31605,15574,3906,17311,21651,51228,21738,48315,20598,73395,11532,356,0,51303,424078,21268,26,495,123,592,28843,70374,661086
102,公立,技專校院,22,國立臺灣科技大學,35500,15726,4774,21615,46656,32530,19444,42282,12935,89733,72108,231,3,34403,1219413,14849,10,908,2359,630,125190,272914,782003
102,公立,技專校院,23,國立雲林科技大學,34271,16018,7891,22068,55196,51733,28778,54185,28696,78350,39163,103,0,48006,1038856,12995,15,2074,1393,1500,139331,284834,628702
102,公立,技專校院,24,國立屏東科技大學,11752,11704,6234,29700,83416,48162,21137,34147,14065,47672,62984,81,0,29,339000,16378,15,790,423,728,67022,118817,382000
102,公立,技專校院,25,國立臺北科技大學,41651,11751,3788,37038,72265,34935,20939,33461,17598,91908,33914,255,0,42186,749100,11395,11,541,120,1222,81062,164055,358817
102,公立,技專校院,26,國立高雄第一科技大學,4334,11920,5677,23102,50141,49872,15441,40097,12494,65092,35717,278,5,26223,326971,25002,16,1875,1319,1323,41076,111649,3213220
102,公立,技專校院,27,國立高雄應用科技大學,15361,10723,3924,25908,48337,37154,11363,24546,8450,60427,27975,122,0,49020,2701916,8312,11,543,177,349,30883,102258,267493
102,公立,技專校院,33,國立虎尾科技大學,10599,6659,2751,19594,53082,18600,8629,23134,8965,38056,19292,139,0,33149,354867,5790,17,792,135,638,34723,68160,1458344
102,公立,技專校院,34,國立高雄海洋科技大學,14588,9650,3410,24193,50958,33789,18058,41602,9836,48707,40466,128,29,22006,90663,8694,26,1042,99,628,37605,72635,264790
102,公立,技專校院,42,國立澎湖科技大學,3796,12099,4295,25193,38484,31844,12750,33609,11765,23857,4134,58,1,52194,132107,10087,14,1188,261,470,18117,42356,142311
102,公立,技專校院,43,國立勤益科技大學,9524,12311,3761,19098,52927,30147,20839,39746,10726,33789,0,112,5,36208,304000,11984,11,1392,348,848,54031,115224,340176
102,公立,技專校院,46,國立臺北護理健康大學,34970,9244,2827,13884,35877,25486,10237,29481,10610,80900,0,92,0,49528,79618,38554,19,466,46,360,26436,88762,111604
102,公立,技專校院,47,國立高雄餐旅大學,9545,10909,4064,6432,35394,25727,16351,37561,11606,20308,0,167,0,51686,260119,11172,17,505,173,608,40249,93859,281007
102,公立,技專校院,50,國立臺中科技大學,32506,19789,5713,22270,53164,49223,25338,57574,18543,50301,17915,229,15,73778,642849,13779,22,1357,190,1230,92765,182111,360354
102,公立,技專校院,136,國立屏東商業技術學院,10270,13363,6401,16758,38176,49495,16663,54974,14856,50334,0,62,7,22240,70366,12709,11,614,9,533,16561,48172,261224
102,公立,技專校院,142,國立臺北商業技術學院,19967,7212,1667,15242,31212,33299,8630,29762,7466,36115,4862,48,1,54738,75200,601,11,279,127,590,51146,80911,189657
102,公立,技專校院,144,國立臺灣戲曲學院,4344,7943,2509,4090,11542,13771,13582,41539,30582,5844,0,49,0,2017,3911,10152,7,162,8,108,4044,12081,581
102,公立,技專校院,221,國立臺南護理專科學校,4070,6898,1533,5729,18161,12185,8868,18089,3893,4744,4048,75,0,12116,15539,5706,3,195,22,112,7299,15532,45402
102,公立,技專校院,222,國立臺東專科學校,3871,5621,1531,7742,22192,9181,5811,16660,6977,2966,0,45,81,18,0,1105,5,267,2,116,2333,11414,1352
102,私立,一般大學,1001,東海大學,73052,47097,22420,20500,46961,117182,91834,110894,33374,263402,127756,188,5,38499,399227,48641,20,861,321,1896,98845,278768,1708902
102,私立,一般大學,1002,輔仁大學,74115,39223,25525,27262,73305,140272,74143,118578,27682,376925,152844,623,4,54475,1347149,60904,22,1554,1008,1800,184056,424327,5912201
102,私立,一般大學,1003,東吳大學,87446,25603,13727,17846,34273,151303,70550,105375,20855,316860,0,238,0,39728,969686,38725,14,1158,341,2660,104262,257553,1689013
102,私立,一般大學,1004,中原大學,17690,29273,22224,49158,99346,118952,34093,73949,34795,234090,0,236,38,29572,1088464,36990,12,1173,363,1481,133660,347039,1752002
102,私立,一般大學,1005,淡江大學,84050,44766,15106,67591,106840,179897,98466,156306,33887,472971,0,568,30,67452,1964575,62116,34,1374,2147,3140,206221,473946,441074
102,私立,一般大學,1006,中國文化大學,126809,55589,22096,63410,90858,160252,127679,154059,66775,404807,0,186,6,31430,261839,52079,17,3506,3442,1783,100251,344199,1393048
102,私立,一般大學,1007,逢甲大學,51046,30688,11349,56917,122918,115514,56803,88310,28348,186193,90111,273,17,45065,796570,44062,15,931,408,1314,154027,330076,1888130
102,私立,一般大學,1008,靜宜大學,64583,31675,17350,34308,62207,97752,51428,123978,30770,211063,0,338,9,28708,533507,39819,33,3099,1776,2053,85823,201383,1457695
102,私立,一般大學,1009,長庚大學,11243,9552,1705,12423,43766,30991,11763,28530,8805,213026,0,207,3,75245,149507,26588,15,398,1381,1263,49500,125807,2127462
102,私立,一般大學,1010,元智大學,31891,19768,9555,26051,45320,54606,27738,85324,23968,92462,31575,137,3,46270,592081,33114,12,690,491,1070,53446,161993,515561
102,私立,一般大學,1011,中華大學,14052,12161,4446,24125,42379,38312,13769,34089,15254,69333,0,96,4,38120,156158,11913,13,586,262,895,27629,126595,343493
102,私立,一般大學,1012,大葉大學,26922,17906,6820,33078,66770,55132,20627,51157,19845,73106,37506,184,3,47475,308961,23185,15,907,266,995,41477,151773,492933
102,私立,一般大學,1013,華梵大學,37327,16200,20061,11416,22460,24605,17991,31029,20562,52633,1413,34,25,9070,92425,6171,7,1297,555,600,18971,66901,10298
102,私立,一般大學,1014,義守大學,22397,15715,4702,43555,62278,47739,18124,41528,12915,74264,32659,200,0,51918,644647,13165,24,919,66,3080,110237,169388,2046984
102,私立,一般大學,1015,世新大學,40575,23362,7510,17947,27103,80792,46781,89841,35586,114387,59266,287,125,52996,3568,24393,39,3262,3350,1042,68132,141665,402456
102,私立,一般大學,1016,銘傳大學,82020,40775,12320,45310,97613,129374,60222,132946,40069,160429,36056,220,4,48029,1197552,86969,21,1560,177,1498,90657,267548,1502424
102,私立,一般大學,1017,實踐大學,27623,16510,5387,17036,46329,64528,22712,49313,27290,79180,9426,135,20,30923,376072,25942,23,1499,699,838,63679,126185,154920
102,私立,一般大學,1019,高雄醫學大學,10887,12404,3443,11996,32405,24891,11936,37437,12704,142341,0,129,7,27434,67062,13206,12,1130,2118,1250,54103,155711,254252
102,私立,一般大學,1020,南華大學,18258,21543,22366,13314,29707,45481,30351,76799,22963,68052,18967,255,1,30053,1337800,34436,14,2593,1482,672,48327,96307,42228
102,私立,一般大學,1021,真理大學,46984,21048,16983,23589,53079,64674,31389,58259,24909,83570,0,161,0,44372,243622,3181,18,755,9,881,18216,54649,16207
102,私立,一般大學,1022,大同大學,9533,5785,2524,15529,27589,21009,13054,21304,7523,51784,36472,129,0,21509,104209,6248,10,93,143,604,12756,31054,115950
102,私立,一般大學,1027,慈濟大學,8208,14131,14760,11649,32239,34389,18162,44183,13124,62395,52146,194,1,31436,29274,18448,16,411,32,868,42119,83015,169696
102,私立,一般大學,1028,臺北醫學大學,1728,4133,2298,5686,16830,8768,5484,16552,2524,44635,38337,108,0,15050,84018,9336,7,487,51,660,40801,160066,654823
102,私立,一般大學,1029,中山醫學大學,9118,8400,3379,11637,36945,20967,10315,24646,5861,58364,82642,115,6,24714,690510,16033,9,197,116,495,45224,114223,1120983
102,私立,一般大學,1033,長榮大學,12526,19320,10661,30499,52942,62866,20764,54948,17576,68067,0,197,2,29211,137453,16209,15,1217,269,1247,29563,135253,598119
102,私立,一般大學,1035,中國醫藥大學,11816,9581,3626,12871,64098,16887,13715,31320,8873,49936,41133,117,0,29117,273061,17783,12,1042,1218,1093,62550,153595,555918
102,私立,一般大學,1039,玄奘大學,18405,17083,28661,12710,25593,58013,25624,45335,16000,60450,6221,125,0,24521,137372,7862,12,1075,43,524,19212,54225,138388
102,私立,一般大學,1048,亞洲大學,9871,33974,12156,28647,69362,80157,29312,94492,19502,89204,20797,238,1,36548,1052846,9492,7,960,180,683,96399,265683,473400
102,私立,一般大學,1049,開南大學,11253,15442,6860,19299,47902,78893,20474,42466,12966,70475,673,143,0,58412,54752,4633,12,415,133,1067,24014,36824,173798
102,私立,一般大學,1050,佛光大學,30639,12754,18139,5849,10243,30309,26849,41648,13428,57330,13273,125,33,42909,1052145,12840,9,421,273,730,19319,58216,269312
102,私立,一般大學,1058,明道大學,7576,9834,14460,40317,37745,11842,11251,69294,20444,53182,3544,109,0,40026,45769,3520,20,691,50,300,26511,73737,11596
102,私立,一般大學,1059,康寧大學,5719,10954,3866,17354,37004,29533,12134,33016,12557,25750,9152,68,0,11737,49049,7216,3,331,61,60,3124,37341,7983
102,私立,一般大學,1067,台灣首府大學,16197,41688,20136,45067,104391,82702,58449,113836,47145,35550,0,89,0,7,19,14976,11,491,2,600,19522,81067,23428
102,私立,一般大學,1125,興國管理學院,5299,13134,6564,15614,36646,40691,14552,39851,10548,41140,5068,61,0,0,66658,3489,2,475,70,637,5706,24390,40202
102,私立,一般大學,1176,稻江科技暨管理學院,5159,17600,5822,13425,35045,39942,14513,46410,22506,37250,0,63,0,12724,64511,3503,11,253,41,204,8825,24588,84345
102,私立,一般大學,1195,馬偕醫學院,348,1787,420,1451,6005,1966,1921,10315,1573,7915,518,15,56,7538,126,1103,5,55,73,122,2781,6785,72540
102,私立,一般大學,1R01,法鼓佛教學院,3949,2336,36132,689,797,1628,4055,2674,659,21838,6923,35,39,4821,148,13289,8,417,111,129,9667,76609,24158
102,私立,一般大學,1R02,基督教台灣浸會神學院,425,2024,19812,167,849,2753,2366,2209,1788,26896,3523,9,0,65,171,8873,7,226,75,180,2857,8818,678
102,私立,一般大學,1R03,臺北基督學院,2038,2459,7366,1691,1565,7517,3713,8754,2222,21034,8123,11,0,4640,237284,2918,9,100,21,56,1302,3071,1122
102,私立,技專校院,1018,朝陽科技大學,10687,23912,11758,38638,69664,86092,25498,74117,26502,100421,0,222,10,38498,630804,48679,21,746,161,1048,59480,340053,111219
102,私立,技專校院,1023,南臺科技大學,37984,12055,4731,28712,59446,48370,23821,53040,19523,71752,18248,188,0,25137,812629,24237,18,517,158,1699,81884,237800,107952
102,私立,技專校院,1024,崑山科技大學,20279,16401,6361,24943,56780,41463,19713,53290,17844,31027,28662,203,6,30234,3060271,17031,14,1081,237,2600,45407,111928,271206
102,私立,技專校院,1025,嘉南藥理大學,35488,19549,6523,26263,62314,42681,20243,49479,16479,45732,3821,140,2,2192,88198,28420,14,3060,575,1460,42028,108905,248357
102,私立,技專校院,1026,樹德科技大學,16337,22541,9308,22056,53770,53346,24383,64797,26640,61947,0,84,0,284,95648,18429,15,605,156,500,61592,171787,143608
102,私立,技專校院,1030,龍華科技大學,5728,16839,6305,43230,78461,42372,17204,54482,12678,58349,9383,240,0,32508,114942,7910,13,239,180,700,75082,137928,619721
102,私立,技專校院,1031,輔英科技大學,6619,13999,6558,19090,48160,29819,13628,48083,10979,32516,18796,107,0,29636,45719,12733,10,657,235,405,37357,107931,696313
102,私立,技專校院,1032,明新科技大學,11205,10572,3825,27637,45126,37085,15220,49788,9935,70645,8045,111,0,20122,234350,27632,8,505,15,738,53756,142568,102043
102,私立,技專校院,1034,弘光科技大學,8978,18271,5830,23764,52290,43970,18285,61136,12556,34138,0,76,0,18861,6058,12867,17,501,248,412,98681,140713,305711
102,私立,技專校院,1036,健行科技大學,14570,7227,3670,35217,62699,25786,13799,25721,7021,61336,7298,208,0,38605,121488,33041,12,637,133,638,32896,83116,253108
102,私立,技專校院,1037,正修科技大學,13980,8233,3427,32479,69775,37904,12115,35935,12791,54424,10680,27,0,7572,5548,20136,13,718,86,1280,40707,91853,107752
102,私立,技專校院,1038,萬能科技大學,10304,12727,2810,34438,61593,25649,16340,41722,15403,58273,11407,147,36,63623,2872,14280,12,340,100,619,56643,82229,98160
102,私立,技專校院,1040,建國科技大學,16734,15260,6809,26635,65940,32766,19701,50480,21235,44740,0,109,5,18841,259779,15204,15,694,121,428,57142,150647,65412
102,私立,技專校院,1041,明志科技大學,9681,4647,1311,15126,27467,14119,8072,20195,7220,37141,19327,46,0,29511,1210561,2506,7,171,45,407,12956,41637,74200
102,私立,技專校院,1042,高苑科技大學,5258,12384,4536,29879,62974,36976,17489,38912,17882,36486,23219,118,4,28277,43057,25329,14,730,28,806,29637,74387,85919
102,私立,技專校院,1043,大仁科技大學,9482,10706,4589,24060,57202,29484,15787,52922,16815,32294,0,163,7,13342,102723,10314,15,597,183,870,31668,95003,248964
102,私立,技專校院,1044,聖約翰科技大學,11674,13448,11490,43547,43051,26457,16830,30907,14096,29839,0,126,6,21007,27435,11323,14,313,150,629,18880,64724,188191
102,私立,技專校院,1045,嶺東科技大學,17040,17924,4725,25552,50614,58492,20780,61969,16019,43317,0,95,5,23908,373636,7948,16,754,173,915,46560,94385,120435
102,私立,技專校院,1046,中國科技大學,8458,12684,3204,31504,64047,45764,16293,47032,20948,36503,7331,50,0,95,6379,9313,9,335,127,915,61123,183592,63350
102,私立,技專校院,1047,中臺科技大學,8684,14366,7330,25322,59245,37062,13887,46318,17800,50495,0,120,3,42168,22289,14246,10,639,182,1091,44189,107185,605111
102,私立,技專校院,1051,台南應用科技大學,13413,13097,4414,11840,44855,45759,18687,49241,34308,64552,12651,85,10,1424,88956,27072,24,646,368,1374,76597,250358,290654
102,私立,技專校院,1052,遠東科技大學,10645,7960,3793,45129,59300,25083,11682,39093,12772,33884,1087,94,6,26488,3081660,8631,11,849,129,967,52019,172772,180674
102,私立,技專校院,1053,元培醫事科技大學,6328,13571,6609,23361,48987,29197,13532,42347,12272,38757,18378,145,14,36024,293284,6998,7,619,35,613,28960,96634,359762
102,私立,技專校院,1054,景文科技大學,10088,9985,4995,27213,42758,51343,15228,41310,13293,61097,0,125,0,59318,57991,16960,14,467,199,905,49172,110586,484789
102,私立,技專校院,1055,中華醫事科技大學,4417,12487,4951,16986,48817,26386,12038,40305,9499,16494,16697,85,0,22276,173288,7826,5,504,135,347,25779,52937,444476
102,私立,技專校院,1056,東南科技大學,10312,13038,3430,27720,46627,27400,13872,34896,13866,27714,5192,134,0,1678,20541,7921,7,569,72,606,24159,50569,49679
102,私立,技專校院,1057,德明財經科技大學,18966,12749,2686,21636,36849,55379,17848,38405,12843,29069,31791,246,10,67281,79222,13477,12,820,340,661,67647,94484,269265
102,私立,技專校院,1060,南開科技大學,9248,10778,3081,18219,33246,25697,17525,40784,14412,20536,18735,136,0,29774,211345,11816,15,481,196,637,17256,46404,196031
102,私立,技專校院,1061,中華科技大學,7172,7948,3238,20350,38847,21317,10825,25865,7190,48980,6145,44,0,38534,100590,3982,10,679,112,787,16142,23518,54209
102,私立,技專校院,1062,僑光科技大學,16461,8234,2741,16800,30950,43817,13584,28036,6674,32189,11103,68,5,79989,115703,9037,12,897,304,676,78724,150614,164970
102,私立,技專校院,1063,育達科技大學,8300,15021,4575,20797,48081,65615,21119,59695,13390,40884,7079,75,0,20474,136703,16650,8,759,100,820,65273,116439,36158
102,私立,技專校院,1064,美和科技大學,15155,12571,4221,20150,54009,49990,16556,42767,14277,34891,0,67,0,466,14701,16189,4,521,206,746,43698,170018,1312485
102,私立,技專校院,1065,吳鳳科技大學,5474,10892,3129,29208,43320,29298,14820,39765,14789,35930,6339,106,0,51430,62471,7975,8,639,81,398,12577,49551,36777
102,私立,技專校院,1066,環球科技大學,8896,14625,4259,21050,42781,44458,18957,48592,26129,40662,0,66,0,40081,65872,10265,9,382,96,495,41557,103930,45770
102,私立,技專校院,1068,中州科技大學,6688,9242,3134,38612,67804,27315,10227,59158,51944,25672,8153,38,0,3916,46041,10497,12,716,103,580,11489,116909,27320
102,私立,技專校院,1069,修平科技大學,7695,11491,3549,22196,61608,29303,16939,40447,9146,32270,588,182,114,18604,39040,18060,20,751,133,710,13161,50870,44211
102,私立,技專校院,1070,長庚科技大學,3394,18228,2797,17864,58592,25038,11283,42278,10263,38226,0,53,0,21456,17192,28585,17,490,200,832,13163,131635,585714
102,私立,技專校院,1071,臺北城市科技大學,9977,8659,1876,24230,44086,19903,12356,35616,9167,17335,19451,70,0,7281,88943,6711,10,919,125,1124,9263,22794,22552
102,私立,技專校院,1072,大華科技大學,15526,7520,3453,30353,48421,37014,15752,29991,14645,24065,0,117,42,8866,230904,15751,11,241,151,1015,6371,19661,225016
102,私立,技專校院,1073,醒吾科技大學,8151,11496,4633,14152,32539,36119,19780,39052,11038,22089,6727,45,4,33226,85657,6247,9,382,348,1191,11941,38174,54423
102,私立,技專校院,1074,南榮科技大學,4382,6607,2657,23933,49298,19229,9714,30180,12617,24441,0,50,0,80,59619,3290,9,461,85,466,7593,48744,1823
102,私立,技專校院,1075,文藻外語大學,10528,9200,5254,8004,12998,23408,16855,40454,11022,140898,0,171,0,46680,399640,57950,39,813,494,859,72530,239175,602691
102,私立,技專校院,1148,大漢技術學院,5589,7338,2852,19704,37327,35093,13018,22964,7085,14493,5392,66,0,7,3,4414,2,129,7,254,3808,10188,12227
102,私立,技專校院,1150,慈濟技術學院,6376,16568,9860,16740,55652,39737,15908,41391,13413,34510,9184,124,0,17810,24503,24567,10,361,182,430,42477,109841,57782
102,私立,技專校院,1154,永達技術學院,4965,5779,2281,31320,37309,21856,12559,28380,5895,16403,0,94,0,4,9401,3411,8,101,0,330,2100,3300,2500
102,私立,技專校院,1159,和春技術學院,4208,12052,5206,23492,36213,30197,13377,56057,10805,16472,5361,82,5,19130,46833,10057,10,634,31,469,8311,22897,26270
102,私立,技專校院,1164,致理技術學院,10611,11693,3098,19742,36326,51386,16074,46541,10901,29526,6454,148,2,26749,98778,13934,10,1192,424,724,65757,131812,121890
102,私立,技專校院,1166,亞東技術學院,19670,8855,2510,20971,44468,20445,12966,25436,9575,21369,17997,65,0,64735,154622,9086,16,483,134,755,9653,28070,78938
102,私立,技專校院,1168,桃園創新技術學院,9394,4931,2535,18059,38921,20162,8852,20157,13353,69664,0,82,0,26784,17022,7300,34,499,192,893,20952,49513,205832
102,私立,技專校院,1179,德霖技術學院,4455,4209,2042,20457,43900,33395,5950,24677,8436,24392,10076,92,0,5240,79111,6181,83,459,72,387,27812,67008,19870
102,私立,技專校院,1182,蘭陽技術學院,3471,9408,4224,18797,31751,20645,8815,30167,6998,14009,2201,21,1,20,67407,3503,5,672,16,805,2271,15375,480
