學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),17500,11130,
107,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),15550,9730,
107,公立,一般大學,0002,國立清華大學,05411092,應用數學系,學士班(日間),15550,9730,
107,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),17500,6870,
107,公立,一般大學,0002,國立清華大學,04211B01,學士後法律學士學位學程,學士班(日間),20318,11932,
107,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系國際學生學士班,學士班(日間),35700,14760,
107,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系四年制,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,09131134,學士後護理學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),24030,15530,
107,公立,一般大學,0003,國立臺灣大學,09121107,醫學系七年制,學士班(日間),24030,15530,
107,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,07193083,醫學工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),17850,7760,
107,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),17850,7760,
107,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),17850,7760,
107,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),17990,12270,
107,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),17990,12270,
107,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,09161129,藥學系四年制,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),17990,11270,
107,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),17990,11480,
107,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),17850,7760,
107,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),17850,7380,
107,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),17990,13060,
107,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),17850,7760,
107,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),21920,14250,
107,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),17990,13060,
