,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,教師總數,男,女,男,女,男,女,男,女,男,女,男,女,總計 ,男,女
,101,公立,一般大學,3,國立臺灣大學,醫學系,239,190,49,111,26,43,13,29,7,7,1,0,2,229,183,46
,101,公立,一般大學,3,國立臺灣大學,臨床醫學研究所,9,8,1,6,0,1,1,1,0,0,0,0,0,9,8,1
,101,公立,一般大學,3,國立臺灣大學,分子醫學研究所,7,5,2,3,0,0,0,2,2,0,0,0,0,7,5,2
,101,公立,一般大學,3,國立臺灣大學,免疫學研究所,7,5,2,2,1,2,0,1,1,0,0,0,0,7,5,2
,101,公立,一般大學,3,國立臺灣大學,腫瘤醫學研究所,10,7,3,2,0,3,0,0,0,0,0,2,3,5,5,0
,101,公立,一般大學,3,國立臺灣大學,基因體暨蛋白體醫學研究所,4,3,1,0,0,1,0,2,0,0,0,0,1,3,3,0
,101,公立,一般大學,3,國立臺灣大學,公共衛生碩士學位學程,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,公共衛生學系,48,28,20,16,9,7,6,5,5,0,0,0,0,48,28,20
,101,公立,一般大學,3,國立臺灣大學,職業醫學與工業衛生研究所,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,流行病學與預防醫學研究所,3,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0
,101,公立,一般大學,3,國立臺灣大學,藥學系,13,7,6,4,2,3,3,0,1,0,0,0,0,13,7,6
,101,公立,一般大學,3,國立臺灣大學,臨床藥學研究所,6,0,6,0,0,0,4,0,1,0,1,0,0,5,0,5
,101,公立,一般大學,3,國立臺灣大學,物理治療學系,16,4,12,1,4,1,2,2,5,0,1,0,0,15,4,11
,101,公立,一般大學,3,國立臺灣大學,職能治療學系,11,3,8,2,1,0,2,1,5,0,0,0,0,11,3,8
,101,公立,一般大學,3,國立臺灣大學,護理學系,24,0,24,0,4,0,8,0,8,0,4,0,0,20,0,20
,101,公立,一般大學,3,國立臺灣大學,醫學檢驗暨生物技術學系,14,3,11,0,4,2,4,1,2,0,0,0,1,13,3,10
,101,公立,一般大學,3,國立臺灣大學,牙醫學系,17,13,4,3,0,1,1,5,1,4,2,0,0,11,9,2
,101,公立,一般大學,3,國立臺灣大學,臨床牙醫學研究所,8,3,5,2,1,1,1,0,3,0,0,0,0,8,3,5
,101,公立,一般大學,3,國立臺灣大學,口腔生物科學研究所,7,5,2,2,0,1,1,2,1,0,0,0,0,7,5,2
,101,公立,一般大學,3,國立臺灣大學,毒理學研究所,5,4,1,2,1,2,0,0,0,0,0,0,0,5,4,1
,101,公立,一般大學,3,國立臺灣大學,腦與心智科學研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,社會工作學系,15,4,11,2,7,1,4,1,0,0,0,0,0,15,4,11
,101,公立,一般大學,3,國立臺灣大學,共同教育中心,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,通識教育組,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,體育室,24,15,9,4,1,6,4,4,2,1,2,0,0,21,14,7
,101,公立,一般大學,3,國立臺灣大學,軍訓組,4,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,師資培育中心,5,0,5,0,3,0,1,0,1,0,0,0,0,5,0,5
,101,公立,一般大學,3,國立臺灣大學,GMBA企業管理碩士專班,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,光電生物醫學研究中心,4,4,0,3,0,0,0,1,0,0,0,0,0,4,4,0
,101,公立,一般大學,3,國立臺灣大學,凝態科學研究中心,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0
,101,公立,一般大學,4,國立臺灣師範大學,教育學系,20,10,10,7,2,3,4,0,4,0,0,0,0,20,10,10
,101,公立,一般大學,4,國立臺灣師範大學,課程與教學研究所,6,2,4,1,2,1,2,0,0,0,0,0,0,6,2,4
,101,公立,一般大學,4,國立臺灣師範大學,教育心理與輔導學系,24,9,15,4,9,4,4,1,1,0,1,0,0,23,9,14
,101,公立,一般大學,4,國立臺灣師範大學,公民教育與活動領導學系,19,9,10,2,3,5,6,1,1,1,0,0,0,18,8,10
,101,公立,一般大學,4,國立臺灣師範大學,華語文教學系,15,4,11,3,1,0,3,1,4,0,0,0,3,12,4,8
,101,公立,一般大學,4,國立臺灣師範大學,科學教育研究所,11,4,7,3,4,1,2,0,1,0,0,0,0,11,4,7
,101,公立,一般大學,4,國立臺灣師範大學,人類發展與家庭學系,21,1,20,0,8,1,9,0,2,0,1,0,0,20,1,19
,101,公立,一般大學,4,國立臺灣師範大學,社會教育學系,10,5,5,2,3,2,1,1,1,0,0,0,0,10,5,5
