學年度,設立別,學校類別,學校統計處代碼,學校名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,技專校院,0222,國立臺東專科學校,110,75,35,2,0,1,0,11,6,61,29,0,0,20,14,6,110,75,35
106,私立,一般大學,1001,東海大學,681,421,260,66,12,75,22,127,68,153,158,0,0,370,268,102,681,421,260
106,私立,一般大學,1002,輔仁大學,1314,792,522,115,31,113,64,220,122,344,305,0,0,665,448,217,1314,792,522
106,私立,一般大學,1003,東吳大學,841,494,347,104,18,84,34,140,95,166,200,0,0,475,328,147,841,494,347
106,私立,一般大學,1004,中原大學,653,432,221,46,4,50,6,153,59,183,152,0,0,318,249,69,653,432,221
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,585,362,223,56,6,48,19,101,57,157,141,0,0,287,205,82,585,362,223
106,私立,一般大學,1006,中國文化大學,864,523,341,87,16,92,49,168,115,176,161,0,0,527,347,180,864,523,341
106,私立,一般大學,1007,逢甲大學,603,459,144,68,5,79,13,211,71,101,55,0,0,447,358,89,603,459,144
106,私立,一般大學,1008,靜宜大學,457,257,200,25,5,27,12,67,45,138,138,0,0,181,119,62,457,257,200
106,私立,一般大學,1009,長庚大學,584,455,129,77,8,136,14,170,43,72,64,0,0,448,383,65,584,455,129
106,私立,一般大學,1010,元智大學,287,189,98,23,2,23,4,83,35,60,57,0,0,170,129,41,287,189,98
106,私立,一般大學,1011,中華大學學校財團法人中華大學,191,147,44,11,1,11,0,30,8,95,35,0,0,61,52,9,191,147,44
106,私立,一般大學,1012,大葉大學,372,219,153,11,0,12,7,57,33,139,113,0,0,120,80,40,372,219,153
106,私立,一般大學,1013,華梵大學,78,53,25,4,1,6,1,6,9,37,14,0,0,27,16,11,78,53,25
