學年度,設立別,學校類別,學校統計處代碼,學校名稱,各項資本支出情形-機械儀器及設備,各項資本支出情形-圖書及博物,各項資本支出情形-無形資產,各項資本支出情形-土地及土地改良物,各項資本支出情形-房屋及建築,各項資本支出情形-其他動產及不動產,各項資本支出情形-合計
105,私立,一般大學,1001,東海大學,59262,36832,15762,21652,113417,38390,285316
105,私立,一般大學,1002,輔仁大學,171336,49722,8917,31146,214381,3439,478940
105,私立,一般大學,1003,東吳大學,49368,21762,5337,4255,42368,37622,160712
105,私立,一般大學,1004,中原大學,115136,47003,31669,18296,373767,87656,673527
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,152003,80029,9169,450,249299,919,491870
105,私立,一般大學,1006,中國文化大學,234735,67176,24286,0,0,7317,333514
105,私立,一般大學,1007,逢甲大學,66363,48119,21267,0,42603,46210,224562
105,私立,一般大學,1008,靜宜大學,37866,17982,3514,4900,20770,15640,100673
105,私立,一般大學,1009,長庚大學,162885,10356,24905,0,312831,16950,527927
105,私立,一般大學,1010,元智大學,85990,26125,5415,0,0,12680,130211
105,私立,一般大學,1011,中華大學學校財團法人中華大學,34452,18301,9773,0,13104,12792,88422
105,私立,一般大學,1012,大葉大學,82267,28453,5629,230,0,1948,118526
105,私立,一般大學,1013,華梵大學,14802,1872,613,2310,22859,13056,55513
105,私立,一般大學,1014,義守大學,90865,13371,7637,0,40021,13727,165621
105,私立,一般大學,1015,世新大學,49346,7479,1309,16464,148024,11748,234371
105,私立,一般大學,1016,銘傳大學,71453,20562,3476,0,9632,20557,125681
105,私立,一般大學,1017,實踐大學,66001,14427,6965,10528,63173,17564,178657
105,私立,技專校院,1018,朝陽科技大學,100033,16822,20807,0,0,9200,146863
105,私立,一般大學,1019,高雄醫學大學,86970,24840,7734,0,7280,25042,151867
105,私立,一般大學,1020,南華大學,19238,5146,8563,0,560,12834,46341
105,私立,一般大學,1021,真理大學,11770,12403,1452,6,1125,13306,40062
105,私立,一般大學,1022,大同大學,35785,10730,2163,0,989,12229,61896
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,123063,14083,13999,1450,234811,12544,399951
105,私立,技專校院,1024,崑山科技大學,115053,7924,14353,198,29095,3127,169749
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,66000,11001,6920,0,464764,21231,569916
105,私立,技專校院,1026,樹德科技大學,53617,10517,9595,0,75919,22681,172329
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,33654,16338,5005,0,0,53015,108011
105,私立,一般大學,1028,臺北醫學大學,187501,31372,50941,0,179643,26459,475917
105,私立,一般大學,1029,中山醫學大學,36739,5914,3091,0,19922,14113,79779
105,私立,技專校院,1030,龍華科技大學,72771,4990,20649,0,59070,470,157950
105,私立,技專校院,1031,輔英科技大學,66837,4063,3973,0,21898,14333,111105
105,私立,技專校院,1032,明新學校財團法人明新科技大學,67773,4073,9922,17931,20509,29358,149567
105,私立,一般大學,1033,長榮大學,26768,3443,3829,21279,46733,30353,132405
105,私立,技專校院,1034,弘光科技大學,48155,19018,4350,0,42661,66189,180374
105,私立,一般大學,1035,中國醫藥大學,68829,31382,8598,0,48995,7928,165732
105,私立,技專校院,1036,健行學校財團法人健行科技大學,111995,9026,5447,0,392288,35623,554378
105,私立,技專校院,1037,正修學校財團法人正修科技大學,116519,15440,12931,5075,33681,83990,267636
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,45091,6395,2466,0,171861,7424,233237
105,私立,一般大學,1039,玄奘大學,40339,2317,8626,22648,9951,7478,91360
105,私立,技專校院,1040,建國科技大學,59985,6120,11123,8339,373,39368,125308
105,私立,技專校院,1041,明志科技大學,122903,2095,22175,0,116151,35836,299160
105,私立,技專校院,1042,高苑科技大學,44316,3938,3994,587,5667,3742,62244
105,私立,技專校院,1043,大仁科技大學,31547,6471,1519,6778,0,2234,48549
105,私立,技專校院,1044,聖約翰科技大學,37356,3359,2765,0,79339,4212,127030
105,私立,技專校院,1045,嶺東科技大學,89698,10700,2433,12069,88914,21729,225543
105,私立,技專校院,1046,中國科技大學,68110,2635,14529,10746,2711,7607,106338
105,私立,技專校院,1047,中臺科技大學,49873,9998,2941,0,0,33983,96796
105,私立,一般大學,1048,亞洲大學,81815,31494,4554,0,462988,9902,590753
105,私立,一般大學,1049,開南大學,15966,10074,0,0,0,2105,28146
105,私立,一般大學,1050,佛光大學,25127,10024,6289,0,0,263,41703
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,69479,10081,6603,0,23485,13613,123261
105,私立,技專校院,1052,遠東科技大學,70988,5603,14051,0,1380,45,92067
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,54023,2497,9718,2865,4836,19472,93411
105,私立,技專校院,1054,景文科技大學,21027,2507,7478,720,14740,7782,54254
105,私立,技專校院,1055,中華醫事科技大學,43829,11968,3651,788,9473,10853,80561
105,私立,技專校院,1056,東南科技大學,41780,3488,7336,0,33748,2928,89280
105,私立,技專校院,1057,德明財經科技大學,30174,2402,4298,0,5426,8794,51094
105,私立,一般大學,1058,明道學校財團法人明道大學,11426,1319,2797,4261,17558,5461,42821
105,私立,技專校院,1060,南開科技大學,38878,6597,8327,0,26874,8597,89272
105,私立,技專校院,1061,中華學校財團法人中華科技大學,60197,3226,683,0,26941,5661,96707
105,私立,技專校院,1062,僑光科技大學,68791,8938,7607,0,2486,16609,104431
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,34970,2927,6943,2763,2699,1491,51792
105,私立,技專校院,1064,美和學校財團法人美和科技大學,49875,7415,5845,0,0,9874,73009
105,私立,技專校院,1065,吳鳳科技大學,21009,5540,6029,0,0,8402,40979
105,私立,技專校院,1066,環球學校財團法人環球科技大學,49244,5595,3358,2780,105667,1746,168390
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,13472,567,1010,0,1506,529,17084
105,私立,技專校院,1068,中州學校財團法人中州科技大學,30324,2790,6541,1666,0,1679,42999
105,私立,技專校院,1069,修平學校財團法人修平科技大學,26400,6120,3963,0,0,25851,62334
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,56476,9381,4873,0,21664,34379,126774
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,68346,4487,6440,260,86347,14829,180709
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,13124,1708,1564,0,4750,13146,34292
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,22845,3232,5454,13485,180278,49880,275174
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,25683,3032,2515,0,355,2232,33817
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,27184,7377,9763,369,1830,7829,54351
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,26742,4578,8406,430,5695,1797,47648
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,24148,10205,3789,1525,0,64939,104606
105,私立,技專校院,1078,致理學校財團法人致理科技大學,46832,19802,12884,3869,6582,20208,110177
105,私立,一般大學,1079,康寧學校財團法人康寧大學,21322,1767,3365,0,7095,11648,45197
105,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,26542,4283,1790,0,85785,2342,120743
105,私立,技專校院,1081,東方學校財團法人東方設計大學,27259,5993,5548,0,4470,6442,49712
105,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,11040,3014,580,0,9570,12653,36856
105,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,17091,4007,2336,0,26213,18422,68070
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,7112,560,128,0,34267,4547,46613
105,私立,技專校院,1148,大漢技術學院,8229,997,1640,1059,1008,1370,14303
105,私立,技專校院,1159,和春技術學院,26986,1090,814,0,0,1023,29913
105,私立,技專校院,1166,亞東技術學院,64292,6262,10283,0,15488,9453,105778
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,13450,2979,2239,0,0,1480,20148
105,私立,一般大學,1176,稻江科技暨管理學院,4806,2283,1610,0,0,4231,12930
105,私立,技專校院,1182,蘭陽技術學院,14626,756,1242,0,2566,4201,23391
105,私立,技專校院,1183,黎明技術學院,25250,1101,2092,688,7661,2154,38946
105,私立,技專校院,1185,經國管理暨健康學院,51575,2168,860,825,5163,12120,72712
105,私立,技專校院,1188,大同技術學院,7459,1217,657,0,3300,6052,18685
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,6726,1065,2490,0,0,2263,12543
105,私立,技專校院,1192,臺灣觀光學院,9437,875,560,0,459,6084,17415
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,13015,8572,1950,0,0,2327,25864
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,4634,3500,3550,0,0,1693,13376
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,23155,3215,3411,0,3501,44632,77914
105,私立,技專校院,1283,仁德醫護管理專科學校,49237,8042,4543,0,79237,39476,180536
105,私立,技專校院,1284,樹人醫護管理專科學校,41718,2516,1692,450,67792,35197,149364
105,私立,技專校院,1285,慈惠醫護管理專科學校,65731,3505,4050,6430,73776,0,153493
105,私立,技專校院,1286,耕莘健康管理專科學校,24466,3089,5769,0,18886,18899,71109
105,私立,技專校院,1287,敏惠醫護管理專科學校,22061,3911,4762,170,63,25249,56216
105,私立,技專校院,1288,高美醫護管理專科學校,12900,388,191,0,3468,426,17374
105,私立,技專校院,1289,育英醫護管理專科學校,13061,2036,1634,0,5147,5972,27851
105,私立,技專校院,1290,崇仁醫護管理專科學校,26704,1717,3283,0,2544,10784,45032
105,私立,技專校院,1291,聖母醫護管理專科學校,20122,2081,4514,0,33259,4899,64875
105,私立,技專校院,1292,新生醫護管理專科學校,30694,1070,3916,0,46838,9960,92478
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,362,1406,8,0,0,73,1849
105,私立,宗教研修學院,1R03,臺北基督學院,1588,643,179,0,0,637,3047
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,235,19,251,0,0,222,727
105,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,937,2634,0,0,260,826,4657
105,私立,宗教研修學院,1R06,一貫道崇德學院,311,189,386,0,200,3677,4763
106,私立,一般大學,1001,東海大學,93651,45206,12103,15906,90372,36449,293687
106,私立,一般大學,1002,輔仁大學,173249,53503,12584,0,167420,61406,468162
106,私立,一般大學,1003,東吳大學,58569,19841,11697,11761,49593,36277,187738
106,私立,一般大學,1004,中原大學,115528,44612,16396,0,286575,82588,545699
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,192487,86727,7200,14695,105367,38198,444674
106,私立,一般大學,1006,中國文化大學,258872,64324,15090,0,24634,12017,374937
106,私立,一般大學,1007,逢甲大學,118883,66681,21541,2257155,14244,33017,2511521
106,私立,一般大學,1008,靜宜大學,64050,21197,5599,0,14027,23522,128395
106,私立,一般大學,1009,長庚大學,328441,6019,21321,0,76196,69830,501807
106,私立,一般大學,1010,元智大學,80136,23882,6030,0,0,16947,126995
106,私立,一般大學,1011,中華大學學校財團法人中華大學,29457,12436,22518,0,29193,15675,109279
106,私立,一般大學,1012,大葉大學,67246,24441,10553,0,1786,656,104682
106,私立,一般大學,1013,華梵大學,9453,1202,997,0,11965,6174,29791
106,私立,一般大學,1014,義守大學,89338,27899,10862,0,22411,19698,170208
106,私立,一般大學,1015,世新大學,31994,4390,929,800,161907,21024,221044
106,私立,一般大學,1016,銘傳大學,70727,21395,6441,40374,32710,22235,193882
106,私立,一般大學,1017,實踐大學,61466,14654,15026,0,75252,12583,178981
106,私立,技專校院,1018,朝陽科技大學,79722,16627,9998,0,0,28877,135224
106,私立,一般大學,1019,高雄醫學大學,73898,61373,8416,1471,9634,22406,177198
106,私立,一般大學,1020,南華大學,42735,12846,7594,0,2461,10049,75685
106,私立,一般大學,1021,真理大學,11287,7253,1152,449,7564,9140,36845
106,私立,一般大學,1022,大同大學,22826,9752,1955,0,13437,9980,57950
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,163865,14004,16527,10028,428964,2266,635654
106,私立,技專校院,1024,崑山科技大學,134645,18692,14200,190,29936,7760,205423
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,93392,8880,8189,0,672717,3985,787163
106,私立,技專校院,1026,樹德科技大學,49844,8955,4982,0,17747,25398,106926
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,52533,16638,4484,1750,0,45426,120831
106,私立,一般大學,1028,臺北醫學大學,172236,31112,24050,820,164505,33380,426103
106,私立,一般大學,1029,中山醫學大學,62273,3933,4390,2705,27413,9167,109881
106,私立,技專校院,1030,龍華科技大學,104282,2107,9066,0,155707,5102,276264
106,私立,技專校院,1031,輔英科技大學,70337,7240,4852,1636,9596,7310,100971
106,私立,技專校院,1032,明新學校財團法人明新科技大學,50571,7097,13841,18978,16092,37937,144516
106,私立,一般大學,1033,長榮大學,44826,2986,2683,5052,13396,28819,97762
106,私立,技專校院,1034,弘光科技大學,50624,19562,2416,5606,85108,35125,198441
