學年度,設立別,學校類別,學校統計處代碼,學校名稱,各項資本支出情形-機械儀器及設備,各項資本支出情形-圖書及博物,各項資本支出情形-無形資產,各項資本支出情形-土地及土地改良物,各項資本支出情形-房屋及建築,各項資本支出情形-其他動產及不動產,各項資本支出情形-合計
106,私立,技專校院,1287,敏惠醫護管理專科學校,11392,4394,3378,0,0,34073,53237
106,私立,技專校院,1288,高美醫護管理專科學校,4090,465,600,0,0,314,5469
106,私立,技專校院,1289,育英醫護管理專科學校,10201,4904,2153,0,1374,4574,23206
106,私立,技專校院,1290,崇仁醫護管理專科學校,29744,2681,809,200,2348,14991,50773
106,私立,技專校院,1291,聖母醫護管理專科學校,16456,2172,2538,929,34365,7004,63464
106,私立,技專校院,1292,新生醫護管理專科學校,23222,1558,5637,0,32850,17206,80473
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,71,1697,174,0,0,260,2202
106,私立,宗教研修學院,1R03,臺北基督學院,1093,644,69,0,0,953,2759
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,894,41,1516,0,0,242,2693
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,386,2451,0,0,412,50,3299
106,私立,宗教研修學院,1R06,一貫道崇德學院,53,481,91,0,4474,643,5742
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,247,130,167,0,0,0,544
107,私立,一般大學,1001,東海大學,80415,40125,11939,25701,63924,49034,271137
107,私立,一般大學,1002,輔仁大學,196394,52182,11139,23602,434057,7664,725038
107,私立,一般大學,1003,東吳大學,59776,19273,10687,11566,21654,60810,183766
107,私立,一般大學,1004,中原大學,176419,42252,21971,1116,153945,63565,459268
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,180045,76630,8155,9263,40014,432,314539
107,私立,一般大學,1006,中國文化大學,194187,64426,14431,0,129443,28773,431260
107,私立,一般大學,1007,逢甲大學,161512,61630,25183,1877,126503,64486,441190
107,私立,一般大學,1008,靜宜大學,57017,19165,6608,3230,86863,22178,195061
107,私立,一般大學,1009,長庚大學,376543,11028,30904,0,90459,23208,532142
107,私立,一般大學,1010,元智大學,81962,22202,8005,0,0,17686,129854
107,私立,一般大學,1011,中華大學學校財團法人中華大學,27095,12847,18693,0,7709,6848,73192
107,私立,一般大學,1012,大葉大學,44951,25156,6239,0,1071,397,77814
107,私立,一般大學,1013,華梵大學,10864,754,174,0,896,4967,17655
107,私立,一般大學,1014,義守大學,86425,18445,7778,13200,11937,16837,154622
107,私立,一般大學,1015,世新大學,57510,4889,8104,4657,132144,17524,224828
107,私立,一般大學,1016,銘傳大學,66151,16878,3314,0,5010,37156,128509
107,私立,一般大學,1017,實踐大學,79237,15577,10054,645,35921,6882,148315
107,私立,技專校院,1018,朝陽科技大學,131990,17133,20370,0,0,2873,172366
107,私立,一般大學,1019,高雄醫學大學,80343,47560,11352,382039,30637,20764,572694
107,私立,一般大學,1020,南華大學,28056,11740,4941,0,1524,4707,50968
107,私立,一般大學,1021,真理大學,15253,1541,2743,0,0,11768,31304
107,私立,一般大學,1022,大同大學,39779,9392,3817,0,0,15667,68655
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,244411,16778,14659,9869,114550,4494,404761
107,私立,技專校院,1024,崑山科技大學,108511,8754,17220,0,90912,5542,230939
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,71751,3875,11953,19500,312606,14086,433771
107,私立,技專校院,1026,樹德科技大學,63619,8066,15379,0,1253,31744,120060
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,44589,18830,7660,0,0,22016,93095
107,私立,一般大學,1028,臺北醫學大學,179916,32933,32141,503,269361,23474,538329
107,私立,一般大學,1029,中山醫學大學,62065,3128,4946,276,619819,7843,698078
107,私立,技專校院,1030,龍華科技大學,91816,5103,10057,0,133271,4674,244922
107,私立,技專校院,1031,輔英科技大學,79398,5645,2896,785,79870,6843,175437
107,私立,技專校院,1032,明新學校財團法人明新科技大學,46178,11584,17070,12160,20972,28371,136334
107,私立,一般大學,1033,長榮大學,28436,3486,6007,925,21186,23604,83644
107,私立,技專校院,1034,弘光科技大學,62295,17579,6722,3598,326755,35447,452395
107,私立,一般大學,1035,中國醫藥大學,83427,33353,5710,0,636605,9299,768394
107,私立,技專校院,1036,健行學校財團法人健行科技大學,62685,5738,10788,0,15533,46003,140747
107,私立,技專校院,1037,正修學校財團法人正修科技大學,162460,20169,14018,0,44901,84184,325733
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,53209,5534,8099,13720,46348,7490,134398
107,私立,一般大學,1039,玄奘大學,24097,2699,3090,1028,10719,11144,52777
107,私立,技專校院,1040,建國科技大學,57429,5277,9902,3170,0,22852,98630
107,私立,技專校院,1041,明志科技大學,155291,2148,24321,0,179139,86142,447041
107,私立,技專校院,1042,高苑科技大學,32900,3458,2356,0,0,3675,42389
107,私立,技專校院,1043,大仁科技大學,25291,3345,2685,3708,0,1030,36059
107,私立,技專校院,1044,聖約翰科技大學,23570,2964,1659,579,9481,9140,47393
107,私立,技專校院,1045,嶺東科技大學,124735,9880,3801,5966,60949,64783,270114
107,私立,技專校院,1046,中國科技大學,55254,2863,14470,0,385,6426,79398
107,私立,技專校院,1047,中臺科技大學,35055,8086,7615,0,0,12430,63186
107,私立,一般大學,1048,亞洲大學,67941,18014,7566,0,0,8545,102066
107,私立,一般大學,1049,開南大學,14905,4428,0,0,0,17334,36667
107,私立,一般大學,1050,佛光大學,40015,7156,5214,0,0,134,52519
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,69178,8006,9550,0,23463,22305,132502
107,私立,技專校院,1052,遠東科技大學,60331,4586,3451,0,0,40,68408
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,45448,1762,7373,3178,24677,26332,108770
107,私立,技專校院,1054,景文科技大學,24264,2760,10575,0,8109,25720,71428
107,私立,技專校院,1055,中華醫事科技大學,38778,8071,336,393,6723,3393,57694
107,私立,技專校院,1056,東南科技大學,40315,2972,2155,0,13407,4806,63655
107,私立,技專校院,1057,德明財經科技大學,36077,4812,2282,0,21632,13425,78229
107,私立,一般大學,1058,明道學校財團法人明道大學,18975,645,1523,2097,3234,18852,45326
107,私立,技專校院,1060,南開科技大學,18123,3596,1549,0,0,17058,40326
107,私立,技專校院,1061,中華學校財團法人中華科技大學,48856,1656,0,793,13235,6333,70873
107,私立,技專校院,1062,僑光科技大學,24611,4718,10945,0,0,55562,95837
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,28546,2211,2831,0,2508,942,37039
107,私立,技專校院,1064,美和學校財團法人美和科技大學,40756,2574,4233,0,0,8081,55644
107,私立,技專校院,1065,吳鳳科技大學,35911,3877,1452,4563,2511,6859,55173
107,私立,技專校院,1066,環球學校財團法人環球科技大學,33438,4080,7253,2731,8401,1361,57265
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,10234,920,1809,1208,1626,12388,28185
107,私立,技專校院,1068,中州學校財團法人中州科技大學,6240,414,465,0,0,1269,8388
107,私立,技專校院,1069,修平學校財團法人修平科技大學,24729,7963,38062,500,0,26298,97553
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,67962,9816,9542,0,35524,10638,133481
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,63256,3732,6452,1054,42117,1778,118388
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,6443,796,417,0,925,1101,9682
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,26245,2077,5465,570,38643,39333,112332
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,58923,10274,17945,0,77596,3268,168006
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,33375,6252,2142,0,1402,242,43413
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,20964,10449,6916,420,70963,31085,140797
107,私立,技專校院,1078,致理學校財團法人致理科技大學,56609,11539,23671,0,113056,11075,215949
107,私立,一般大學,1079,康寧學校財團法人康寧大學,13329,1429,910,2594,5561,11296,35120
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,22410,3633,2837,0,59419,4487,92785
107,私立,技專校院,1081,東方學校財團法人東方設計大學,13284,3461,3933,0,63,2112,22854
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,3347,2491,1723,0,16078,16935,40574
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,19437,3432,4494,4618,30536,9675,72191
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,12874,300,444,3144,11591,7610,35962
107,私立,技專校院,1148,大漢技術學院,3770,149,300,0,1452,698,6370
107,私立,技專校院,1159,和春技術學院,6582,500,189,0,0,48,7320
107,私立,技專校院,1166,亞東技術學院,56317,3865,10933,0,7151,12165,90430
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,8522,488,787,0,7775,1401,18973
107,私立,一般大學,1176,稻江科技暨管理學院,4381,1011,2135,0,0,9959,17487
107,私立,技專校院,1182,蘭陽技術學院,3114,388,301,0,216,545,4565
107,私立,技專校院,1183,黎明技術學院,32056,2098,5961,275,6260,3863,50514
107,私立,技專校院,1185,經國管理暨健康學院,41979,3210,1715,10399,20108,1285,78695
107,私立,技專校院,1188,大同技術學院,9240,838,908,0,0,6877,17863
107,私立,技專校院,1192,臺灣觀光學院,1785,322,310,1500,1750,907,6575
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,20140,8740,5231,0,2040,8079,44230
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,2510,4589,4417,0,0,614,12130
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,28820,2654,5421,0,237208,22035,296138
107,私立,技專校院,1283,仁德醫護管理專科學校,26881,6712,4956,0,0,20361,58909
107,私立,技專校院,1284,樹人醫護管理專科學校,54454,2956,712,8940,11699,110,78870
107,私立,技專校院,1285,慈惠醫護管理專科學校,40456,2400,1861,0,0,0,44717
107,私立,技專校院,1286,耕莘健康管理專科學校,31355,2855,5153,0,1154,21181,61699
107,私立,技專校院,1287,敏惠醫護管理專科學校,17892,3663,3581,435,0,30843,56414
107,私立,技專校院,1289,育英醫護管理專科學校,13477,3526,457,0,6684,6177,30322
107,私立,技專校院,1291,聖母醫護管理專科學校,13497,1620,1112,1390,10372,6055,34045
107,私立,技專校院,1292,新生醫護管理專科學校,33010,2917,5541,0,0,19011,60478
107,私立,技專校院,1293,崇仁醫護管理專科學校,27577,2242,369,148,980,8219,39536
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,50,1771,64,0,0,147,2033
107,私立,宗教研修學院,1R03,臺北基督學院,671,615,209,0,0,1467,2962
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,1418,95,328,0,0,478,2318
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,345,2187,0,0,0,498,3030
107,私立,宗教研修學院,1R06,一貫道崇德學院,0,111,0,0,9622,208,9941
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,133,329,0,0,0,115,576
108,私立,一般大學,1001,東海大學,99419,39355,10162,44316,33649,47844,274744
108,私立,一般大學,1002,輔仁大學,158873,51417,12151,10576,281676,32129,546823
108,私立,一般大學,1003,東吳大學,60041,16735,8138,468,49036,55130,189548
108,私立,一般大學,1004,中原大學,184075,43018,16200,36858,154157,143104,577412
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,111515,67960,8229,0,5040,1432,194176
108,私立,一般大學,1006,中國文化大學,149405,54689,10695,0,20480,7968,243237
108,私立,一般大學,1007,逢甲大學,136101,68498,12910,0,382126,66154,665790
108,私立,一般大學,1008,靜宜大學,52736,17722,7418,2890,213961,43877,338603
108,私立,一般大學,1009,長庚大學,266167,6143,37738,0,282695,32184,624926
108,私立,一般大學,1010,元智大學,52147,21796,7280,0,7144,14715,103083
108,私立,一般大學,1011,中華大學學校財團法人中華大學,35664,13026,10004,0,128261,10032,196987
108,私立,一般大學,1012,大葉大學,48149,22643,4849,210,27358,413,103622
108,私立,一般大學,1013,華梵大學,16914,610,1139,303,3130,14345,36441
108,私立,一般大學,1014,義守大學,97885,12178,4791,0,49742,19891,184487
108,私立,一般大學,1015,世新大學,52766,5115,4815,0,247420,27168,337286
108,私立,一般大學,1016,銘傳大學,64152,13447,4300,13127,2700,28983,126709
108,私立,一般大學,1017,實踐大學,47687,13534,9471,0,238593,21783,331068
108,私立,技專校院,1018,朝陽科技大學,113663,27889,5962,0,615,577,148707
108,私立,一般大學,1019,高雄醫學大學,80219,38574,12225,1822511,86093,13852,2053473
108,私立,一般大學,1020,南華大學,36242,9462,2242,2866,4716,6922,62450
108,私立,一般大學,1021,真理大學,12845,1511,4770,1131,614,10881,31753
108,私立,一般大學,1022,大同大學,27317,8884,6755,1519,7690,10514,62680
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,173607,10058,10590,12800,183613,2589,393256
108,私立,技專校院,1024,崑山科技大學,115909,12321,16023,1785,49653,20397,216087
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,95463,6484,5585,6500,50139,1341,165513
108,私立,技專校院,1026,樹德科技大學,39739,7981,8815,0,9942,18650,85129
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,73399,17114,5753,0,0,22941,119207
108,私立,一般大學,1028,臺北醫學大學,184413,25500,40998,180,883771,10119,1144980
108,私立,一般大學,1029,中山醫學大學,72325,3948,5867,0,455696,13382,551218
108,私立,技專校院,1030,龍華科技大學,119022,5676,20738,0,9348,10574,165357
108,私立,技專校院,1031,輔英科技大學,51344,4349,6091,0,26884,5283,93951
108,私立,技專校院,1032,明新學校財團法人明新科技大學,66480,4191,6166,575,52960,24042,154415
108,私立,一般大學,1033,長榮大學,25872,8005,7455,12515,14353,26331,94531
108,私立,技專校院,1034,弘光科技大學,63068,9277,6608,310,214741,32562,326566
108,私立,一般大學,1035,中國醫藥大學,103284,83511,11657,0,1897055,6854,2102361
108,私立,技專校院,1036,健行學校財團法人健行科技大學,82639,5419,8222,0,60424,27424,184127
108,私立,技專校院,1037,正修學校財團法人正修科技大學,154358,8064,15281,2250,4453,45416,229822
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,54654,4085,1331,0,45197,3441,108708
108,私立,一般大學,1039,玄奘大學,15819,2433,563,775,226,16558,36374
108,私立,技專校院,1040,建國科技大學,37056,3441,7448,1740,0,6498,56183
108,私立,技專校院,1041,明志科技大學,189108,1972,17806,0,166450,89569,464906
108,私立,技專校院,1042,高苑科技大學,25199,1720,4123,591,1668,1711,35012
108,私立,技專校院,1043,大仁科技大學,26408,2716,0,1565,0,3092,33780
108,私立,技專校院,1044,聖約翰科技大學,26231,1704,5005,0,1924,6964,41829
