學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,私立,技專校院,1159,和春技術學院,是,專門著作,0,0,0,0,0,0
106,私立,技專校院,1159,和春技術學院,是,學位論文(文憑送審),0,0,1,0,1,0
106,私立,技專校院,1166,亞東技術學院,否,專門著作,1,2,2,0,4,100
106,私立,技專校院,1166,亞東技術學院,否,藝術作品(作品及成就),0,0,1,0,1,0
106,私立,技專校院,1166,亞東技術學院,否,教學實務(技術報告),0,0,2,1,3,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,否,應用科技(技術報告),1,0,0,0,0,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,否,藝術作品(作品及成就),0,0,0,0,0,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,一般大學,1176,稻江科技暨管理學院,否,專門著作,1,0,0,0,0,0
106,私立,技專校院,1183,黎明技術學院,否,專門著作,1,0,0,0,0,0
106,私立,技專校院,1183,黎明技術學院,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1185,經國管理暨健康學院,否,專門著作,1,0,0,1,1,100
106,私立,技專校院,1188,大同技術學院,否,專門著作,1,0,0,0,0,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,否,專門著作,6,0,3,1,4,66.67
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,否,學位論文(文憑送審),1,0,0,1,1,100
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1283,仁德醫護管理專科學校,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1284,樹人醫護管理專科學校,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1284,樹人醫護管理專科學校,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1285,慈惠醫護管理專科學校,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1287,敏惠醫護管理專科學校,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1287,敏惠醫護管理專科學校,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1291,聖母醫護管理專科學校,否,專門著作,1,0,2,0,2,100
106,私立,技專校院,1292,新生醫護管理專科學校,否,專門著作,0,0,1,0,1,0
106,私立,技專校院,1292,新生醫護管理專科學校,否,學位論文(文憑送審),0,0,0,2,2,0
106,私立,技專校院,1293,崇仁醫護管理專科學校,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1293,崇仁醫護管理專科學校,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,否,專門著作,1,0,1,0,1,100
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,否,專門著作,5,0,0,0,0,0
106,公立,一般大學,3002,臺北市立大學,是,專門著作,20,8,4,3,15,75
106,公立,一般大學,3002,臺北市立大學,是,應用科技(技術報告),1,0,1,0,1,100
106,公立,一般大學,3002,臺北市立大學,是,體育成就(作品及成就),2,1,1,0,2,100
107,公立,一般大學,0001,國立政治大學,是,專門著作,31,13,16,0,29,93.55
107,公立,一般大學,0002,國立清華大學,是,專門著作,33,14,18,1,33,100
107,公立,一般大學,0002,國立清華大學,是,教學實務(技術報告),3,0,3,0,3,100
107,公立,一般大學,0003,國立臺灣大學,是,專門著作,124,49,56,1,106,85.48
107,公立,一般大學,0004,國立臺灣師範大學,是,專門著作,34,16,16,0,32,94.12
107,公立,一般大學,0004,國立臺灣師範大學,是,藝術作品(作品及成就),2,1,1,0,2,100
107,公立,一般大學,0005,國立成功大學,是,專門著作,78,26,52,0,78,100
107,公立,一般大學,0005,國立成功大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0005,國立成功大學,是,教學實務(技術報告),1,0,1,0,1,100
107,公立,一般大學,0006,國立中興大學,是,專門著作,37,16,17,0,33,89.19
107,公立,一般大學,0007,國立陽明交通大學,是,專門著作,43,22,17,0,39,90.70
107,公立,一般大學,0008,國立中央大學,是,專門著作,33,16,16,0,32,96.97
107,公立,一般大學,0009,國立中山大學,是,專門著作,16,7,9,0,16,100
107,公立,一般大學,0009,國立中山大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0012,國立臺灣海洋大學,是,專門著作,9,6,2,0,8,88.89
107,公立,一般大學,0013,國立中正大學,是,專門著作,32,14,11,0,25,78.13
107,公立,一般大學,0014,國立高雄師範大學,是,專門著作,11,9,2,0,11,100
107,公立,一般大學,0014,國立高雄師範大學,是,應用科技(技術報告),3,2,1,0,3,100
107,公立,一般大學,0014,國立高雄師範大學,是,藝術作品(作品及成就),1,1,0,0,1,100
107,公立,一般大學,0014,國立高雄師範大學,是,教學實務(技術報告),1,1,0,0,1,100
107,公立,一般大學,0015,國立彰化師範大學,是,專門著作,14,6,3,0,9,64.29
107,公立,一般大學,0015,國立彰化師範大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0016,國立陽明大學,是,專門著作,17,7,8,0,15,88.24
107,公立,一般大學,0016,國立陽明大學,是,教學實務(技術報告),1,1,0,0,1,100
107,公立,一般大學,0017,國立臺北大學,是,專門著作,26,10,16,0,26,100
107,公立,一般大學,0018,國立嘉義大學,是,專門著作,28,12,7,1,20,71.43
107,公立,一般大學,0018,國立嘉義大學,是,藝術作品(作品及成就),1,1,0,0,1,100
107,公立,一般大學,0018,國立嘉義大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,公立,一般大學,0019,國立高雄大學,是,專門著作,16,9,7,0,16,100
107,公立,一般大學,0019,國立高雄大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0019,國立高雄大學,是,教學實務(技術報告),2,1,1,0,2,100
107,公立,一般大學,0020,國立東華大學,是,專門著作,22,12,6,0,18,81.82
107,公立,一般大學,0021,國立暨南國際大學,是,專門著作,8,5,3,0,8,100
107,公立,一般大學,0021,國立暨南國際大學,是,應用科技(技術報告),1,0,1,0,1,100
107,公立,一般大學,0021,國立暨南國際大學,是,學位論文(文憑送審),2,0,0,2,2,100
107,公立,技專校院,0022,國立臺灣科技大學,是,專門著作,16,11,4,0,15,93.75
107,公立,技專校院,0022,國立臺灣科技大學,是,應用科技(技術報告),3,1,2,0,3,100
107,公立,技專校院,0022,國立臺灣科技大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,技專校院,0023,國立雲林科技大學,是,專門著作,15,9,6,0,15,100
107,公立,技專校院,0023,國立雲林科技大學,是,應用科技(技術報告),1,1,0,0,1,100
107,公立,技專校院,0024,國立屏東科技大學,是,專門著作,28,12,16,0,28,100
107,公立,技專校院,0024,國立屏東科技大學,是,教學實務(技術報告),1,1,0,0,1,100
107,公立,技專校院,0025,國立臺北科技大學,是,專門著作,14,9,5,0,14,100
107,公立,技專校院,0025,國立臺北科技大學,是,應用科技(技術報告),3,2,1,0,3,100
107,公立,技專校院,0025,國立臺北科技大學,是,教學實務(技術報告),1,1,0,0,1,100
107,公立,一般大學,0028,國立臺北藝術大學,是,專門著作,2,1,1,0,2,100
107,公立,一般大學,0028,國立臺北藝術大學,是,應用科技(技術報告),1,0,0,0,0,0
107,公立,一般大學,0028,國立臺北藝術大學,是,藝術作品(作品及成就),5,3,2,0,5,100
107,公立,一般大學,0029,國立臺灣藝術大學,是,專門著作,6,5,1,0,6,100
107,公立,一般大學,0029,國立臺灣藝術大學,是,藝術作品(作品及成就),4,3,1,0,4,100
107,公立,一般大學,0029,國立臺灣藝術大學,是,體育成就(作品及成就),1,0,0,1,1,100
107,公立,一般大學,0030,國立臺東大學,是,專門著作,18,6,9,0,15,83.33
107,公立,一般大學,0030,國立臺東大學,是,藝術作品(作品及成就),3,0,3,0,3,100
107,公立,一般大學,0030,國立臺東大學,是,學位論文(文憑送審),2,0,0,2,2,100
107,公立,一般大學,0031,國立宜蘭大學,是,專門著作,7,3,3,0,6,85.71
107,公立,一般大學,0031,國立宜蘭大學,是,教學實務(技術報告),4,1,2,0,3,75
107,公立,一般大學,0032,國立聯合大學,是,專門著作,8,5,3,0,8,100
107,公立,一般大學,0032,國立聯合大學,是,藝術作品(作品及成就),1,0,0,0,0,0
107,公立,一般大學,0032,國立聯合大學,是,學位論文(文憑送審),1,0,1,0,1,100
107,公立,技專校院,0033,國立虎尾科技大學,是,專門著作,10,3,7,0,10,100
107,公立,技專校院,0033,國立虎尾科技大學,是,應用科技(技術報告),2,1,1,0,2,100
107,公立,技專校院,0033,國立虎尾科技大學,是,教學實務(技術報告),5,2,1,2,5,100
107,公立,技專校院,0033,國立虎尾科技大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,公立,一般大學,0035,國立臺南藝術大學,是,專門著作,4,0,4,0,4,100
107,公立,一般大學,0036,國立臺南大學,是,專門著作,12,8,1,0,9,75
107,公立,一般大學,0037,國立臺北教育大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0037,國立臺北教育大學,是,學位論文(文憑送審),7,2,3,0,5,71.43
107,公立,一般大學,0039,國立臺中教育大學,是,專門著作,5,3,2,0,5,100
107,公立,一般大學,0039,國立臺中教育大學,是,學位論文(文憑送審),9,0,0,5,5,55.56
107,公立,技專校院,0042,國立澎湖科技大學,否,應用科技(技術報告),1,0,1,0,1,100
107,公立,技專校院,0042,國立澎湖科技大學,否,學位論文(文憑送審),3,0,0,3,3,100
107,公立,技專校院,0043,國立勤益科技大學,否,專門著作,6,4,2,0,6,100
107,公立,技專校院,0043,國立勤益科技大學,否,應用科技(技術報告),1,1,0,0,1,100
107,公立,技專校院,0043,國立勤益科技大學,否,教學實務(技術報告),1,1,0,0,1,100
107,公立,技專校院,0043,國立勤益科技大學,否,學位論文(文憑送審),1,0,1,0,1,100
107,公立,一般大學,0044,國立體育大學,否,專門著作,7,2,4,0,6,85.71
107,公立,一般大學,0044,國立體育大學,否,應用科技(技術報告),1,0,1,0,1,100
107,公立,一般大學,0044,國立體育大學,否,教學實務(技術報告),1,0,1,0,1,100
107,公立,一般大學,0044,國立體育大學,否,體育成就(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0044,國立體育大學,否,學位論文(文憑送審),1,0,0,1,1,100
107,公立,技專校院,0046,國立臺北護理健康大學,是,專門著作,9,3,4,0,7,77.78
107,公立,技專校院,0046,國立臺北護理健康大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,公立,技專校院,0047,國立高雄餐旅大學,否,體育成就(作品及成就),1,0,1,0,1,100
107,公立,一般大學,0048,國立金門大學,否,專門著作,7,2,1,0,3,42.86
107,公立,一般大學,0048,國立金門大學,否,學位論文(文憑送審),1,0,0,1,1,100
107,公立,一般大學,0049,國立臺灣體育運動大學,否,專門著作,8,1,5,0,6,75
107,公立,技專校院,0050,國立臺中科技大學,否,專門著作,14,2,4,0,6,42.86
107,公立,技專校院,0050,國立臺中科技大學,否,應用科技(技術報告),3,0,1,0,1,33.33
107,公立,技專校院,0050,國立臺中科技大學,否,藝術作品(作品及成就),1,0,1,0,1,100
107,公立,技專校院,0050,國立臺中科技大學,否,教學實務(技術報告),3,1,1,0,2,66.67
107,公立,技專校院,0050,國立臺中科技大學,否,學位論文(文憑送審),6,0,1,5,6,100
107,公立,技專校院,0051,國立臺北商業大學,否,專門著作,11,4,4,0,8,72.73
107,公立,技專校院,0051,國立臺北商業大學,否,應用科技(技術報告),1,0,1,0,1,100
107,公立,技專校院,0051,國立臺北商業大學,否,學位論文(文憑送審),2,0,2,0,2,100
107,公立,一般大學,0052,國立屏東大學,否,專門著作,15,4,8,1,13,86.67
107,公立,一般大學,0052,國立屏東大學,否,應用科技(技術報告),2,0,1,0,1,50
107,公立,一般大學,0052,國立屏東大學,否,教學實務(技術報告),1,0,0,0,0,0
107,公立,一般大學,0052,國立屏東大學,否,學位論文(文憑送審),1,0,1,0,1,100
107,公立,技專校院,0053,國立高雄科技大學,否,專門著作,123,45,45,3,93,75.61
107,公立,技專校院,0053,國立高雄科技大學,否,應用科技(技術報告),21,12,3,0,15,71.43
107,公立,技專校院,0053,國立高雄科技大學,否,藝術作品(作品及成就),3,0,0,0,0,0
107,公立,技專校院,0053,國立高雄科技大學,否,教學實務(技術報告),9,0,3,0,3,33.33
107,公立,技專校院,0053,國立高雄科技大學,否,學位論文(文憑送審),33,18,12,3,33,100
107,公立,技專校院,0221,國立臺南護理專科學校,否,專門著作,12,2,1,0,3,25
107,公立,技專校院,0222,國立臺東專科學校,否,專門著作,1,0,0,0,0,0
107,公立,技專校院,0222,國立臺東專科學校,否,學位論文(文憑送審),1,0,0,0,0,0
107,私立,一般大學,1001,東海大學,是,專門著作,22,8,11,1,20,90.91
107,私立,一般大學,1001,東海大學,是,應用科技(技術報告),1,0,0,1,1,100
107,私立,一般大學,1002,輔仁大學,是,專門著作,33,6,17,1,24,72.73
107,私立,一般大學,1002,輔仁大學,是,藝術作品(作品及成就),1,1,0,0,1,100
107,私立,一般大學,1003,東吳大學,是,專門著作,18,11,7,0,18,100
107,私立,一般大學,1004,中原大學,是,專門著作,22,4,12,0,16,72.73
107,私立,一般大學,1004,中原大學,是,應用科技(技術報告),2,2,0,0,2,100
107,私立,一般大學,1004,中原大學,是,藝術作品(作品及成就),1,0,0,0,0,0
107,私立,一般大學,1004,中原大學,是,教學實務(技術報告),3,1,2,0,3,100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,專門著作,29,9,14,1,24,82.76
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,藝術作品(作品及成就),1,1,0,0,1,100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,教學實務(技術報告),1,0,1,0,1,100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,體育成就(作品及成就),1,0,1,0,1,100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,學位論文(文憑送審),2,0,0,2,2,100
107,私立,一般大學,1006,中國文化大學,是,專門著作,56,21,27,1,49,87.50
107,私立,一般大學,1006,中國文化大學,是,藝術作品(作品及成就),5,1,3,1,5,100
107,私立,一般大學,1006,中國文化大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,一般大學,1007,逢甲大學,是,專門著作,33,13,18,0,31,93.94
107,私立,一般大學,1007,逢甲大學,是,應用科技(技術報告),4,1,2,0,3,75
107,私立,一般大學,1007,逢甲大學,是,教學實務(技術報告),7,3,2,1,6,85.71
107,私立,一般大學,1007,逢甲大學,是,學位論文(文憑送審),1,0,0,0,0,0
107,私立,一般大學,1008,靜宜大學,是,專門著作,23,8,11,0,19,82.61
107,私立,一般大學,1008,靜宜大學,是,應用科技(技術報告),1,0,1,0,1,100
107,私立,一般大學,1008,靜宜大學,是,教學實務(技術報告),6,4,1,0,5,83.33
107,私立,一般大學,1008,靜宜大學,是,學位論文(文憑送審),1,0,1,0,1,100
107,私立,一般大學,1009,長庚大學,是,專門著作,105,28,42,7,77,73.33
107,私立,一般大學,1009,長庚大學,是,應用科技(技術報告),1,0,0,0,0,0
107,私立,一般大學,1009,長庚大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,私立,一般大學,1009,長庚大學,是,教學實務(技術報告),1,0,0,0,0,0
107,私立,一般大學,1009,長庚大學,是,學位論文(文憑送審),6,0,0,6,6,100
107,私立,一般大學,1010,元智大學,是,專門著作,2,0,0,2,2,100
107,私立,一般大學,1010,元智大學,是,學位論文(文憑送審),3,0,0,3,3,100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,是,專門著作,1,0,1,0,1,100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,是,教學實務(技術報告),1,0,1,0,1,100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,一般大學,1012,大葉大學,是,專門著作,9,4,3,0,7,77.78
107,私立,一般大學,1012,大葉大學,是,學位論文(文憑送審),7,0,0,7,7,100
107,私立,一般大學,1013,華梵大學,是,專門著作,1,1,0,0,1,100
107,私立,一般大學,1013,華梵大學,是,應用科技(技術報告),1,1,0,0,1,100
107,私立,一般大學,1013,華梵大學,是,教學實務(技術報告),1,1,0,0,1,100
107,私立,一般大學,1013,華梵大學,是,學位論文(文憑送審),2,0,0,1,1,50
107,私立,一般大學,1014,義守大學,是,專門著作,22,12,5,1,18,81.82
107,私立,一般大學,1014,義守大學,是,應用科技(技術報告),3,0,2,0,2,66.67
107,私立,一般大學,1015,世新大學,是,專門著作,11,5,3,0,8,72.73
107,私立,一般大學,1015,世新大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,一般大學,1016,銘傳大學,是,專門著作,20,5,11,0,16,80
107,私立,一般大學,1016,銘傳大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,私立,一般大學,1017,實踐大學,是,專門著作,14,4,4,1,9,64.29
107,私立,一般大學,1017,實踐大學,是,應用科技(技術報告),2,0,1,0,1,50
107,私立,一般大學,1017,實踐大學,是,藝術作品(作品及成就),2,0,1,1,2,100
107,私立,一般大學,1017,實踐大學,是,教學實務(技術報告),2,0,1,0,1,50
107,私立,一般大學,1017,實踐大學,是,學位論文(文憑送審),2,0,0,2,2,100
107,私立,技專校院,1018,朝陽科技大學,是,專門著作,2,1,1,0,2,100
107,私立,技專校院,1018,朝陽科技大學,是,應用科技(技術報告),1,0,1,0,1,100
107,私立,一般大學,1019,高雄醫學大學,是,專門著作,54,16,23,1,40,74.07
107,私立,一般大學,1020,南華大學,是,專門著作,7,2,4,0,6,85.71
107,私立,一般大學,1020,南華大學,是,教學實務(技術報告),1,1,0,0,1,100
107,私立,一般大學,1021,真理大學,否,專門著作,17,5,5,1,11,64.71
107,私立,一般大學,1021,真理大學,否,教學實務(技術報告),3,0,3,0,3,100
107,私立,一般大學,1021,真理大學,否,體育成就(作品及成就),1,0,1,0,1,100
107,私立,一般大學,1022,大同大學,是,專門著作,1,0,1,0,1,100
107,私立,一般大學,1022,大同大學,是,學位論文(文憑送審),6,0,0,6,6,100
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,專門著作,18,8,7,1,16,88.89
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,應用科技(技術報告),9,2,5,1,8,88.89
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,教學實務(技術報告),2,0,0,1,1,50
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,學位論文(文憑送審),3,0,2,1,3,100
107,私立,技專校院,1024,崑山科技大學,是,專門著作,2,1,1,0,2,100
107,私立,技專校院,1024,崑山科技大學,是,應用科技(技術報告),5,0,5,0,5,100
107,私立,技專校院,1024,崑山科技大學,是,學位論文(文憑送審),4,0,1,3,4,100
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,是,專門著作,20,9,4,3,16,80
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,技專校院,1026,樹德科技大學,否,專門著作,6,0,4,0,4,66.67
107,私立,技專校院,1026,樹德科技大學,否,應用科技(技術報告),5,1,1,0,2,40
107,私立,技專校院,1026,樹德科技大學,否,藝術作品(作品及成就),1,0,1,0,1,100
107,私立,技專校院,1026,樹德科技大學,否,教學實務(技術報告),2,0,2,0,2,100
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,專門著作,19,7,11,0,18,94.74
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,藝術作品(作品及成就),1,0,0,0,0,0
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,教學實務(技術報告),3,0,2,0,2,66.67
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,一般大學,1028,臺北醫學大學,是,專門著作,51,13,25,5,43,84.31
107,私立,一般大學,1029,中山醫學大學,是,專門著作,13,3,4,0,7,53.85
107,私立,一般大學,1029,中山醫學大學,是,學位論文(文憑送審),3,0,0,3,3,100
107,私立,技專校院,1030,龍華科技大學,否,專門著作,6,0,3,1,4,66.67
107,私立,技專校院,1030,龍華科技大學,否,應用科技(技術報告),2,0,2,0,2,100
107,私立,技專校院,1030,龍華科技大學,否,藝術作品(作品及成就),1,0,0,1,1,100
107,私立,技專校院,1030,龍華科技大學,否,教學實務(技術報告),2,0,1,1,2,100
107,私立,技專校院,1031,輔英科技大學,否,專門著作,3,0,0,0,0,0
107,私立,技專校院,1031,輔英科技大學,否,應用科技(技術報告),2,1,0,1,2,100
107,私立,技專校院,1031,輔英科技大學,否,教學實務(技術報告),5,0,3,1,4,80
107,私立,技專校院,1032,明新學校財團法人明新科技大學,否,專門著作,12,2,5,1,8,66.67
107,私立,技專校院,1032,明新學校財團法人明新科技大學,否,應用科技(技術報告),2,0,1,1,2,100
107,私立,一般大學,1033,長榮大學,是,專門著作,15,5,5,2,12,80
107,私立,一般大學,1033,長榮大學,是,應用科技(技術報告),1,1,0,0,1,100
107,私立,一般大學,1033,長榮大學,是,藝術作品(作品及成就),1,1,0,0,1,100
107,私立,一般大學,1033,長榮大學,是,學位論文(文憑送審),18,0,0,18,18,100
107,私立,技專校院,1034,弘光科技大學,是,專門著作,6,2,3,0,5,83.33
107,私立,技專校院,1034,弘光科技大學,是,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1034,弘光科技大學,是,學位論文(文憑送審),8,0,0,7,7,87.50
107,私立,一般大學,1035,中國醫藥大學,是,專門著作,30,9,17,1,27,90
107,私立,一般大學,1035,中國醫藥大學,是,學位論文(文憑送審),1,0,0,1,1,100
107,私立,技專校院,1036,健行學校財團法人健行科技大學,否,專門著作,2,0,1,0,1,50
107,私立,技專校院,1037,正修學校財團法人正修科技大學,是,專門著作,15,6,3,1,10,66.67
107,私立,技專校院,1037,正修學校財團法人正修科技大學,是,應用科技(技術報告),9,2,4,1,7,77.78
107,私立,技專校院,1037,正修學校財團法人正修科技大學,是,藝術作品(作品及成就),1,0,0,1,1,100
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,否,專門著作,2,0,1,0,1,50
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,否,應用科技(技術報告),1,0,0,0,0,0
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,否,教學實務(技術報告),1,0,0,1,1,100
107,私立,一般大學,1039,玄奘大學,否,專門著作,3,0,1,0,1,33.33
107,私立,一般大學,1039,玄奘大學,否,藝術作品(作品及成就),3,0,3,0,3,100
107,私立,一般大學,1039,玄奘大學,否,教學實務(技術報告),4,1,1,1,3,75
107,私立,技專校院,1040,建國科技大學,否,專門著作,1,0,0,0,0,0
107,私立,技專校院,1040,建國科技大學,否,應用科技(技術報告),1,0,0,0,0,0
107,私立,技專校院,1040,建國科技大學,否,藝術作品(作品及成就),2,0,1,1,2,100
107,私立,技專校院,1040,建國科技大學,否,教學實務(技術報告),1,0,0,1,1,100
107,私立,技專校院,1041,明志科技大學,是,專門著作,5,3,2,0,5,100
107,私立,技專校院,1041,明志科技大學,是,應用科技(技術報告),2,0,2,0,2,100
107,私立,技專校院,1041,明志科技大學,是,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1042,高苑科技大學,否,專門著作,2,0,0,0,0,0
107,私立,技專校院,1042,高苑科技大學,否,應用科技(技術報告),2,0,0,0,0,0
107,私立,技專校院,1042,高苑科技大學,否,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1043,大仁科技大學,否,專門著作,13,0,6,3,9,69.23
107,私立,技專校院,1043,大仁科技大學,否,藝術作品(作品及成就),1,0,0,1,1,100
107,私立,技專校院,1043,大仁科技大學,否,教學實務(技術報告),3,0,1,0,1,33.33
107,私立,技專校院,1043,大仁科技大學,否,學位論文(文憑送審),2,0,0,1,1,50
107,私立,技專校院,1044,聖約翰科技大學,否,專門著作,4,1,2,0,3,75
107,私立,技專校院,1044,聖約翰科技大學,否,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1044,聖約翰科技大學,否,學位論文(文憑送審),2,0,0,1,1,50
107,私立,技專校院,1045,嶺東科技大學,否,應用科技(技術報告),1,0,1,0,1,100
107,私立,技專校院,1045,嶺東科技大學,否,藝術作品(作品及成就),1,0,1,0,1,100
107,私立,技專校院,1045,嶺東科技大學,否,學位論文(文憑送審),3,0,0,3,3,100
107,私立,技專校院,1046,中國科技大學,否,專門著作,1,0,0,0,0,0
107,私立,技專校院,1046,中國科技大學,否,應用科技(技術報告),1,0,1,0,1,100
107,私立,技專校院,1046,中國科技大學,否,教學實務(技術報告),1,0,0,1,1,100
107,私立,技專校院,1046,中國科技大學,否,學位論文(文憑送審),3,0,1,1,2,66.67
107,私立,技專校院,1047,中臺科技大學,否,專門著作,10,1,0,0,1,10
107,私立,技專校院,1047,中臺科技大學,否,學位論文(文憑送審),4,0,0,2,2,50
107,私立,一般大學,1048,亞洲大學,是,專門著作,14,5,4,1,10,71.43
107,私立,一般大學,1048,亞洲大學,是,應用科技(技術報告),2,1,0,0,1,50
107,私立,一般大學,1048,亞洲大學,是,藝術作品(作品及成就),1,0,1,0,1,100
107,私立,一般大學,1048,亞洲大學,是,教學實務(技術報告),5,1,3,0,4,80
107,私立,一般大學,1048,亞洲大學,是,學位論文(文憑送審),18,0,0,18,18,100
107,私立,一般大學,1049,開南大學,否,專門著作,15,1,5,0,6,40
107,私立,一般大學,1049,開南大學,否,藝術作品(作品及成就),1,0,0,0,0,0
107,私立,一般大學,1049,開南大學,否,學位論文(文憑送審),1,0,0,1,1,100
107,私立,一般大學,1050,佛光大學,是,專門著作,16,4,8,0,12,75
107,私立,一般大學,1050,佛光大學,是,應用科技(技術報告),1,0,1,0,1,100
107,私立,一般大學,1050,佛光大學,是,學位論文(文憑送審),4,0,0,4,4,100
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,專門著作,4,0,3,0,3,75
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,應用科技(技術報告),2,0,2,0,2,100
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,否,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1052,遠東科技大學,否,專門著作,3,0,1,0,1,33.33
107,私立,技專校院,1052,遠東科技大學,否,應用科技(技術報告),2,1,1,0,2,100
107,私立,技專校院,1052,遠東科技大學,否,教學實務(技術報告),2,1,0,0,1,50
107,私立,技專校院,1052,遠東科技大學,否,學位論文(文憑送審),1,0,1,0,1,100
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,否,專門著作,1,0,1,0,1,100
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,否,學位論文(文憑送審),2,0,0,2,2,100
107,私立,技專校院,1054,景文科技大學,否,教學實務(技術報告),2,1,0,0,1,50
107,私立,技專校院,1054,景文科技大學,否,學位論文(文憑送審),1,0,0,1,1,100
107,私立,技專校院,1055,中華醫事科技大學,否,專門著作,13,2,4,2,8,61.54
107,私立,技專校院,1055,中華醫事科技大學,否,教學實務(技術報告),1,0,1,0,1,100
107,私立,技專校院,1056,東南科技大學,否,藝術作品(作品及成就),1,0,0,0,0,0
107,私立,技專校院,1056,東南科技大學,否,教學實務(技術報告),1,0,0,0,0,0
107,私立,技專校院,1056,東南科技大學,否,學位論文(文憑送審),1,0,0,1,1,100
