學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,公立,一般大學,0037,國立臺北教育大學,是,專門著作,6,1,3,0,4,66.67
106,公立,一般大學,0037,國立臺北教育大學,是,教學實務(技術報告),2,2,0,0,2,100
106,公立,一般大學,0037,國立臺北教育大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,公立,一般大學,0039,國立臺中教育大學,是,專門著作,9,3,3,0,6,66.67
106,公立,一般大學,0039,國立臺中教育大學,是,學位論文(文憑送審),3,0,0,3,3,100
106,公立,技專校院,0042,國立澎湖科技大學,是,專門著作,0,1,1,0,2,0
106,公立,技專校院,0043,國立勤益科技大學,否,專門著作,0,5,3,0,8,0
106,公立,技專校院,0043,國立勤益科技大學,否,學位論文(文憑送審),0,0,1,0,1,0
106,公立,一般大學,0044,國立體育大學,否,專門著作,9,1,5,0,6,66.67
106,公立,一般大學,0044,國立體育大學,否,應用科技(技術報告),1,0,1,0,1,100
106,公立,一般大學,0044,國立體育大學,否,教學實務(技術報告),1,1,0,0,1,100
106,公立,一般大學,0044,國立體育大學,否,學位論文(文憑送審),1,0,0,1,1,100
106,公立,技專校院,0046,國立臺北護理健康大學,是,專門著作,0,0,1,0,1,0
106,公立,技專校院,0047,國立高雄餐旅大學,否,專門著作,0,1,0,0,1,0
106,公立,技專校院,0047,國立高雄餐旅大學,否,應用科技(技術報告),0,0,1,0,1,0
106,公立,一般大學,0048,國立金門大學,否,專門著作,14,3,8,0,11,78.57
106,公立,一般大學,0048,國立金門大學,否,學位論文(文憑送審),1,0,0,1,1,100
106,公立,一般大學,0049,國立臺灣體育運動大學,否,專門著作,6,1,4,1,6,100
106,公立,技專校院,0050,國立臺中科技大學,是,專門著作,0,3,3,2,8,0
106,公立,技專校院,0050,國立臺中科技大學,是,藝術作品(作品及成就),0,0,1,0,1,0
106,公立,技專校院,0050,國立臺中科技大學,是,教學實務(技術報告),0,0,0,0,0,0
106,公立,技專校院,0051,國立臺北商業大學,否,專門著作,2,3,0,0,3,100
106,公立,技專校院,0051,國立臺北商業大學,否,教學實務(技術報告),0,0,0,0,0,0
106,公立,技專校院,0051,國立臺北商業大學,否,學位論文(文憑送審),0,0,2,1,3,0
106,公立,一般大學,0052,國立屏東大學,否,專門著作,25,12,3,2,17,68
106,公立,一般大學,0052,國立屏東大學,否,應用科技(技術報告),4,0,1,0,1,25
106,公立,一般大學,0052,國立屏東大學,否,教學實務(技術報告),4,0,2,0,2,50
106,公立,技專校院,0144,國立臺灣戲曲學院,否,專門著作,0,0,0,1,1,0
106,公立,技專校院,0221,國立臺南護理專科學校,否,專門著作,0,1,1,0,2,0
106,公立,技專校院,0221,國立臺南護理專科學校,否,學位論文(文憑送審),0,0,0,0,0,0
106,公立,技專校院,0222,國立臺東專科學校,是,專門著作,2,0,0,1,1,50
106,公立,技專校院,0222,國立臺東專科學校,是,應用科技(技術報告),2,0,0,0,0,0
106,私立,一般大學,1001,東海大學,是,專門著作,18,8,10,0,18,100
106,私立,一般大學,1001,東海大學,是,藝術作品(作品及成就),1,1,0,0,1,100
106,私立,一般大學,1001,東海大學,是,教學實務(技術報告),1,1,0,0,1,100
106,私立,一般大學,1002,輔仁大學,是,專門著作,33,10,22,1,33,100
106,私立,一般大學,1002,輔仁大學,是,藝術作品(作品及成就),1,0,1,0,1,100
106,私立,一般大學,1002,輔仁大學,是,學位論文(文憑送審),1,0,1,0,1,100
106,私立,一般大學,1003,東吳大學,是,專門著作,12,5,5,0,10,83.33
106,私立,一般大學,1004,中原大學,是,專門著作,44,10,17,0,27,61.36
106,私立,一般大學,1004,中原大學,是,應用科技(技術報告),2,0,0,0,0,0
106,私立,一般大學,1004,中原大學,是,藝術作品(作品及成就),1,0,0,0,0,0
106,私立,一般大學,1004,中原大學,是,教學實務(技術報告),8,2,0,0,2,25
106,私立,一般大學,1004,中原大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,專門著作,34,13,19,2,34,100
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1006,中國文化大學,是,專門著作,53,12,36,0,48,90.57
106,私立,一般大學,1006,中國文化大學,是,應用科技(技術報告),1,0,1,0,1,100
106,私立,一般大學,1006,中國文化大學,是,藝術作品(作品及成就),5,3,1,1,5,100
106,私立,一般大學,1006,中國文化大學,是,教學實務(技術報告),1,0,1,0,1,100
106,私立,一般大學,1007,逢甲大學,是,專門著作,35,11,23,1,35,100
106,私立,一般大學,1007,逢甲大學,是,應用科技(技術報告),5,1,4,0,5,100
106,私立,一般大學,1007,逢甲大學,是,藝術作品(作品及成就),1,0,1,0,1,100
106,私立,一般大學,1007,逢甲大學,是,教學實務(技術報告),2,1,1,0,2,100
106,私立,一般大學,1008,靜宜大學,是,專門著作,17,6,6,1,13,76.47
106,私立,一般大學,1008,靜宜大學,是,教學實務(技術報告),7,2,2,0,4,57.14
106,私立,一般大學,1009,長庚大學,是,專門著作,43,16,18,0,34,79.07
106,私立,一般大學,1009,長庚大學,是,應用科技(技術報告),1,0,0,0,0,0
106,私立,一般大學,1009,長庚大學,是,藝術作品(作品及成就),1,0,0,1,1,100
106,私立,一般大學,1009,長庚大學,是,教學實務(技術報告),1,0,1,0,1,100
106,私立,一般大學,1009,長庚大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1010,元智大學,是,專門著作,23,5,13,0,18,78.26
106,私立,一般大學,1010,元智大學,是,學位論文(文憑送審),10,0,0,10,10,100
106,私立,一般大學,1011,中華大學學校財團法人中華大學,是,專門著作,13,5,5,1,11,84.62
106,私立,一般大學,1012,大葉大學,是,專門著作,16,8,4,0,12,75
106,私立,一般大學,1012,大葉大學,是,藝術作品(作品及成就),2,0,2,0,2,100
106,私立,一般大學,1012,大葉大學,是,教學實務(技術報告),1,0,1,0,1,100
