,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,僑生總計,男,女,港澳生總計,男,女
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,1,國立政治大學,340701,財政學系,學士班(日間),7,2,5,3,1,2
,101,公立,一般大學,1,國立政治大學,349901,科技管理研究所,碩士班(日間),4,4,0,2,2,0
,101,公立,一般大學,1,國立政治大學,380101,法律學系,學士班(日間),7,3,4,0,0,0
,101,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,1,國立政治大學,460102,應用數學系,學士班(日間),2,1,1,3,2,1
,101,公立,一般大學,1,國立政治大學,460201,統計學系,學士班(日間),4,3,1,0,0,0
,101,公立,一般大學,1,國立政治大學,460201,統計學系,博士班,1,1,0,0,0,0
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,學士班(日間),6,3,3,0,0,0
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系,學士班(日間),4,2,2,2,2,0
,101,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,學士班(日間),4,1,3,8,3,5
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),2,1,1,0,0,0
,101,公立,一般大學,2,國立清華大學,220301,外國語文學系,學士班(日間),4,2,2,4,1,3
,101,公立,一般大學,2,國立清華大學,220701,語言學研究所,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,2,國立清華大學,221001,人類學研究所,博士班,1,0,1,0,0,0
,101,公立,一般大學,2,國立清華大學,221101,哲學研究所,碩士班(日間),1,1,0,3,3,0
,101,公立,一般大學,2,國立清華大學,229999,人文社會學院學士班,學士班(日間),7,3,4,10,7,3
,101,公立,一般大學,2,國立清華大學,310101,經濟學系,學士班(日間),7,5,2,10,4,6
,101,公立,一般大學,2,國立清華大學,340310,國際專業管理碩士班,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,學士班(日間),0,0,0,2,2,0
,101,公立,一般大學,2,國立清華大學,349951,服務科學研究所,碩士班(日間),0,0,0,1,0,1
,101,公立,一般大學,2,國立清華大學,420103,生命科學系,學士班(日間),8,2,6,2,2,0
,101,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,博士班,0,0,0,1,0,1
,101,公立,一般大學,2,國立清華大學,420605,生物資訊與結構生物研究所,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,2,國立清華大學,429903,生命科學院學士班,學士班(日間),3,2,1,0,0,0
,101,公立,一般大學,2,國立清華大學,440101,化學系,學士班(日間),9,5,4,5,4,1
,101,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,2,國立清華大學,440101,化學系,博士班,0,0,0,1,0,1
,101,公立,一般大學,2,國立清華大學,440301,物理學系,學士班(日間),4,4,0,7,6,1
,101,公立,一般大學,2,國立清華大學,440301,物理學系,博士班,0,0,0,2,2,0
,101,公立,一般大學,2,國立清華大學,440601,天文研究所,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,2,國立清華大學,440601,天文研究所,博士班,0,0,0,1,1,0
,101,公立,一般大學,2,國立清華大學,460101,數學系,學士班(日間),2,1,1,5,4,1
,101,公立,一般大學,2,國立清華大學,460201,統計學研究所,碩士班(日間),0,0,0,2,1,1
,101,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,碩士班(日間),2,1,1,0,0,0
,101,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,2,國立清華大學,520103,電子工程研究所,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,學士班(日間),7,5,2,3,3,0
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),4,2,2,1,1,0
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,博士班,0,0,0,2,2,0
,101,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,學士班(日間),12,10,2,6,6,0
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,學士班(日間),2,0,2,1,1,0
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,學士班(日間),4,3,1,2,2,0
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),4,4,0,0,0,0
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,博士班,0,0,0,1,1,0
,101,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,學士班(日間),7,4,3,9,7,2
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,碩士班(日間),2,1,1,1,1,0
,101,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,學士班(日間),4,2,2,5,2,3
,101,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,學士班(日間),5,3,2,1,1,0
,101,公立,一般大學,2,國立清華大學,720117,醫學科學系,學士班(日間),0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,210501,戲劇學系,學士班(日間),2,0,2,3,2,1
,101,公立,一般大學,3,國立臺灣大學,210501,戲劇學系,碩士班(日間),0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,210703,藝術史研究所,碩士班(日間),2,1,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,220101,臺灣文學研究所,碩士班(日間),1,0,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,學士班(日間),12,4,8,13,5,8
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,博士班,1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,學士班(日間),14,4,10,13,5,8
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,3,國立臺灣大學,220320,日本語文學系,學士班(日間),3,0,3,1,0,1
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,學士班(日間),6,2,4,12,9,3
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,碩士班(日間),1,1,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,學士班(日間),4,0,4,4,4,0
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,學士班(日間),11,6,5,7,4,3
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,博士班,1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,學士班(日間),8,4,4,3,2,1
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,博士班,0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系公共行政組,學士班(日間),4,2,2,9,6,3
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系政治理論組,學士班(日間),5,5,0,8,7,1
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系國際關係組,學士班(日間),9,2,7,8,6,2
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系,碩士班(日間),2,0,2,0,0,0
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,學士班(日間),7,0,7,5,2,3
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系,學士班(日間),7,1,6,3,1,2
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系一般心理學組,碩士班(日間),1,1,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系臨床心理學組,碩士班(日間),0,0,0,2,1,1
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,學士班(日間),4,1,3,4,3,1
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,311002,國家發展研究所,碩士班(日間),1,0,1,2,1,1
,101,公立,一般大學,3,國立臺灣大學,320201,新聞研究所,碩士班(日間),4,1,3,1,1,0
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,學士班(日間),10,5,5,7,0,7
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,3,國立臺灣大學,340101,商學研究所,碩士班(日間),3,0,3,0,0,0
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,學士班(日間),12,3,9,3,2,1
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,碩士班(日間),3,0,3,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,博士班,0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系企業管理組,學士班(日間),7,0,7,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系科技管理組,學士班(日間),5,1,4,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,學士班(日間),1,1,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,碩士班(日間),1,0,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,博士班,2,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,學士班(日間),5,2,3,2,1,1
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,碩士班(日間),6,4,2,1,1,0
,101,公立,一般大學,3,國立臺灣大學,349939,管理學院企業管理碩士專班,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系司法組,學士班(日間),16,10,6,1,0,1
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系法學組,學士班(日間),17,6,11,3,0,3
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系財經法學組,學士班(日間),7,4,3,2,2,0
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系,碩士班(日間),7,2,5,0,0,0
,101,公立,一般大學,3,國立臺灣大學,380205,科際整合法律學研究所,碩士班(日間),2,2,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,420103,生命科學系,學士班(日間),10,6,4,5,4,1
,101,公立,一般大學,3,國立臺灣大學,420105,動物學研究所,碩士班(日間),2,1,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420106,植物科學研究所,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420106,植物科學研究所,博士班,2,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420107,昆蟲學系,學士班(日間),6,3,3,5,4,1
,101,公立,一般大學,3,國立臺灣大學,420202,生態學與演化生物學研究所,碩士班(日間),4,3,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420309,生化科學研究所,碩士班(日間),2,2,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,420309,生化科學研究所,博士班,0,0,0,2,0,2
,101,公立,一般大學,3,國立臺灣大學,420310,生化科技學系,學士班(日間),6,5,1,2,1,1
,101,公立,一般大學,3,國立臺灣大學,420310,生化科技學系,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420313,分子與細胞生物學研究所,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420313,分子與細胞生物學研究所,博士班,0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,420321,基因體與系統生物學學位學程,博士班,1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,420401,微生物學研究所微生物及免疫學組,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,3,國立臺灣大學,420501,生物化學暨分子生物學研究所,碩士班(日間),3,2,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,440101,化學系,學士班(日間),5,2,3,4,4,0
,101,公立,一般大學,3,國立臺灣大學,440101,化學系化學生物學組,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,440101,化學系化學組,碩士班(日間),3,2,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,440203,地質科學系,學士班(日間),4,1,3,8,6,2
,101,公立,一般大學,3,國立臺灣大學,440203,地質科學系應用地質組,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,440301,物理學系,學士班(日間),8,8,0,7,6,1
,101,公立,一般大學,3,國立臺灣大學,440301,物理學系,碩士班(日間),0,0,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,440401,大氣科學系,學士班(日間),1,1,0,4,3,1
,101,公立,一般大學,3,國立臺灣大學,440401,大氣科學系,碩士班(日間),0,0,0,2,1,1
,101,公立,一般大學,3,國立臺灣大學,440508,海洋研究所海洋化學組,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,440508,海洋研究所海洋物理組,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,440508,海洋研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,460101,數學系,學士班(日間),1,1,0,6,5,1
,101,公立,一般大學,3,國立臺灣大學,460101,數學系,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,480109,資訊管理學系,學士班(日間),2,1,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,480109,資訊管理學系,碩士班(日間),0,0,0,4,1,3
,101,公立,一般大學,3,國立臺灣大學,480202,資訊網路與多媒體研究所,碩士班(日間),4,3,1,2,2,0
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,學士班(日間),40,32,8,10,10,0
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,碩士班(日間),1,0,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520103,電子工程學研究所,碩士班(日間),2,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520106,光電工程學研究所,碩士班(日間),2,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520106,光電工程學研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520114,資訊工程學系,學士班(日間),21,14,7,11,8,3
,101,公立,一般大學,3,國立臺灣大學,520114,資訊工程學系,碩士班(日間),5,5,0,5,3,2
,101,公立,一般大學,3,國立臺灣大學,520114,資訊工程學系,博士班,1,1,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,520123,電信工程學研究所,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系,學士班(日間),23,22,1,30,26,4
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系系統控制組,碩士班(日間),1,1,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系設計組,碩士班(日間),0,0,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系熱學組,碩士班(日間),3,2,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520239,生物產業機電工程學系,學士班(日間),6,5,1,6,4,2
,101,公立,一般大學,3,國立臺灣大學,520239,生物產業機電工程學系,碩士班(日間),0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系,學士班(日間),13,8,5,15,12,3
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系交通工程組,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系結構工程組,碩士班(日間),1,1,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系營建工程與管理組,碩士班(日間),2,0,2,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520315,生物環境系統工程學系,學士班(日間),7,7,0,4,2,2
,101,公立,一般大學,3,國立臺灣大學,520315,生物環境系統工程學系,碩士班(日間),2,2,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520401,化學工程學系,學士班(日間),7,3,4,8,6,2
,101,公立,一般大學,3,國立臺灣大學,520401,化學工程學系,碩士班(日間),3,3,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520502,材料科學與工程學系,學士班(日間),12,9,3,4,3,1
,101,公立,一般大學,3,國立臺灣大學,520502,材料科學與工程學系,碩士班(日間),3,3,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520601,工業工程學研究所,碩士班(日間),3,1,2,0,0,0
,101,公立,一般大學,3,國立臺灣大學,520901,環境工程學研究所環境科學與工程組,碩士班(日間),2,1,1,1,1,0
,101,公立,一般大學,3,國立臺灣大學,520901,環境工程學研究所環境規劃與管理組,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,3,國立臺灣大學,521105,生醫電子與資訊學研究所,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,521105,生醫電子與資訊學研究所,博士班,0,0,0,2,2,0
,101,公立,一般大學,3,國立臺灣大學,521302,工程科學及海洋工程學系,學士班(日間),12,9,3,2,1,1
,101,公立,一般大學,3,國立臺灣大學,521302,工程科學及海洋工程學系,碩士班(日間),1,1,0,2,1,1
,101,公立,一般大學,3,國立臺灣大學,521307,醫學工程學研究所,碩士班(日間),3,2,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,589901,建築與城鄉研究所,碩士班(日間),3,0,3,1,1,0
,101,公立,一般大學,3,國立臺灣大學,589901,建築與城鄉研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620102,農藝學系,學士班(日間),6,3,3,1,1,0
,101,公立,一般大學,3,國立臺灣大學,620102,農藝學系作物科學組,碩士班(日間),2,1,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620203,動物科學技術學系,學士班(日間),8,2,6,3,1,2
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系,學士班(日間),9,3,6,5,1,4
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系景觀暨休憩組,碩士班(日間),1,0,1,2,1,1
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系園產品處理與利用組,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系園藝作物組,碩士班(日間),3,1,2,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620402,植物病理與微生物學系,學士班(日間),3,2,1,2,1,1
,101,公立,一般大學,3,國立臺灣大學,620501,農業經濟學系,學士班(日間),11,6,5,3,1,2
,101,公立,一般大學,3,國立臺灣大學,620501,農業經濟學系,碩士班(日間),5,3,2,2,2,0
,101,公立,一般大學,3,國立臺灣大學,620510,生物產業傳播暨發展學系,學士班(日間),12,4,8,6,1,5
,101,公立,一般大學,3,國立臺灣大學,620602,食品科技研究所,碩士班(日間),4,0,4,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620602,食品科技研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,620801,農業化學系,學士班(日間),10,4,6,2,1,1
,101,公立,一般大學,3,國立臺灣大學,620801,農業化學系,碩士班(日間),3,3,0,2,0,2
,101,公立,一般大學,3,國立臺灣大學,621002,森林環境暨資源學系,學士班(日間),15,7,8,13,5,8
,101,公立,一般大學,3,國立臺灣大學,621101,漁業科學研究所,碩士班(日間),1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,640101,獸醫學系,學士班(日間),9,0,9,24,13,11
,101,公立,一般大學,3,國立臺灣大學,640107,臨床動物醫學研究所,碩士班(日間),2,2,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720101,醫學系,學士班(日間),60,36,24,9,5,4
,101,公立,一般大學,3,國立臺灣大學,720102,臨床醫學研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720107,分子醫學研究所,博士班,1,1,0,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720108,免疫學研究所,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720114,解剖學暨細胞生物學研究所,碩士班(日間),0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,720114,解剖學暨細胞生物學研究所,博士班,0,0,0,2,1,1
,101,公立,一般大學,3,國立臺灣大學,720201,公共衛生學系,學士班(日間),7,1,6,2,1,1
,101,公立,一般大學,3,國立臺灣大學,720203,職業醫學與工業衛生研究所,博士班,2,0,2,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720215,環境衛生研究所,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,3,國立臺灣大學,720220,流行病學與預防醫學研究所,碩士班(日間),1,0,1,1,0,1
,101,公立,一般大學,3,國立臺灣大學,720220,流行病學與預防醫學研究所,博士班,0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,720221,健康政策與管理研究所,碩士班(日間),0,0,0,1,0,1
,101,公立,一般大學,3,國立臺灣大學,720301,藥學系,學士班(日間),9,2,7,2,2,0
,101,公立,一般大學,3,國立臺灣大學,720301,藥學系,碩士班(日間),3,0,3,0,0,0
,101,公立,一般大學,3,國立臺灣大學,720401,物理治療學系,學士班(日間),9,1,8,6,3,3
