學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,3,4.50,6.14,0,0
107,公立,一般大學,3002,臺北市立大學,11.75,12.54,11.44,11.93,4
108,公立,一般大學,0001,國立政治大學,7.07,7.13,7.13,13.74,6
108,公立,一般大學,0002,國立清華大學,5.40,6.60,6.44,11.75,2
108,公立,一般大學,0003,國立臺灣大學,7.98,8.78,7.86,12.42,8
108,公立,一般大學,0004,國立臺灣師範大學,7.37,8.42,7.98,13.29,0
108,公立,一般大學,0005,國立成功大學,7.14,8.22,7.30,10.17,4.56
108,公立,一般大學,0006,國立中興大學,7.43,8.84,9.10,11,2.78
108,公立,一般大學,0007,國立陽明交通大學,5.13,6.57,6.80,10.84,3
108,公立,一般大學,0008,國立中央大學,5.92,7.63,8.01,12.62,3.33
108,公立,一般大學,0009,國立中山大學,8.72,10.51,9.44,12,2
108,公立,一般大學,0012,國立臺灣海洋大學,9.33,9.84,10.71,16,2
108,公立,一般大學,0013,國立中正大學,7.55,8.50,8.81,12,9.50
108,公立,一般大學,0014,國立高雄師範大學,8.90,9.59,10.18,10,4
108,公立,一般大學,0015,國立彰化師範大學,9.18,10.02,10.67,11.86,0
108,公立,一般大學,0016,國立陽明大學,5.92,7.06,7.12,9.71,3.93
108,公立,一般大學,0017,國立臺北大學,8.78,9.29,9.11,14.71,7
108,公立,一般大學,0018,國立嘉義大學,10.88,11.66,12.11,14.38,2
108,公立,一般大學,0019,國立高雄大學,8.62,9.49,10.10,13.33,0
108,公立,一般大學,0020,國立東華大學,10.17,11.74,12.08,16.39,0
108,公立,一般大學,0021,國立暨南國際大學,8.31,9.28,10.21,14.21,31
108,公立,技專校院,0022,國立臺灣科技大學,6.88,8.29,8.14,11.93,2
108,公立,技專校院,0023,國立雲林科技大學,8.98,10.01,9.12,12.27,3.60
108,公立,技專校院,0024,國立屏東科技大學,18.89,17.64,15.48,11.07,2.40
108,公立,技專校院,0025,國立臺北科技大學,8.57,10.03,9.16,13.87,4.75
108,公立,一般大學,0028,國立臺北藝術大學,9.72,11.49,12.59,11.18,0
108,公立,一般大學,0029,國立臺灣藝術大學,10.79,10.75,11.84,12.02,0
108,公立,一般大學,0030,國立臺東大學,10.97,11.63,11.95,13.50,0
108,公立,一般大學,0031,國立宜蘭大學,11.29,11.98,12.86,13.01,4
108,公立,一般大學,0032,國立聯合大學,10.98,12.30,12.33,13.01,9.22
108,公立,技專校院,0033,國立虎尾科技大學,10.36,11.19,12.28,13.90,7.67
108,公立,一般大學,0035,國立臺南藝術大學,9.09,9.94,11.75,13.03,0
108,公立,一般大學,0036,國立臺南大學,10.95,11.60,12.34,0,3
108,公立,一般大學,0037,國立臺北教育大學,10.21,11.22,10.80,13.86,2
108,公立,一般大學,0039,國立臺中教育大學,10.77,11.91,11.52,12.39,2
108,公立,技專校院,0042,國立澎湖科技大學,9.38,11.38,14.02,15.37,8
108,公立,技專校院,0043,國立勤益科技大學,14.36,16.39,14.60,14.21,13.43
108,公立,一般大學,0044,國立體育大學,9.84,13.48,14.89,11.78,6.53
108,公立,技專校院,0046,國立臺北護理健康大學,10.29,12.49,11.35,13.68,18.83
108,公立,技專校院,0047,國立高雄餐旅大學,12.03,14.30,15.20,18.50,12
108,公立,一般大學,0048,國立金門大學,14.19,16.23,16.84,15,19
108,公立,一般大學,0049,國立臺灣體育運動大學,11.32,12.35,12.87,12.80,9.20
108,公立,技專校院,0050,國立臺中科技大學,11.60,12.88,12.64,14.43,6.49
108,公立,技專校院,0051,國立臺北商業大學,13.11,14.44,12.24,14.54,4.86
108,公立,一般大學,0052,國立屏東大學,9.53,10.99,10.70,12.50,2.80
108,公立,技專校院,0053,國立高雄科技大學,10.97,11.93,12.36,12.72,2.20
108,公立,技專校院,0144,國立臺灣戲曲學院,6.67,11.10,9.64,10,4
108,公立,技專校院,0221,國立臺南護理專科學校,9.13,11.44,12.81,13.78,9.92
108,公立,技專校院,0222,國立臺東專科學校,10.81,12.17,13.68,14.06,0
108,私立,一般大學,1001,東海大學,8.33,10.50,10.60,13.01,10.24
108,私立,一般大學,1002,輔仁大學,9.54,11.33,11.06,11.41,5.06
108,私立,一般大學,1003,東吳大學,9.17,10.38,8.83,11.85,2
108,私立,一般大學,1004,中原大學,8.28,10.36,10.40,7.69,2.29
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,9.10,10.57,10.37,12.13,6.48
108,私立,一般大學,1006,中國文化大學,8.83,9.97,11.11,11.11,7.86
108,私立,一般大學,1007,逢甲大學,9.71,11.89,11.97,13.31,5.50
108,私立,一般大學,1008,靜宜大學,8.51,10.35,9.80,11.95,2.40
108,私立,一般大學,1009,長庚大學,7.17,8.61,8.27,13.62,10.50
108,私立,一般大學,1010,元智大學,7.39,9.26,9.48,14.57,0
108,私立,一般大學,1011,中華大學學校財團法人中華大學,7.42,9.57,10.62,11,6.40
108,私立,一般大學,1012,大葉大學,6.68,9.70,10.29,18.16,4
108,私立,一般大學,1013,華梵大學,6.13,8.53,9.21,9.13,2
108,私立,一般大學,1014,義守大學,9.04,10.57,10.23,10.91,2
108,私立,一般大學,1015,世新大學,8.84,10.74,10.80,12.67,2
108,私立,一般大學,1016,銘傳大學,7.77,10.13,10.37,11.67,4.20
108,私立,一般大學,1017,實踐大學,8.96,11.08,11.71,11.86,6.86
108,私立,技專校院,1018,朝陽科技大學,8.37,10.91,11.88,14.61,10.13
108,私立,一般大學,1019,高雄醫學大學,4.78,6.99,6.89,5.57,4.47
108,私立,一般大學,1020,南華大學,8.03,10.73,11.61,11.60,0
108,私立,一般大學,1021,真理大學,8.04,9.52,10.26,11.68,3.33
108,私立,一般大學,1022,大同大學,8.84,10.04,9.85,12.79,10
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,9.55,11.05,11.06,12.10,2
108,私立,技專校院,1024,崑山科技大學,13.78,13.35,13.52,14.50,20.75
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,8.17,10.60,10.82,10.90,6.78
108,私立,技專校院,1026,樹德科技大學,8.92,10.95,11.56,11.71,2
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,6.53,7.99,8.36,11.73,4
108,私立,一般大學,1028,臺北醫學大學,3.88,4.46,3.45,0.93,3
108,私立,一般大學,1029,中山醫學大學,7.05,8.10,9.29,3.58,2
108,私立,技專校院,1030,龍華科技大學,8.11,10.05,12.06,12.55,3.33
108,私立,技專校院,1031,輔英科技大學,10.14,14.26,16.04,12.93,25
108,私立,技專校院,1032,明新學校財團法人明新科技大學,10.28,12.28,12.68,14.91,10
108,私立,一般大學,1033,長榮大學,8.82,10.25,10.94,12.16,7.50
108,私立,技專校院,1034,弘光科技大學,8.24,11.12,11.82,13.80,1.31
108,私立,一般大學,1035,中國醫藥大學,6.14,7.16,6.20,0.35,3
108,私立,技專校院,1036,健行學校財團法人健行科技大學,10.57,12.09,13.45,13.44,8.50
108,私立,技專校院,1037,正修學校財團法人正修科技大學,13,14.87,15.53,15.64,10.75
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,7.91,10.75,12.79,13.58,28
108,私立,一般大學,1039,玄奘大學,6.46,9.22,10.53,11.08,0
108,私立,技專校院,1040,建國科技大學,10.19,12.91,15.48,14.95,5.33
108,私立,技專校院,1041,明志科技大學,8.44,11.01,11.31,11.98,9.50
108,私立,技專校院,1042,高苑科技大學,10.05,11.33,12.95,13.16,2
108,私立,技專校院,1043,大仁科技大學,6.46,9.11,9.64,12.09,2
108,私立,技專校院,1044,聖約翰科技大學,8.80,10.51,11.67,13,3
108,私立,技專校院,1045,嶺東科技大學,10.15,11.55,12.25,13.49,2
108,私立,技專校院,1046,中國科技大學,7.94,9.80,11.74,13.16,3.60
108,私立,技專校院,1047,中臺科技大學,9.07,11.21,12.56,13.13,8
108,私立,一般大學,1048,亞洲大學,5.94,9.30,9.33,10.06,8.53
108,私立,一般大學,1049,開南大學,8.38,10.26,10.96,14.33,2
108,私立,一般大學,1050,佛光大學,6.31,8.76,9.79,13.17,2
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10.38,11.60,13.90,14.06,7
108,私立,技專校院,1052,遠東科技大學,10.56,12.46,14.30,15.96,7.33
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,7.38,10.79,13.03,14.35,8.26
108,私立,技專校院,1054,景文科技大學,9.40,10.85,13.20,13.08,2
108,私立,技專校院,1055,中華醫事科技大學,9.13,11.14,11.99,12.37,5.86
108,私立,技專校院,1056,東南科技大學,9.13,9.86,11.99,14.22,2
108,私立,技專校院,1057,德明財經科技大學,7.90,11.16,12.17,12.56,0
108,私立,一般大學,1058,明道學校財團法人明道大學,6.10,7.69,9.79,12.18,0
108,私立,技專校院,1060,南開科技大學,10.30,12.95,14.12,15.32,2.25
108,私立,技專校院,1061,中華學校財團法人中華科技大學,9.72,11.76,13.55,13.98,3.33
108,私立,技專校院,1062,僑光科技大學,8.31,10.69,12.15,11.99,2.80
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,8.44,11.56,11.52,14.57,8
108,私立,技專校院,1064,美和學校財團法人美和科技大學,6.78,11.87,12.43,14.68,4.75
108,私立,技專校院,1065,吳鳳科技大學,9.58,13.59,14.28,16.58,3
108,私立,技專校院,1066,環球學校財團法人環球科技大學,8.10,10.04,11.89,11.45,3.50
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,6.50,13.06,14.15,18.20,3.50
108,私立,技專校院,1068,中州學校財團法人中州科技大學,6.99,11.84,14.26,15.16,0
108,私立,技專校院,1069,修平學校財團法人修平科技大學,10.59,12.89,14.72,16.44,2
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,6.93,10.20,11.69,12.48,13.85
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,7.17,10.44,12.35,12.89,2.25
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,11.50,13.59,16.25,14.99,4
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,8.11,9.83,12.90,14.62,1
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,8.33,10.28,11.99,12.83,3.67
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,8.89,11.38,13.18,14.27,3
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,5.42,9.45,10.31,12.55,15.19
108,私立,技專校院,1078,致理學校財團法人致理科技大學,7.40,10.23,10.44,11.70,6.60
108,私立,一般大學,1079,康寧學校財團法人康寧大學,9.22,9.94,13,14.43,6
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,8.33,10.58,14.49,14.86,8
108,私立,技專校院,1081,東方學校財團法人東方設計大學,11.25,13.49,13.44,14.53,1.25
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,7.59,12.41,11.53,13.86,2
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4.50,8.80,11.71,12.92,3
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,6.36,4.33,7.72,5.30,0
108,私立,技專校院,1148,大漢技術學院,14,14.50,16.19,17.33,2
108,私立,技專校院,1159,和春技術學院,8,13.27,14.72,15.93,1.50
108,私立,技專校院,1166,亞東技術學院,10.83,11.57,12.42,13.89,8.67
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,8.09,11.88,14.54,15.08,2.50
108,私立,一般大學,1176,稻江科技暨管理學院,0,10.33,12.45,14.70,2
108,私立,技專校院,1182,蘭陽技術學院,0,14.38,15.08,16.33,1
108,私立,技專校院,1183,黎明技術學院,7.43,8.74,11.91,12.18,2.67
108,私立,技專校院,1185,經國管理暨健康學院,5.50,10.82,13.32,14.33,4
108,私立,技專校院,1188,大同技術學院,11.50,12.67,14.11,14.20,1
108,私立,技專校院,1192,臺灣觀光學院,0,18,13.22,12.71,3
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,6.59,7.58,8.26,9.20,0
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,5,7.92,8.20,0,0
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,8.33,9.30,11.32,11.61,10.43
108,私立,技專校院,1283,仁德醫護管理專科學校,6.52,12,12.13,21.64,30.49
108,私立,技專校院,1284,樹人醫護管理專科學校,4,12,10.23,13.40,9.80
108,私立,技專校院,1285,慈惠醫護管理專科學校,0,3.50,9.97,14.04,3.08
108,私立,技專校院,1286,耕莘健康管理專科學校,0,9.16,12,24.55,31.87
108,私立,技專校院,1287,敏惠醫護管理專科學校,8,7.51,11.16,20.52,39.64
108,私立,技專校院,1289,育英醫護管理專科學校,0,5,10.33,11.61,13.24
108,私立,技專校院,1291,聖母醫護管理專科學校,0,7.75,9.79,12.36,2.67
108,私立,技專校院,1292,新生醫護管理專科學校,12,9.50,12.88,13.57,6.37
108,私立,技專校院,1293,崇仁醫護管理專科學校,8,9.88,11.56,13.52,12.54
108,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,0,8.33,6.83,0,0
108,私立,宗教研修學院,1R03,臺北基督學院,0,0,7.14,9.50,0
108,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,3,5.33,6.20,10,0
108,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,9.25,6,6.88,0,0
108,私立,宗教研修學院,1R06,一貫道崇德學院,7,9.33,8,0,0
108,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,3,7.50,8.14,0,0
108,公立,一般大學,3002,臺北市立大學,11.95,12.37,12.07,12.09,4
109,公立,一般大學,0001,國立政治大學,7.26,7.14,6.76,14.17,6
109,公立,一般大學,0002,國立清華大學,5.22,6.68,6.39,13,2.67
109,公立,一般大學,0003,國立臺灣大學,5.35,6.27,5.62,10.23,0
109,公立,一般大學,0004,國立臺灣師範大學,7.24,8.60,7.80,13.60,0
109,公立,一般大學,0005,國立成功大學,6.50,7.10,6.80,9.71,4.61
109,公立,一般大學,0006,國立中興大學,7.32,8.51,9.16,10.31,4.08
109,公立,一般大學,0007,國立陽明交通大學,5.27,6.74,6.64,10.98,3.60
109,公立,一般大學,0008,國立中央大學,6.46,7.96,7.70,12.53,4
109,公立,一般大學,0009,國立中山大學,8.90,10.29,9.54,12,2
109,公立,一般大學,0012,國立臺灣海洋大學,8.75,10.04,10.19,16,2
109,公立,一般大學,0013,國立中正大學,6.75,7.96,8.11,12.92,5.50
109,公立,一般大學,0014,國立高雄師範大學,8.66,9.83,10.46,10,3
109,公立,一般大學,0015,國立彰化師範大學,8.84,10.16,10.23,12,0
109,公立,一般大學,0016,國立陽明大學,6.10,7.69,7.28,11.33,4.46
109,公立,一般大學,0017,國立臺北大學,8.79,9.26,9.35,14.09,5
109,公立,一般大學,0018,國立嘉義大學,10.51,11.95,12.55,14.23,2
109,公立,一般大學,0019,國立高雄大學,8.60,9.23,10.90,15.67,0
109,公立,一般大學,0020,國立東華大學,11,15.69,13.29,16.80,0
109,公立,一般大學,0021,國立暨南國際大學,8.25,9.36,9.55,15.73,0
109,公立,技專校院,0022,國立臺灣科技大學,6.57,8.58,8.16,12.33,3
109,公立,技專校院,0023,國立雲林科技大學,11.42,11.86,10.31,12.76,3.60
109,公立,技專校院,0024,國立屏東科技大學,17.26,16.98,13.56,9.85,2
109,公立,技專校院,0025,國立臺北科技大學,8.66,10.38,10.90,14.63,5.13
109,公立,一般大學,0028,國立臺北藝術大學,9.61,11.74,12.22,11.79,0
109,公立,一般大學,0029,國立臺灣藝術大學,10.98,12.63,12.66,13.02,2
109,公立,一般大學,0030,國立臺東大學,11.36,11.63,12.25,12.76,0
109,公立,一般大學,0031,國立宜蘭大學,10.82,12.54,12.89,11.54,10
109,公立,一般大學,0032,國立聯合大學,10.78,12.63,12.84,11.95,4.69
109,公立,技專校院,0033,國立虎尾科技大學,10.45,11.40,12.34,14.27,8.33
109,公立,一般大學,0035,國立臺南藝術大學,9.33,9.79,11.20,13.67,0
109,公立,一般大學,0036,國立臺南大學,11.07,11.39,11.36,0,3
109,公立,一般大學,0037,國立臺北教育大學,9.79,11.24,10.94,15.17,2
109,公立,一般大學,0039,國立臺中教育大學,11.18,12.66,11.77,13.17,2
109,公立,技專校院,0042,國立澎湖科技大學,9.45,10.59,13.93,14.67,8
109,公立,技專校院,0043,國立勤益科技大學,14.24,16.11,14.06,13.98,12.33
109,公立,一般大學,0044,國立體育大學,13.50,14.97,16.43,13.85,22.86
109,公立,技專校院,0046,國立臺北護理健康大學,10.51,12.14,11.43,14.42,18.65
109,公立,技專校院,0047,國立高雄餐旅大學,13.09,14.07,17.06,19.82,12.50
109,公立,一般大學,0048,國立金門大學,13.24,15.09,15.16,12.67,16
109,公立,一般大學,0049,國立臺灣體育運動大學,11.35,12.53,12.78,12.30,7.11
109,公立,技專校院,0050,國立臺中科技大學,11.09,12.60,12.75,12.88,7.07
109,公立,技專校院,0051,國立臺北商業大學,13.54,14.69,13,14.17,5.69
109,公立,一般大學,0052,國立屏東大學,8.99,10.97,10.39,11.61,2
109,公立,技專校院,0053,國立高雄科技大學,10.72,11.59,11.92,12.94,2
109,公立,技專校院,0144,國立臺灣戲曲學院,10.50,9.54,10.32,13.80,0
109,公立,技專校院,0221,國立臺南護理專科學校,7.80,11.70,13.02,12.88,9.62
109,公立,技專校院,0222,國立臺東專科學校,10.60,11.22,12.46,14.70,0
109,私立,一般大學,1001,東海大學,8.49,10.38,10.48,12.28,9.38
109,私立,一般大學,1002,輔仁大學,9.80,11.36,11.07,11.90,0.50
109,私立,一般大學,1003,東吳大學,8.84,10.45,8.57,12.66,3
109,私立,一般大學,1004,中原大學,8.27,10.15,10.47,7.54,2.83
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,8.62,10.23,10.13,11.35,6.39
109,私立,一般大學,1006,中國文化大學,8.81,9.95,11.06,11.18,8.31
109,私立,一般大學,1007,逢甲大學,10.24,12.23,11.28,11.95,4.80
109,私立,一般大學,1008,靜宜大學,7.99,9.53,9.69,11.52,2.40
109,私立,一般大學,1009,長庚大學,6.66,7.91,7.95,12.99,10.50
109,私立,一般大學,1010,元智大學,7.11,9.39,9.63,14.55,0
109,私立,一般大學,1011,中華大學學校財團法人中華大學,6.87,9.61,10.46,9.87,2
109,私立,一般大學,1012,大葉大學,6.73,9.56,10.25,17.36,2
109,私立,一般大學,1013,華梵大學,5.86,7.13,8.76,8.99,2
109,私立,一般大學,1014,義守大學,8.98,10.58,9.97,14.49,2
109,私立,一般大學,1015,世新大學,8.28,9.75,10.26,12.21,2
109,私立,一般大學,1016,銘傳大學,7.80,10.10,10.15,11.73,4.75
109,私立,一般大學,1017,實踐大學,9.34,10.55,11.38,11.39,2
109,私立,技專校院,1018,朝陽科技大學,9.05,10.24,11.65,13.31,10.71
109,私立,一般大學,1019,高雄醫學大學,4.60,7.12,6.95,5.66,4.21
109,私立,一般大學,1020,南華大學,8.84,11.56,11.60,14,0
109,私立,一般大學,1021,真理大學,8.08,9.65,10.77,12,4
109,私立,一般大學,1022,大同大學,8.53,9.96,9.91,11.85,10
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,8.95,10.66,10.89,12.29,1.80
109,私立,技專校院,1024,崑山科技大學,13.98,18.02,20.23,24.06,3
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,7.80,9.65,11.11,12.16,0
109,私立,技專校院,1026,樹德科技大學,9,10.57,11.28,11.81,3
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,5.71,7.37,7.26,9.91,4
109,私立,一般大學,1028,臺北醫學大學,3.96,4.12,3.26,0.81,3
109,私立,一般大學,1029,中山醫學大學,7.03,8.47,8.69,3.88,1.33
109,私立,技專校院,1030,龍華科技大學,7.59,10.74,12.53,13.14,3
109,私立,技專校院,1031,輔英科技大學,10.65,15.20,17.13,15.02,20.40
109,私立,技專校院,1032,明新學校財團法人明新科技大學,11.76,11.81,12.96,14.49,7.88
109,私立,一般大學,1033,長榮大學,8.63,9.75,10.27,11.72,8
109,私立,技專校院,1034,弘光科技大學,7.62,10.87,11.53,12.67,1.28
109,私立,一般大學,1035,中國醫藥大學,5.95,6.86,6.07,0.44,3
109,私立,技專校院,1036,健行學校財團法人健行科技大學,11.76,12.40,13.76,14.82,17.43
109,私立,技專校院,1037,正修學校財團法人正修科技大學,13.23,14.65,14.95,15.40,11
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,7.23,10.12,12.38,13.32,3
109,私立,一般大學,1039,玄奘大學,5.57,9.30,10.12,10.77,0
109,私立,技專校院,1040,建國科技大學,9.68,14.09,14.80,14.64,3
109,私立,技專校院,1041,明志科技大學,8.55,11.08,11.67,12,9.50
109,私立,技專校院,1042,高苑科技大學,10.18,10.60,11.66,12.16,0
109,私立,技專校院,1043,大仁科技大學,7.29,8.83,9.77,12.11,1
109,私立,技專校院,1044,聖約翰科技大學,11.23,11.58,12.33,14.64,3
109,私立,技專校院,1045,嶺東科技大學,9.45,11.82,12.60,13.04,0.80
109,私立,技專校院,1046,中國科技大學,6.04,8.83,10.95,12,2
109,私立,技專校院,1047,中臺科技大學,9.65,10.93,11.79,12.16,7.60
109,私立,一般大學,1048,亞洲大學,5.75,9.37,9.71,10.55,10
109,私立,一般大學,1049,開南大學,8.85,9.84,10.60,13.67,2
109,私立,一般大學,1050,佛光大學,6.40,8.69,9.49,12.86,2
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9.57,11.43,12.79,13.81,1.67
109,私立,技專校院,1052,遠東科技大學,9.48,12.54,15.99,19.30,11
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,7.06,11.34,13.35,13.81,9.26
109,私立,技專校院,1054,景文科技大學,8.38,9.89,12.37,12.91,2
109,私立,技專校院,1055,中華醫事科技大學,8.48,10.58,11.32,11.42,4.61
109,私立,技專校院,1056,東南科技大學,9.01,10.60,11.85,13.99,2
109,私立,技專校院,1057,德明財經科技大學,9.75,10.84,11.75,12.23,0
109,私立,一般大學,1058,明道學校財團法人明道大學,7.26,9.09,10.58,12.36,3
109,私立,技專校院,1060,南開科技大學,11.41,12.85,14.53,15,1.50
109,私立,技專校院,1061,中華學校財團法人中華科技大學,10.25,12.15,13.77,14.91,3.33
109,私立,技專校院,1062,僑光科技大學,6.94,10.37,11.19,11.63,2.40
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,7.13,10.80,11.79,12.81,15
109,私立,技專校院,1064,美和學校財團法人美和科技大學,6.92,10.78,11.57,13.70,12.51
109,私立,技專校院,1065,吳鳳科技大學,8.29,12.16,12.95,16.19,3.50
109,私立,技專校院,1066,環球學校財團法人環球科技大學,8.65,10.36,11.69,11.40,2
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,6.50,10.21,13.56,17.54,4.67
109,私立,技專校院,1068,中州學校財團法人中州科技大學,7.83,12.50,13.63,14.25,0
109,私立,技專校院,1069,修平學校財團法人修平科技大學,9.48,12.37,13.97,14.76,2.67
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,6.71,9.13,10.52,12.87,17.29
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,7.32,9.94,12.48,11.67,1.86
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,17.50,12.42,14.75,14.74,0
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,7.13,10.22,12.19,13.58,0
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,8.18,10.47,12.11,13.55,4.50
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,10.56,12.11,12.94,14.73,3
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,5.62,9.46,10.54,14.50,15.54
109,私立,技專校院,1078,致理學校財團法人致理科技大學,7.07,10.21,11,10.88,8.75
109,私立,一般大學,1079,康寧學校財團法人康寧大學,9.02,10.26,11.91,14.03,6.50
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,7.88,11.35,14.01,15,8.50
109,私立,技專校院,1081,東方學校財團法人東方設計大學,11.33,16.74,16.85,18.79,2
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,7.67,11.40,11.69,13.13,0
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4.40,9.39,11.93,13.75,2.75
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,5.18,7.01,7.37,6.78,0
109,私立,技專校院,1148,大漢技術學院,4.44,12.84,14.69,15.20,2
109,私立,技專校院,1159,和春技術學院,3,11.56,13.33,14.88,0
109,私立,技專校院,1166,亞東技術學院,15.55,19.84,18.03,18.83,18.40
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,9.41,12.03,15.85,15.81,1.67
109,私立,一般大學,1176,稻江科技暨管理學院,0,9.67,11.40,11.50,0
109,私立,技專校院,1182,蘭陽技術學院,2,12.14,12.60,13.67,0
109,私立,技專校院,1183,黎明技術學院,6.59,8.67,11.45,12.28,4
109,私立,技專校院,1185,經國管理暨健康學院,2.40,11.74,15.86,15.76,8.62
109,私立,技專校院,1188,大同技術學院,7,13,13.43,11.86,1
109,私立,技專校院,1192,臺灣觀光學院,2,0,13.80,14,0
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,5.13,6.25,7.10,5.88,0
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,4.50,7.27,8.90,0,0
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,10.33,7.92,11.56,10.63,10.80
109,私立,技專校院,1283,仁德醫護管理專科學校,5.52,0,13.22,16.21,29.64
109,私立,技專校院,1284,樹人醫護管理專科學校,0,9.50,10.30,12.96,12.13
109,私立,技專校院,1285,慈惠醫護管理專科學校,2,2,9.21,13.88,4.07
109,私立,技專校院,1286,耕莘健康管理專科學校,0,11.20,11.38,23.64,32.48
109,私立,技專校院,1287,敏惠醫護管理專科學校,6,6.94,8.28,14.94,12.59
109,私立,技專校院,1289,育英醫護管理專科學校,0,6,8.61,11.97,12.20
109,私立,技專校院,1291,聖母醫護管理專科學校,6,7.33,10.86,12.32,2
109,私立,技專校院,1292,新生醫護管理專科學校,0,9,12.85,12.81,6.72
109,私立,技專校院,1293,崇仁醫護管理專科學校,8,9.40,12.13,24.11,54.04
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,4,9,8,0,0
109,私立,宗教研修學院,1R03,臺北基督學院,0,0,7.67,9.50,0
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,4.50,5.33,7.71,0,0
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,8.38,6.50,7.36,0,0
109,私立,宗教研修學院,1R06,一貫道崇德學院,7,10.67,11.50,0,0
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,3.50,5.40,7.33,0,0
109,公立,一般大學,3002,臺北市立大學,11.83,12.13,11.97,11.40,4
110,公立,一般大學,0001,國立政治大學,7.08,6.97,7.12,13.42,6
110,公立,一般大學,0002,國立清華大學,5.49,6.79,5.54,11.40,4
110,公立,一般大學,0003,國立臺灣大學,6,6.84,6.31,11.02,0
110,公立,一般大學,0004,國立臺灣師範大學,7.29,8.65,8.11,13.50,0
110,公立,一般大學,0005,國立成功大學,7.08,8.21,7.23,9.57,3.95
110,公立,一般大學,0006,國立中興大學,7.27,8.20,7.59,10.52,4.40
110,公立,一般大學,0007,國立陽明交通大學,5.47,6.75,6.99,11.42,3.97
110,公立,一般大學,0008,國立中央大學,6.34,7.60,7.52,12.44,3
110,公立,一般大學,0009,國立中山大學,8.93,10.39,9.52,12,2
