學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,7.94,9.59,9.51,11.07,4
106,私立,一般大學,1028,臺北醫學大學,4.04,4.18,3.45,1.74,1
106,私立,一般大學,1029,中山醫學大學,6.88,8.52,8.61,4.37,2.67
106,私立,技專校院,1030,龍華科技大學,8.37,9.69,10.93,12.16,7.50
106,私立,技專校院,1031,輔英科技大學,8.14,9.42,11.66,13.23,3.54
106,私立,技專校院,1032,明新學校財團法人明新科技大學,9.77,11.56,12.53,13.69,9.78
106,私立,一般大學,1033,長榮大學,8.57,10.25,10.85,11.87,10.50
106,私立,技專校院,1034,弘光科技大學,8.32,10.90,11.84,12.57,6.50
106,私立,一般大學,1035,中國醫藥大學,6.75,8.22,7.03,12.03,1
106,私立,技專校院,1036,健行學校財團法人健行科技大學,10.75,12.36,13.58,14.12,16.75
106,私立,技專校院,1037,正修學校財團法人正修科技大學,11.98,15.73,15.84,15.30,10
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,9.53,10.93,13.21,14.65,28
106,私立,一般大學,1039,玄奘大學,5.86,9.27,9.84,10.85,0
106,私立,技專校院,1040,建國科技大學,12.60,15.22,17.16,15.96,4.50
106,私立,技專校院,1041,明志科技大學,7.70,10.51,11.52,11.28,9
106,私立,技專校院,1042,高苑科技大學,7.95,9.47,11.09,11.07,5
106,私立,技專校院,1043,大仁科技大學,7.87,9.43,10.17,11.27,2
106,私立,技專校院,1044,聖約翰科技大學,8.91,10.82,13.53,16.62,4.50
106,私立,技專校院,1045,嶺東科技大學,23.50,26.41,25.08,23.14,9.67
106,私立,技專校院,1046,中國科技大學,8.34,9.47,11.39,12.95,6.67
106,私立,技專校院,1047,中臺科技大學,9.04,10.52,11.82,13.06,6
106,私立,一般大學,1048,亞洲大學,5.79,10.05,9.69,11.37,7.60
106,私立,一般大學,1049,開南大學,7.60,9.60,10.12,14.08,2
106,私立,一般大學,1050,佛光大學,6.08,8.40,9.63,14.71,2
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10.79,11.76,14.09,14.17,3.33
106,私立,技專校院,1052,遠東科技大學,14.12,14.09,17.40,20.16,8
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,7.89,10.33,12.33,13.05,10.36
106,私立,技專校院,1054,景文科技大學,8.64,10.11,11.81,13.69,2
106,私立,技專校院,1055,中華醫事科技大學,8.38,11.19,12.12,11.68,6.13
106,私立,技專校院,1056,東南科技大學,9.55,10.40,11.32,13.33,2
106,私立,技專校院,1057,德明財經科技大學,8.17,10.88,12.28,11.52,0
106,私立,一般大學,1058,明道學校財團法人明道大學,4.63,8.72,9.73,11.39,7.50
106,私立,技專校院,1060,南開科技大學,8.14,10.89,12.30,13.18,4
106,私立,技專校院,1061,中華學校財團法人中華科技大學,10.11,11.37,13.47,14.55,4
106,私立,技專校院,1062,僑光科技大學,6.89,10.71,11.26,12.84,4
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,5.48,11.06,13.41,16.03,7.33
106,私立,技專校院,1064,美和學校財團法人美和科技大學,6.43,12.56,13.48,16.03,3.50
106,私立,技專校院,1065,吳鳳科技大學,9.31,12.43,13.69,15.76,2.50
106,私立,技專校院,1066,環球學校財團法人環球科技大學,6.10,9.76,12.40,13.18,4.50
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,9.13,8.90,11.70,16.89,6.25
106,私立,技專校院,1068,中州學校財團法人中州科技大學,10.80,10.29,12.48,13.08,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,9.48,12.29,13.79,16.55,2
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,8.98,10.50,11.59,13.34,3.83
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,9.66,11.32,12.33,13.26,3
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,11,12,14.32,13.94,5.50
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,7.33,11.02,12.43,14.04,2.67
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,9.75,14.29,15.58,16.09,4.50
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7.03,10.38,12.15,13.15,3.33
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,8,11.08,13.18,13.80,3
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,5.39,9.23,9.92,12.81,14.50
106,私立,技專校院,1078,致理學校財團法人致理科技大學,8.28,10.60,11.04,11.51,9.60
106,私立,一般大學,1079,康寧學校財團法人康寧大學,7.82,10.55,12.62,13.73,7.50
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,9.10,10.70,14.23,13.99,8.50
106,私立,技專校院,1081,東方學校財團法人東方設計大學,7.77,11.37,12.45,14.14,1.50
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,8.34,12.29,14.32,14.72,3
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,5,9.82,12.48,13.69,7.83
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,4.89,5,6.61,4.40,0
106,私立,技專校院,1148,大漢技術學院,12.50,17.90,19.59,21.06,0
106,私立,技專校院,1159,和春技術學院,8.50,12.93,14.63,15.75,2.50
106,私立,技專校院,1166,亞東技術學院,10.35,11.82,12.43,13.63,15
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,7,11.65,14.61,15.12,2.67
106,私立,一般大學,1176,稻江科技暨管理學院,0.50,11.48,13.11,14.16,2
106,私立,技專校院,1182,蘭陽技術學院,0,12.53,13.24,14.99,3
106,私立,技專校院,1183,黎明技術學院,7.43,10.10,10.80,12.51,2.33
106,私立,技專校院,1185,經國管理暨健康學院,0,11.93,14.72,15.35,6
106,私立,技專校院,1188,大同技術學院,11,17.38,17.50,18.67,1
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,0,13.40,9.55,11.16,4
106,私立,技專校院,1192,臺灣觀光學院,8,10.86,11,14,2.50
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,5.88,8.29,6.69,7.62,0
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,5,8.13,9,0,0
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,7.33,7.57,12.59,10.87,12.98
106,私立,技專校院,1283,仁德醫護管理專科學校,5.53,9.25,12.59,20.55,31.70
106,私立,技專校院,1284,樹人醫護管理專科學校,3,10.67,11.26,14.28,11.69
106,私立,技專校院,1285,慈惠醫護管理專科學校,0,3.50,10.73,14.27,4.18
106,私立,技專校院,1286,耕莘健康管理專科學校,0,14.16,13.56,18.04,13.77
106,私立,技專校院,1287,敏惠醫護管理專科學校,6,7.70,9.62,18.85,34.52
106,私立,技專校院,1288,高美醫護管理專科學校,0,0,13.67,13.08,14.50
106,私立,技專校院,1289,育英醫護管理專科學校,0,6,15.25,21.88,45.32
106,私立,技專校院,1290,崇仁醫護管理專科學校,2,12.97,17.18,19.22,18.97
106,私立,技專校院,1291,聖母醫護管理專科學校,0,7.86,10.14,12.31,2.40
106,私立,技專校院,1292,新生醫護管理專科學校,11,17.40,18.92,27.39,38.83
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,4,7,6.71,0,0
106,私立,宗教研修學院,1R03,臺北基督學院,0,0,8.86,12,0
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,3.50,3.33,4,4,0
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,7.33,8,7.50,0,0
106,私立,宗教研修學院,1R06,一貫道崇德學院,5,10,7,0,0
106,公立,一般大學,3002,臺北市立大學,12.15,12.29,11.91,12.49,4
107,公立,一般大學,0001,國立政治大學,6.96,7.02,7.28,13.93,5.33
107,公立,一般大學,0002,國立清華大學,5.41,6.72,6.99,12.22,3.60
107,公立,一般大學,0003,國立臺灣大學,16,18.07,16.26,20.98,8
107,公立,一般大學,0004,國立臺灣師範大學,7.36,8.82,7.93,13.44,0
107,公立,一般大學,0005,國立成功大學,7.10,8.34,7.40,9.88,4.56
107,公立,一般大學,0006,國立中興大學,7.54,8.83,8.99,11.33,2.55
107,公立,一般大學,0007,國立陽明交通大學,5.25,6.65,7.12,11.33,3
107,公立,一般大學,0008,國立中央大學,6.26,7.85,7.67,12.34,3
107,公立,一般大學,0009,國立中山大學,8.99,10.48,9.69,12.55,2.67
107,公立,一般大學,0012,國立臺灣海洋大學,9.02,10.21,11.04,13.67,2
107,公立,一般大學,0013,國立中正大學,6.91,7.68,8,11.90,5.25
107,公立,一般大學,0014,國立高雄師範大學,10.95,11.56,11.51,10,5.50
107,公立,一般大學,0015,國立彰化師範大學,9.10,10.15,10.10,12.86,4
107,公立,一般大學,0016,國立陽明大學,5.74,6.96,7.47,8.83,3.25
107,公立,一般大學,0017,國立臺北大學,8.60,9.54,8.97,14.83,6
107,公立,一般大學,0018,國立嘉義大學,11.28,12.18,13.47,12.75,11.41
107,公立,一般大學,0019,國立高雄大學,10.24,10.88,11.13,13.67,0
107,公立,一般大學,0020,國立東華大學,11.06,11.96,11.68,16.23,0
107,公立,一般大學,0021,國立暨南國際大學,8.09,9.28,10.15,15.18,9
107,公立,技專校院,0022,國立臺灣科技大學,6.99,8.34,8.39,13.16,2
107,公立,技專校院,0023,國立雲林科技大學,9,10.41,8.92,11.99,3.50
107,公立,技專校院,0024,國立屏東科技大學,9.67,10.99,11.26,12.28,3.20
107,公立,技專校院,0025,國立臺北科技大學,8.12,9.88,9.51,13.53,6.50
107,公立,一般大學,0028,國立臺北藝術大學,9.63,10.96,12.06,11.20,0
107,公立,一般大學,0029,國立臺灣藝術大學,10.64,11.55,11.21,13.14,0
107,公立,一般大學,0030,國立臺東大學,11.29,11.99,12.11,13,2
107,公立,一般大學,0031,國立宜蘭大學,10.76,12.74,12.86,13.20,4.50
107,公立,一般大學,0032,國立聯合大學,11.01,12.13,12.64,13.47,5
107,公立,技專校院,0033,國立虎尾科技大學,9.78,11.29,11.93,12.88,9.33
107,公立,一般大學,0035,國立臺南藝術大學,8.71,10.46,11.22,12.63,0
107,公立,一般大學,0036,國立臺南大學,10.76,11.59,11.61,11,2
107,公立,一般大學,0037,國立臺北教育大學,10.20,11.38,10.94,13.88,2
107,公立,一般大學,0039,國立臺中教育大學,10.51,12.15,11.65,12.57,2
107,公立,技專校院,0042,國立澎湖科技大學,8.80,10.62,14.36,14.63,8
107,公立,技專校院,0043,國立勤益科技大學,11.30,13.21,12.31,13.11,11.71
107,公立,一般大學,0044,國立體育大學,12.84,14.84,16.69,13.93,26.25
107,公立,技專校院,0046,國立臺北護理健康大學,9.95,12.38,11.06,13.08,16.30
107,公立,技專校院,0047,國立高雄餐旅大學,11.84,13.24,14.41,18.20,11.50
107,公立,一般大學,0048,國立金門大學,13.29,12.35,12.84,9.75,19
107,公立,一般大學,0049,國立臺灣體育運動大學,11.22,12.90,12.62,13.50,9
107,公立,技專校院,0050,國立臺中科技大學,11.79,13.31,12.88,14.92,4.67
107,公立,技專校院,0051,國立臺北商業大學,15.15,15.28,14.37,13.67,6
107,公立,一般大學,0052,國立屏東大學,9.51,11.29,10.55,12.21,4.25
107,公立,技專校院,0053,國立高雄科技大學,9.87,11.10,11.06,11.80,2.21
107,公立,技專校院,0144,國立臺灣戲曲學院,10,8.40,10.10,10.38,10
107,公立,技專校院,0221,國立臺南護理專科學校,9.58,12.29,14.67,14.82,12.05
107,公立,技專校院,0222,國立臺東專科學校,11,13.42,12.29,14.14,0
107,私立,一般大學,1001,東海大學,8.46,10.90,10.83,12.79,11.75
107,私立,一般大學,1002,輔仁大學,9.84,11.27,10.74,9.53,2.31
107,私立,一般大學,1003,東吳大學,9.78,10.52,8.47,12.47,2
107,私立,一般大學,1004,中原大學,8.48,10.49,10.39,8.64,2.27
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,9.20,10.64,10.40,12.46,6.93
107,私立,一般大學,1006,中國文化大學,8.92,9.98,11.11,10.93,8.46
107,私立,一般大學,1007,逢甲大學,9.39,12.43,11.90,13.12,9.40
107,私立,一般大學,1008,靜宜大學,8.94,10.64,10.19,12.52,2.18
107,私立,一般大學,1009,長庚大學,6.33,7.25,6.99,7.44,11
107,私立,一般大學,1010,元智大學,7.21,9.06,9.14,14.33,0
107,私立,一般大學,1011,中華大學學校財團法人中華大學,8.51,9.73,10.93,11.31,6.40
107,私立,一般大學,1012,大葉大學,6.73,9.23,9.93,16.90,10.57
107,私立,一般大學,1013,華梵大學,8.61,9.74,10.03,12.73,2
107,私立,一般大學,1014,義守大學,9.18,11.19,10.85,12.46,2
107,私立,一般大學,1015,世新大學,9.11,10.93,11.04,12.96,2
107,私立,一般大學,1016,銘傳大學,7.65,10.09,10.02,11.84,4.20
107,私立,一般大學,1017,實踐大學,8.86,11.36,11.87,11.89,7.14
107,私立,技專校院,1018,朝陽科技大學,8.15,10.94,11.43,13.74,8.22
