學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數(不含其他教師),編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-總數,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-副教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-助理教授,編制外(專案教師、專業技術人員、專業技術教師)專任教師數(不包括其他教師)-講師,編制外專任教師比率(%)
109,私立,技專校院,1064,美和學校財團法人美和科技大學,160,8,1,0,3,4,5
109,私立,技專校院,1065,吳鳳科技大學,141,17,0,1,7,9,12.06
109,私立,技專校院,1066,環球學校財團法人環球科技大學,133,6,0,0,5,1,4.51
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,63,8,0,0,5,3,12.70
109,私立,技專校院,1068,中州學校財團法人中州科技大學,88,6,0,0,4,2,6.82
109,私立,技專校院,1069,修平學校財團法人修平科技大學,172,2,0,0,0,2,1.16
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,246,22,1,0,18,3,8.94
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,238,42,1,0,26,15,17.65
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,41,10,1,4,4,1,24.39
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,217,39,1,1,22,15,17.97
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,265,29,3,1,19,6,10.94
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,118,3,0,0,2,1,2.54
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,130,22,0,0,12,10,16.92
109,私立,技專校院,1078,致理學校財團法人致理科技大學,265,29,0,0,23,6,10.94
109,私立,一般大學,1079,康寧學校財團法人康寧大學,118,38,2,4,15,17,32.20
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,179,20,0,0,13,7,11.17
109,私立,技專校院,1081,東方學校財團法人東方設計大學,86,4,0,0,1,3,4.65
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,74,31,1,5,13,12,41.89
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,136,34,0,6,22,6,25
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,54,34,5,4,14,11,60.71
109,私立,技專校院,1148,大漢技術學院,41,10,1,3,3,3,24.39
109,私立,技專校院,1159,和春技術學院,48,26,1,5,10,10,54.17
109,私立,技專校院,1166,亞東技術學院,144,11,0,0,11,0,7.64
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,90,19,1,0,4,14,21.11
109,私立,一般大學,1176,稻江科技暨管理學院,17,0,0,0,0,0,0
109,私立,技專校院,1182,蘭陽技術學院,44,5,0,1,2,2,11.36
109,私立,技專校院,1183,黎明技術學院,166,44,0,4,28,12,26.51
109,私立,技專校院,1185,經國管理暨健康學院,117,13,2,1,8,2,11.11
109,私立,技專校院,1188,大同技術學院,48,10,0,0,4,6,20.83
109,私立,技專校院,1192,臺灣觀光學院,10,8,0,0,4,4,80
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,127,8,0,4,3,1,6.30
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,24,2,0,1,1,0,8.33
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,118,7,0,0,0,7,5.93
109,私立,技專校院,1283,仁德醫護管理專科學校,167,31,0,0,5,26,18.56
109,私立,技專校院,1284,樹人醫護管理專科學校,180,40,0,0,6,34,22.22
109,私立,技專校院,1285,慈惠醫護管理專科學校,93,7,0,0,0,7,7.53
109,私立,技專校院,1286,耕莘健康管理專科學校,136,26,0,0,1,25,19.12
109,私立,技專校院,1287,敏惠醫護管理專科學校,105,14,0,0,0,14,13.33
109,私立,技專校院,1289,育英醫護管理專科學校,44,13,0,0,3,10,29.55
109,私立,技專校院,1291,聖母醫護管理專科學校,76,0,0,0,0,0,0
109,私立,技專校院,1292,新生醫護管理專科學校,166,52,0,0,4,48,31.33
109,私立,技專校院,1293,崇仁醫護管理專科學校,97,24,0,0,3,21,24.74
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,12,0,0,0,0,0,0
109,私立,宗教研修學院,1R03,臺北基督學院,10,4,1,0,3,0,40
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,12,2,1,0,1,0,16.67
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,19,0,0,0,0,0,0
109,私立,宗教研修學院,1R06,一貫道崇德學院,6,0,0,0,0,0,0
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,0,0,0,0,0,0
109,公立,一般大學,3002,臺北市立大學,316,3,0,0,3,0,0.95
110,公立,一般大學,0001,國立政治大學,705,41,4,0,18,19,5.82
110,公立,一般大學,0002,國立清華大學,855,36,16,2,10,8,4.21
110,公立,一般大學,0003,國立臺灣大學,2052,52,1,5,38,8,2.53
110,公立,一般大學,0004,國立臺灣師範大學,812,41,0,0,19,22,5.05
110,公立,一般大學,0005,國立成功大學,1310,42,4,2,23,13,3.21
110,公立,一般大學,0006,國立中興大學,826,58,6,13,39,0,7.02
110,公立,一般大學,0007,國立陽明交通大學,1141,64,17,5,33,9,5.61
110,公立,一般大學,0008,國立中央大學,670,53,23,5,17,8,7.91
110,公立,一般大學,0009,國立中山大學,570,39,4,3,32,0,6.84
110,公立,一般大學,0012,國立臺灣海洋大學,430,13,0,0,11,2,3.02
110,公立,一般大學,0013,國立中正大學,528,21,4,1,11,5,3.98
110,公立,一般大學,0014,國立高雄師範大學,277,8,0,0,8,0,2.89
110,公立,一般大學,0015,國立彰化師範大學,381,31,13,1,17,0,8.14
110,公立,一般大學,0017,國立臺北大學,369,15,5,2,7,1,4.07
110,公立,一般大學,0018,國立嘉義大學,492,32,0,0,29,3,6.50
110,公立,一般大學,0019,國立高雄大學,236,13,0,0,11,2,5.51
110,公立,一般大學,0020,國立東華大學,456,33,0,0,10,23,7.24
110,公立,一般大學,0021,國立暨南國際大學,270,18,0,0,9,9,6.67
110,公立,技專校院,0022,國立臺灣科技大學,520,116,20,7,67,22,22.31
110,公立,技專校院,0023,國立雲林科技大學,409,66,3,6,47,10,16.14
110,公立,技專校院,0024,國立屏東科技大學,398,34,1,6,16,11,8.54
110,公立,技專校院,0025,國立臺北科技大學,450,17,0,0,7,10,3.78
110,公立,一般大學,0028,國立臺北藝術大學,156,6,2,2,1,1,3.85
110,公立,一般大學,0029,國立臺灣藝術大學,164,33,5,5,23,0,20.12
110,公立,一般大學,0030,國立臺東大學,202,4,0,0,2,2,1.98
110,公立,一般大學,0031,國立宜蘭大學,231,1,0,0,1,0,0.43
110,公立,一般大學,0032,國立聯合大學,280,13,0,1,8,4,4.64
110,公立,技專校院,0033,國立虎尾科技大學,346,16,0,1,9,6,4.62
110,公立,一般大學,0035,國立臺南藝術大學,107,10,3,1,5,1,9.35
110,公立,一般大學,0036,國立臺南大學,224,0,0,0,0,0,0
110,公立,一般大學,0037,國立臺北教育大學,242,6,0,1,2,3,2.48
110,公立,一般大學,0039,國立臺中教育大學,200,11,0,0,10,1,5.50
110,公立,技專校院,0042,國立澎湖科技大學,127,34,0,3,26,5,26.77
110,公立,技專校院,0043,國立勤益科技大學,307,45,0,1,44,0,14.66
110,公立,一般大學,0044,國立體育大學,93,0,0,0,0,0,0
110,公立,技專校院,0046,國立臺北護理健康大學,180,19,0,1,17,1,10.56
110,公立,技專校院,0047,國立高雄餐旅大學,160,34,5,1,19,9,21.25
110,公立,一般大學,0048,國立金門大學,147,16,0,1,14,1,10.88
110,公立,一般大學,0049,國立臺灣體育運動大學,101,3,0,0,2,1,2.97
110,公立,技專校院,0050,國立臺中科技大學,383,27,0,1,25,1,7.05
110,公立,技專校院,0051,國立臺北商業大學,207,12,0,0,10,2,5.80
110,公立,一般大學,0052,國立屏東大學,348,6,0,0,5,1,1.72
110,公立,技專校院,0053,國立高雄科技大學,841,47,1,5,28,13,5.59
110,公立,技專校院,0144,國立臺灣戲曲學院,35,5,1,3,1,0,14.29
110,公立,技專校院,0221,國立臺南護理專科學校,64,4,0,0,2,2,6.25
110,公立,技專校院,0222,國立臺東專科學校,64,5,0,0,4,1,7.81
110,私立,一般大學,1001,東海大學,531,38,9,0,18,11,7.16
110,私立,一般大學,1002,輔仁大學,713,97,8,4,80,5,13.60
110,私立,一般大學,1003,東吳大學,430,46,13,9,24,0,10.70
110,私立,一般大學,1004,中原大學,481,31,4,4,17,6,6.44
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,711,59,15,8,35,1,8.30
110,私立,一般大學,1006,中國文化大學,681,77,4,3,68,2,11.31
110,私立,一般大學,1007,逢甲大學,641,38,6,1,27,4,5.93
110,私立,一般大學,1008,靜宜大學,369,58,0,4,39,15,15.72
110,私立,一般大學,1009,長庚大學,588,0,0,0,0,0,0
110,私立,一般大學,1010,元智大學,292,9,1,0,4,4,3.08
110,私立,一般大學,1011,中華大學學校財團法人中華大學,203,13,2,1,9,1,6.40
110,私立,一般大學,1012,大葉大學,281,69,2,1,33,33,24.56
110,私立,一般大學,1013,華梵大學,68,9,3,1,2,3,13.24
110,私立,一般大學,1014,義守大學,527,57,9,6,25,17,10.82
110,私立,一般大學,1015,世新大學,334,33,16,5,10,2,9.88
110,私立,一般大學,1016,銘傳大學,553,85,14,1,62,8,15.37
110,私立,一般大學,1017,實踐大學,318,74,2,8,48,16,23.27
110,私立,技專校院,1018,朝陽科技大學,382,51,2,3,30,16,13.35
110,私立,一般大學,1019,高雄醫學大學,533,20,7,1,10,2,3.75
110,私立,一般大學,1020,南華大學,195,15,1,0,13,1,7.69
110,私立,一般大學,1021,真理大學,221,3,0,1,2,0,1.36
110,私立,一般大學,1022,大同大學,139,17,1,0,13,3,12.23
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,520,5,0,0,2,3,0.96
110,私立,技專校院,1024,崑山科技大學,292,14,0,1,9,4,4.79
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,344,15,0,0,3,12,4.36
110,私立,技專校院,1026,樹德科技大學,255,60,0,3,46,11,23.53
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,232,9,0,0,2,7,3.88
110,私立,一般大學,1028,臺北醫學大學,680,5,0,0,5,0,0.74
110,私立,一般大學,1029,中山醫學大學,408,39,8,3,8,20,9.56
110,私立,技專校院,1030,龍華科技大學,271,72,1,4,60,7,26.57
110,私立,技專校院,1031,輔英科技大學,251,28,0,2,25,1,11.16
110,私立,技專校院,1032,明新學校財團法人明新科技大學,303,27,0,2,16,9,8.91
110,私立,一般大學,1033,長榮大學,316,29,5,0,24,0,9.18
110,私立,技專校院,1034,弘光科技大學,280,53,2,3,43,5,18.93
110,私立,一般大學,1035,中國醫藥大學,517,3,0,0,3,0,0.58
110,私立,技專校院,1036,健行學校財團法人健行科技大學,267,52,3,5,31,13,19.48
110,私立,技專校院,1037,正修學校財團法人正修科技大學,402,30,1,2,20,7,7.46
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,236,72,0,1,57,14,30.51
110,私立,一般大學,1039,玄奘大學,107,39,7,2,26,4,36.45
110,私立,技專校院,1040,建國科技大學,190,20,0,1,7,12,10.53
110,私立,技專校院,1041,明志科技大學,195,10,1,0,8,1,5.13
110,私立,技專校院,1042,高苑科技大學,168,4,0,0,1,3,2.38
110,私立,技專校院,1043,大仁科技大學,163,19,0,3,6,10,11.66
110,私立,技專校院,1044,聖約翰科技大學,121,27,0,1,6,20,22.31
110,私立,技專校院,1045,嶺東科技大學,265,32,0,3,25,4,12.08
110,私立,技專校院,1046,中國科技大學,227,9,0,1,6,2,3.96
110,私立,技專校院,1047,中臺科技大學,227,13,0,0,10,3,5.73
110,私立,一般大學,1048,亞洲大學,385,49,7,1,23,18,12.73
110,私立,一般大學,1049,開南大學,185,8,1,0,2,5,4.32
110,私立,一般大學,1050,佛光大學,161,12,0,0,7,5,7.45
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,326,45,1,3,40,1,13.80
110,私立,技專校院,1052,遠東科技大學,163,12,0,0,8,4,7.36
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,163,13,2,1,8,2,7.98
110,私立,技專校院,1054,景文科技大學,162,10,0,0,8,2,6.17
110,私立,技專校院,1055,中華醫事科技大學,224,7,0,0,3,4,3.13
110,私立,技專校院,1056,東南科技大學,153,19,0,0,8,11,12.42
110,私立,技專校院,1057,德明財經科技大學,221,30,0,0,18,12,13.57
110,私立,一般大學,1058,明道學校財團法人明道大學,108,35,3,4,26,2,32.41
110,私立,技專校院,1060,南開科技大學,112,5,0,0,4,1,4.46
110,私立,技專校院,1061,中華學校財團法人中華科技大學,141,11,0,1,8,2,7.80
110,私立,技專校院,1062,僑光科技大學,223,32,1,2,19,10,14.35
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,87,18,0,2,10,6,20.69
110,私立,技專校院,1064,美和學校財團法人美和科技大學,151,14,1,0,5,8,9.27
110,私立,技專校院,1065,吳鳳科技大學,136,21,0,0,10,11,15.44
110,私立,技專校院,1066,環球學校財團法人環球科技大學,118,8,0,0,4,4,6.78
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,57,8,0,0,3,5,14.04
110,私立,技專校院,1068,中州學校財團法人中州科技大學,82,10,0,1,3,6,12.20
110,私立,技專校院,1069,修平學校財團法人修平科技大學,156,1,0,0,0,1,0.64
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,254,32,1,1,27,3,12.60
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,230,57,1,1,44,11,24.78
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,34,11,0,4,5,2,32.35
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,209,40,1,3,24,12,19.14
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,268,31,3,2,19,7,11.57
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,115,4,0,0,3,1,3.48
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,136,19,0,0,8,11,13.97
110,私立,技專校院,1078,致理學校財團法人致理科技大學,271,30,0,1,25,4,11.07
110,私立,一般大學,1079,康寧學校財團法人康寧大學,111,35,1,1,19,14,31.53
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,169,20,0,1,11,8,11.83
110,私立,技專校院,1081,東方學校財團法人東方設計大學,69,4,0,0,1,3,5.80
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,62,28,1,5,11,11,45.16
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,130,30,0,5,19,6,23.08
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,138,8,0,0,7,1,5.80
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,65,41,7,4,21,9,63.08
110,私立,技專校院,1148,大漢技術學院,37,6,1,2,1,2,16.22
110,私立,技專校院,1159,和春技術學院,35,14,1,5,1,7,40
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,78,19,2,1,3,13,24.36
110,私立,技專校院,1182,蘭陽技術學院,27,3,0,1,2,0,11.11
110,私立,技專校院,1183,黎明技術學院,153,50,0,6,29,15,32.68
110,私立,技專校院,1185,經國管理暨健康學院,116,14,1,1,10,2,12.07
110,私立,技專校院,1188,大同技術學院,42,13,0,0,6,7,30.95
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,130,5,0,4,1,0,3.85
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,25,2,0,1,1,0,8
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,121,6,0,1,0,5,4.96
110,私立,技專校院,1283,仁德醫護管理專科學校,168,39,0,0,6,33,23.21
110,私立,技專校院,1284,樹人醫護管理專科學校,178,41,0,0,3,38,23.03
110,私立,技專校院,1285,慈惠醫護管理專科學校,85,5,0,0,0,5,5.88
110,私立,技專校院,1286,耕莘健康管理專科學校,131,22,0,0,3,19,16.79
110,私立,技專校院,1287,敏惠醫護管理專科學校,101,27,0,0,2,25,26.73
110,私立,技專校院,1289,育英醫護管理專科學校,42,13,0,0,4,9,30.95
110,私立,技專校院,1291,聖母醫護管理專科學校,72,0,0,0,0,0,0
110,私立,技專校院,1292,新生醫護管理專科學校,165,52,0,0,1,51,31.52
110,私立,技專校院,1293,崇仁醫護管理專科學校,93,21,0,0,2,19,22.58
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,11,0,0,0,0,0,0
110,私立,宗教研修學院,1R03,臺北基督學院,8,2,0,0,2,0,25
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,10,1,0,0,1,0,10
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,20,0,0,0,0,0,0
110,私立,宗教研修學院,1R06,一貫道崇德學院,6,0,0,0,0,0,0
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,1,0,1,0,0,10
110,私立,宗教研修學院,1R08,中華福音神學研究學院,15,0,0,0,0,0,0
110,私立,宗教研修學院,1R09,唯心聖教學院,6,0,0,0,0,0,0
110,公立,一般大學,3002,臺北市立大學,316,0,0,0,0,0,0
