學年度,設立別,學校類別,學校統計處代碼,學校名稱,紙本圖書收藏冊數(冊)-中文紙本圖書-總類,紙本圖書收藏冊數(冊)-中文紙本圖書-哲學類,紙本圖書收藏冊數(冊)-中文紙本圖書-宗教類,紙本圖書收藏冊數(冊)-中文紙本圖書-自然科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-應用科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-社會科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-史地類(含世界史地類),紙本圖書收藏冊數(冊)-中文紙本圖書-語言文學類,紙本圖書收藏冊數(冊)-中文紙本圖書-藝術類,紙本圖書收藏冊數(冊)-外文紙本圖書,期刊合訂本(未以紙本圖書編目)(冊),電子資料可使用量-線上資料庫(種),電子資料可使用量-光碟及其他類型資料庫(種),電子資料可使用量-電子期刊(種),電子資料可使用量-電子書(冊),視聽資料(件),現期書報(種)-報紙(種),現期書報(種)期刊-中日文(種),現期書報(種)期刊-西文(種),圖書館服務(人次)-圖書閱覽座位數,圖書館服務(人次)-借閱人次(僅含紙本圖書及非書資料),圖書館服務(人次)-借閱冊次(僅含紙本圖書及非書資料),圖書館服務(人次)-線上及光碟資料庫(含電子書及電子期刊)檢索人次
106,公立,一般大學,0032,國立聯合大學,9086,11099,4991,23728,50503,37172,20255,35957,21856,50353,15413,26,8,61181,259317,7977,16,599,117,434,12936,29812,290628
106,公立,技專校院,0033,國立虎尾科技大學,13751,7959,3086,22253,59766,21796,9977,28333,10929,42481,19724,138,0,38835,317609,6042,12,718,131,638,13337,41956,1814150
106,公立,技專校院,0034,國立高雄海洋科技大學,17529,10242,3521,25993,55274,36770,19290,44740,10421,53891,45557,317,16,44360,588016,10684,21,1038,108,600,36666,83185,448372
106,公立,一般大學,0035,國立臺南藝術大學,6771,4921,4826,1751,4359,14630,24254,16925,37926,87671,22444,114,2,25216,1736009,29865,12,329,161,230,14270,57314,36173
106,公立,一般大學,0036,國立臺南大學,44577,21608,10597,23410,26038,141050,36413,70563,35106,80185,30945,192,0,28845,456663,31017,13,1219,261,501,12872,65722,181916
106,公立,一般大學,0037,國立臺北教育大學,44965,24775,7409,30025,28369,131565,39139,90782,34402,92363,28453,48,8,20588,711369,22161,10,805,79,725,40656,109621,577262
106,公立,一般大學,0039,國立臺中教育大學,42549,20245,5286,23793,27508,75198,32905,77786,29679,92733,0,94,0,34859,405782,24544,12,540,55,489,50336,124596,512850
106,公立,技專校院,0042,國立澎湖科技大學,3941,12851,4575,25874,40546,33455,13471,35478,12412,25919,5231,59,1,54883,180909,11571,14,1207,245,470,13716,32531,360857
106,公立,技專校院,0043,國立勤益科技大學,10058,13541,4367,21476,60427,33260,23581,44901,13086,39925,0,112,5,36208,372627,15103,10,1393,349,848,36191,62126,471437
106,公立,一般大學,0044,國立體育大學,3239,14901,2658,6764,25676,47331,9437,20151,8792,32349,13184,8,41,12774,9160,12158,6,73,16,240,6052,17018,172228
106,公立,技專校院,0046,國立臺北護理健康大學,35357,10285,3016,15134,39871,28041,11627,32886,11449,87686,0,90,0,45570,103266,41385,15,211,29,340,24365,83126,121551
106,公立,技專校院,0047,國立高雄餐旅大學,6266,11964,4146,5409,41416,27407,19684,42013,12801,23564,0,267,0,60807,297024,11720,13,479,83,608,36114,79560,414561
106,公立,一般大學,0048,國立金門大學,9354,8987,4612,8281,28081,38831,22338,28059,13065,24823,3735,7,4,20254,95987,1202,7,413,36,437,7400,19245,13533
106,公立,一般大學,0049,國立臺灣體育運動大學,8145,10344,3048,9441,26183,45754,13177,30921,17444,27449,12153,35,5,5878,133141,16866,11,215,77,140,4482,13195,110966
106,公立,技專校院,0050,國立臺中科技大學,31742,21787,5887,18518,53052,48561,27802,64213,20904,54824,22992,194,14,70931,740766,16228,19,1227,95,1324,72903,134078,1735629
106,公立,技專校院,0051,國立臺北商業大學,20938,9549,1989,16353,36569,36434,10063,33429,9359,39143,5515,102,1,59507,146556,984,9,265,9,1104,21093,39714,1045479
106,公立,一般大學,0052,國立屏東大學,49060,33183,12659,34823,56653,192706,46593,137304,42028,105622,21698,127,0,70729,357640,33590,18,2517,568,1106,55847,167541,10414830
