年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費,學校承接計畫經費-小計,學校承接計畫經費-政府部門資助,學校承接計畫經費-企業部門資助,學校承接計畫經費-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費
105,私立,一般大學,1007,逢甲大學,657,3848547716,1046949869,931327621,73949810,41672438,27.20,1593531
105,私立,一般大學,1008,靜宜大學,374,1734694578,337342278,304392246,31376649,1573383,19.45,901984.70
105,私立,一般大學,1009,長庚大學,619,3946661606,865162133,657373207,192777831,15011095,21.92,1397677.11
105,私立,一般大學,1010,元智大學,318,1861249653,385130515,325721470,28287808,31121237,20.69,1211102.25
105,私立,一般大學,1011,中華大學學校財團法人中華大學,278,1227912977,124061112,94248150,22304139,7508823,10.10,446262.99
105,私立,一般大學,1012,大葉大學,338,1705869267,258879205,227794068,24464757,6620380,15.18,765914.81
105,私立,一般大學,1013,華梵大學,120,479897590,22475766,20995066,1420700,60000,4.68,187298.05
105,私立,一般大學,1014,義守大學,501,2605840299,366216130,256103594,58492234,51620302,14.05,730970.32
105,私立,一般大學,1015,世新大學,319,1881916621,288788437,258093180,15407680,15287577,15.35,905292.91
105,私立,一般大學,1016,銘傳大學,593,2767599072,192510320,175313575,11278875,5917870,6.96,324637.98
105,私立,一般大學,1017,實踐大學,410,1905371595,166390858,154226732,7817038,4347088,8.73,405831.36
105,私立,技專校院,1018,朝陽科技大學,407,2310666655,328099625,244086990,56085849,27926786,14.20,806141.58
105,私立,一般大學,1019,高雄醫學大學,563,2950911217,780852772,599180565,161855877,19816330,26.46,1386949.86
105,私立,一般大學,1020,南華大學,225,1921729053,65272384,63317728,1954656,0,3.40,290099.48
105,私立,一般大學,1021,真理大學,294,931404879,41266138,41266138,0,0,4.43,140361.01
105,私立,一般大學,1022,大同大學,176,807099788,163423421,136593515,22045506,4784400,20.25,928542.16
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,576,3035482295,598537625,437209776,117847208,43480641,19.72,1039127.82
105,私立,技專校院,1024,崑山科技大學,376,1767797774,417320596,366653185,36915740,13751671,23.61,1109895.20
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,493,2064405697,210873752,158060525,51776850,1036377,10.21,427735.81
105,私立,技專校院,1026,樹德科技大學,282,1462750893,185210392,166463974,14813285,3933133,12.66,656774.44
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,257,1407859048,355176948,130099696,4857862,220219390,25.23,1382011.47
105,私立,一般大學,1028,臺北醫學大學,580,3616058789,1072400809,901775064,146025364,24600381,29.66,1848966.91
105,私立,一般大學,1029,中山醫學大學,417,1815980648,414048871,264028784,33443820,116576267,22.80,992922.95
105,私立,技專校院,1030,龍華科技大學,244,1286874687,223249125,187519469,25305106,10424550,17.35,914955.43
105,私立,技專校院,1031,輔英科技大學,340,1234896126,107950910,98225380,2559174,7166356,8.74,317502.68
105,私立,技專校院,1032,明新學校財團法人明新科技大學,375,1353694409,109532035,87147488,17144498,5240049,8.09,292085.43
105,私立,一般大學,1033,長榮大學,343,1324076232,136092834,100062745,16412563,19617526,10.28,396772.11
105,私立,技專校院,1034,弘光科技大學,328,1638733333,313465176,239189215,68857032,5418929,19.13,955686.51
105,私立,一般大學,1035,中國醫藥大學,508,4032740370,995739434,520981899,458179094,16578441,24.69,1960117
105,私立,技專校院,1036,健行學校財團法人健行科技大學,325,1308637419,139400973,118944264,11553509,8903200,10.65,428926.07
105,私立,技專校院,1037,正修學校財團法人正修科技大學,440,2209844176,461995808,267737985,166153725,28104098,20.91,1049990.47
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,249,1198237394,51991993,36631583,12231410,3129000,4.34,208803.18
105,私立,一般大學,1039,玄奘大學,158,695035775,104577374,98750012,3301490,2525872,15.05,661882.11
105,私立,技專校院,1040,建國科技大學,275,934029581,90641229,71752815,13987169,4901245,9.70,329604.47
105,私立,技專校院,1041,明志科技大學,197,1983795246,216319033,157269241,56181456,2868336,10.90,1098066.16
105,私立,技專校院,1042,高苑科技大學,269,907962944,172485408,160769043,8064160,3652205,19,641209.70
105,私立,技專校院,1043,大仁科技大學,271,917985340,113670785,94388651,14693046,4589088,12.38,419449.39
105,私立,技專校院,1044,聖約翰科技大學,194,706404884,74737303,65231171,6555692,2950440,10.58,385243.83
105,私立,技專校院,1045,嶺東科技大學,268,1184799608,91374091,70713944,17921147,2739000,7.71,340948.10
105,私立,技專校院,1046,中國科技大學,312,1385538991,127617666,115995868,3925222,7696576,9.21,409030.98
105,私立,技專校院,1047,中臺科技大學,263,1079026280,124591328,115912642,3479936,5198750,11.55,473731.29
105,私立,一般大學,1048,亞洲大學,395,1918265942,366472751,320136079,22946210,23390462,19.10,927779.12
105,私立,一般大學,1049,開南大學,272,1014467510,45713196,36242331,2027200,7443665,4.51,168063.22
105,私立,一般大學,1050,佛光大學,175,748586157,83121209,77661189,3810020,1650000,11.10,474978.34
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,330,1479346054,130894418,102389940,20169165,8335313,8.85,396649.75
105,私立,技專校院,1052,遠東科技大學,243,1074339424,222152531,178002782,39551629,4598120,20.68,914207.95
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,221,898803287,79829468,66824051,9139203,3866214,8.88,361219.31
105,私立,技專校院,1054,景文科技大學,230,868011026,123906638,85149230,27947746,10809662,14.27,538724.51
105,私立,技專校院,1055,中華醫事科技大學,296,1014950903,43517719,23569603,11405100,8543016,4.29,147019.32
105,私立,技專校院,1056,東南科技大學,223,850394435,66759127,52594372,12034635,2130120,7.85,299368.28
105,私立,技專校院,1057,德明財經科技大學,240,1089441091,106767893,61241957,30388263,15137673,9.80,444866.22
105,私立,一般大學,1058,明道學校財團法人明道大學,146,861309448,33400474,29256724,2000341,2143409,3.88,228770.37
105,私立,技專校院,1060,南開科技大學,198,717997058,102152942,87609631,13455311,1088000,14.23,515923.95
105,私立,技專校院,1061,中華學校財團法人中華科技大學,251,925552613,78355735,62195615,15060120,1100000,8.47,312174.24
105,私立,技專校院,1062,僑光科技大學,228,1206355788,89387715,74011378,13544900,1831437,7.41,392051.38
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,137,588964355,104342769,87846495,7550810,8945464,17.72,761626.05
105,私立,技專校院,1064,美和學校財團法人美和科技大學,241,839891520,84800217,75662587,6091780,3045850,10.10,351868.12
105,私立,技專校院,1065,吳鳳科技大學,159,691346053,54192748,44463715,8958848,770185,7.84,340834.89
105,私立,技專校院,1066,環球學校財團法人環球科技大學,182,702160916,52023817,43799457,6198000,2026360,7.41,285845.15
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,123,442734514,16906804,16084864,524440,297500,3.82,137453.69
