年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費,學校承接計畫經費-小計,學校承接計畫經費-政府部門資助,學校承接計畫經費-企業部門資助,學校承接計畫經費-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費
106,私立,技專校院,1034,弘光科技大學,322,1641641862,276479864,222146132,50292606,4041126,16.84,858633.12
106,私立,一般大學,1035,中國醫藥大學,484,4418113699,1135521212,582511922,536357083,16652207,25.70,2346118.21
106,私立,技專校院,1036,健行學校財團法人健行科技大學,299,1262765611,161627023,137869812,16070063,7687148,12.80,540558.61
106,私立,技專校院,1037,正修學校財團法人正修科技大學,437,2139316545,468150670,269923549,164130836,34096285,21.88,1071283
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,248,1172301800,70649193,55783488,11655705,3210000,6.03,284875.78
106,私立,一般大學,1039,玄奘大學,143,648243855,120752650,113133344,5313290,2306016,18.63,844424.13
106,私立,技專校院,1040,建國科技大學,263,1099339907,106460151,86166922,16248329,4044900,9.68,404791.45
106,私立,技專校院,1041,明志科技大學,196,2276690774,254915139,189246769,64061697,1606673,11.20,1300587.44
106,私立,技專校院,1042,高苑科技大學,264,817665963,170445106,159400632,7908574,3135900,20.85,645625.40
106,私立,技專校院,1043,大仁科技大學,250,863279331,126789316,106669887,15274729,4844700,14.69,507157.26
106,私立,技專校院,1044,聖約翰科技大學,187,559214267,76707620,66508739,8684574,1514307,13.72,410201.18
106,私立,技專校院,1045,嶺東科技大學,264,1140507040,84115525,70823382,11855143,1437000,7.38,318619.41
106,私立,技專校院,1046,中國科技大學,305,1377442814,161312950,149914086,4845030,6553834,11.71,528894.92
106,私立,技專校院,1047,中臺科技大學,275,1072044033,128355738,112414158,4271130,11670450,11.97,466748.14
106,私立,一般大學,1048,亞洲大學,400,1973903389,397907903,357934055,18853917,21119931,20.16,994769.76
106,私立,一般大學,1049,開南大學,258,905484107,22774650,19764650,3010000,0,2.52,88273.84
106,私立,一般大學,1050,佛光大學,176,736811501,111998278,105135057,3331770,3531451,15.20,636353.85
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,333,1455179025,120749668,84311203,26802925,9635540,8.30,362611.62
106,私立,技專校院,1052,遠東科技大學,232,935968647,254374312,215619868,34572005,4182439,27.18,1096441
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,220,815530669,94530103,83393724,7475960,3660419,11.59,429682.29
106,私立,技專校院,1054,景文科技大學,201,817384463,113027016,76075128,28106918,8844970,13.83,562323.46
106,私立,技專校院,1055,中華醫事科技大學,299,1451124927,38038767,14540234,13601502,9897031,2.62,127219.96
106,私立,技專校院,1056,東南科技大學,210,781735953,89019957,70766570,14169444,4083943,11.39,423904.56
106,私立,技專校院,1057,德明財經科技大學,236,1012186753,89215898,48122717,34071019,7022162,8.81,378033.47
106,私立,一般大學,1058,明道學校財團法人明道大學,130,732087372,40822894,39204894,788000,830000,5.58,314022.26
106,私立,技專校院,1060,南開科技大學,195,668284070,92761774,67429132,24160642,1172000,13.88,475701.41
106,私立,技專校院,1061,中華學校財團法人中華科技大學,231,864877539,74115920,66557777,7238143,320000,8.57,320848.14
106,私立,技專校院,1062,僑光科技大學,227,1055273125,88411731,72320729,10987243,5103759,8.38,389478.99
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,129,524112336,88383188,79863452,2473600,6046136,16.86,685140.99
106,私立,技專校院,1064,美和學校財團法人美和科技大學,231,853520426,90143397,83272247,3674000,3197150,10.56,390231.16
106,私立,技專校院,1065,吳鳳科技大學,163,635591199,65882844,56092844,9290000,500000,10.37,404189.23
106,私立,技專校院,1066,環球學校財團法人環球科技大學,181,651722879,69389137,60765497,7832640,791000,10.65,383365.40
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,105,354581009,18817646,18115781,420000,281865,5.31,179215.68
106,私立,技專校院,1068,中州學校財團法人中州科技大學,123,465851717,49950546,46074409,1989840,1886297,10.72,406102
106,私立,技專校院,1069,修平學校財團法人修平科技大學,203,789404762,94226919,82659406,9283890,2283623,11.94,464172.01
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,348,1855532289,181195523,123663931,10624363,46907229,9.77,520676.79
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,248,1042404384,48055101,35386988,10012974,2655139,4.61,193770.57
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,110,363757972,29749481,27078406,1361075,1310000,8.18,270449.83
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,243,891640599,131703386,113273588,11964540,6465258,14.77,541989.24
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,103,239288704,8706533,2553033,5203000,950500,3.64,84529.45
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,270,1141938144,144634077,120282963,5172919,19178195,12.67,535681.77
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,161,560000000,64413804,58390094,5683000,340710,11.50,400085.74
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,155,691098469,76950496,68992901,1545640,6411955,11.13,496454.81
106,私立,技專校院,1078,致理學校財團法人致理科技大學,275,1070704389,134561769,116328643,14859939,3373187,12.57,489315.52
106,私立,一般大學,1079,康寧學校財團法人康寧大學,162,563830034,16364012,12071694,2510518,1781800,2.90,101012.42
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,201,664368909,22300891,8255986,13835905,209000,3.36,110949.71
106,私立,技專校院,1081,東方學校財團法人東方設計大學,156,393650836,67569168,56498837,11070331,0,17.16,433135.69
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,99,400504480,52921431,39167320,13754111,0,13.21,534559.91
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,162,743086292,81922250,71953118,4849182,5119950,11.02,505692.90
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,38,219330090,1516000,1276000,240000,0,0.69,39894.74
106,私立,技專校院,1148,大漢技術學院,57,129611676,5120502,3380502,1680000,60000,3.95,89833.37
106,私立,技專校院,1159,和春技術學院,108,287151555,19508250,13599250,5069000,840000,6.79,180631.94
106,私立,技專校院,1166,亞東技術學院,162,896754141,150801315,132337429,9910412,8553474,16.82,930872.31
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,142,527155300,53091149,44525640,8565509,0,10.07,373881.33
106,私立,一般大學,1176,稻江科技暨管理學院,60,263672484,21218414,20133414,745000,340000,8.05,353640.23
106,私立,技專校院,1182,蘭陽技術學院,84,235215285,6513555,4645610,495000,1372945,2.77,77542.32
106,私立,技專校院,1183,黎明技術學院,154,613674655,48316373,44403898,3912475,0,7.87,313742.68
106,私立,技專校院,1185,經國管理暨健康學院,141,481052945,68240421,64993421,2115000,1132000,14.19,483974.62
106,私立,技專校院,1188,大同技術學院,66,249503121,29331005,24812145,3828860,690000,11.76,444409.17
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,57,335746004,3556516,2297000,1259516,0,1.06,62395.02
106,私立,技專校院,1192,臺灣觀光學院,44,140600487,6881748,3194287,3099693,587768,4.89,156403.36
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,103,701113887,65430807,58323571,4433000,2674236,9.33,635250.55
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,20,3138000,8940000,5802000,0,3138000,284.89,447000
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,141,603028197,29982046,24555392,5086654,340000,4.97,212638.62
106,私立,技專校院,1283,仁德醫護管理專科學校,203,606264880,52943457,52743457,200000,0,8.73,260805.21
106,私立,技專校院,1284,樹人醫護管理專科學校,210,620766128,76183506,73853515,878450,1451541,12.27,362778.60
106,私立,技專校院,1285,慈惠醫護管理專科學校,170,524643653,36688416,35826276,260000,602140,6.99,215814.21
106,私立,技專校院,1286,耕莘健康管理專科學校,181,542648246,79365625,78265837,749600,350188,14.63,438484.12
106,私立,技專校院,1287,敏惠醫護管理專科學校,124,53328353,46731138,46137908,439630,153600,87.63,376864.02
106,私立,技專校院,1288,高美醫護管理專科學校,27,87537186,0,0,0,0,0,0
106,私立,技專校院,1289,育英醫護管理專科學校,71,186938690,39975351,39525651,364500,85200,21.38,563033.11
106,私立,技專校院,1290,崇仁醫護管理專科學校,130,353168812,64623995,63379410,99900,1144685,18.30,497107.65
106,私立,技專校院,1291,聖母醫護管理專科學校,111,324781804,47907389,45044679,2322961,539749,14.75,431598.10
106,私立,技專校院,1292,新生醫護管理專科學校,213,507944923,23202559,22146559,1010000,46000,4.57,108932.20
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,10,25853182,0,0,0,0,0,0
106,私立,宗教研修學院,1R03,臺北基督學院,12,58513793,0,0,0,0,0,0
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9,750000,750000,750000,0,0,100,83333.33
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,14,59602835,0,0,0,0,0,0
106,私立,宗教研修學院,1R06,一貫道崇德學院,5,29647539,0,0,0,0,0,0
106,公立,一般大學,3002,臺北市立大學,331,1626450422,384087689,375888158,6348000,1851531,23.62,1160385.77
107,公立,一般大學,0001,國立政治大學,714,4207748964,994478517,944194186,13161941,37122390,23.63,1392827.05
107,公立,一般大學,0002,國立清華大學,823,6870738869,3983700187,3524382496,328337764,130979927,57.98,4840461.95
107,公立,一般大學,0003,國立臺灣大學,2043,17385570587,8795143378,8206498323,366859507,221785548,50.59,4305013.89
107,公立,一般大學,0004,國立臺灣師範大學,839,5872004255,2666339932,2588596975,29578899,48164058,45.41,3177997.54
107,公立,一般大學,0005,國立成功大學,1325,9432135605,5080965628,4492120206,262237104,326608318,53.87,3834691.04
107,公立,一般大學,0006,國立中興大學,775,5403303118,2300486715,1962900395,288550899,49035421,42.58,2968369.95
107,公立,一般大學,0007,國立陽明交通大學,735,6506271832,3826378425,3253980732,356454725,215942968,58.81,5205957.04
107,公立,一般大學,0008,國立中央大學,645,4567810766,2659670095,2279024141,139725706,240920248,58.23,4123519.53
107,公立,一般大學,0009,國立中山大學,522,3585297129,1789437584,1503979108,160005083,125453393,49.91,3428041.35
107,公立,一般大學,0012,國立臺灣海洋大學,416,2552804784,986000026,767033713,177273309,41693004,38.62,2370192.37
107,公立,一般大學,0013,國立中正大學,548,2790119786,1051275535,1033510564,11046046,6718925,37.68,1918386.01
107,公立,一般大學,0014,國立高雄師範大學,289,1461258672,436603190,397561847,11301000,27740343,29.88,1510737.68
107,公立,一般大學,0015,國立彰化師範大學,369,1704404435,386616791,366128484,14284457,6203850,22.68,1047741.98
107,公立,一般大學,0016,國立陽明大學,408,2737874137,1270369327,1177446468,58302859,34620000,46.40,3113650.31
107,公立,一般大學,0017,國立臺北大學,380,1717968623,360866331,342655340,11154312,7056679,21.01,949648.24
107,公立,一般大學,0018,國立嘉義大學,517,2373307808,542921246,489802494,37143104,15975648,22.88,1050137.81
107,公立,一般大學,0019,國立高雄大學,237,1113656996,287454308,261351029,20538279,5565000,25.81,1212887.38
107,公立,一般大學,0020,國立東華大學,477,2365237004,574334817,536726508,11705565,25902744,24.28,1204056.22
107,公立,一般大學,0021,國立暨南國際大學,269,1404570539,481948949,471630431,5206775,5111743,34.31,1791631.78
107,公立,技專校院,0022,國立臺灣科技大學,499,3244571405,1479973692,1201520444,209256244,69197004,45.61,2965879.14
107,公立,技專校院,0023,國立雲林科技大學,411,2478347139,1293989014,1121667506,140705667,31615841,52.21,3148391.76
107,公立,技專校院,0024,國立屏東科技大學,411,2463538197,987819505,847378586,120338105,20102814,40.10,2403453.78
107,公立,技專校院,0025,國立臺北科技大學,469,3899111444,1129870760,951602152,128369792,49898816,28.98,2409106.10
107,公立,一般大學,0028,國立臺北藝術大學,163,931408925,137840554,134800521,530000,2510033,14.80,845647.57
107,公立,一般大學,0029,國立臺灣藝術大學,167,1021232465,96610354,85788477,5108420,5713457,9.46,578505.11
107,公立,一般大學,0030,國立臺東大學,194,1012179492,308557037,289421909,6007910,13127218,30.48,1590500.19
107,公立,一般大學,0031,國立宜蘭大學,232,1286553103,352195047,305864468,39643279,6687300,27.38,1518082.10
107,公立,一般大學,0032,國立聯合大學,284,1304223286,395175676,348629375,26364395,20181906,30.30,1391463.65
107,公立,技專校院,0033,國立虎尾科技大學,335,1946051146,787909137,677257643,81867981,28783513,40.49,2351967.57
107,公立,一般大學,0035,國立臺南藝術大學,108,589486857,157418945,148002585,3848800,5567560,26.70,1457582.82
107,公立,一般大學,0036,國立臺南大學,235,1113538667,314133483,291107096,12350883,10675504,28.21,1336738.23
107,公立,一般大學,0037,國立臺北教育大學,235,1262446019,255095021,247414275,1413964,6266782,20.21,1085510.73
107,公立,一般大學,0039,國立臺中教育大學,203,1177540037,345726301,328451308,4797885,12477108,29.36,1703085.23
107,公立,技專校院,0042,國立澎湖科技大學,120,572577593,149121619,146627419,2350200,144000,26.04,1242680.16
107,公立,技專校院,0043,國立勤益科技大學,288,1630467970,362855060,312219215,37621145,13014700,22.25,1259913.40
107,公立,一般大學,0044,國立體育大學,99,582358271,152996942,133188896,14551315,5256731,26.27,1545423.66
107,公立,技專校院,0046,國立臺北護理健康大學,188,874709410,235566752,222343461,11250916,1972375,26.93,1253014.64
107,公立,技專校院,0047,國立高雄餐旅大學,161,800685228,186513402,168147274,12116935,6249193,23.29,1158468.34
107,公立,一般大學,0048,國立金門大學,145,733196434,62273453,58260756,3099000,913697,8.49,429472.09
107,公立,一般大學,0049,國立臺灣體育運動大學,114,664487101,84273076,71953964,6002687,6316425,12.68,739237.51
107,公立,技專校院,0050,國立臺中科技大學,419,1825579296,182087443,149047575,26930915,6108953,9.97,434576.24
107,公立,技專校院,0051,國立臺北商業大學,213,1080376572,176551016,160106696,9387122,7057198,16.34,828878.01
107,公立,一般大學,0052,國立屏東大學,342,1586919564,290451852,271930990,8427274,10093588,18.30,849274.42
107,公立,技專校院,0053,國立高雄科技大學,871,3864489718,1817687281,1442179718,298936922,76570641,47.04,2086896.99
107,公立,技專校院,0144,國立臺灣戲曲學院,35,557589787,14641115,3196200,1936380,9508535,2.63,418317.57
107,公立,技專校院,0221,國立臺南護理專科學校,88,321189155,38382250,36897250,585000,900000,11.95,436161.93
107,公立,技專校院,0222,國立臺東專科學校,66,467029582,49949980,48861480,726500,362000,10.70,756817.88
107,私立,一般大學,1001,東海大學,544,2750160654,513274836,442211122,47230919,23832795,18.66,943519.92
107,私立,一般大學,1002,輔仁大學,734,4041355307,348995512,301482345,17237506,30275661,8.64,475470.72
107,私立,一般大學,1003,東吳大學,443,2255379456,275348770,248097320,16128456,11122994,12.21,621554.79
107,私立,一般大學,1004,中原大學,497,3241624895,897628854,639789588,100144413,157694853,27.69,1806094.27
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,738,3746136336,373162097,320535481,46001762,6624854,9.96,505639.70
107,私立,一般大學,1006,中國文化大學,727,3695842987,242644046,217550237,15920893,9172916,6.57,333760.72
107,私立,一般大學,1007,逢甲大學,653,4455586551,1159731306,1039243919,70268172,50219215,26.03,1776005.06
107,私立,一般大學,1008,靜宜大學,374,1759255185,351366722,333417053,9160642,8789027,19.97,939483.21
107,私立,一般大學,1009,長庚大學,586,4811688964,727048455,640955131,78359324,7734000,15.11,1240697.02
107,私立,一般大學,1010,元智大學,312,1800823767,426026986,316299910,61838259,47888817,23.66,1365471.11
107,私立,一般大學,1011,中華大學學校財團法人中華大學,234,1031526760,138318780,118050121,8784759,11483900,13.41,591105.90
107,私立,一般大學,1012,大葉大學,315,1584024799,275561135,236425883,30007469,9127783,17.40,874797.25
107,私立,一般大學,1013,華梵大學,95,353526505,46838942,45002840,1836102,0,13.25,493041.49
107,私立,一般大學,1014,義守大學,502,2559272230,397873167,286564986,54646058,56662123,15.55,792576.03
107,私立,一般大學,1015,世新大學,336,1787351802,283598060,261519067,13053452,9025541,15.87,844041.85
107,私立,一般大學,1016,銘傳大學,576,2677300914,252224736,237987638,7156332,7080766,9.42,437890.17
107,私立,一般大學,1017,實踐大學,372,1837506348,210457841,197697647,7282030,5478164,11.45,565746.88
107,私立,技專校院,1018,朝陽科技大學,402,2297462675,411932525,306137306,67774620,38020599,17.93,1024707.77
107,私立,一般大學,1019,高雄醫學大學,558,3164230765,885895908,725267544,143974040,16654324,28,1587627.08
107,私立,一般大學,1020,南華大學,203,1172151899,134422438,130413578,3219411,789449,11.47,662179.50
107,私立,一般大學,1021,真理大學,267,782253976,35021757,34858957,162800,0,4.48,131167.63
107,私立,一般大學,1022,大同大學,158,894079987,158883214,121232336,34065968,3584910,17.77,1005589.96
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,572,2590837253,641091511,493616160,100876740,46598611,24.74,1120789.35
107,私立,技專校院,1024,崑山科技大學,343,1748404674,497851923,433013331,47932636,16905956,28.47,1451463.33
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,465,2880082230,317160075,244574012,58143415,14442648,11.01,682064.68
107,私立,技專校院,1026,樹德科技大學,281,1440078805,237776038,213225149,16690904,7859985,16.51,846178.07
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,240,1467765436,405587731,172417250,3196125,229974356,27.63,1689948.88
107,私立,一般大學,1028,臺北醫學大學,616,4517812205,1476118794,1149498441,259310503,67309850,32.67,2396296.74
107,私立,一般大學,1029,中山醫學大學,412,1870090771,533104337,391584787,105983664,35535886,28.51,1293942.57
107,私立,技專校院,1030,龍華科技大學,251,1303043720,271368126,226020341,26991282,18356503,20.83,1081147.91
107,私立,技專校院,1031,輔英科技大學,331,1199356514,161839741,151589150,6624141,3626450,13.49,488941.82
107,私立,技專校院,1032,明新學校財團法人明新科技大學,369,2026167926,199685218,174598324,15837794,9249100,9.86,541152.35
107,私立,一般大學,1033,長榮大學,334,1422559694,179833267,150272553,17328718,12231996,12.64,538422.96
107,私立,技專校院,1034,弘光科技大學,354,1633730661,356922901,310684739,42049576,4188586,21.85,1008256.78
107,私立,一般大學,1035,中國醫藥大學,495,4775651730,1106752275,677113605,409572503,20066167,23.17,2235863.18
107,私立,技專校院,1036,健行學校財團法人健行科技大學,293,1290543734,136250115,107224794,17214321,11811000,10.56,465017.46
107,私立,技專校院,1037,正修學校財團法人正修科技大學,431,2123455486,616988570,433710321,159279706,23998543,29.06,1431528
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,234,1231158576,57733818,44784511,10975891,1973416,4.69,246725.72
107,私立,一般大學,1039,玄奘大學,111,557405101,100332419,93274920,3405387,3652112,18,903895.67
107,私立,技專校院,1040,建國科技大學,250,892522915,88477262,70644859,14499703,3332700,9.91,353909.05
107,私立,技專校院,1041,明志科技大學,193,2690190765,361041231,278203923,79669650,3167658,13.42,1870679.95
107,私立,技專校院,1042,高苑科技大學,242,674825327,141209485,132353375,5554110,3302000,20.93,583510.27
107,私立,技專校院,1043,大仁科技大學,219,871287069,118094436,106651358,8376648,3066430,13.55,539244
107,私立,技專校院,1044,聖約翰科技大學,175,489560489,59234511,52017741,6446140,770630,12.10,338482.92
107,私立,技專校院,1045,嶺東科技大學,264,1175098647,105313059,89006825,13243034,3063200,8.96,398913.10
107,私立,技專校院,1046,中國科技大學,290,947401649,173974195,140283047,26072654,7618494,18.36,599911.02
107,私立,技專校院,1047,中臺科技大學,266,1014672900,144167743,133296020,2599200,8272523,14.21,541984
107,私立,一般大學,1048,亞洲大學,388,2094044534,267482286,205984599,31996174,29501513,12.77,689387.34
107,私立,一般大學,1049,開南大學,226,833939337,68015942,62007418,4728000,1280524,8.16,300955.50
107,私立,一般大學,1050,佛光大學,173,830783815,109952909,97441061,1353000,11158848,13.23,635565.95
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,331,1454188977,113581249,77782192,26574977,9224080,7.81,343145.77
107,私立,技專校院,1052,遠東科技大學,211,856624328,225417297,178179886,40272245,6965166,26.31,1068328.42
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,201,837258464,200466159,184863019,12558940,3044200,23.94,997344.07
107,私立,技專校院,1054,景文科技大學,191,784331616,121563213,88521714,27667526,5373973,15.50,636456.61
107,私立,技專校院,1055,中華醫事科技大學,288,986777262,44501742,27251880,8048501,9201361,4.51,154519.94
107,私立,技專校院,1056,東南科技大學,192,729971472,90288268,67508273,21591320,1188675,12.37,470251.40
107,私立,技專校院,1057,德明財經科技大學,227,990876557,101458188,77929285,19231251,4297652,10.24,446952.37
107,私立,一般大學,1058,明道學校財團法人明道大學,127,618796138,70089822,45419052,1553820,23116950,11.33,551888.36
107,私立,技專校院,1060,南開科技大學,181,603730248,110280226,104179844,5698107,402275,18.27,609283.02
107,私立,技專校院,1061,中華學校財團法人中華科技大學,211,729654024,67719412,59538912,7513500,667000,9.28,320945.08
107,私立,技專校院,1062,僑光科技大學,228,1054669724,111197245,76469447,23211341,11516457,10.54,487707.21
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,113,547251933,100916094,91417545,5296206,4202343,18.44,893062.78
107,私立,技專校院,1064,美和學校財團法人美和科技大學,229,861506192,100553385,89037573,5627620,5888192,11.67,439097.75
107,私立,技專校院,1065,吳鳳科技大學,154,603437325,68775749,58818541,8756995,1200213,11.40,446595.77
107,私立,技專校院,1066,環球學校財團法人環球科技大學,167,582873153,51791135,44810522,6176930,803683,8.89,310126.56
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,90,309462734,11083119,10651120,250000,181999,3.58,123145.77
107,私立,技專校院,1068,中州學校財團法人中州科技大學,112,348702869,30141569,24900369,3160400,2080800,8.64,269121.15
107,私立,技專校院,1069,修平學校財團法人修平科技大學,188,592322906,96855421,85910390,9343520,1601511,16.35,515188.41
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,338,1963440679,241487234,161996845,30026125,49464264,12.30,714459.27
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,245,1032320582,64772915,50658588,10826340,3287987,6.27,264379.24
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,79,443181549,23385782,21425181,1460600,500001,5.28,296022.56
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,223,1032496180,177021943,154229425,19168018,3624500,17.15,793820.37
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,266,1170446498,155917851,117751617,8545653,29620581,13.32,586157.33
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,149,560000000,58701376,53642467,3044929,2013980,10.48,393968.97
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,159,826494560,88780515,79909954,868295,8002266,10.74,558368.02
107,私立,技專校院,1078,致理學校財團法人致理科技大學,277,1250293270,170033308,138150342,27222119,4660847,13.60,613838.66
107,私立,一般大學,1079,康寧學校財團法人康寧大學,122,549153339,26068183,22405123,1548580,2114480,4.75,213673.63
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,190,587776612,22278878,7914173,14044705,320000,3.79,117257.25
107,私立,技專校院,1081,東方學校財團法人東方設計大學,123,405747995,25924267,14924628,10619639,380000,6.39,210766.40
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,98,362506402,28234150,21003100,6871050,360000,7.79,288103.57
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,144,656080418,90705189,84754056,3542333,2408800,13.83,629897.15
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,48,284780007,12668410,11371450,1296960,0,4.45,263925.21
107,私立,技專校院,1148,大漢技術學院,57,171224407,8047000,6586000,1361000,100000,4.70,141175.44
107,私立,技專校院,1159,和春技術學院,82,233854110,15407438,11421088,3986350,0,6.59,187895.59
107,私立,技專校院,1166,亞東技術學院,157,949612898,112651776,96267455,9473121,6911200,11.86,717527.24
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,114,457215940,34292900,25051800,9241100,0,7.50,300814.91
107,私立,一般大學,1176,稻江科技暨管理學院,57,265885480,12121341,9423341,2438000,260000,4.56,212655.11
107,私立,技專校院,1182,蘭陽技術學院,78,215851418,3850468,2648468,1202000,0,1.78,49364.97
107,私立,技專校院,1183,黎明技術學院,159,611671802,66178053,56255887,9352166,570000,10.82,416214.17
107,私立,技專校院,1185,經國管理暨健康學院,141,475785693,84951191,82268457,2245234,437500,17.85,602490.72
107,私立,技專校院,1188,大同技術學院,64,202534053,13347326,8871300,3903000,573026,6.59,208551.97
107,私立,技專校院,1192,臺灣觀光學院,24,126021308,1907950,1907950,0,0,1.51,79497.92
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,125,588915322,110351405,101656396,3305009,5390000,18.74,882811.24
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,23,172619497,3708746,1731500,0,1977246,2.15,161249.83
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,139,568491291,47780973,40577126,2518114,4685733,8.40,343748.01
107,私立,技專校院,1283,仁德醫護管理專科學校,204,593553002,69184738,67164738,1020000,1000000,11.66,339140.87
107,私立,技專校院,1284,樹人醫護管理專科學校,224,638060549,90813054,88625935,379350,1807769,14.23,405415.42
107,私立,技專校院,1285,慈惠醫護管理專科學校,154,435040315,40385202,39431202,410000,544000,9.28,262241.57
107,私立,技專校院,1286,耕莘健康管理專科學校,172,600721465,129490517,127969939,1018194,502384,21.56,752851.84
107,私立,技專校院,1287,敏惠醫護管理專科學校,124,46109669,46109669,45323481,786188,0,100,371852.17
107,私立,技專校院,1289,育英醫護管理專科學校,70,188316049,9940844,9166451,312793,461600,5.28,142012.06
107,私立,技專校院,1291,聖母醫護管理專科學校,94,288915591,40252791,37603012,1310568,1339211,13.93,428221.18
107,私立,技專校院,1292,新生醫護管理專科學校,209,541516707,46164968,45353968,811000,0,8.53,220885.01
107,私立,技專校院,1293,崇仁醫護管理專科學校,129,341563076,82985721,78713951,780400,3491370,24.30,643300.16
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,12,25652366,0,0,0,0,0,0
107,私立,宗教研修學院,1R03,臺北基督學院,11,62240108,310000,310000,0,0,0.50,28181.82
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9,28672860,890000,890000,0,0,3.10,98888.89
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,16,55825771,0,0,0,0,0,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,6,29452894,0,0,0,0,0,0
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,19708980,0,0,0,0,0,0
107,公立,一般大學,3002,臺北市立大學,334,1575242823,302690739,294689407,6792500,1208832,19.22,906259.70
108,公立,一般大學,0001,國立政治大學,743,4301819767,1064153262,1022062694,13349660,28740908,24.74,1432238.58
108,公立,一般大學,0002,國立清華大學,830,7477125795,4262803973,3795136705,366379631,101287637,57.01,5135908.40
108,公立,一般大學,0003,國立臺灣大學,2021,19018101012,9136934329,8529325482,369518647,238090200,48.04,4520996.70
108,公立,一般大學,0004,國立臺灣師範大學,813,6127305216,2915233177,2750657230,130693729,33882218,47.58,3585772.67
108,公立,一般大學,0005,國立成功大學,1340,9896199001,5599109660,4949990080,342976605,306142975,56.58,4178440.04
108,公立,一般大學,0006,國立中興大學,781,5417824316,2393205777,2003862228,309887500,79456049,44.17,3064283.97
108,公立,一般大學,0007,國立陽明交通大學,746,6912943700,3794000624,3311962897,263113411,218924316,54.88,5085791.72
108,公立,一般大學,0008,國立中央大學,662,4728788010,2801965328,2199380777,344085526,258499025,59.25,4232576.02
108,公立,一般大學,0009,國立中山大學,537,3719415373,1904599856,1588479095,195020040,121100721,51.21,3546740.89
108,公立,一般大學,0012,國立臺灣海洋大學,430,2531555683,1150543474,802805240,263316812,84421422,45.45,2675682.50
108,公立,一般大學,0013,國立中正大學,532,2858136309,984908898,965045670,15397474,4465754,34.46,1851332.52
