學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學士班學雜費收費基準-醫學系,日間學制學士班學雜費收費基準-牙醫學系,日間學制學士班學雜費收費基準-醫學院,日間學制學士班學雜費收費基準-工學院,日間學制學士班學雜費收費基準-理農學院,日間學制學士班學雜費收費基準-商學院,日間學制學士班學雜費收費基準-文法學院,日間學制學士班學雜費收費基準-其他,日間學制副學士學雜費收費基準(五專後2年、二專)-工業類,日間學制副學士學雜費收費基準(五專後2年、二專)-商管類,日間學制副學士學雜費收費基準(五專後2年、二專)-醫護類,日間學制副學士學雜費收費基準(五專後2年、二專)-其他
106,私立,一般大學,1004,中原大學,0,0,0,"54,870","54,360","46,060","46,060",0,0,0,0,0
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,0,0,0,"54,720","54,260","47,590","46,880",0,0,0,0,0
106,私立,一般大學,1006,中國文化大學,0,0,0,"53,390","52,950","46,425","45,735",0,0,0,0,0
106,私立,一般大學,1007,逢甲大學,0,0,0,"54,970","54,970","47,820","47,080",0,0,0,0,0
106,私立,一般大學,1008,靜宜大學,0,0,0,0,"51,874","45,496","44,811",0,0,0,0,0
106,私立,一般大學,1009,長庚大學,"59,317",0,"46,577","44,307",0,"38,528",0,0,0,0,0,0
106,私立,一般大學,1010,元智大學,0,0,0,"56,040",0,"48,910","48,190",0,0,0,0,0
106,私立,一般大學,1011,中華大學學校財團法人中華大學,0,0,0,"51,880","51,880","45,121","44,442",0,0,0,0,0
106,私立,一般大學,1012,大葉大學,0,0,"55,900","52,748",0,"45,870","45,218",0,0,0,0,0
106,私立,一般大學,1013,華梵大學,0,0,0,"52,380",0,0,"44,870",0,0,0,0,0
106,私立,一般大學,1014,義守大學,0,0,"55,495","55,373","54,232","47,994","45,405",0,0,0,0,0
106,私立,一般大學,1015,世新大學,0,0,0,"56,914",0,"49,252","48,283",0,0,0,0,0
106,私立,一般大學,1016,銘傳大學,0,0,0,"53,383",0,"46,201","45,288",0,0,0,0,0
106,私立,一般大學,1017,實踐大學,0,0,0,"49,795","49,380","43,315","42,675",0,0,0,0,0
106,私立,技專校院,1018,朝陽科技大學,0,0,0,"55,684",0,"48,409","48,409","55,684",0,0,0,0
106,私立,一般大學,1019,高雄醫學大學,"71,159","65,115","55,848",0,"52,688",0,"45,514",0,0,0,0,0
106,私立,一般大學,1020,南華大學,0,0,0,"51,597",0,"46,597","44,865",0,0,0,0,0
106,私立,一般大學,1021,真理大學,0,0,0,0,"51,940","45,560","44,870",0,0,0,0,0
106,私立,一般大學,1022,大同大學,0,0,0,"54,170","51,670","47,120",0,0,0,0,0,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,0,0,0,"55,270",0,"48,135","47,425","55,270",0,0,0,0
