學年度,設立別,學校類別,學校統計處代碼,學校名稱,教師類別,編制外專任教師支給數額情形-教授-平均支給數額,編制外專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-副教授-平均支給數額,編制外專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-助理教授-平均支給數額,編制外專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-講師-平均支給數額,編制外專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,公立,技專校院,0222,國立臺東專科學校,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1001,東海大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1001,東海大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1002,輔仁大學,專業技術人員,無,無,"78,615",97.45,"70,780",100,"58,135",100
107,私立,一般大學,1002,輔仁大學,專案教學人員,無,無,"79,300",98.30,"70,780",100,"58,135",100
107,私立,一般大學,1003,東吳大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1003,東吳大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1004,中原大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1004,中原大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,無,無
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,專案教學人員,"100,165",100,無,無,"70,780",100,無,無
107,私立,一般大學,1006,中國文化大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,一般大學,1006,中國文化大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1007,逢甲大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1007,逢甲大學,專案教學人員,"100,165",100,無,無,"70,780",100,無,無
107,私立,一般大學,1008,靜宜大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1008,靜宜大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1009,長庚大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1009,長庚大學,專案教學人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1010,元智大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1010,元智大學,專案教學人員,"100,165",100,無,無,"71,067",100,"58,289",100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,專業技術人員,無,無,"80,670",100,"70,780",100,無,無
107,私立,一般大學,1011,中華大學學校財團法人中華大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1012,大葉大學,專業技術人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,一般大學,1012,大葉大學,專案教學人員,"94,720",94.56,"79,690",98.79,"69,880",98.73,"56,196",96.66
107,私立,一般大學,1013,華梵大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1013,華梵大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1014,義守大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1014,義守大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1015,世新大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1015,世新大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1016,銘傳大學,專業技術人員,"96,328",96.17,無,無,無,無,無,無
107,私立,一般大學,1016,銘傳大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1017,實踐大學,專業技術人員,無,無,"80,670",100,"70,780",100,無,無
107,私立,一般大學,1017,實踐大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1018,朝陽科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1018,朝陽科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,一般大學,1019,高雄醫學大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1019,高雄醫學大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1020,南華大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1020,南華大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1021,真理大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1021,真理大學,專案教學人員,無,無,無,無,"68,095",96.21,無,無
107,私立,一般大學,1022,大同大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1022,大同大學,專案教學人員,無,無,無,無,"59,325",83.82,"43,210",74.33
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1024,崑山科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1024,崑山科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1026,樹德科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1026,樹德科技大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1028,臺北醫學大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1028,臺北醫學大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,私立,一般大學,1029,中山醫學大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1029,中山醫學大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1030,龍華科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1030,龍華科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1031,輔英科技大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1031,輔英科技大學,專業技術人員,無,無,"80,670",100,"70,780",100,無,無
107,私立,技專校院,1032,明新學校財團法人明新科技大學,專案教學人員,無,無,無,無,"55,947",79.04,"44,745",76.97
107,私立,技專校院,1032,明新學校財團法人明新科技大學,專業技術人員,"45,604",45.53,無,無,"45,795",64.7,"56,595",97.35
107,私立,一般大學,1033,長榮大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,一般大學,1033,長榮大學,專案教學人員,"96,355",96.20,無,無,"70,780",100,無,無
107,私立,技專校院,1034,弘光科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1034,弘光科技大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1035,中國醫藥大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1035,中國醫藥大學,專案教學人員,無,無,"78,680",97.53,無,無,"55,000",94.61
107,私立,技專校院,1036,健行學校財團法人健行科技大學,專案教學人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1036,健行學校財團法人健行科技大學,專業技術人員,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1037,正修學校財團法人正修科技大學,專案教學人員,無,無,無,無,"68,150",96.28,"55,865",96.1
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,專案教學人員,無,無,"78,730",97.6,"63,473",89.68,"56,595",97.35
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,專業技術人員,無,無,"78,730",97.6,"61,263",86.55,"56,595",97.35
107,私立,一般大學,1039,玄奘大學,專業技術人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1039,玄奘大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1040,建國科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1040,建國科技大學,專業技術人員,無,無,"78,730",97.6,"69,000",97.49,無,無
107,私立,技專校院,1041,明志科技大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1042,高苑科技大學,專案教學人員,無,無,無,無,"69,255",97.85,"56,913",97.9
107,私立,技專校院,1042,高苑科技大學,專業技術人員,無,無,無,無,"69,255",98,無,無
107,私立,技專校院,1043,大仁科技大學,專案教學人員,無,無,"69,985",86.75,"63,489",89.7,"56,580",97.33
107,私立,技專校院,1043,大仁科技大學,專業技術人員,無,無,無,無,"63,489",89.7,"56,580",97.33
107,私立,技專校院,1044,聖約翰科技大學,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1044,聖約翰科技大學,專業技術人員,無,無,"79,690",98.79,"69,880",98.73,無,無
107,私立,技專校院,1045,嶺東科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1045,嶺東科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1046,中國科技大學,專案教學人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1046,中國科技大學,專業技術人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1047,中臺科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,一般大學,1048,亞洲大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1048,亞洲大學,專案教學人員,"100,165",100,無,無,"71,023",100,"56,194",96.66
107,私立,一般大學,1049,開南大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1049,開南大學,專案教學人員,無,無,無,無,無,無,"57,355",98.66
107,私立,一般大學,1050,佛光大學,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1050,佛光大學,專案教學人員,無,無,無,無,"46,350",65.48,"51,371",88.37
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,專案教學人員,無,無,無,無,"70,160",99.12,"57,507",98.92
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,專業技術人員,無,無,無,無,"70,160",99.12,"57,507",98.92
107,私立,技專校院,1052,遠東科技大學,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1052,遠東科技大學,專業技術人員,無,無,無,無,"69,880",98.73,無,無
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,專案教學人員,無,無,無,無,"69,880",98.73,無,無
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,專業技術人員,無,無,"73,995",91.73,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1054,景文科技大學,專案教學人員,無,無,無,無,無,無,"57,355",98.66
107,私立,技專校院,1054,景文科技大學,專業技術人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1055,中華醫事科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1055,中華醫事科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1056,東南科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1056,東南科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1057,德明財經科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,一般大學,1058,明道學校財團法人明道大學,專業技術人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,一般大學,1058,明道學校財團法人明道大學,專案教學人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1060,南開科技大學,專案教學人員,無,無,無,無,"69,000",97.49,無,無
107,私立,技專校院,1060,南開科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1061,中華學校財團法人中華科技大學,專案教學人員,"93,610",93.46,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1061,中華學校財團法人中華科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1062,僑光科技大學,專案教學人員,"100,165",100,無,無,"70,780",100,"57,772",99.38
107,私立,技專校院,1062,僑光科技大學,專業技術人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,專業技術人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1064,美和學校財團法人美和科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1064,美和學校財團法人美和科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1065,吳鳳科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1065,吳鳳科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1066,環球學校財團法人環球科技大學,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1066,環球學校財團法人環球科技大學,專業技術人員,無,無,無,無,無,無,"57,355",98.66
107,私立,技專校院,1066,環球學校財團法人環球科技大學,專業技術教師,無,無,"79,690",98.79,無,無,無,無
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,專業技術人員,無,無,"76,715",95.10,"67,220",94.97,"55,055",94.70
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,專案教學人員,無,無,無,無,"68,190",96.34,無,無
107,私立,技專校院,1068,中州學校財團法人中州科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1069,修平學校財團法人修平科技大學,專案教學人員,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1069,修平學校財團法人修平科技大學,專業技術人員,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,專業技術人員,無,無,無,無,無,無,"32,287",55.54
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,專業技術人員,無,無,"78,730",97.60,"69,000",97.49,無,無
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,專案教學人員,無,無,無,無,無,無,無,無
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,專業技術人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1078,致理學校財團法人致理科技大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,私立,技專校院,1078,致理學校財團法人致理科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,一般大學,1079,康寧學校財團法人康寧大學,專業技術人員,無,無,無,無,"69,880",98.73,無,無
107,私立,一般大學,1079,康寧學校財團法人康寧大學,專案教學人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,專業技術人員,"93,610",93.46,無,無,"69,000",97.49,無,無
107,私立,技專校院,1081,東方學校財團法人東方設計大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1081,東方學校財團法人東方設計大學,專業技術人員,"93,610",93.46,無,無,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,專案教學人員,無,無,無,無,"65,338",92.31,"53,387",91.83
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,專業技術人員,無,無,"74,915",92.87,"63,238",89.34,"53,511",92.05
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,專案教學人員,無,無,"70,038",86.82,"69,470",98.15,"54,818",94.29
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,專業技術人員,無,無,"67,980",84.27,"64,488",91.11,"58,135",100
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,專業技術人員,"40,270",40.20,"35,470",43.97,"70,780",100,"83,880",100
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,專案教學人員,"88,186",88.04,"80,670",100,"56,911",80.41,"44,936",77.30
107,私立,技專校院,1148,大漢技術學院,專案教學人員,無,無,"64,162",79.54,"56,222",79.43,"46,472",79.94
107,私立,技專校院,1148,大漢技術學院,專業技術人員,無,無,無,無,無,無,"46,472",79.94
107,私立,技專校院,1159,和春技術學院,專案教學人員,無,無,無,無,"56,001",79.12,"50,208",86.36
107,私立,技專校院,1159,和春技術學院,專業技術人員,無,無,"69,185",85.76,"56,461",79.77,"41,983",72.22
107,私立,技專校院,1166,亞東技術學院,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1166,亞東技術學院,專業技術人員,無,無,無,無,"70,780",100,無,無
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,專案教學人員,無,無,"78,730",97.6,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,專業技術人員,"93,610",93.46,無,無,"69,000",97.49,"56,595",97.35
