年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
105,私立,一般大學,1019,高雄醫學大學,563,322318752,141216545,161855877,19246330,572502.22
105,私立,一般大學,1020,南華大學,225,47012662,45058006,1954656,0,208945.16
105,私立,一般大學,1021,真理大學,294,6030000,6030000,0,0,20510.20
105,私立,一般大學,1022,大同大學,176,55456842,34638936,16033506,4784400,315095.69
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,576,149125332,29108000,77584844,42432488,258898.15
105,私立,技專校院,1024,崑山科技大學,376,112989417,64648764,34758021,13582632,300503.77
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,493,101087961,52318386,48049055,720520,205046.57
105,私立,技專校院,1026,樹德科技大學,282,74336842,55810424,14593285,3933133,263605.82
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,257,238405521,13328269,4857862,220219390,927647.94
105,私立,一般大學,1028,臺北醫學大學,580,186267566,29765900,135468523,21033143,321150.98
105,私立,一般大學,1029,中山醫學大學,417,171516658,21496571,33443820,116576267,411310.93
105,私立,技專校院,1030,龍華科技大學,244,42314656,6585000,25305106,10424550,173420.72
105,私立,技專校院,1031,輔英科技大學,340,9659530,0,2559174,7100356,28410.38
105,私立,技專校院,1032,明新學校財團法人明新科技大學,375,27285861,9577923,14580938,3127000,72762.30
105,私立,一般大學,1033,長榮大學,343,70818867,35780178,16358163,18680526,206469
105,私立,技專校院,1034,弘光科技大學,328,76790961,2515000,68857032,5418929,234118.78
105,私立,一般大學,1035,中國醫藥大學,508,539201215,65377000,457973774,15850441,1061419.71
105,私立,技專校院,1036,健行學校財團法人健行科技大學,325,21414709,3615000,11553509,6246200,65891.41
105,私立,技專校院,1037,正修學校財團法人正修科技大學,440,230101052,38041389,165728725,26330938,522956.94
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,249,21768910,7258500,12231410,2279000,87425.34
105,私立,一般大學,1039,玄奘大學,158,19339140,15217000,3287690,834450,122399.62
105,私立,技專校院,1040,建國科技大學,275,29068182,10353768,13887169,4827245,105702.48
105,私立,技專校院,1041,明志科技大學,197,75744042,18447700,54428006,2868336,384487.52
105,私立,技專校院,1042,高苑科技大學,269,41843525,33453360,5464360,2925805,155552.14
105,私立,技專校院,1043,大仁科技大學,271,18796934,910000,14693046,3193888,69361.38
105,私立,技專校院,1044,聖約翰科技大學,194,8321892,1302000,5874892,1145000,42896.35
105,私立,技專校院,1045,嶺東科技大學,268,27343147,6683000,17921147,2739000,102026.67
105,私立,技專校院,1046,中國科技大學,312,31256522,24194800,3875222,3186500,100181.16
105,私立,技專校院,1047,中臺科技大學,263,9378698,1649000,3360948,4368750,35660.45
105,私立,一般大學,1048,亞洲大學,395,186845448,140508776,22946210,23390462,473026.45
105,私立,一般大學,1049,開南大學,272,4790800,2948800,892000,950000,17613.24
105,私立,一般大學,1050,佛光大學,175,8671020,3261000,3810020,1600000,49548.69
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,330,32242429,4767500,19660429,7814500,97704.33
105,私立,技專校院,1052,遠東科技大學,243,64034712,21348700,38287892,4398120,263517.33
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,221,12776129,631000,8528915,3616214,57810.54
105,私立,技專校院,1054,景文科技大學,230,37996578,2349170,25967746,9679662,165202.51
105,私立,技專校院,1055,中華醫事科技大學,296,21058116,1110000,11405100,8543016,71142.28
105,私立,技專校院,1056,東南科技大學,223,13137886,227131,10780635,2130120,58914.29
105,私立,技專校院,1057,德明財經科技大學,240,47925739,2399803,30388263,15137673,199690.58
105,私立,一般大學,1058,明道學校財團法人明道大學,146,5738750,2082000,1513341,2143409,39306.51
105,私立,技專校院,1060,南開科技大學,198,13438311,345000,12805311,288000,67870.26
105,私立,技專校院,1061,中華學校財團法人中華科技大學,251,20513410,4428290,14985120,1100000,81726.73
105,私立,技專校院,1062,僑光科技大學,228,15296037,500000,13544900,1251137,67087.88
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,137,24459352,8977578,7406310,8075464,178535.42
105,私立,技專校院,1064,美和學校財團法人美和科技大學,241,26673389,17535759,6091780,3045850,110677.96
105,私立,技專校院,1065,吳鳳科技大學,159,11729033,2000000,8958848,770185,73767.50
105,私立,技專校院,1066,環球學校財團法人環球科技大學,182,11427872,3843512,5918000,1666360,62790.51
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,123,1736250,1358750,180000,197500,14115.85
