學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),26,12,14
105,1,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),20,10,10
105,1,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),53,12,41
105,1,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),25,5,20
105,1,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),32,11,21
105,1,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),57,39,18
105,1,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),119,57,62
105,1,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),32,13,19
105,1,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),33,8,25
105,1,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),21,13,8
105,1,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),28,5,23
105,1,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),28,11,17
105,1,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),51,24,27
105,1,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),28,10,18
105,1,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),28,10,18
105,1,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),84,39,45
105,1,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),9,7,2
105,1,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),11,6,5
105,1,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),9,5,4
105,1,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),23,18,5
105,1,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),16,9,7
105,1,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),19,11,8
105,1,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),29,26,3
105,1,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),5,5,0
105,1,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),13,6,7
105,1,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),33,28,5
105,1,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),10,8,2
105,1,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),6,6,0
105,1,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),65,46,19
105,1,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),44,32,12
105,1,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),7,5,2
105,1,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),5,4,1
105,1,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),29,24,5
