學年度,設立別,學校類別,學校統計處代碼,學校名稱,工讀助學金純助學型-人數,工讀助學金純助學型-金額,工讀助學金純助學型-時數,工讀助學金純勞僱型-人數,工讀助學金純勞僱型-金額,工讀助學金純勞僱型-時數,工讀助學金純附服務負擔型-人數,工讀助學金純附服務負擔型-金額,工讀助學金純附服務負擔型-時數,生活助學金純助學型-人數,生活助學金純助學型-金額,生活助學金純助學型-時數,生活助學金純附服務負擔型-人數,生活助學金純附服務負擔型-金額,生活助學金純附服務負擔型-時數
109,公立,技專校院,0222,國立臺東專科學校,0,0,0.00,27,3618,24.00,0,0,0.00,0,0,0.00,1,6000,30.00
109,私立,一般大學,1001,東海大學,8,1621,0.00,2566,5973,37.00,748,6791,37.00,0,0,0.00,278,6000,30.00
109,私立,一般大學,1002,輔仁大學,0,0,0.00,836,10348,65.00,0,0,0.00,0,0,0.00,322,6000,30.00
109,私立,一般大學,1003,東吳大學,0,0,0.00,2108,3859,24.00,0,0,0.00,350,5250,0.00,51,6000,30.00
109,私立,一般大學,1004,中原大學,0,0,0.00,1213,1816,11.00,0,0,0.00,0,0,0.00,93,6000,30.00
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,5,4353,0.00,1236,4674,29.00,47,18790,61.00,0,0,0.00,183,6000,30.00
109,私立,一般大學,1006,中國文化大學,0,0,0.00,330,8563,51.00,0,0,0.00,0,0,0.00,352,6000,29.00
109,私立,一般大學,1007,逢甲大學,0,0,0.00,1008,7796,49.00,0,0,0.00,0,0,0.00,293,5995,28.00
109,私立,一般大學,1008,靜宜大學,0,0,0.00,1056,3932,25.00,0,0,0.00,0,0,0.00,216,6000,30.00
109,私立,一般大學,1009,長庚大學,0,0,0.00,357,6493,39.00,0,0,0.00,56,5556,0.00,95,6000,12.00
109,私立,一般大學,1010,元智大學,0,0,0.00,992,6122,15.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,一般大學,1011,中華大學學校財團法人中華大學,0,0,0.00,327,1676,10.00,0,0,0.00,0,0,0.00,28,6000,30.00
109,私立,一般大學,1012,大葉大學,0,0,0.00,633,4802,27.00,0,0,0.00,0,0,0.00,105,6000,25.00
109,私立,一般大學,1013,華梵大學,0,0,0.00,43,4546,30.00,0,0,0.00,0,0,0.00,8,6000,30.00
109,私立,一般大學,1014,義守大學,0,0,0.00,313,7394,46.00,0,0,0.00,0,0,0.00,127,6000,30.00
109,私立,一般大學,1015,世新大學,0,0,0.00,314,6022,24.00,0,0,0.00,0,0,0.00,189,8000,16.00
109,私立,一般大學,1016,銘傳大學,0,0,0.00,1091,1973,12.00,0,0,0.00,0,0,0.00,76,6000,30.00
109,私立,一般大學,1017,實踐大學,0,0,0.00,1540,4478,28.00,38,9298,25.00,0,0,0.00,139,5740,29.00
109,私立,技專校院,1018,朝陽科技大學,0,0,0.00,847,6633,61.00,0,0,0.00,0,0,0.00,153,6000,30.00
109,私立,一般大學,1019,高雄醫學大學,0,0,0.00,501,1382,9.00,0,0,0.00,170,3000,0.00,0,0,0.00
109,私立,一般大學,1020,南華大學,0,0,0.00,787,6103,38.00,0,0,0.00,339,1618,0.00,46,6000,30.00
109,私立,一般大學,1021,真理大學,0,0,0.00,493,712,4.00,0,0,0.00,0,0,0.00,63,6000,30.00
109,私立,一般大學,1022,大同大學,0,0,0.00,351,4545,31.00,0,0,0.00,0,0,0.00,53,6000,30.00
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,0,0,0.00,1290,5762,38.00,0,0,0.00,157,6000,30.00,0,0,0.00
109,私立,技專校院,1024,崑山科技大學,0,0,0.00,1296,6040,38.00,0,0,0.00,0,0,0.00,111,6000,28.00
