學年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,營運能力-現金餘絀變動率燈號,營運能力-現金餘絀變動率(%)數值,營運能力-本期餘絀比率燈號,營運能力-本期餘絀比率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,償債能力-可用資金比率燈號,償債能力-可用資金比率(%)數值,財務結構-負債權益比率燈號,財務結構-負債權益比率(%)數值,其他-舉債指數
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,●,-1.14,●,-1.54,●,3.21,●,91.91,●,666.04,●,97.62,●,3.90,0
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,●,-24.12,●,10.74,●,-34.31,●,-140.55,●,165.25,●,21.19,●,3.09,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,●,-1.40,●,-3.86,●,7.38,●,53.49,●,730,●,149.75,●,6.79,0
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,●,-11.44,●,1.51,●,0.02,●,43.07,●,440.64,●,77.11,●,5.01,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,●,1,●,8.85,●,3.58,●,80.62,●,239.09,●,50.85,●,5.35,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,●,-1.95,●,-4.85,●,7.76,●,68.08,●,971.58,●,188.65,●,5.40,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,●,-5.54,●,3.22,●,-9.57,●,26.36,●,123.28,●,35.45,●,4.26,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,●,-9.59,●,-13.58,●,12.77,●,91.86,●,1613.28,●,468.39,●,3.12,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,●,-9.53,●,-2.62,●,-13.44,●,-64.42,●,294.55,●,54.05,●,5.79,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,●,-3.80,●,2.19,●,-3.85,●,25.28,●,337.11,●,112.49,●,7.46,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,●,-11.07,●,-10.82,●,8.69,●,66.16,●,172.29,●,52.27,●,14.96,0
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,●,46.04,●,-24.45,●,-7.17,●,0.57,●,91.25,●,42.63,●,11.32,0
106,私立,技專校院,1148,大漢技術學院,●,-9.64,●,-1.71,●,-40.98,●,-117.37,●,1463.30,●,215.20,●,1.62,0
106,私立,技專校院,1159,和春技術學院,●,-37.39,●,-44.27,●,-51.66,●,-145.34,●,642.05,●,167.22,●,2.56,0
106,私立,技專校院,1166,亞東技術學院,●,-3.67,●,-10.55,●,27.82,●,171.50,●,5052.90,●,1369.05,●,1.20,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,●,-20.54,●,-14.71,●,-15.07,●,-60.82,●,429.64,●,54.32,●,3.78,0
106,私立,一般大學,1176,稻江科技暨管理學院,●,7.78,●,10.79,●,-2.08,●,39.92,●,226.25,●,68.16,●,5.25,0
106,私立,技專校院,1182,蘭陽技術學院,●,-25.54,●,-16.66,●,-23.83,●,-56.09,●,229.20,●,40.50,●,3.11,0
106,私立,技專校院,1183,黎明技術學院,●,1.24,●,5.25,●,10.82,●,63.99,●,175.34,●,42.56,●,11.99,0
106,私立,技專校院,1185,經國管理暨健康學院,●,-2.62,●,5.77,●,-14.95,●,12.84,●,278.24,●,85.82,●,11.34,0
106,私立,技專校院,1188,大同技術學院,●,-14.65,●,-8,●,-23.37,●,-94.48,●,210.74,●,37.66,●,4.94,0
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,●,-45.08,●,-255.15,●,-116.44,●,-105.84,●,23.49,●,-46.05,●,6.07,-0.74
106,私立,技專校院,1192,臺灣觀光學院,●,-30.97,●,5.01,●,-9.94,●,-23.80,●,333.23,●,43.08,●,4.82,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,●,0.74,●,0.43,●,9.31,●,115.24,●,1039.55,●,473.53,●,2.47,0
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,●,-20.86,●,-19.07,●,-1.70,●,40.66,●,510.37,●,192.30,●,4.38,0
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,●,1.37,●,3.91,●,12.29,●,120.25,●,536.72,●,195.14,●,15.26,0
106,私立,技專校院,1283,仁德醫護管理專科學校,●,0.29,●,3.64,●,12.63,●,109.18,●,362.05,●,81.05,●,7.93,0
106,私立,技專校院,1284,樹人醫護管理專科學校,●,-0.90,●,-5.65,●,15.82,●,113.29,●,812.26,●,225.68,●,6.02,0
106,私立,技專校院,1285,慈惠醫護管理專科學校,●,-10.85,●,-5.19,●,8.35,●,64.11,●,498.49,●,135.40,●,6.70,0
106,私立,技專校院,1286,耕莘健康管理專科學校,●,-1.84,●,-1.09,●,15.58,●,98.63,●,413.81,●,138.96,●,30.90,0
106,私立,技專校院,1287,敏惠醫護管理專科學校,●,-2.15,●,-3.55,●,4.60,●,44.87,●,300.04,●,108.15,●,13.88,0
106,私立,技專校院,1288,高美醫護管理專科學校,●,-26.61,●,-25.22,●,13.72,●,-141.58,●,75.98,●,-9.59,●,13.85,-3.94
106,私立,技專校院,1289,育英醫護管理專科學校,●,0.55,●,-6.01,●,6.33,●,43.33,●,506.06,●,174.37,●,6.80,0
106,私立,技專校院,1290,崇仁醫護管理專科學校,●,1.59,●,-1.83,●,17.11,●,125.58,●,646.41,●,193.82,●,4.27,0
106,私立,技專校院,1291,聖母醫護管理專科學校,●,-9.61,●,-15.23,●,8.40,●,46.08,●,535.64,●,171.23,●,12.22,0
106,私立,技專校院,1292,新生醫護管理專科學校,●,-0.40,●,3.53,●,11.16,●,76.05,●,151.30,●,47.91,●,14.21,0
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,●,0.03,●,5.92,●,11.33,●,132.49,●,948.83,●,55.01,●,0.07,0
106,私立,宗教研修學院,1R03,臺北基督學院,●,-15.63,●,8.54,●,3.27,●,-2.96,●,608.34,●,83.93,●,14.73,0
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,●,132.06,●,15.68,●,17.08,●,188.56,●,295.94,●,31.23,●,77.39,0
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,●,143.93,●,-1.02,●,4.91,●,19.14,●,81.48,●,5.76,●,4.03,0
106,私立,宗教研修學院,1R06,一貫道崇德學院,●,101.53,●,-33.71,●,65.95,●,88.77,●,403.93,●,795.21,●,43.88,0
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,●,0,●,1.25,●,4.52,●,45.89,●,61.69,●,-1.21,●,0,0
107,私立,一般大學,1001,東海大學,●,-1.15,●,-1.99,●,4.36,●,43.13,●,482.74,●,117.79,●,9.14,0
107,私立,一般大學,1002,輔仁大學,●,-0.19,●,-5.26,●,-5.96,●,-41.04,●,702.47,●,171.10,●,47.43,1.77
107,私立,一般大學,1003,東吳大學,●,-1.36,●,-0.93,●,2.72,●,15.75,●,323.27,●,100,●,9.41,0
107,私立,一般大學,1004,中原大學,●,-0.89,●,-5.83,●,3.44,●,34.41,●,314.69,●,69.06,●,7.32,0
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,●,-2.66,●,-8.79,●,3.31,●,13.01,●,83.27,●,7.16,●,28,0
107,私立,一般大學,1006,中國文化大學,●,6.28,●,3.06,●,1.21,●,33.94,●,891.31,●,139.50,●,4.11,0
107,私立,一般大學,1007,逢甲大學,●,-1.04,●,8.17,●,17.07,●,29.83,●,270.06,●,81.16,●,40.44,0
107,私立,一般大學,1008,靜宜大學,●,-1.11,●,-3.85,●,0.69,●,8.36,●,1155.30,●,230.54,●,3.78,0
107,私立,一般大學,1009,長庚大學,●,-1.59,●,5.58,●,18.21,●,181.11,●,1133.83,●,299.93,●,3.08,0
107,私立,一般大學,1010,元智大學,●,-2.81,●,0.38,●,9.80,●,35.05,●,279.45,●,83.25,●,4.66,0
107,私立,一般大學,1011,中華大學學校財團法人中華大學,●,-6.22,●,3.88,●,0.19,●,10.32,●,375.68,●,109.79,●,7.18,0
107,私立,一般大學,1012,大葉大學,●,-7.77,●,-1.42,●,0.63,●,35.02,●,694.03,●,178.11,●,6.70,0
107,私立,一般大學,1013,華梵大學,●,-17.15,●,-3.06,●,-26.69,●,-71.94,●,435.10,●,89.32,●,2.25,0
107,私立,一般大學,1014,義守大學,●,-3.69,●,-0.85,●,7.64,●,58.21,●,208.29,●,73.05,●,8.52,0
107,私立,一般大學,1015,世新大學,●,0.25,●,-4.20,●,11.11,●,119.36,●,349.16,●,88.73,●,4,0
107,私立,一般大學,1016,銘傳大學,●,-0.85,●,-2.24,●,3.94,●,77.92,●,956.42,●,104.81,●,3.15,0
107,私立,一般大學,1017,實踐大學,●,-3.26,●,-10.47,●,4.27,●,14.45,●,314.23,●,111.87,●,8.50,0
107,私立,技專校院,1018,朝陽科技大學,●,-1.40,●,-2.96,●,10.35,●,41.97,●,472.88,●,154.24,●,6.88,0
107,私立,一般大學,1019,高雄醫學大學,●,-1.48,●,-0.73,●,22.09,●,155.34,●,410.70,●,90.83,●,2.65,0
107,私立,一般大學,1020,南華大學,●,2.62,●,-0.16,●,-8.23,●,22.52,●,218.13,●,47.64,●,5.08,0
107,私立,一般大學,1021,真理大學,●,-7.66,●,1.15,●,-0.68,●,46.47,●,60.35,●,-3.82,●,16.05,2.64
107,私立,一般大學,1022,大同大學,●,-3.09,●,-2.66,●,11.04,●,53.74,●,248.63,●,86.57,●,3.12,0
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,●,-1.44,●,-5.68,●,8.23,●,76,●,550.27,●,107.92,●,4.79,0
107,私立,技專校院,1024,崑山科技大學,●,-3.34,●,-3.06,●,1.02,●,74.46,●,263.22,●,75.76,●,17.99,0
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,●,-8.45,●,-1.88,●,7.94,●,109.80,●,106.07,●,8.74,●,10.46,1.53
107,私立,技專校院,1026,樹德科技大學,●,-0.79,●,0.32,●,1.62,●,25.48,●,617.24,●,141.88,●,8.85,0
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,●,-0.18,●,31.10,●,13.64,●,189.97,●,1792.04,●,602.34,●,2.12,0
107,私立,一般大學,1028,臺北醫學大學,●,-0.49,●,-7.13,●,10.40,●,29.62,●,94.33,●,11.94,●,52.62,-1.88
107,私立,一般大學,1029,中山醫學大學,●,-1.97,●,-2.09,●,14.74,●,78.53,●,34.99,●,-28.15,●,55.52,43.25
107,私立,技專校院,1030,龍華科技大學,●,1.84,●,2.75,●,9.77,●,136.79,●,1542.75,●,451.41,●,6.21,0
107,私立,技專校院,1031,輔英科技大學,●,0.39,●,1.78,●,9.88,●,59.39,●,656.94,●,184.06,●,5.08,0
107,私立,技專校院,1032,明新學校財團法人明新科技大學,●,-0.33,●,0.34,●,0.22,●,24.44,●,253.28,●,65.94,●,15.96,0
107,私立,一般大學,1033,長榮大學,●,-4.52,●,-4.23,●,-2.48,●,-3.28,●,744.39,●,99.38,●,3.85,0
107,私立,技專校院,1034,弘光科技大學,●,-0.02,●,-3.76,●,7.84,●,47.21,●,280.89,●,69.54,●,10.95,0
107,私立,一般大學,1035,中國醫藥大學,●,-0.31,●,3.06,●,47.35,●,58.31,●,105.68,●,8.79,●,5.81,-0.71
107,私立,技專校院,1036,健行學校財團法人健行科技大學,●,3.35,●,5.89,●,0.42,●,53.48,●,470.98,●,104.60,●,3.67,0
107,私立,技專校院,1037,正修學校財團法人正修科技大學,●,-0.83,●,0.04,●,4.41,●,50.83,●,426.11,●,68.31,●,4.53,0
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,●,0.67,●,-5.67,●,6,●,107.15,●,860.38,●,176.10,●,7.38,0
107,私立,一般大學,1039,玄奘大學,●,-17.59,●,-5.71,●,0.71,●,21.07,●,798.25,●,223.51,●,3.43,0
107,私立,技專校院,1040,建國科技大學,●,-7.72,●,-5.76,●,-8.60,●,-42.46,●,58.47,●,3.65,●,8.24,0
107,私立,技專校院,1041,明志科技大學,●,-0.31,●,-13.68,●,43.49,●,132.80,●,1614.86,●,1181.60,●,2.16,0
107,私立,技專校院,1042,高苑科技大學,●,-17.85,●,-13.84,●,-28.13,●,-186.06,●,432.75,●,72.11,●,4.66,0
107,私立,技專校院,1043,大仁科技大學,●,-7.62,●,-2.15,●,-3.96,●,5.31,●,291.05,●,58.43,●,7.04,0
107,私立,技專校院,1044,聖約翰科技大學,●,-11.46,●,-1.95,●,-27.95,●,-90.51,●,438.49,●,92.87,●,5.30,0
107,私立,技專校院,1045,嶺東科技大學,●,0.05,●,-4.38,●,11.30,●,62.49,●,1606.88,●,362.99,●,8.01,0
107,私立,技專校院,1046,中國科技大學,●,-10.75,●,0.78,●,5.35,●,78.27,●,818.63,●,204.50,●,5.56,0
107,私立,技專校院,1047,中臺科技大學,●,-4.07,●,-3.77,●,5.86,●,55.71,●,669.88,●,145.09,●,5.47,0
107,私立,一般大學,1048,亞洲大學,●,-0.70,●,-3.54,●,21.33,●,136.52,●,124.41,●,35.87,●,16.16,0.16
107,私立,一般大學,1049,開南大學,●,-10.45,●,-5.38,●,4.42,●,16.06,●,167.63,●,52.22,●,11.51,0
107,私立,一般大學,1050,佛光大學,●,-3.83,●,-3.96,●,-5.28,●,-6.70,●,84.57,●,18.28,●,3.98,0
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,●,-1.02,●,-3.01,●,14.64,●,105.96,●,1202.23,●,369.88,●,4.04,0
107,私立,技專校院,1052,遠東科技大學,●,-12.58,●,-5.71,●,-8.65,●,-15.10,●,188.02,●,51.01,●,9.71,0
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,●,-3.77,●,-13.85,●,-0.46,●,-26.16,●,1024.63,●,234.26,●,4.46,0
107,私立,技專校院,1054,景文科技大學,●,-4,●,-1.11,●,8.99,●,50.46,●,644.49,●,198.33,●,5.98,0
107,私立,技專校院,1055,中華醫事科技大學,●,-2.71,●,-2.75,●,6.40,●,85.63,●,412.85,●,77.23,●,5.01,0
107,私立,技專校院,1056,東南科技大學,●,-5.11,●,6.69,●,-4.47,●,26.51,●,665,●,144.70,●,5.37,0
107,私立,技專校院,1057,德明財經科技大學,●,-2.72,●,0.19,●,16.81,●,133.72,●,2447.30,●,572.89,●,2.64,0
107,私立,一般大學,1058,明道學校財團法人明道大學,●,-11.35,●,-1.67,●,0.06,●,13.42,●,113.36,●,33.04,●,17.58,0
107,私立,技專校院,1060,南開科技大學,●,-8.34,●,-5.12,●,-7.61,●,-35.73,●,567.15,●,158.97,●,7.30,0
107,私立,技專校院,1061,中華學校財團法人中華科技大學,●,-13.50,●,8.68,●,1.25,●,35.49,●,69.59,●,7.45,●,9.74,0
107,私立,技專校院,1062,僑光科技大學,●,-1.49,●,2.25,●,23.46,●,207.61,●,1438.87,●,414.24,●,3.13,0
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,●,0.31,●,4.52,●,-7.87,●,25.18,●,904.74,●,216.07,●,3.19,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,●,-1.16,●,-3.06,●,1.37,●,25.35,●,413.92,●,86.26,●,6.87,0
107,私立,技專校院,1065,吳鳳科技大學,●,-3.97,●,-0.91,●,-2.06,●,42.68,●,525.81,●,99.79,●,3.06,0
107,私立,技專校院,1066,環球學校財團法人環球科技大學,●,-11.26,●,1.32,●,-16.04,●,-50.95,●,94.76,●,3.42,●,9.24,0
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,●,-20.42,●,-4.78,●,-25.93,●,-84.20,●,219.69,●,31.14,●,2.06,0
107,私立,技專校院,1068,中州學校財團法人中州科技大學,●,-15.92,●,12.56,●,-18.33,●,48.25,●,276.49,●,101.93,●,10.61,0
107,私立,技專校院,1069,修平學校財團法人修平科技大學,●,-7.92,●,-2,●,-6.33,●,-6.89,●,306.18,●,68.65,●,8.15,0
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,●,0.51,●,13.07,●,24.66,●,373.54,●,1343.22,●,422.85,●,1.89,0
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,●,-2.54,●,-1.73,●,17.74,●,233.87,●,1668.71,●,315.09,●,19.34,0
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,●,-33.12,●,16.49,●,7.59,●,30.83,●,68.53,●,-14.26,●,18.46,0.47
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,●,-2.30,●,-4.34,●,0.07,●,31.20,●,606.23,●,98.98,●,4.10,0
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,●,2.07,●,-0.48,●,5.65,●,52.62,●,712.40,●,149.22,●,6.57,0
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,●,-8.87,●,-10.61,●,-5.33,●,-41.61,●,459.40,●,76.77,●,4.64,0
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,●,-0.33,●,0.33,●,11.92,●,74.40,●,259.06,●,62.38,●,5.67,0
107,私立,技專校院,1078,致理學校財團法人致理科技大學,●,-1.07,●,0.43,●,5.68,●,62.59,●,849.18,●,192.44,●,6.18,0
107,私立,一般大學,1079,康寧學校財團法人康寧大學,●,-15.15,●,-13.52,●,-7.63,●,-46.21,●,228.27,●,42.90,●,2.06,0
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,●,-7.08,●,-0.50,●,7.05,●,100.63,●,1851.57,●,487.74,●,2.71,0
107,私立,技專校院,1081,東方學校財團法人東方設計大學,●,-14.99,●,2.89,●,-17.69,●,-36.14,●,202.51,●,45.21,●,7.98,0
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,●,-8.80,●,-14.08,●,-9.71,●,-72.41,●,421.04,●,90.89,●,4.31,0
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,●,-10.37,●,-0.93,●,5.62,●,57.47,●,139.03,●,36.49,●,10.60,0
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,●,33.83,●,-0.17,●,-0.43,●,0.05,●,141.45,●,52.55,●,10.63,0
107,私立,技專校院,1148,大漢技術學院,●,-11.38,●,0.98,●,-3.54,●,-70.19,●,862.57,●,192.95,●,2.30,0
107,私立,技專校院,1159,和春技術學院,●,-41.94,●,-4.34,●,-87.70,●,-243.55,●,728.94,●,152.28,●,2.01,0
107,私立,技專校院,1166,亞東技術學院,●,0.59,●,10.64,●,34.87,●,275.13,●,5122.92,●,1488.29,●,1.17,0
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,●,-13.58,●,4.01,●,-22.91,●,-17.97,●,257.11,●,34.18,●,3.46,0
107,私立,一般大學,1176,稻江科技暨管理學院,●,1.84,●,-5.41,●,0.28,●,7.60,●,341.45,●,74.33,●,3.64,0
107,私立,技專校院,1182,蘭陽技術學院,●,-6.48,●,17.93,●,-22.46,●,53.96,●,259.52,●,56.85,●,3.62,0
107,私立,技專校院,1183,黎明技術學院,●,5.07,●,-10.01,●,5.25,●,0.78,●,214.14,●,34.22,●,7.96,0
107,私立,技專校院,1185,經國管理暨健康學院,●,0.68,●,-1.54,●,-6.36,●,5.90,●,304.49,●,85.38,●,11.22,0
107,私立,技專校院,1188,大同技術學院,●,-17.83,●,21.52,●,-0.71,●,57.76,●,242.77,●,59.39,●,5.71,0
107,私立,技專校院,1192,臺灣觀光學院,●,-32.41,●,-33.69,●,-76.41,●,-430.67,●,341.42,●,32.83,●,3.43,0
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,●,4.31,●,24.12,●,33.36,●,301.95,●,1369.77,●,514.24,●,2.25,0
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,●,-3.70,●,6.16,●,4.48,●,71.10,●,528.51,●,202.09,●,4.78,0
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,●,-0.54,●,18.59,●,29.63,●,233.63,●,481.29,●,175.77,●,12.78,0
107,私立,技專校院,1283,仁德醫護管理專科學校,●,-2.03,●,0.57,●,16.23,●,129.55,●,549.81,●,111.73,●,5.25,0
107,私立,技專校院,1284,樹人醫護管理專科學校,●,0.15,●,-3.02,●,13.48,●,110.69,●,1056.25,●,238.71,●,4.56,0
107,私立,技專校院,1285,慈惠醫護管理專科學校,●,-7.72,●,1.42,●,7.48,●,89.67,●,695.45,●,172.62,●,5.24,0
107,私立,技專校院,1286,耕莘健康管理專科學校,●,-2.65,●,-6.01,●,11.35,●,71.85,●,443.95,●,177.94,●,25.80,0
107,私立,技專校院,1287,敏惠醫護管理專科學校,●,-0.50,●,-1.99,●,6.91,●,39.23,●,381.14,●,123.84,●,10.42,0
107,私立,技專校院,1289,育英醫護管理專科學校,●,2.82,●,9.49,●,16.21,●,98.18,●,590.74,●,200.85,●,6.25,0
107,私立,技專校院,1291,聖母醫護管理專科學校,●,-11.36,●,-1.18,●,3.57,●,49.69,●,650.13,●,190.77,●,9.06,0
107,私立,技專校院,1292,新生醫護管理專科學校,●,0.62,●,-10.25,●,11.47,●,44.09,●,213.17,●,62.25,●,10.37,0
107,私立,技專校院,1293,崇仁醫護管理專科學校,●,-2.84,●,-1.30,●,12.07,●,109.65,●,714.15,●,227.66,●,4.29,0
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,●,20.32,●,-0.79,●,8.77,●,111.74,●,1052,●,60.34,●,0.07,0
107,私立,宗教研修學院,1R03,臺北基督學院,●,-14.59,●,5.10,●,4.34,●,41.81,●,618.84,●,95.09,●,14.37,0
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,●,106.22,●,-6.94,●,14.39,●,96.06,●,443.68,●,42.52,●,18.43,0
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,●,84.55,●,-4.60,●,3.72,●,-46.94,●,65.25,●,-1.14,●,2.82,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,●,27.26,●,55.82,●,82.75,●,465.70,●,876.64,●,1276.10,●,10.22,0
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,●,162.70,●,1.12,●,3.66,●,96.88,●,138.21,●,1.66,●,32.64,0
108,私立,一般大學,1001,東海大學,●,-1.56,●,-6.41,●,4.41,●,5.33,●,545.35,●,120.26,●,8.25,0
108,私立,一般大學,1002,輔仁大學,●,-1.60,●,-5.71,●,-1.13,●,10.33,●,876.88,●,184.01,●,49.92,5.63
108,私立,一般大學,1003,東吳大學,●,-2.33,●,-5.11,●,-1.60,●,-10.66,●,345.92,●,86.40,●,8.05,0
108,私立,一般大學,1004,中原大學,●,-0.07,●,-7.22,●,2.59,●,-23.91,●,364.92,●,55.39,●,5.92,0
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,●,-2.84,●,-0.46,●,3.91,●,12.71,●,108.71,●,16.09,●,26.62,0
108,私立,一般大學,1006,中國文化大學,●,-3.33,●,-0.54,●,0.94,●,32.65,●,1043.18,●,146.61,●,3.67,0
108,私立,一般大學,1007,逢甲大學,●,-0.56,●,-2.72,●,9.84,●,32.49,●,263.55,●,107.38,●,44.16,0
108,私立,一般大學,1008,靜宜大學,●,-1.56,●,-1.90,●,0.39,●,-7.11,●,990.20,●,209.06,●,5.74,0
108,私立,一般大學,1009,長庚大學,●,-3.18,●,-6.14,●,-2.26,●,166.84,●,1167.65,●,261.90,●,2.68,0
108,私立,一般大學,1010,元智大學,●,-2.18,●,17.60,●,16.63,●,146.32,●,274.42,●,86.63,●,4.81,0
108,私立,一般大學,1011,中華大學學校財團法人中華大學,●,-14.13,●,-1.91,●,1.23,●,1.51,●,289.76,●,88.48,●,7.52,0
108,私立,一般大學,1012,大葉大學,●,-11.52,●,-0.34,●,-1.95,●,33.03,●,730.45,●,206.06,●,6.53,0
108,私立,一般大學,1013,華梵大學,●,-31.21,●,-15.07,●,-40.05,●,-178.69,●,579.87,●,130.55,●,2.24,0
108,私立,一般大學,1014,義守大學,●,-3.87,●,-8.52,●,2.90,●,21.53,●,238.15,●,80.65,●,8.09,0
108,私立,一般大學,1015,世新大學,●,-1.09,●,-1.53,●,15.30,●,231.01,●,652.89,●,99.32,●,2.26,0
108,私立,一般大學,1016,銘傳大學,●,-1.24,●,-4.07,●,0.85,●,23.90,●,1014.20,●,113.01,●,3.06,0
108,私立,一般大學,1017,實踐大學,●,-3.84,●,6.69,●,20.05,●,40.46,●,327.21,●,117.14,●,8.44,0
108,私立,技專校院,1018,朝陽科技大學,●,-2.57,●,1.39,●,9.49,●,44.57,●,383.92,●,137.49,●,7.55,0
108,私立,一般大學,1019,高雄醫學大學,●,-4.93,●,-0.78,●,29.23,●,339.99,●,300.89,●,73.31,●,2.80,0
108,私立,一般大學,1020,南華大學,●,-3.22,●,-0.46,●,15.95,●,28.46,●,375,●,57.62,●,3.26,0
108,私立,一般大學,1021,真理大學,●,-9.98,●,-10.31,●,-6.53,●,2.89,●,40.02,●,-13.50,●,13.87,37.01
108,私立,一般大學,1022,大同大學,●,-4.48,●,-4.34,●,6.90,●,55.76,●,471.11,●,108.56,●,1.88,0
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,●,0.24,●,1.88,●,7.56,●,121.74,●,734.52,●,118.02,●,3.72,0
108,私立,技專校院,1024,崑山科技大學,●,-3.84,●,-5.11,●,-0.45,●,50.14,●,331.55,●,91.65,●,17.09,0
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,●,-7.71,●,-7.17,●,2.60,●,83.70,●,174.48,●,21.61,●,8.91,1.72
108,私立,技專校院,1026,樹德科技大學,●,-1.54,●,4.57,●,0.89,●,52.03,●,606.34,●,164.77,●,9.39,0
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,●,-2.81,●,-20.31,●,14.98,●,81.66,●,2414.13,●,635.77,●,1.66,0
108,私立,一般大學,1028,臺北醫學大學,●,-4.49,●,1.65,●,0.07,●,30.44,●,79.65,●,6.42,●,58.41,-2.79
108,私立,一般大學,1029,中山醫學大學,●,-2.88,●,0.34,●,23.59,●,61.32,●,37.51,●,-25.93,●,49.50,37.54
108,私立,技專校院,1030,龍華科技大學,●,1.66,●,-2.47,●,13.50,●,111.48,●,1592,●,486.64,●,5.95,0
108,私立,技專校院,1031,輔英科技大學,●,0.15,●,-0.23,●,8.51,●,59.01,●,735.86,●,198.93,●,4.75,0
108,私立,技專校院,1032,明新學校財團法人明新科技大學,●,-6.46,●,0.12,●,0.38,●,27.69,●,270.84,●,69.82,●,14.02,0
108,私立,一般大學,1033,長榮大學,●,-6.31,●,-3.62,●,-3.23,●,-39.16,●,703.26,●,90.97,●,3.83,0
108,私立,技專校院,1034,弘光科技大學,●,-2.36,●,4.45,●,7.51,●,63.36,●,244.68,●,70.77,●,12.10,0
108,私立,一般大學,1035,中國醫藥大學,●,-2.76,●,-2.01,●,48.87,●,217.72,●,111.92,●,13.73,●,5.68,-0.28
108,私立,技專校院,1036,健行學校財團法人健行科技大學,●,-1.93,●,6.48,●,0.59,●,106.10,●,522.69,●,120.74,●,3.73,0
108,私立,技專校院,1037,正修學校財團法人正修科技大學,●,-1.61,●,0.20,●,5.30,●,46.69,●,444.31,●,79.90,●,5,0
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,●,-3.05,●,-0.45,●,5.24,●,107.17,●,956.03,●,197.86,●,7.07,0
108,私立,一般大學,1039,玄奘大學,●,-20.06,●,-4.01,●,-7.38,●,0.36,●,899.25,●,262.37,●,3.10,0
108,私立,技專校院,1040,建國科技大學,●,-3.49,●,10.82,●,-3.16,●,17.17,●,91.33,●,9.48,●,6.34,0
