學年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,營運能力-現金餘絀變動率燈號,營運能力-現金餘絀變動率(%)數值,營運能力-本期餘絀比率燈號,營運能力-本期餘絀比率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,償債能力-可用資金比率燈號,償債能力-可用資金比率(%)數值,財務結構-負債權益比率燈號,財務結構-負債權益比率(%)數值,其他-舉債指數
105,私立,技專校院,1044,聖約翰科技大學,●,-13.84,●,-11.99,●,-19.45,●,-94.49,●,664.28,●,123.28,●,4.39,0
105,私立,技專校院,1045,嶺東科技大學,●,-1.50,●,-6.02,●,15.32,●,126.43,●,1475.02,●,378.53,●,7.24,0
105,私立,技專校院,1046,中國科技大學,●,-2.84,●,-6.55,●,13.60,●,124.92,●,607.65,●,151.15,●,5.99,0
105,私立,技專校院,1047,中臺科技大學,●,-0.94,●,0.92,●,11.83,●,88.46,●,574.37,●,118.10,●,6.62,0
105,私立,一般大學,1048,亞洲大學,●,-0.47,●,-3.34,●,7.18,●,6.22,●,64.46,●,-8.57,●,32.49,2.96
105,私立,一般大學,1049,開南大學,●,-13.28,●,-14.81,●,7.68,●,29.29,●,115.71,●,16.62,●,14.19,0
105,私立,一般大學,1050,佛光大學,●,9.32,●,-17.44,●,-12.22,●,-41.64,●,86.15,●,13.49,●,3.35,0
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,●,-0.81,●,-0.10,●,17.71,●,149.17,●,997.59,●,307.47,●,4.49,0
105,私立,技專校院,1052,遠東科技大學,●,-13.54,●,-7.10,●,2.49,●,23.30,●,254.71,●,47.32,●,6.98,0
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,●,-5.04,●,-3,●,8.03,●,60.28,●,901.76,●,236.93,●,5.27,0
105,私立,技專校院,1054,景文科技大學,●,-6.63,●,13.06,●,4.98,●,28.59,●,438.19,●,135.47,●,8.01,0
105,私立,技專校院,1055,中華醫事科技大學,●,-0.81,●,3.50,●,9.25,●,80.20,●,189,●,43.89,●,7.66,0
105,私立,技專校院,1056,東南科技大學,●,-8.97,●,-6.82,●,-1.21,●,11.07,●,531.65,●,130.46,●,6.69,0
105,私立,技專校院,1057,德明財經科技大學,●,-2.83,●,-5.07,●,20.60,●,181.91,●,1739.92,●,468.32,●,3.51,0
105,私立,一般大學,1058,明道學校財團法人明道大學,●,-10.11,●,-13.69,●,7.08,●,34.18,●,100.86,●,19.35,●,21.11,0.50
105,私立,技專校院,1060,南開科技大學,●,-9.39,●,-10.68,●,0.80,●,10.80,●,603.96,●,145.17,●,7.01,0
