年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-累積餘絀比率燈號,營運能力-累積餘絀比率(%)數值,營運能力-資產效益比率燈號,營運能力-資產效益比率(%)數值,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,財務結構-負債變動率燈號,財務結構-負債變動率(%)數值,其他-舉債指數
105,私立,技專校院,1166,亞東技術學院,●,56.96,●,1.12,●,-4.87,●,393.39,●,5036.11,●,26.52,0
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,●,90.70,●,1.61,●,-14.86,●,47.16,●,382.15,●,-28.69,0
105,私立,一般大學,1176,稻江科技暨管理學院,●,88.24,●,-3.52,●,-5.20,●,1.03,●,186.41,●,0.85,0
105,私立,技專校院,1182,蘭陽技術學院,●,98.31,●,-3.58,●,-12.63,●,83.39,●,189.95,●,4.68,0
105,私立,技專校院,1183,黎明技術學院,●,82.31,●,5.89,●,-1.01,●,62.51,●,153.30,●,-11.31,0
105,私立,技專校院,1185,經國管理暨健康學院,●,92.13,●,-1.67,●,-1.11,●,57.98,●,336.53,●,-12.85,0
105,私立,技專校院,1188,大同技術學院,●,98.48,●,-3.59,●,-9.05,●,7.21,●,357.38,●,-8.68,0
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,●,83.62,●,7.22,●,-16.87,●,201.12,●,78.33,●,-58.23,0
105,私立,技專校院,1192,臺灣觀光學院,●,90.87,●,-3.01,●,-18.73,●,14.87,●,179.57,●,-29.41,0
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,●,87.41,●,0.78,●,0.49,●,157.30,●,1046.43,●,3.41,0
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,●,68.58,●,7.06,●,33.81,●,118.38,●,293.93,●,26.11,0
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,●,80.12,●,2.62,●,0.76,●,158.24,●,419.58,●,-3.42,0
105,私立,技專校院,1283,仁德醫護管理專科學校,●,85.49,●,6.99,●,1.98,●,198.76,●,259.03,●,-14.98,0
105,私立,技專校院,1284,樹人醫護管理專科學校,●,87.98,●,6.18,●,1.36,●,211.26,●,652.76,●,1.13,0
105,私立,技專校院,1285,慈惠醫護管理專科學校,●,87.88,●,5.09,●,-2.36,●,176.50,●,374.51,●,-0.88,0
105,私立,技專校院,1286,耕莘健康管理專科學校,●,68.94,●,4.74,●,3.98,●,143.41,●,382.85,●,-8.90,0
105,私立,技專校院,1287,敏惠醫護管理專科學校,●,80.42,●,6.79,●,2.84,●,132.27,●,275.64,●,-5.16,0
105,私立,技專校院,1288,高美醫護管理專科學校,●,78.73,●,1.66,●,-10.46,●,87.11,●,72.84,●,-5.68,6.52
105,私立,技專校院,1289,育英醫護管理專科學校,●,86.60,●,1.79,●,-2.80,●,131.97,●,445.61,●,20.22,0
105,私立,技專校院,1290,崇仁醫護管理專科學校,●,89.30,●,2.85,●,1.61,●,193.79,●,468.71,●,53.72,0
105,私立,技專校院,1291,聖母醫護管理專科學校,●,79.21,●,4.75,●,-2.69,●,138.55,●,465.37,●,4.15,0
105,私立,技專校院,1292,新生醫護管理專科學校,●,79.76,●,4.78,●,0.66,●,86.62,●,117.59,●,-9.75,0
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,●,97.25,●,0.05,●,-33.19,●,152.16,●,706.35,●,0.62,0
105,私立,宗教研修學院,1R03,臺北基督學院,●,37.99,●,4,●,-7.40,●,-28.24,●,442.81,●,-52.88,0
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,●,5.20,●,0.95,●,103.03,●,25.88,●,152.12,●,53.94,0
105,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,●,71.19,●,0.55,●,0,●,116.08,●,77.12,●,536.24,0
105,私立,宗教研修學院,1R06,一貫道崇德學院,●,0.53,●,41.86,●,0,●,119.07,●,218.72,●,-12.01,0
