學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,2,2,0,1,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,3,3,0,2,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,05331055,應用物理學研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,2,2,0,0,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,2,2,0,1,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,2,2,0,0,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,09121142,腦與心智科學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0003,國立臺灣大學,99999Z01,共同教育中心,1,1,0,0,0,0,0,0,0,1,0,0,0
