學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,745534,55.40,239412,17.79,187967,13.97,47435,3.52,66515,4.94,31407,2.33,0,0,16399,1.22,11081,0.82,1345750,100
106,私立,一般大學,1028,臺北醫學大學,1805804,48.05,1338364,35.61,348864,9.28,101553,2.70,48578,1.29,76089,2.02,4433,0.12,1026,0.03,33657,0.90,3758368,100
106,私立,一般大學,1029,中山醫學大學,821669,56.56,382899,26.36,116094,7.99,5561,0.38,65054,4.48,25700,1.77,16549,1.14,0,0,19189,1.32,1452715,100
106,私立,技專校院,1030,龍華科技大學,576242,51.94,269612,24.30,143765,12.96,10409,0.94,40265,3.63,49519,4.46,175,0.02,0,0,19448,1.75,1109435,100
106,私立,技專校院,1031,輔英科技大學,639742,58.12,310732,28.23,92196,8.38,3844,0.35,21413,1.95,17852,1.62,3,0,400,0.04,14485,1.32,1100667,100
106,私立,技專校院,1032,明新學校財團法人明新科技大學,865480,61.12,267705,18.91,164347,11.61,20525,1.45,42881,3.03,41161,2.91,4040,0.29,0,0,9859,0.70,1415998,100
106,私立,一般大學,1033,長榮大學,846139,64.54,243368,18.56,104090,7.94,15905,1.21,53749,4.10,31636,2.41,44,0,0,0,16030,1.22,1310961,100
106,私立,技專校院,1034,弘光科技大學,843942,56.67,377491,25.35,138032,9.27,14686,0.99,66028,4.43,22924,1.54,0,0,0,0,26058,1.75,1489161,100
106,私立,一般大學,1035,中國醫藥大學,1124570,49.56,787559,34.71,152157,6.71,25635,1.13,48788,2.15,35442,1.56,4,0,45304,2,49480,2.18,2268939,100
106,私立,技專校院,1036,健行學校財團法人健行科技大學,626972,52.14,302635,25.17,171990,14.30,13529,1.12,32372,2.69,28460,2.37,0,0,0,0,26620,2.21,1202578,100
106,私立,技專校院,1037,正修學校財團法人正修科技大學,1130664,56.76,446478,22.41,260122,13.06,19780,0.99,83760,4.20,40902,2.05,556,0.03,0,0,9809,0.49,1992071,100
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,521586,48.64,276989,25.83,118212,11.02,9479,0.88,90698,8.46,30350,2.83,1840,0.17,0,0,23188,2.16,1072342,100
106,私立,一般大學,1039,玄奘大學,321127,52.49,159079,26,75737,12.38,3989,0.65,30550,4.99,15216,2.49,0,0,0,0,6139,1,611837,100
106,私立,技專校院,1040,建國科技大學,576099,58.71,223223,22.75,110848,11.30,6128,0.62,35227,3.59,16851,1.72,583,0.06,0,0,12281,1.25,981240,100
106,私立,技專校院,1041,明志科技大學,542683,43.06,298205,23.66,241022,19.12,14274,1.13,64093,5.09,88792,7.05,0,0,0,0,11280,0.89,1260349,100
106,私立,技專校院,1042,高苑科技大學,504015,64.94,138171,17.80,60183,7.75,6261,0.81,43136,5.56,15214,1.96,23,0,0,0,9171,1.18,776174,100
106,私立,技專校院,1043,大仁科技大學,499348,59.05,189043,22.35,70430,8.33,42668,5.05,18004,2.13,21281,2.52,0,0,0,0,4896,0.58,845670,100
106,私立,技專校院,1044,聖約翰科技大學,367808,58.31,130426,20.68,87913,13.94,6095,0.97,18254,2.89,12569,1.99,0,0,0,0,7675,1.22,630740,100
106,私立,技專校院,1045,嶺東科技大學,598753,58.36,191013,18.62,114943,11.20,4926,0.48,25282,2.46,49016,4.78,2567,0.25,0,0,39448,3.85,1025948,100
106,私立,技專校院,1046,中國科技大學,676508,57.05,207737,17.52,136883,11.54,11772,0.99,66058,5.57,67497,5.69,0,0,0,0,19416,1.64,1185871,100
106,私立,技專校院,1047,中臺科技大學,626081,66.19,154890,16.37,94398,9.98,18388,1.94,25312,2.68,20735,2.19,862,0.09,0,0,5267,0.56,945933,100
106,私立,一般大學,1048,亞洲大學,958331,55.13,499277,28.72,132164,7.60,26431,1.52,62362,3.59,34438,1.98,15380,0.88,0,0,9841,0.57,1738224,100
106,私立,一般大學,1049,開南大學,475288,57.61,159449,19.33,56360,6.83,68452,8.30,28324,3.43,15979,1.94,0,0,0,0,21173,2.57,825025,100
106,私立,一般大學,1050,佛光大學,408613,47.80,182319,21.33,97319,11.38,18519,2.17,106597,12.47,34980,4.09,0,0,0,0,6549,0.77,854896,100
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,717644,58.06,244396,19.77,142868,11.56,8019,0.65,45632,3.69,36436,2.95,3,0,1912,0.15,39083,3.16,1235993,100
106,私立,技專校院,1052,遠東科技大學,491545,52.29,225066,23.94,121322,12.91,5390,0.57,82994,8.83,10506,1.12,0,0,0,0,3155,0.34,939978,100
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,454130,56.69,190227,23.75,91851,11.47,7939,0.99,23568,2.94,24130,3.01,0,0,0,0,9178,1.15,801023,100
106,私立,技專校院,1054,景文科技大學,436470,61.19,145692,20.43,63289,8.87,6722,0.94,24860,3.49,15510,2.17,0,0,0,0,20753,2.91,713296,100
106,私立,技專校院,1055,中華醫事科技大學,537368,56.34,205737,21.57,111849,11.73,6583,0.69,42336,4.44,43335,4.54,0,0,0,0,6541,0.69,953749,100
106,私立,技專校院,1056,東南科技大學,443435,56.02,163967,20.72,93157,11.77,40845,5.16,12672,1.60,35365,4.47,0,0,0,0,2065,0.26,791506,100
106,私立,技專校院,1057,德明財經科技大學,485022,58.65,143904,17.40,71834,8.69,6311,0.76,96080,11.62,17773,2.15,0,0,0,0,6061,0.73,826985,100
106,私立,一般大學,1058,明道學校財團法人明道大學,286080,44.54,231158,35.99,61681,9.60,21201,3.30,23420,3.65,12208,1.90,3769,0.59,0,0,2816,0.44,642333,100
106,私立,技專校院,1060,南開科技大學,372429,55.43,137688,20.49,73629,10.96,14014,2.09,37708,5.61,20862,3.11,54,0.01,0,0,15460,2.30,671844,100
106,私立,技專校院,1061,中華學校財團法人中華科技大學,447837,57.71,162451,20.93,104292,13.44,3017,0.39,29223,3.77,20822,2.68,2726,0.35,3113,0.40,2583,0.33,776064,100
106,私立,技專校院,1062,僑光科技大學,450465,54.63,133181,16.15,112768,13.68,4544,0.55,28558,3.46,88258,10.70,0,0,0,0,6789,0.82,824563,100
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,292563,52.85,126449,22.84,68226,12.32,22014,3.98,8895,1.61,22521,4.07,0,0,2895,0.52,10056,1.82,553619,100
106,私立,技專校院,1064,美和學校財團法人美和科技大學,451918,52.09,199493,22.99,120527,13.89,54204,6.25,16266,1.87,16899,1.95,0,0,0,0,8301,0.96,867608,100
106,私立,技專校院,1065,吳鳳科技大學,353279,53.29,133319,20.11,88459,13.34,40064,6.04,22227,3.35,11497,1.73,0,0,0,0,14073,2.12,662918,100
106,私立,技專校院,1066,環球學校財團法人環球科技大學,345120,49.16,185975,26.49,89792,12.79,28813,4.10,34255,4.88,14300,2.04,1078,0.15,0,0,2718,0.39,702051,100
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,207630,58.63,45045,12.72,46803,13.22,4419,1.25,34728,9.81,7730,2.18,0,0,7612,2.15,191,0.05,354158,100
106,私立,技專校院,1068,中州學校財團法人中州科技大學,194083,42.38,164929,36.02,71589,15.63,2206,0.48,12839,2.80,5161,1.13,1086,0.24,0,0,6030,1.32,457923,100
106,私立,技專校院,1069,修平學校財團法人修平科技大學,446394,63.47,136934,19.47,76699,10.91,5169,0.73,15472,2.20,11911,1.69,487,0.07,0,0,10222,1.45,703288,100
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,713786,51.72,323246,23.42,152515,11.05,2625,0.19,31587,2.29,87364,6.33,0,0,459,0.03,68463,4.96,1380045,100
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,529147,61.85,128195,14.98,142689,16.68,6850,0.80,21099,2.47,18072,2.11,0,0,0,0,9445,1.10,855497,100
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,194216,47.47,125050,30.56,64293,15.71,9133,2.23,4912,1.20,7028,1.72,3261,0.80,0,0,1240,0.30,409133,100
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,476682,50.52,264850,28.07,97924,10.38,8759,0.93,49474,5.24,43795,4.64,0,0,0,0,2094,0.22,943578,100
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,150675,54.92,31081,11.33,42525,15.50,3810,1.39,38494,14.03,5232,1.91,11,0,0,0,2547,0.93,274375,100
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,640702,58.72,245158,22.47,76507,7.01,15372,1.41,72622,6.66,22929,2.10,0,0,0,0,17734,1.63,1091024,100
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,313223,63.51,84981,17.23,53405,10.83,1910,0.39,22717,4.61,7072,1.43,0,0,0,0,9900,2.01,493208,100
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,321393,45.51,177201,25.09,91569,12.97,18262,2.59,78408,11.10,10445,1.48,0,0,0,0,8928,1.26,706206,100
106,私立,技專校院,1078,致理學校財團法人致理科技大學,630494,58.51,248802,23.09,109305,10.14,11411,1.06,37330,3.46,32163,2.98,0,0,0,0,8057,0.75,1077562,100
106,私立,一般大學,1079,康寧學校財團法人康寧大學,270643,46.34,166051,28.43,94626,16.20,3140,0.54,11447,1.96,13397,2.29,130,0.02,0,0,24548,4.20,583982,100
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,352473,65.86,102442,19.14,54467,10.18,3625,0.68,13054,2.44,7443,1.39,0,0,0,0,1689,0.32,535193,100
106,私立,技專校院,1081,東方學校財團法人東方設計大學,270082,54.03,132561,26.52,61244,12.25,10669,2.13,6906,1.38,11115,2.22,0,0,0,0,7304,1.46,499881,100
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,187120,46.49,126054,31.32,46875,11.65,8210,2.04,27103,6.73,5604,1.39,700,0.17,0,0,841,0.21,402507,100
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,290326,50.24,140974,24.39,90906,15.73,5764,1,17460,3.02,17834,3.09,4477,0.77,0,0,10184,1.76,577925,100
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,99648,35.96,97402,35.15,27113,9.79,28312,10.22,15509,5.60,3488,1.26,0,0,0,0,5606,2.02,277078,100
106,私立,技專校院,1148,大漢技術學院,89043,50.79,33191,18.93,34084,19.44,1774,1.01,8115,4.63,3198,1.82,0,0,0,0,5913,3.37,175318,100
106,私立,技專校院,1159,和春技術學院,137155,46.84,65732,22.45,70477,24.07,214,0.07,8425,2.88,2783,0.95,0,0,0,0,8013,2.74,292799,100
106,私立,技專校院,1166,亞東技術學院,353453,49.07,165038,22.91,119920,16.65,11937,1.66,14081,1.95,39584,5.50,0,0,0,0,16253,2.26,720266,100
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,261109,51.91,82842,16.47,65997,13.12,22966,4.57,5576,1.11,33271,6.62,786,0.16,0,0,30410,6.05,502957,100
106,私立,一般大學,1176,稻江科技暨管理學院,113230,41.87,68545,25.35,30777,11.38,31968,11.82,18510,6.85,3966,1.47,0,0,0,0,3416,1.26,270412,100
106,私立,技專校院,1182,蘭陽技術學院,139880,52.75,38180,14.40,55774,21.03,5240,1.98,10719,4.04,7355,2.77,99,0.04,0,0,7928,2.99,265175,100
106,私立,技專校院,1183,黎明技術學院,290973,54.41,100455,18.79,79229,14.82,32148,6.01,17904,3.35,7520,1.41,425,0.08,0,0,6083,1.14,534737,100
106,私立,技專校院,1185,經國管理暨健康學院,283071,52.80,110125,20.54,86602,16.15,3171,0.59,16897,3.15,16148,3.01,1269,0.24,7820,1.46,11051,2.06,536154,100
106,私立,技專校院,1188,大同技術學院,134809,47.58,65870,23.25,35160,12.41,31622,11.16,5453,1.92,4873,1.72,0,0,0,0,5545,1.96,283332,100
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,112758,64.56,23164,13.26,32426,18.57,807,0.46,1347,0.77,1655,0.95,0,0,0,0,2500,1.43,174657,100
106,私立,技專校院,1192,臺灣觀光學院,92921,57.35,30359,18.74,29283,18.07,1074,0.66,1077,0.66,5049,3.12,0,0,0,0,2252,1.39,162015,100
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,228461,48.48,116973,24.82,104204,22.11,1796,0.38,2106,0.45,16083,3.41,0,0,0,0,1578,0.33,471201,100
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,77294,44.03,37683,21.46,43301,24.66,1270,0.72,8979,5.11,6936,3.95,0,0,0,0,94,0.05,175557,100
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,240413,49.35,112159,23.03,77706,15.95,1222,0.25,27032,5.55,24133,4.95,2923,0.60,0,0,1524,0.31,487112,100
106,私立,技專校院,1283,仁德醫護管理專科學校,289598,56.25,73084,14.20,69263,13.45,5462,1.06,20948,4.07,36197,7.03,379,0.07,104,0.02,19819,3.85,514854,100
106,私立,技專校院,1284,樹人醫護管理專科學校,314003,59.39,105465,19.95,61724,11.67,5465,1.03,19823,3.75,17098,3.23,0,0,0,0,5162,0.98,528740,100
106,私立,技專校院,1285,慈惠醫護管理專科學校,236101,53.59,100894,22.90,69537,15.78,2115,0.48,12854,2.92,18632,4.23,0,0,0,0,421,0.10,440554,100
106,私立,技專校院,1286,耕莘健康管理專科學校,295060,60.51,90659,18.59,63512,13.02,1645,0.34,13397,2.75,8723,1.79,1448,0.30,0,0,13189,2.70,487633,100
106,私立,技專校院,1287,敏惠醫護管理專科學校,185270,40.48,54979,12.01,59174,12.93,23215,5.07,117862,25.75,15850,3.46,294,0.06,0,0,995,0.22,457639,100
106,私立,技專校院,1288,高美醫護管理專科學校,30005,41.66,13293,18.46,17250,23.95,615,0.85,2625,3.64,871,1.21,276,0.38,0,0,7082,9.83,72017,100
106,私立,技專校院,1289,育英醫護管理專科學校,96139,56.43,38624,22.67,23493,13.79,480,0.28,3760,2.21,3467,2.03,0,0,0,0,4415,2.59,170378,100
106,私立,技專校院,1290,崇仁醫護管理專科學校,166843,57.50,50868,17.53,54420,18.76,1608,0.55,9108,3.14,3309,1.14,0,0,0,0,3989,1.37,290145,100
106,私立,技專校院,1291,聖母醫護管理專科學校,177469,61.74,46686,16.24,43217,15.03,1986,0.69,10898,3.79,2874,1,1309,0.46,0,0,3014,1.05,287453,100
106,私立,技專校院,1292,新生醫護管理專科學校,298591,64.97,77616,16.89,57897,12.60,6954,1.51,7703,1.68,6922,1.51,1785,0.39,0,0,2088,0.45,459556,100
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,15297,71.88,3222,15.14,869,4.08,617,2.90,2,0.01,1100,5.17,14,0.07,0,0,161,0.76,21282,100
106,私立,宗教研修學院,1R03,臺北基督學院,37964,63.56,14402,24.11,2635,4.41,2460,4.12,737,1.23,1386,2.32,0,0,0,0,141,0.24,59725,100
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,18759,70.15,5284,19.76,780,2.92,255,0.95,1027,3.84,592,2.21,0,0,0,0,45,0.17,26742,100
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,38583,75,7204,14,863,1.68,232,0.45,165,0.32,4278,8.32,0,0,0,0,119,0.23,51444,100
106,私立,宗教研修學院,1R06,一貫道崇德學院,9430,66.25,2494,17.52,892,6.27,1134,7.97,0,0,285,2,0,0,0,0,0,0,14235,100
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,8691,92.19,330,3.50,18,0.19,0,0,362,3.84,0,0,0,0,0,0,26,0.28,9427,100
107,私立,一般大學,1001,東海大學,1613220,61.02,530316,20.06,223052,8.44,47622,1.80,120431,4.56,66860,2.53,0,0,0,0,42189,1.60,2643690,100
107,私立,一般大學,1002,輔仁大學,2049856,50.05,799234,19.51,308544,7.53,74693,1.82,240992,5.88,117671,2.87,0,0,454305,11.09,50424,1.23,4095718,100
107,私立,一般大學,1003,東吳大學,1386852,60.63,415176,18.15,195023,8.53,42046,1.84,146210,6.39,93193,4.07,1,0,0,0,8744,0.38,2287246,100
107,私立,一般大學,1004,中原大學,1566586,50.02,877697,28.03,376815,12.03,35988,1.15,155213,4.96,83167,2.66,1385,0.04,308,0.01,34501,1.10,3131661,100
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2096656,60.38,697808,20.10,309342,8.91,104969,3.02,118700,3.42,108989,3.14,0,0,0,0,35720,1.03,3472183,100
107,私立,一般大學,1006,中國文化大學,2149927,60.95,585265,16.59,378076,10.72,54468,1.54,240002,6.80,102494,2.91,0,0,256,0.01,16905,0.48,3527394,100
107,私立,一般大學,1007,逢甲大學,2055180,54.46,835674,22.14,282824,7.49,59411,1.57,227207,6.02,206034,5.46,27053,0.72,0,0,80675,2.14,3774058,100
107,私立,一般大學,1008,靜宜大學,1000971,55.98,360271,20.15,143651,8.03,21769,1.22,160302,8.96,69678,3.90,12,0,0,0,31518,1.76,1788172,100
107,私立,一般大學,1009,長庚大學,2237629,57.43,856111,21.97,515406,13.23,15939,0.41,76243,1.96,171023,4.39,0,0,1378,0.04,22242,0.57,3895971,100
107,私立,一般大學,1010,元智大學,999416,54.75,381193,20.88,132406,7.25,43583,2.39,77736,4.26,85589,4.69,0,0,0,0,105357,5.77,1825281,100
107,私立,一般大學,1011,中華大學學校財團法人中華大學,607918,59.30,209319,20.42,94109,9.18,16303,1.59,66865,6.52,22593,2.20,929,0.09,0,0,7129,0.70,1025165,100
107,私立,一般大學,1012,大葉大學,825294,54.10,321729,21.09,154142,10.10,28146,1.85,119582,7.84,54749,3.59,1378,0.09,0,0,20514,1.34,1525534,100
107,私立,一般大學,1013,華梵大學,209897,48.76,86135,20.01,89102,20.70,24739,5.75,12734,2.96,7321,1.70,0,0,0,0,563,0.13,430491,100
107,私立,一般大學,1014,義守大學,1219838,50.88,740248,30.88,217024,9.05,34468,1.44,110037,4.59,34901,1.46,0,0,0,0,40844,1.70,2397360,100
107,私立,一般大學,1015,世新大學,835235,52.05,417193,26,166866,10.40,21551,1.34,63366,3.95,19211,1.20,0,0,43429,2.71,37821,2.36,1604672,100
107,私立,一般大學,1016,銘傳大學,1565337,60.78,533598,20.72,173573,6.74,71882,2.79,79969,3.11,60928,2.37,157,0.01,0,0,89907,3.49,2575351,100
107,私立,一般大學,1017,實踐大學,952629,55.27,368702,21.39,180236,10.46,24908,1.45,101935,5.91,74635,4.33,0,0,131,0.01,20364,1.18,1723540,100
107,私立,技專校院,1018,朝陽科技大學,1047209,50.50,533687,25.74,153194,7.39,46670,2.25,90318,4.36,150886,7.28,0,0,28904,1.39,22744,1.10,2073611,100
107,私立,一般大學,1019,高雄醫學大學,1611577,57.83,734174,26.34,167254,6,35076,1.26,42890,1.54,69467,2.49,333,0.01,53734,1.93,72453,2.60,2786957,100
107,私立,一般大學,1020,南華大學,581208,49.11,139314,11.77,154050,13.02,81261,6.87,187272,15.83,29244,2.47,0,0,0,0,11022,0.93,1183372,100
107,私立,一般大學,1021,真理大學,514446,68.19,84095,11.15,96621,12.81,6550,0.87,31423,4.17,12446,1.65,5446,0.72,0,0,3363,0.45,754389,100
107,私立,一般大學,1022,大同大學,397159,51.87,219144,28.62,80860,10.56,9525,1.24,25501,3.33,29562,3.86,0,0,0,0,3934,0.51,765685,100
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1276780,52.46,660753,27.15,269246,11.06,124903,5.13,56789,2.33,31283,1.29,0,0,10164,0.42,3745,0.15,2433662,100
107,私立,技專校院,1024,崑山科技大學,764144,42.91,546255,30.67,278726,15.65,37432,2.10,78000,4.38,69229,3.89,0,0,0,0,7132,0.40,1780919,100
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,922731,49.58,524838,28.20,228879,12.30,3198,0.17,85360,4.59,72597,3.90,16717,0.90,0,0,6953,0.37,1861274,100
107,私立,技專校院,1026,樹德科技大學,643201,45.02,429318,30.05,154053,10.78,24087,1.69,98001,6.86,66280,4.64,0,0,0,0,13807,0.97,1428746,100
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,724984,55.43,228213,17.45,187640,14.35,44876,3.43,77699,5.94,30377,2.32,0,0,78,0.01,13999,1.07,1307866,100
107,私立,一般大學,1028,臺北醫學大學,1867972,45.26,1610457,39.02,367954,8.92,113650,2.75,51409,1.25,79258,1.92,1303,0.03,0,0,35182,0.85,4127184,100
107,私立,一般大學,1029,中山醫學大學,842704,55.16,439145,28.74,119037,7.79,5813,0.38,69345,4.54,28236,1.85,14603,0.96,0,0,8956,0.59,1527839,100
107,私立,技專校院,1030,龍華科技大學,598458,48.81,312219,25.46,195868,15.97,8161,0.67,44700,3.65,51358,4.19,469,0.04,164,0.01,14754,1.20,1226152,100
107,私立,技專校院,1031,輔英科技大學,642956,57.41,316547,28.27,96997,8.66,6618,0.59,20989,1.87,21128,1.89,0,0,0,0,14639,1.31,1119874,100
107,私立,技專校院,1032,明新學校財團法人明新科技大學,861584,60.69,243873,17.18,177539,12.51,16950,1.19,70480,4.96,39159,2.76,3585,0.25,0,0,6381,0.45,1419551,100
107,私立,一般大學,1033,長榮大學,870801,66.72,233669,17.90,89132,6.83,13319,1.02,60522,4.64,27580,2.11,10,0,0,0,10104,0.77,1305136,100
107,私立,技專校院,1034,弘光科技大學,874482,55.29,412383,26.07,146465,9.26,14897,0.94,74393,4.70,26339,1.67,0,0,0,0,32576,2.06,1581536,100
107,私立,一般大學,1035,中國醫藥大學,1209605,49.58,728379,29.86,162131,6.65,31100,1.27,46154,1.89,18358,0.75,5108,0.21,197789,8.11,40915,1.68,2439538,100
107,私立,技專校院,1036,健行學校財團法人健行科技大學,611469,47.78,326946,25.55,242479,18.95,10797,0.84,30620,2.39,26938,2.10,0,0,0,0,30605,2.39,1279853,100
107,私立,技專校院,1037,正修學校財團法人正修科技大學,1161039,55.90,463140,22.30,280153,13.49,21140,1.02,104301,5.02,37041,1.78,56,0,0,0,9962,0.48,2076832,100
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,550043,47.46,283020,24.42,125443,10.82,10027,0.87,119757,10.33,42591,3.67,1840,0.16,0,0,26224,2.26,1158946,100
107,私立,一般大學,1039,玄奘大學,273658,51.25,126618,23.71,68790,12.88,3931,0.74,38411,7.19,14852,2.78,0,0,0,0,7716,1.45,533976,100
107,私立,技專校院,1040,建國科技大學,560859,58.42,211947,22.08,111618,11.63,5473,0.57,37387,3.89,18245,1.90,409,0.04,0,0,14064,1.47,960001,100
107,私立,技專校院,1041,明志科技大學,566128,38.76,425885,29.16,249106,17.06,13349,0.91,64576,4.42,126467,8.66,0,0,130,0.01,14912,1.02,1460553,100
107,私立,技專校院,1042,高苑科技大學,480585,61.77,147685,18.98,58943,7.58,5273,0.68,57215,7.35,12078,1.55,17,0,0,0,16269,2.09,778065,100
107,私立,技專校院,1043,大仁科技大學,455653,54.65,189278,22.70,89206,10.70,33099,3.97,29178,3.50,20390,2.45,0,0,0,0,16940,2.03,833744,100
107,私立,技專校院,1044,聖約翰科技大學,357799,58.77,123212,20.24,87065,14.30,7362,1.21,17347,2.85,9383,1.54,0,0,0,0,6675,1.10,608843,100
107,私立,技專校院,1045,嶺東科技大學,604818,56.95,206018,19.40,146824,13.83,6632,0.62,26189,2.47,39217,3.69,3506,0.33,0,0,28788,2.71,1061992,100
107,私立,技專校院,1046,中國科技大學,656247,57.72,212542,18.69,139102,12.23,10373,0.91,72287,6.36,33610,2.96,0,0,0,0,12853,1.13,1137014,100
107,私立,技專校院,1047,中臺科技大學,609412,64.26,150379,15.86,95085,10.03,29463,3.11,30544,3.22,29063,3.06,613,0.06,0,0,3818,0.40,948377,100
107,私立,一般大學,1048,亞洲大學,959747,54.41,527280,29.89,132404,7.51,20016,1.13,64526,3.66,39047,2.21,11986,0.68,0,0,8772,0.50,1763778,100
107,私立,一般大學,1049,開南大學,451010,58.59,144167,18.73,53636,6.97,61937,8.05,28278,3.67,16516,2.15,0,0,0,0,14236,1.85,769780,100
107,私立,一般大學,1050,佛光大學,409926,48.38,174374,20.58,98816,11.66,21319,2.52,103978,12.27,36670,4.33,0,0,0,0,2268,0.27,847352,100
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,726084,58.71,243341,19.68,141049,11.40,7929,0.64,48992,3.96,39293,3.18,0,0,1333,0.11,28713,2.32,1236733,100
107,私立,技專校院,1052,遠東科技大學,473724,52.68,206703,22.99,112280,12.49,2638,0.29,90834,10.10,9726,1.08,0,0,0,0,3329,0.37,899234,100
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,451602,56.68,184040,23.10,92943,11.67,6195,0.78,33073,4.15,25291,3.17,0,0,0,0,3561,0.45,796704,100
107,私立,技專校院,1054,景文科技大學,401021,56.57,151633,21.39,75478,10.65,6410,0.90,31268,4.41,22313,3.15,0,0,0,0,20774,2.93,708897,100
107,私立,技專校院,1055,中華醫事科技大學,527824,56.62,208612,22.38,110143,11.82,6274,0.67,38369,4.12,35343,3.79,0,0,0,0,5621,0.60,932186,100
107,私立,技專校院,1056,東南科技大學,409767,54.04,156539,20.64,92773,12.23,49679,6.55,19645,2.59,23671,3.12,0,0,0,0,6221,0.82,758295,100
107,私立,技專校院,1057,德明財經科技大學,478668,57.54,156852,18.85,74121,8.91,7141,0.86,92045,11.06,18141,2.18,0,0,0,0,4969,0.60,831938,100
107,私立,一般大學,1058,明道學校財團法人明道大學,261096,41.36,233417,36.98,60877,9.64,28382,4.50,18938,3,10543,1.67,3509,0.56,1231,0.20,13258,2.10,631251,100
107,私立,技專校院,1060,南開科技大學,360447,57.83,105909,16.99,68967,11.06,15808,2.54,43250,6.94,21209,3.40,0,0,0,0,7717,1.24,623308,100
107,私立,技專校院,1061,中華學校財團法人中華科技大學,404824,57.06,146837,20.70,104089,14.67,5247,0.74,26240,3.70,14114,1.99,2320,0.33,3063,0.43,2684,0.38,709418,100
107,私立,技專校院,1062,僑光科技大學,460756,55.88,118953,14.43,121585,14.74,11804,1.43,33975,4.12,70349,8.53,0,0,0,0,7170,0.87,824592,100
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,277638,49.36,127580,22.68,88548,15.74,26401,4.69,6344,1.13,19428,3.45,0,0,2115,0.38,14385,2.56,562440,100
107,私立,技專校院,1064,美和學校財團法人美和科技大學,444273,54.01,197729,24.04,83018,10.09,49655,6.04,25916,3.15,15287,1.86,0,0,0,0,6688,0.81,822566,100
107,私立,技專校院,1065,吳鳳科技大學,337477,54.79,113597,18.44,84338,13.69,40350,6.55,19235,3.12,11042,1.79,0,0,0,0,9874,1.60,615913,100
107,私立,技專校院,1066,環球學校財團法人環球科技大學,326291,50.76,138755,21.59,95514,14.86,31683,4.93,36379,5.66,11186,1.74,937,0.15,0,0,2049,0.32,642793,100
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,182253,57.22,39393,12.37,45871,14.40,3051,0.96,35247,11.07,6183,1.94,105,0.03,5929,1.86,489,0.15,318522,100
107,私立,技專校院,1068,中州學校財團法人中州科技大學,176281,47.89,103447,28.10,70770,19.23,1377,0.37,10286,2.79,3638,0.99,932,0.25,0,0,1374,0.37,368104,100
107,私立,技專校院,1069,修平學校財團法人修平科技大學,424235,62.35,123461,18.15,78319,11.51,6080,0.89,24850,3.65,9484,1.39,183,0.03,0,0,13787,2.03,680398,100
