學年度,設立別,學校類別,學校統計處代碼,學校名稱,在學學生數-小計,在學學生數-男,在學學生數-女,獲弱勢學生助學計畫補助之受惠學生人數-小計,獲弱勢學生助學計畫補助之受惠學生人數-男,獲弱勢學生助學計畫補助之受惠學生人數-女,每千名學生獲弱勢學生助學計畫補助之受惠學生人數比率(‰)
109,私立,技專校院,1030,龍華科技大學,11606,8193,3413,409,248,161,35.24
109,私立,技專校院,1031,輔英科技大學,9791,2612,7179,496,97,399,50.66
109,私立,技專校院,1032,明新學校財團法人明新科技大學,11886,7314,4572,486,218,268,40.89
109,私立,一般大學,1033,長榮大學,8248,3711,4537,504,149,355,61.11
109,私立,技專校院,1034,弘光科技大學,12700,4398,8302,921,239,682,72.52
109,私立,一般大學,1035,中國醫藥大學,7203,3085,4118,214,72,142,29.71
109,私立,技專校院,1036,健行學校財團法人健行科技大學,11279,7401,3878,559,274,285,49.56
109,私立,技專校院,1037,正修學校財團法人正修科技大學,17473,10772,6701,908,419,489,51.97
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,9691,5303,4388,210,78,132,21.67
109,私立,一般大學,1039,玄奘大學,2408,978,1430,75,15,60,31.15
109,私立,技專校院,1040,建國科技大學,6620,4604,2016,504,291,213,76.13
109,私立,技專校院,1041,明志科技大學,4492,3354,1138,185,108,77,41.18
109,私立,技專校院,1042,高苑科技大學,3510,2466,1044,90,59,31,25.64
109,私立,技專校院,1043,大仁科技大學,5389,2415,2974,414,139,275,76.82
109,私立,技專校院,1044,聖約翰科技大學,2391,1655,736,78,39,39,32.62
109,私立,技專校院,1045,嶺東科技大學,10510,4429,6081,717,229,488,68.22
109,私立,技專校院,1046,中國科技大學,9129,4458,4671,359,107,252,39.33
109,私立,技專校院,1047,中臺科技大學,8170,2809,5361,524,117,407,64.14
109,私立,一般大學,1048,亞洲大學,11421,4322,7099,771,189,582,67.51
109,私立,一般大學,1049,開南大學,5587,2813,2774,132,41,91,23.63
109,私立,一般大學,1050,佛光大學,3458,1568,1890,59,12,47,17.06
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,12363,3742,8621,812,171,641,65.68
109,私立,技專校院,1052,遠東科技大學,4724,3261,1463,323,182,141,68.37
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,6186,2723,3463,170,52,118,27.48
109,私立,技專校院,1054,景文科技大學,6656,3108,3548,261,99,162,39.21
109,私立,技專校院,1055,中華醫事科技大學,8724,2690,6034,544,125,419,62.36
