學年度,設立別,學校類別,學校統計處代碼,學校名稱,在學學生數-小計,在學學生數-男,在學學生數-女,獲弱勢學生助學計畫補助之受惠學生人數-小計,獲弱勢學生助學計畫補助之受惠學生人數-男,獲弱勢學生助學計畫補助之受惠學生人數-女,每千名學生獲弱勢學生助學計畫補助之受惠學生人數比率(‰)
109,私立,技專校院,1183,黎明技術學院,5191,2979,2212,190,95,95,36.60
109,私立,技專校院,1185,經國管理暨健康學院,4221,1234,2987,119,26,93,28.19
109,私立,技專校院,1188,大同技術學院,1137,452,685,95,23,72,83.55
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,816,277,539,13,4,9,15.93
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,302,96,206,1,1,0,3.31
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,4106,588,3518,98,7,91,23.87
109,私立,技專校院,1283,仁德醫護管理專科學校,6515,1546,4969,136,22,114,20.87
109,私立,技專校院,1284,樹人醫護管理專科學校,7279,1785,5494,192,43,149,26.38
109,私立,技專校院,1285,慈惠醫護管理專科學校,3977,911,3066,268,61,207,67.39
109,私立,技專校院,1286,耕莘健康管理專科學校,4698,446,4252,105,11,94,22.35
109,私立,技專校院,1287,敏惠醫護管理專科學校,3936,502,3434,191,11,180,48.53
109,私立,技專校院,1289,育英醫護管理專科學校,1991,224,1767,59,6,53,29.63
109,私立,技專校院,1291,聖母醫護管理專科學校,2227,449,1778,74,15,59,33.23
109,私立,技專校院,1292,新生醫護管理專科學校,6064,772,5292,183,11,172,30.18
109,私立,技專校院,1293,崇仁醫護管理專科學校,3293,425,2868,205,15,190,62.25
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,43,22,21,0,0,0,0
109,私立,宗教研修學院,1R03,臺北基督學院,74,32,42,0,0,0,0
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,178,77,101,22,9,13,123.60
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,111,42,69,0,0,0,0
109,私立,宗教研修學院,1R06,一貫道崇德學院,69,30,39,0,0,0,0
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,75,32,43,2,0,2,26.67
109,公立,一般大學,3002,臺北市立大學,7986,3224,4762,119,41,78,14.90
