,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,101,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),150,75,75
,101,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),25,12,13
,101,公立,一般大學,1,國立政治大學,310811,地政學系碩士在職專班,碩士在職專班,9,6,3
,101,公立,一般大學,1,國立政治大學,310811,地政學系,博士班,3,3,0
,101,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),69,21,48
,101,公立,一般大學,1,國立政治大學,310905,外交學系,碩士班(日間),31,19,12
,101,公立,一般大學,1,國立政治大學,310905,外交學系戰略與國際事務碩士在職專班,碩士在職專班,15,12,3
,101,公立,一般大學,1,國立政治大學,310905,外交學系,博士班,2,1,1
,101,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),16,9,7
,101,公立,一般大學,1,國立政治大學,311002,國家發展研究所,博士班,5,4,1
,101,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),24,9,15
,101,公立,一般大學,1,國立政治大學,320102,傳播學院傳播學士學位學程,學士班(日間),25,10,15
,101,公立,一般大學,1,國立政治大學,320115,國際傳播英語碩士學位學程,碩士班(日間),16,7,9
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,學士班(日間),85,26,59
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),23,1,22
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,博士班,4,4,0
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,學士班(日間),39,15,24
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),14,2,12
,101,公立,一般大學,1,國立政治大學,320602,圖書資訊學數位碩士在職專班,碩士在職專班,17,5,12
,101,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),5,2,3
,101,公立,一般大學,1,國立政治大學,320802,廣告學系,學士班(日間),51,8,43
,101,公立,一般大學,1,國立政治大學,320802,廣告學系,碩士班(日間),15,4,11
,101,公立,一般大學,1,國立政治大學,329999,傳播學院碩士在職專班,碩士在職專班,16,4,12
,101,公立,一般大學,1,國立政治大學,340105,智慧財產研究所,碩士班(日間),14,5,9
,101,公立,一般大學,1,國立政治大學,340201,會計學系,學士班(日間),97,35,62
,101,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),50,11,39
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,學士班(日間),110,42,68
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,碩士班(日間),59,26,33
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,博士班,4,2,2
,101,公立,一般大學,1,國立政治大學,340303,經營管理碩士學程,碩士在職專班,244,165,79
,101,公立,一般大學,1,國立政治大學,340306,管理碩士學程,碩士班(日間),2,1,1
,101,公立,一般大學,1,國立政治大學,340310,國際經營管理碩士學程,碩士班(日間),41,20,21
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),78,35,43
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),46,14,32
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,博士班,3,0,3
,101,公立,一般大學,1,國立政治大學,340504,財務管理學系,學士班(日間),46,22,24
,101,公立,一般大學,1,國立政治大學,340504,財務管理學系,碩士班(日間),29,20,9
,101,公立,一般大學,1,國立政治大學,340504,財務管理學系,博士班,1,1,0
,101,公立,一般大學,1,國立政治大學,340505,金融學系,學士班(日間),61,23,38
,101,公立,一般大學,1,國立政治大學,340505,金融學系,碩士班(日間),25,18,7
,101,公立,一般大學,1,國立政治大學,340505,金融學系,博士班,10,6,4
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,學士班(日間),51,24,27
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,碩士班(日間),18,8,10
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,博士班,2,2,0
,101,公立,一般大學,1,國立政治大學,340701,財政學系,學士班(日間),113,39,74
,101,公立,一般大學,1,國立政治大學,340701,財政學系,碩士班(日間),32,10,22
,101,公立,一般大學,1,國立政治大學,340701,財政學系,博士班,1,0,1
,101,公立,一般大學,1,國立政治大學,349901,科技管理研究所,碩士班(日間),34,14,20
,101,公立,一般大學,1,國立政治大學,349901,科技管理研究所,博士班,4,2,2
,101,公立,一般大學,1,國立政治大學,349997,商管專業學院碩士學位學程,碩士班(日間),38,11,27
