學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,316372,433377,-568214,179003,...,44166
105,私立,技專校院,1026,樹德科技大學,821336,196333,-172950,1390,...,24774
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,3728480,430300,-109880,536,...,320957
105,私立,一般大學,1028,臺北醫學大學,-434030,-396376,471589,-408197,...,-332984
105,私立,一般大學,1029,中山醫學大學,-300457,105864,180043,-269788,...,16120
105,私立,技專校院,1030,龍華科技大學,2574227,334113,352678,-4301,...,682490
105,私立,技專校院,1031,輔英科技大學,1049028,237012,-109677,-3356,...,123979
105,私立,技專校院,1032,明新學校財團法人明新科技大學,499055,216126,-149797,-37216,...,29112
105,私立,一般大學,1033,長榮大學,861878,171885,-99313,-6672,...,65899
105,私立,技專校院,1034,弘光科技大學,1012084,293755,-186602,3653,...,110805
105,私立,一般大學,1035,中國醫藥大學,1130545,64523,-45626,37094,...,55991
105,私立,技專校院,1036,健行學校財團法人健行科技大學,608247,168492,-548969,-3880,...,-384356
105,私立,技專校院,1037,正修學校財團法人正修科技大學,685625,394635,-261125,-90507,...,43003
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,967049,169922,-233571,-3886,...,-67535
105,私立,一般大學,1039,玄奘大學,536816,36518,-91916,3880,...,-51518
105,私立,技專校院,1040,建國科技大學,121744,104881,-124963,-27948,...,-48031
105,私立,技專校院,1041,明志科技大學,5676054,798883,-279281,12647,...,532248
105,私立,技專校院,1042,高苑科技大學,574780,79367,-63434,-2478,...,13454
105,私立,技專校院,1043,大仁科技大學,255825,32395,-48533,-1162,...,-17300
105,私立,技專校院,1044,聖約翰科技大學,520132,-34609,-147091,-3934,...,-185633
105,私立,技專校院,1045,嶺東科技大學,2209518,320179,-228568,-12667,...,78944
105,私立,技專校院,1046,中國科技大學,1065282,339394,-106338,2604,...,235660
105,私立,技專校院,1047,中臺科技大學,733008,222828,-131491,-12932,...,78405
105,私立,一般大學,1048,亞洲大學,-76633,455088,-587287,360325,...,228125
105,私立,一般大學,1049,開南大學,84284,137209,-26338,-79633,...,31238
105,私立,一般大學,1050,佛光大學,54317,-11933,-41636,-818,...,-54386
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,2169219,440785,-123131,1791,...,319445
105,私立,技專校院,1052,遠東科技大學,247359,116997,-91272,896,...,26621
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,1083587,163397,-93699,-1625,...,68073
105,私立,技專校院,1054,景文科技大學,639377,87779,-54244,-1785,...,31750
105,私立,技專校院,1055,中華醫事科技大學,234206,191900,-79853,3630,...,115677
105,私立,技專校院,1056,東南科技大學,589585,69051,-88770,519,...,-19200
105,私立,技專校院,1057,德明財經科技大學,2302233,292547,-68882,-705,...,222960
105,私立,一般大學,1058,明道學校財團法人明道大學,58236,78790,-40724,-47825,...,-9759
105,私立,技專校院,1060,南開科技大學,580220,74062,-79140,-7257,...,-12335
105,私立,技專校院,1061,中華學校財團法人中華科技大學,-1221,89938,-99707,-13283,...,-23052
