,學年度,學校代碼,學校名稱,"機械儀器
及設備",圖書及博物,無形資產,"土地及
土地改良物",房屋及建築,"其他動產
及不動產",合計
,101,1192,臺灣觀光學院,9749,2238,3146,-,2018,8300,25452
,101,1195,馬偕醫學院,43245,6286,5049,430,680495,13133,748638
,101,1196,法鼓文理學院,1420,4958,38,-,-,-,6416
,101,1197,台北海洋技術學院,15124,1231,7137,30474,426888,8841,489696
,101,1281,康寧醫護暨管理專科學校,11958,2607,7549,-,-,2503,24616
,101,1282,馬偕醫護管理專科學校,12915,5174,7706,-,-,10177,35973
,101,1283,仁德醫護管理專科學校,18314,5025,6920,1980,-,13119,45358
,101,1284,樹人醫護管理專科學校,14699,4578,3081,-,5292,645,28295
,101,1285,慈惠醫護管理專科學校,52650,1951,2110,58586,-,-,115296
,101,1286,耕莘健康管理專科學校,27920,946,6493,-,41886,18212,95458
,101,1287,敏惠醫護管理專科學校,19651,8589,5024,358,15975,23125,72721
,101,1288,高美醫護管理專科學校,9660,729,125,-,-,1305,11819
,101,1289,育英醫護管理專科學校,8200,3153,2612,646,-,13026,27637
,101,1290,崇仁醫護管理專科學校,6174,2357,4576,1900,31557,13784,60348
,101,1291,聖母醫護管理專科學校,16054,1477,3178,49968,-,14317,84993
,101,1292,新生醫護管理專科學校,23754,3163,2910,-,76606,9789,116222
,101,1R02,基督教台灣浸會神學院,35,1375,18,-,-,334,1761
,101,1R03,臺北基督學院,226,69,55,-,-,476,826
,102,1001,東海大學,74904,48887,21110,58980,67856,39587,311324
,102,1002,輔仁大學,217891,69052,21261,11892,45881,9475,375452
,102,1003,東吳大學,62489,47515,10028,32781,18602,32686,204100
,102,1004,中原大學,123616,44908,19701,-,42514,37491,268229
,102,1005,淡江大學,158413,90346,15798,-,236098,3940,504594
,102,1006,中國文化大學,273751,69722,20524,-,54843,46095,464935
,102,1007,逢甲大學,107156,76204,29759,-,4520,30660,248300
,102,1008,靜宜大學,61433,26256,7310,1308,6402,14598,117307
,102,1009,長庚大學,226822,9355,17842,-,5802,19130,278951
,102,1010,元智大學,70459,37463,10532,-,93,2255,120802
,102,1011,中華大學,32747,19101,6534,-,-,7831,66213
,102,1012,大葉大學,78071,28084,10522,4201,58767,764,180409
,102,1013,華梵大學,29251,7719,8226,730,18576,11790,76291
,102,1014,義守大學,97350,34902,13749,-,46412,4183,196596
,102,1015,世新大學,44723,33673,7784,78880,129395,57862,352317
,102,1016,銘傳大學,69762,42537,5282,-,1485,13728,132794
,102,1017,實踐大學,64346,14924,6142,-,5358,8187,98957
,102,1018,朝陽科技大學,88156,17783,13672,2620,-,6908,129138
,102,1019,高雄醫學大學,87261,42338,7699,-,188077,23832,349206
,102,1020,南華大學,31548,23575,10466,306,6676,3744,76316
,102,1021,真理大學,11763,16753,2473,-,37266,8014,76270
,102,1022,大同大學,44775,13441,6104,2310,3584,13254,83467
,102,1023,南臺科技大學,150263,13812,13970,4444,24042,103719,310250
,102,1024,崑山科技大學,108237,17902,27556,-,305733,7913,467342
,102,1025,嘉南藥理大學,62638,22081,9951,19118,369337,28064,511188
,102,1026,樹德科技大學,5815,11778,9329,-,12615,63913,103449
,102,1027,慈濟大學,54277,22805,3268,14902,3973,8744,107968
,102,1028,臺北醫學大學,119871,50447,22749,769,43847,4124,241807
,102,1029,中山醫學大學,38936,5978,3492,1920,24019,7644,81990
,102,1030,龍華科技大學,93687,6193,21727,-,-,1067,122674
,102,1031,輔英科技大學,45914,12742,5935,-,72,2610,67273
,102,1032,明新科技大學,44626,9045,11712,2715,37823,23714,129634
,102,1033,長榮大學,18867,8320,3551,2594,671,10639,44642
,102,1034,弘光科技大學,56337,19889,5978,-,7244,10632,100080
,102,1035,中國醫藥大學,50289,35752,11862,-,10959,8592,117454
,102,1036,健行科技大學,70931,11841,11042,-,69667,17756,181238
,102,1037,正修科技大學,122912,13691,16060,1100,177797,49799,381360
,102,1038,萬能科技大學,39034,6282,5820,-,31686,9424,92246
,102,1039,玄奘大學,42506,7178,4993,3900,80391,4927,143894
,102,1040,建國科技大學,48427,5825,13932,2022,39933,26822,136960
,102,1041,明志科技大學,106125,3089,20986,-,16013,18238,164452
,102,1042,高苑科技大學,43600,7528,6698,543,731,3704,62805
,102,1043,大仁科技大學,55721,9011,6765,12809,1140,9090,94536
,102,1044,聖約翰科技大學,76047,4979,8330,965,10658,6729,107709
,102,1045,嶺東科技大學,50825,13385,4636,800,-,3462,73109
,102,1046,中國科技大學,45652,6833,13370,155,2545,15878,84433
,102,1047,中臺科技大學,30287,11693,5120,-,-,12345,59445
,102,1048,亞洲大學,69630,55246,12517,1099,80989,135792,355272
,102,1049,開南大學,65578,11242,-,-,-,9110,85930
,102,1050,佛光大學,26789,11411,8670,29111,55304,973,132258
,102,1051,台南應用科技大學,60961,11549,14258,602,174181,4748,266299
,102,1052,遠東科技大學,77306,8856,15920,799,82735,11052,196668
,102,1053,元培醫事科技大學,40424,6853,6267,189,37225,16268,107226
,102,1054,景文科技大學,27735,8634,8798,1620,4218,12793,63798
,102,1055,中華醫事科技大學,35601,14621,3841,3761,8719,6224,72767
,102,1056,東南科技大學,51964,4031,6256,-,12215,4268,78734
,102,1057,德明財經科技大學,22765,3976,4097,-,1253,3541,35633
,102,1058,明道大學,21710,4327,3011,1325,4829,9563,44766
,102,1059,康寧大學,8315,861,1785,-,-,1547,12508
