學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,總計,專任教師數一般教師-教授,專任教師數一般教師-副教授,專任教師數一般教師-助理教授,專任教師數一般教師-講師,專任教師數-專案教學人員-教授,專任教師數--專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,私立,技專校院,1078,致理學校財團法人致理科技大學,編制外,30,0,0,0,0,0,1,20,4,0,0,5,0,0
110,私立,一般大學,1079,康寧學校財團法人康寧大學,編制內,77,3,13,27,30,0,0,0,0,0,2,1,0,1
110,私立,一般大學,1079,康寧學校財團法人康寧大學,編制外,35,0,0,0,0,1,1,13,14,0,0,6,0,0
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,編制內,151,7,47,45,40,0,0,0,0,1,1,8,0,2
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,編制外,20,0,0,0,0,0,0,7,8,0,1,4,0,0
110,私立,技專校院,1081,東方學校財團法人東方設計大學,編制內,71,5,26,19,8,0,0,0,0,0,4,2,1,6
110,私立,技專校院,1081,東方學校財團法人東方設計大學,編制外,4,0,0,0,0,0,0,0,2,0,0,1,1,0
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,編制內,34,1,14,8,4,0,0,0,0,2,4,1,0,0
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,編制外,28,0,0,0,0,0,0,3,5,1,5,8,6,0
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,編制內,106,6,30,38,14,0,0,0,0,0,3,9,0,6
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,編制外,30,0,0,0,0,0,3,9,3,0,2,10,3,0
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,編制內,130,20,57,35,14,0,0,0,0,0,1,3,0,0
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,編制外,13,0,0,0,0,0,0,6,0,0,0,1,1,5
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,編制內,25,8,4,4,3,0,0,0,0,4,1,0,0,1
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,編制外,41,0,0,0,0,7,2,19,8,0,2,2,1,0
110,私立,技專校院,1148,大漢技術學院,編制內,32,3,11,10,7,0,0,0,0,0,0,0,0,1
110,私立,技專校院,1148,大漢技術學院,編制外,6,1,0,0,0,0,2,1,0,0,0,0,2,0
110,私立,技專校院,1159,和春技術學院,編制內,22,1,4,6,4,0,0,0,0,1,0,4,1,1
110,私立,技專校院,1159,和春技術學院,編制外,14,0,0,0,0,1,2,1,3,0,3,0,4,0
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,編制內,62,3,16,20,16,0,0,0,0,0,2,2,0,3
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,編制外,19,0,0,0,0,1,1,1,11,1,0,2,2,0
110,私立,技專校院,1182,蘭陽技術學院,編制內,24,0,4,8,11,0,0,0,0,0,0,0,1,0
110,私立,技專校院,1182,蘭陽技術學院,編制外,3,0,0,0,0,0,0,0,0,0,1,2,0,0
110,私立,技專校院,1183,黎明技術學院,編制內,103,7,35,23,31,0,0,0,0,0,3,4,0,0
110,私立,技專校院,1183,黎明技術學院,編制外,53,0,0,0,0,0,4,0,11,0,2,29,4,3
110,私立,技專校院,1185,經國管理暨健康學院,編制內,102,5,30,37,22,0,0,0,0,0,3,4,1,0
110,私立,技專校院,1185,經國管理暨健康學院,編制外,36,0,1,0,0,1,0,8,1,0,0,2,1,22
110,私立,技專校院,1188,大同技術學院,編制內,33,2,9,13,0,0,0,0,0,0,3,2,0,4
110,私立,技專校院,1188,大同技術學院,編制外,13,0,0,0,0,0,0,1,6,0,0,5,1,0
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,編制內,125,21,51,47,6,0,0,0,0,0,0,0,0,0
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,編制外,5,0,0,0,0,0,4,1,0,0,0,0,0,0
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,編制內,23,4,8,10,0,0,0,0,0,0,1,0,0,0
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,編制外,2,0,0,0,0,0,1,1,0,0,0,0,0,0
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,編制內,139,6,8,40,52,0,0,0,0,0,1,6,2,24
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,編制外,8,0,0,0,0,0,0,0,3,0,1,0,2,2
110,私立,技專校院,1283,仁德醫護管理專科學校,編制內,146,1,2,33,85,0,0,0,0,1,0,4,3,17
110,私立,技專校院,1283,仁德醫護管理專科學校,編制外,71,0,0,0,0,0,0,6,31,0,0,0,2,32
110,私立,技專校院,1284,樹人醫護管理專科學校,編制內,163,2,5,50,77,0,0,0,0,0,0,2,1,26
110,私立,技專校院,1284,樹人醫護管理專科學校,編制外,58,0,0,0,0,0,0,3,38,0,0,0,0,17
110,私立,技專校院,1285,慈惠醫護管理專科學校,編制內,89,0,1,24,49,0,0,0,0,1,0,2,3,9
110,私立,技專校院,1285,慈惠醫護管理專科學校,編制外,39,0,0,0,0,0,0,0,3,0,0,0,2,34
110,私立,技專校院,1286,耕莘健康管理專科學校,編制內,109,0,11,28,66,0,0,0,0,0,0,4,0,0
110,私立,技專校院,1286,耕莘健康管理專科學校,編制外,57,0,0,0,0,0,0,3,18,0,0,0,1,35
110,私立,技專校院,1287,敏惠醫護管理專科學校,編制內,79,1,4,14,55,0,0,0,0,0,0,0,0,5
110,私立,技專校院,1287,敏惠醫護管理專科學校,編制外,42,0,0,0,0,0,0,2,20,0,0,0,5,15
110,私立,技專校院,1289,育英醫護管理專科學校,編制內,36,0,2,6,21,0,0,0,0,0,0,0,0,7
110,私立,技專校院,1289,育英醫護管理專科學校,編制外,32,0,0,0,0,0,0,4,9,0,0,0,0,19
110,私立,技專校院,1291,聖母醫護管理專科學校,編制內,77,3,6,12,48,0,0,0,0,0,0,2,1,5
110,私立,技專校院,1291,聖母醫護管理專科學校,編制外,8,0,0,0,0,0,0,0,0,0,0,0,0,8
110,私立,技專校院,1292,新生醫護管理專科學校,編制內,125,0,4,38,71,0,0,0,0,0,0,0,0,12
110,私立,技專校院,1292,新生醫護管理專科學校,編制外,83,0,0,0,0,0,0,1,51,0,0,0,0,31
110,私立,技專校院,1293,崇仁醫護管理專科學校,編制內,89,1,5,16,48,0,0,0,0,0,0,1,1,17
110,私立,技專校院,1293,崇仁醫護管理專科學校,編制外,31,0,0,0,0,0,0,2,19,0,0,0,0,10
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,編制內,11,1,3,7,0,0,0,0,0,0,0,0,0,0
110,私立,宗教研修學院,1R03,臺北基督學院,編制內,6,0,0,4,2,0,0,0,0,0,0,0,0,0
110,私立,宗教研修學院,1R03,臺北基督學院,編制外,2,0,0,0,0,0,0,1,0,0,0,1,0,0
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,編制內,9,0,3,2,0,0,0,0,0,1,0,3,0,0
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,編制外,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,編制內,20,2,2,11,0,0,0,0,0,1,3,1,0,0
110,私立,宗教研修學院,1R06,一貫道崇德學院,編制內,6,0,3,2,0,0,0,0,0,1,0,0,0,0
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,編制內,9,1,4,3,0,0,0,0,0,1,0,0,0,0
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,編制外,1,0,0,0,0,0,0,0,0,0,1,0,0,0
110,私立,宗教研修學院,1R08,中華福音神學研究學院,編制內,15,0,0,11,0,0,0,0,0,2,0,2,0,0
110,私立,宗教研修學院,1R09,唯心聖教學院,編制內,6,0,1,1,0,0,0,0,0,0,3,1,0,0
110,公立,一般大學,3002,臺北市立大學,編制內,322,122,106,73,10,0,0,0,0,0,2,3,0,6
