學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,總計,專任教師數一般教師-教授,專任教師數一般教師-副教授,專任教師數一般教師-助理教授,專任教師數一般教師-講師,專任教師數-專案教學人員-教授,專任教師數--專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,技專校院,0033,國立虎尾科技大學,編制內,333,145,109,67,7,0,0,0,0,0,0,2,0,3
110,公立,技專校院,0033,國立虎尾科技大學,編制外,16,0,0,0,0,0,1,8,6,0,0,1,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制內,97,26,27,35,2,0,0,0,0,3,3,1,0,0
110,公立,一般大學,0035,國立臺南藝術大學,編制外,10,0,0,0,0,1,0,4,1,2,1,1,0,0
110,公立,一般大學,0036,國立臺南大學,編制內,227,113,80,31,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0037,國立臺北教育大學,編制內,239,104,66,63,3,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0037,國立臺北教育大學,編制外,6,0,0,0,0,0,1,2,3,0,0,0,0,0
110,公立,一般大學,0039,國立臺中教育大學,編制內,193,85,65,36,3,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0039,國立臺中教育大學,編制外,11,0,0,0,0,0,0,10,1,0,0,0,0,0
110,公立,技專校院,0042,國立澎湖科技大學,編制內,94,36,32,20,4,0,0,0,0,1,0,0,0,1
110,公立,技專校院,0042,國立澎湖科技大學,編制外,34,0,0,0,0,0,2,26,5,0,1,0,0,0
110,公立,技專校院,0043,國立勤益科技大學,編制內,269,115,94,39,13,0,0,0,0,0,0,0,1,7
110,公立,技專校院,0043,國立勤益科技大學,編制外,45,0,0,0,0,0,1,44,0,0,0,0,0,0
110,公立,一般大學,0044,國立體育大學,編制內,102,38,30,12,5,0,0,0,0,1,5,2,0,9
110,公立,技專校院,0046,國立臺北護理健康大學,編制內,164,43,60,50,8,0,0,0,0,0,0,0,0,3
110,公立,技專校院,0046,國立臺北護理健康大學,編制外,48,0,0,0,0,0,1,17,1,0,0,0,0,29
110,公立,技專校院,0047,國立高雄餐旅大學,編制內,130,26,56,30,3,0,0,0,0,6,1,4,0,4
110,公立,技專校院,0047,國立高雄餐旅大學,編制外,34,1,0,0,0,0,0,15,6,4,1,4,3,0
110,公立,一般大學,0048,國立金門大學,編制內,132,32,76,21,2,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0048,國立金門大學,編制外,16,0,0,0,0,0,1,14,0,0,0,0,1,0
110,公立,一般大學,0049,國立臺灣體育運動大學,編制內,123,25,42,18,6,0,0,0,0,1,3,3,0,25
110,公立,一般大學,0049,國立臺灣體育運動大學,編制外,3,0,0,0,0,0,0,2,1,0,0,0,0,0
110,公立,技專校院,0050,國立臺中科技大學,編制內,366,100,146,95,14,0,0,0,0,0,0,1,0,10
110,公立,技專校院,0050,國立臺中科技大學,編制外,52,0,0,0,0,0,1,25,1,0,0,0,0,25
110,公立,技專校院,0051,國立臺北商業大學,編制內,208,55,86,38,16,0,0,0,0,0,0,0,0,13
110,公立,技專校院,0051,國立臺北商業大學,編制外,12,0,0,0,0,0,0,9,2,0,0,1,0,0
110,公立,一般大學,0052,國立屏東大學,編制內,349,92,142,97,10,0,0,0,0,0,1,0,0,7
110,公立,一般大學,0052,國立屏東大學,編制外,6,0,0,0,0,0,0,5,1,0,0,0,0,0
110,公立,技專校院,0053,國立高雄科技大學,編制內,813,346,282,138,22,0,0,0,0,1,2,2,1,19
110,公立,技專校院,0053,國立高雄科技大學,編制外,47,0,0,0,0,1,5,28,12,0,0,0,1,0
110,公立,技專校院,0144,國立臺灣戲曲學院,編制內,30,3,7,8,1,0,0,0,0,0,6,4,1,0
110,公立,技專校院,0144,國立臺灣戲曲學院,編制外,5,0,1,0,0,0,0,0,0,1,2,1,0,0
110,公立,技專校院,0221,國立臺南護理專科學校,編制內,60,9,21,27,3,0,0,0,0,0,0,0,0,0
110,公立,技專校院,0221,國立臺南護理專科學校,編制外,32,0,0,0,0,0,0,2,2,0,0,0,0,28
110,公立,技專校院,0222,國立臺東專科學校,編制內,59,7,13,26,10,0,0,0,0,0,2,1,0,0
110,公立,技專校院,0222,國立臺東專科學校,編制外,5,0,0,0,0,0,0,4,1,0,0,0,0,0
110,私立,一般大學,1001,東海大學,編制內,516,153,169,151,16,0,0,0,0,0,3,1,0,23
110,私立,一般大學,1001,東海大學,編制外,38,0,0,0,0,9,0,18,11,0,0,0,0,0
110,私立,一般大學,1002,輔仁大學,編制內,635,164,264,151,30,0,0,0,0,1,3,2,1,19
110,私立,一般大學,1002,輔仁大學,編制外,97,0,0,0,0,7,2,72,4,1,2,8,1,0
110,私立,一般大學,1003,東吳大學,編制內,386,126,127,105,26,0,0,0,0,0,0,0,0,2
110,私立,一般大學,1003,東吳大學,編制外,46,0,0,0,0,13,9,24,0,0,0,0,0,0
110,私立,一般大學,1004,中原大學,編制內,468,152,154,129,9,0,0,0,0,1,4,1,0,18
110,私立,一般大學,1004,中原大學,編制外,31,0,0,0,0,4,3,17,6,0,1,0,0,0
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,編制內,683,213,289,134,16,0,0,0,0,0,0,0,0,31
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,編制外,59,0,0,0,0,15,8,35,1,0,0,0,0,0
110,私立,一般大學,1006,中國文化大學,編制內,616,198,262,105,15,0,0,0,0,4,13,7,0,12
110,私立,一般大學,1006,中國文化大學,編制外,77,0,0,0,0,3,3,66,2,1,0,2,0,0
110,私立,一般大學,1007,逢甲大學,編制內,619,197,223,162,11,0,0,0,0,2,2,6,0,16
110,私立,一般大學,1007,逢甲大學,編制外,38,0,0,0,0,6,1,27,4,0,0,0,0,0
110,私立,一般大學,1008,靜宜大學,編制內,316,88,127,84,12,0,0,0,0,0,0,0,0,5
110,私立,一般大學,1008,靜宜大學,編制外,58,0,0,0,0,0,1,39,14,0,3,0,1,0
110,私立,一般大學,1009,長庚大學,編制內,592,218,168,177,23,0,0,0,0,0,0,2,0,4
110,私立,一般大學,1010,元智大學,編制內,287,93,100,84,4,0,0,0,0,0,1,1,0,4
110,私立,一般大學,1010,元智大學,編制外,9,0,0,0,0,1,0,3,4,0,0,1,0,0
110,私立,一般大學,1011,中華大學學校財團法人中華大學,編制內,194,55,73,40,16,0,0,0,0,1,1,4,0,4
110,私立,一般大學,1011,中華大學學校財團法人中華大學,編制外,13,0,0,0,0,2,0,7,1,0,1,2,0,0
110,私立,一般大學,1012,大葉大學,編制內,216,46,85,73,1,0,0,0,0,1,4,2,0,4
110,私立,一般大學,1012,大葉大學,編制外,69,0,0,0,0,2,1,19,33,0,0,14,0,0
110,私立,一般大學,1013,華梵大學,編制內,61,15,19,21,3,0,0,0,0,0,0,1,0,2
110,私立,一般大學,1013,華梵大學,編制外,9,0,0,0,0,3,1,2,3,0,0,0,0,0
110,私立,一般大學,1014,義守大學,編制內,475,135,159,146,25,0,0,0,0,1,2,2,0,5
110,私立,一般大學,1014,義守大學,編制外,57,0,0,0,0,9,6,25,17,0,0,0,0,0
110,私立,一般大學,1015,世新大學,編制內,306,78,105,78,27,0,0,0,0,0,4,8,1,5
110,私立,一般大學,1015,世新大學,編制外,33,0,0,0,0,16,5,3,1,0,0,7,1,0
110,私立,一般大學,1016,銘傳大學,編制內,471,101,221,124,20,0,0,0,0,0,0,2,0,3
110,私立,一般大學,1016,銘傳大學,編制外,85,0,0,0,0,14,1,62,8,0,0,0,0,0
110,私立,一般大學,1017,實踐大學,編制內,250,40,104,81,6,0,0,0,0,1,7,5,0,6
110,私立,一般大學,1017,實踐大學,編制外,74,0,0,0,0,2,6,40,15,0,2,8,1,0
110,私立,技專校院,1018,朝陽科技大學,編制內,339,67,134,111,11,0,0,0,0,0,2,6,0,8
110,私立,技專校院,1018,朝陽科技大學,編制外,51,0,0,0,0,0,2,24,16,2,1,6,0,0
110,私立,一般大學,1019,高雄醫學大學,編制內,515,200,164,135,14,0,0,0,0,0,0,0,0,2
110,私立,一般大學,1019,高雄醫學大學,編制外,20,0,0,0,0,7,1,10,2,0,0,0,0,0
110,私立,一般大學,1020,南華大學,編制內,180,38,74,61,0,0,0,0,0,1,1,5,0,0
110,私立,一般大學,1020,南華大學,編制外,15,0,0,0,0,1,0,7,1,0,0,6,0,0
110,私立,一般大學,1021,真理大學,編制內,222,49,87,65,16,0,0,0,0,0,0,1,0,4
110,私立,一般大學,1021,真理大學,編制外,3,0,0,0,0,0,1,2,0,0,0,0,0,0
110,私立,一般大學,1022,大同大學,編制內,123,47,43,20,12,0,0,0,0,0,0,0,0,1
