學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,14,9,5,6,2,1,0,2,2,0,0,0,1,13,9,4,13,9,4
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,24,18,6,11,3,6,0,1,2,0,0,0,1,23,18,5,23,18,5
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,23,17,6,7,4,7,1,3,1,0,0,0,0,23,17,6,23,17,6
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,8,1,7,1,5,0,2,0,0,0,0,0,0,8,1,7,8,1,7
106,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,12,10,2,6,0,2,0,2,2,0,0,0,0,12,10,2,12,10,2
106,公立,一般大學,0001,國立政治大學,04199Y27,商學院,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,29,22,7,15,3,7,4,0,0,0,0,0,0,29,22,7,29,22,7
106,公立,一般大學,0001,國立政治大學,04212074,法律科際整合研究所,7,3,4,2,3,1,1,0,0,0,0,0,0,7,3,4,7,3,4
106,公立,一般大學,0001,國立政治大學,04299075,法學院,7,6,1,2,0,1,1,3,0,0,0,0,0,7,6,1,7,6,1
106,公立,一般大學,0001,國立政治大學,05331077,應用物理研究所,5,4,1,2,0,1,1,1,0,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,13,11,2,3,1,6,1,2,0,0,0,0,0,13,11,2,13,11,2
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,17,7,10,3,5,3,2,1,2,0,0,0,1,16,7,9,16,7,9
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,24,16,8,8,3,6,2,2,2,0,0,0,1,23,16,7,23,16,7
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,18,17,1,6,0,7,0,4,1,0,0,0,0,18,17,1,18,17,1
106,公立,一般大學,0001,國立政治大學,09121083,神經科學研究所,5,3,2,1,0,1,1,1,1,0,0,0,0,5,3,2,5,3,2
106,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,6,2,4,0,3,1,0,1,1,0,0,0,0,6,2,4,6,2,4
106,公立,一般大學,0001,國立政治大學,99999999,人文中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999999,公共行政及企業管理教育中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999999,教學發展中心,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999Z02,電子計算機中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999Z03,軍訓室,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
106,公立,一般大學,0001,國立政治大學,99999Z05,師資培育中心,4,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,4,0,4
106,公立,一般大學,0001,國立政治大學,99999Z07,體育室,17,12,5,2,0,3,2,1,2,5,1,1,0,10,6,4,16,11,5
106,公立,一般大學,0001,國立政治大學,99999Z08,外文中心,18,2,16,0,1,0,1,0,4,2,10,0,0,6,0,6,18,2,16
106,公立,一般大學,0001,國立政治大學,99999Z08,華語文教學中心,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,18,12,6,8,2,4,3,0,1,0,0,0,0,18,12,6,18,12,6
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,11,3,8,0,2,2,5,1,1,0,0,0,0,11,3,8,11,3,8
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,14,1,13,0,3,1,5,0,5,0,0,0,0,14,1,13,14,1,13
106,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,7,4,3,1,1,2,1,1,1,0,0,0,0,7,4,3,7,4,3
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,9,1,8,0,0,1,8,0,0,0,0,0,0,9,1,8,9,1,8
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,13,12,1,7,1,4,0,1,0,0,0,0,0,13,12,1,13,12,1
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,14,8,6,3,2,3,0,2,4,0,0,0,0,14,8,6,14,8,6
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,11,3,8,0,4,3,3,0,1,0,0,0,0,11,3,8,11,3,8
106,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,8,3,5,1,0,2,5,0,0,0,0,0,0,8,3,5,8,3,5
106,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,10,5,5,2,1,2,3,1,1,0,0,0,0,10,5,5,10,5,5
106,公立,一般大學,0002,國立清華大學,02231008,哲學研究所,7,5,2,3,0,2,1,0,1,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,8,7,1,2,1,4,0,1,0,0,0,0,0,8,7,1,8,7,1
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,16,4,12,1,3,1,8,2,0,0,1,0,0,15,4,11,16,4,12
106,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,7,2,5,1,2,1,2,0,1,0,0,0,0,7,2,5,7,2,5
106,公立,一般大學,0002,國立清華大學,02321101,臺灣語言研究與教學研究所,6,0,6,0,2,0,4,0,0,0,0,0,0,6,0,6,6,0,6
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,18,11,7,4,3,5,3,2,1,0,0,0,0,18,11,7,18,11,7
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,12,4,8,0,3,2,2,2,3,0,0,0,0,12,4,8,12,4,8
