學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,3,國立臺灣大學,520502,材料科學與工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,620801,農業化學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,621002,森林環境暨資源學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,729909,腦與心智科學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,3,國立臺灣大學,999901,共同教育中心,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,4,國立臺灣師範大學,140315,體育學系,1,0,1,0,1,0,0,0,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,210101,美術學系,2,1,1,0,0,0,0,1,0,0,0,0,1
101,公立,一般大學,4,國立臺灣師範大學,210406,民族音樂研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,4,國立臺灣師範大學,210703,藝術史研究所,3,1,2,0,1,0,0,0,1,0,0,1,0
101,公立,一般大學,4,國立臺灣師範大學,210707,表演藝術研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,4,國立臺灣師範大學,220102,臺灣語文學系,1,0,1,0,0,0,1,0,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,220204,應用華語文學系,2,2,0,0,0,0,0,2,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,220308,英語學系,6,3,3,0,0,0,1,2,1,0,1,1,0
101,公立,一般大學,4,國立臺灣師範大學,220501,翻譯研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,310702,東亞學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,310727,歐洲文化與觀光研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,340301,企業管理學士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,420103,生命科學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,4,國立臺灣師範大學,440201,地球科學系,3,3,0,0,0,0,0,3,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,220301,外國語文學系,5,4,1,1,0,1,1,1,0,0,0,1,0
101,公立,一般大學,5,國立成功大學,230109,創意產業設計研究所,1,0,1,0,0,0,0,0,0,0,0,0,1
101,公立,一般大學,5,國立成功大學,440201,地球科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,440301,物理學系,2,2,0,2,0,0,0,0,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,440306,太空天文與電漿科學研究所,4,4,0,0,0,3,0,0,0,0,0,1,0
101,公立,一般大學,5,國立成功大學,460101,數學系,2,2,0,1,0,0,0,1,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,520201,機械工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,520502,材料科學及工程學系,2,2,0,1,0,0,0,1,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,520513,資源工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,520901,環境工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,720101,醫學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,5,國立成功大學,720305,藥理學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,6,國立中興大學,220201,中國文學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,6,國立中興大學,220301,外國語文學系,4,2,2,0,0,1,0,1,0,0,2,0,0
101,公立,一般大學,6,國立中興大學,340801,行銷學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,6,國立中興大學,640101,獸醫學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,140212,英語教學研究所,4,1,3,0,0,0,0,0,0,0,1,1,2
101,公立,一般大學,7,國立交通大學,210401,音樂研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,220301,外國語文學系,2,2,0,0,0,1,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,340303,經營管理研究所,2,0,2,0,0,0,0,0,1,0,0,0,1
101,公立,一般大學,7,國立交通大學,340306,管理科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,420302,生物科技學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,440102,應用化學系（分子科學）,5,5,0,1,0,1,0,3,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,440301,物理研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,440303,電子物理學系,4,4,0,2,0,1,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,460102,應用數學系,2,2,0,0,0,1,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,520101,電機工程學系,5,5,0,3,0,1,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,520103,電子工程學系,3,3,0,1,0,0,0,2,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,520106,光電工程學系,1,0,1,0,0,0,1,0,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,520114,資訊工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,520301,土木工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,7,國立交通大學,521315,照明與能源光電研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,8,國立中央大學,140111,學習與教學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,140805,網路學習科技研究所,1,0,1,0,0,0,1,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,220201,中國文學系,2,2,0,2,0,0,0,0,0,0,0,0,0
