學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內專任教師支給數額情形-教授-平均支給數額,編制內專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-副教授-平均支給數額,編制內專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-助理教授-平均支給數額,編制內專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-講師-平均支給數額,編制內專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,私立,技專校院,1060,南開科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1061,中華學校財團法人中華科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1062,僑光科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1064,美和學校財團法人美和科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1065,吳鳳科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1066,環球學校財團法人環球科技大學,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1068,中州學校財團法人中州科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1069,修平學校財團法人修平科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,"50,938",51,"43,298",54,"38,060",54,"33,087",57
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1078,致理學校財團法人致理科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1079,康寧學校財團法人康寧大學,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1081,東方學校財團法人東方設計大學,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,"87,794",88,"73,628",91,"64,240",91,"51,680",89
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1148,大漢技術學院,"76,131",76,"70,368",87,"58,935",83,"49,728",86
107,私立,技專校院,1159,和春技術學院,"90,038",90.0,"71,648",89,"59,283",84,"50,167",86
107,私立,技專校院,1166,亞東技術學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,一般大學,1176,稻江科技暨管理學院,"91,127",91,"76,650",95,"67,209",95,"55,047",95
107,私立,技專校院,1182,蘭陽技術學院,"93,610",93,"78,730",98,"69,000",97,"56,595",97
107,私立,技專校院,1183,黎明技術學院,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1185,經國管理暨健康學院,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1188,大同技術學院,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1192,臺灣觀光學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1283,仁德醫護管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1284,樹人醫護管理專科學校,"94,720",94.56,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1285,慈惠醫護管理專科學校,"94,720",94.56,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1286,耕莘健康管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,私立,技專校院,1287,敏惠醫護管理專科學校,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1289,育英醫護管理專科學校,"72,274",72,"61,014",76,"53,530",76,"44,441",76
107,私立,技專校院,1290,崇仁醫護管理專科學校,"92,540",92,"77,800",96,"68,150",96,"52,845",91
107,私立,技專校院,1291,聖母醫護管理專科學校,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,技專校院,1292,新生醫護管理專科學校,"93,610",93,"78,730",98,"69,000",97,"51,120",88
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,宗教研修學院,1R03,臺北基督學院,"86,555",86,"72,905",90.0,"63,950",90.0,"52,685",91
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,"94,720",95,"79,690",99,"69,880",99,"57,355",99
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,"83,285",83,"70,940",88,"63,507",90.0,"44,410",76
107,私立,宗教研修學院,1R06,一貫道崇德學院,"84,720",85,"74,220",92,"65,924",93,"54,240",93
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,"86,580",86,"76,410",95,"66,290",94,"56,175",97
108,私立,一般大學,1001,東海大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1002,輔仁大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1003,東吳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1004,中原大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1006,中國文化大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1007,逢甲大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1008,靜宜大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1009,長庚大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1010,元智大學,"100,165",100,"81,048",100,"71,067",100,"58,289",100
108,私立,一般大學,1011,中華大學學校財團法人中華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1012,大葉大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,一般大學,1013,華梵大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1014,義守大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1015,世新大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1016,銘傳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1017,實踐大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1018,朝陽科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1019,高雄醫學大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1020,南華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1021,真理大學,"92,360",92.21,"77,690",96.31,"68,095",96.21,"55,680",95.78
108,私立,一般大學,1022,大同大學,"84,018",83.88,"67,915",84.19,"61,062",86.27,"42,182",72.56
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1024,崑山科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1026,樹德科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1028,臺北醫學大學,"100,165",100,"80,670",100,"70,684",99.86,"58,135",100
108,私立,一般大學,1029,中山醫學大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1030,龍華科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1031,輔英科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1032,明新學校財團法人明新科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,一般大學,1033,長榮大學,"96,541",96.38,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1034,弘光科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1035,中國醫藥大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1036,健行學校財團法人健行科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1037,正修學校財團法人正修科技大學,"92,540",92.39,"77,800",96.44,"68,150",96.28,"55,865",96.10
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,"93,546",93.39,"78,602",97.44,"68,852",97.28,"54,986",94.58
108,私立,一般大學,1039,玄奘大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1040,建國科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1041,明志科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1042,高苑科技大學,"92,540",92.39,"77,800",96.44,"68,150",96.28,"55,865",96.10
108,私立,技專校院,1043,大仁科技大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1044,聖約翰科技大學,"94,720",94.56,"78,415",97.20,"67,300",95.08,"47,935",82.45
108,私立,技專校院,1045,嶺東科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1046,中國科技大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1047,中臺科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1048,亞洲大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1049,開南大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1050,佛光大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,"95,210",95.05,"80,059",99.24,"70,160",99.12,"57,507",98.92
108,私立,技專校院,1052,遠東科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1054,景文科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1055,中華醫事科技大學,"93,610",93.46,"78,730",97.60,"68,528",96.82,"56,595",97.35
108,私立,技專校院,1056,東南科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1057,德明財經科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1058,明道學校財團法人明道大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1060,南開科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1061,中華學校財團法人中華科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1062,僑光科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1064,美和學校財團法人美和科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1065,吳鳳科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1066,環球學校財團法人環球科技大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1068,中州學校財團法人中州科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1069,修平學校財團法人修平科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,"52,249",52.16,"43,686",54.15,"38,416",54.28,"32,595",56.07
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1078,致理學校財團法人致理科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1079,康寧學校財團法人康寧大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
