學年度,設立別,學校類別,學校統計處代碼,學校名稱,身分類別,學術主管不符合聘任資格且未改善之單位名稱,備註
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,社會工作學士學位學程,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,金融管理系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,流行設計系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,資訊工程系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,電腦與通訊系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,餐旅與烘焙管理系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,應用外語系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,藝術管理與藝術經紀系,
107,私立,技專校院,1026,樹德科技大學,學術(學院)主管,設計學院,
107,私立,技專校院,1026,樹德科技大學,學術(學院)主管,資訊學院,
107,私立,技專校院,1026,樹德科技大學,學術(學院)主管,管理學院,
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學術(學院)主管,人文社會學院,
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,學術(學院)主管,國際暨跨領域學院,
107,私立,技專校院,1030,龍華科技大學,學術(系、所、學位學程)主管,文化創意與數位媒體設計系,
107,私立,技專校院,1030,龍華科技大學,學術(系、所、學位學程)主管,多媒體與遊戲發展科學系,
107,私立,技專校院,1030,龍華科技大學,學術(系、所、學位學程)主管,資訊管理(學)系,
107,私立,技專校院,1030,龍華科技大學,學術(系、所、學位學程)主管,電機工程(學)系,
107,私立,技專校院,1030,龍華科技大學,學術(學院)主管,管理學院,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,助產與婦嬰健康照護系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,高齡及長期照護事業系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,健康事業管理系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,健康美容系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,應用外語系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,醫學檢驗生物技術系,
107,私立,技專校院,1031,輔英科技大學,學術(系、所、學位學程)主管,護理系,
107,私立,技專校院,1031,輔英科技大學,學術(學院)主管,人文與管理學院,
107,私立,技專校院,1031,輔英科技大學,學術(學院)主管,護理學院,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,(嬰)幼兒保育系,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,工業工程與(工程)管理系,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,文化觀光產業學士學位學程,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,休閒事業管理系,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,雲端科技與商務應用學士學位學程,
107,私立,技專校院,1032,明新學校財團法人明新科技大學,學術(系、所、學位學程)主管,資訊管理(學)系,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,日語進修學士學位學程,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,東南亞文化與產業學士學位學程,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,保健營養學系,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,智慧生活應用學士學位學程,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,管理學士學位學程,
107,私立,一般大學,1033,長榮大學,學術(系、所、學位學程)主管,數位內容設計學系,
107,私立,一般大學,1033,長榮大學,學術(學院)主管,環境教育國際實驗學院,
107,私立,技專校院,1034,弘光科技大學,學術(系、所、學位學程)主管,文化創意產業系,
107,私立,技專校院,1034,弘光科技大學,學術(系、所、學位學程)主管,幼兒保育系,
107,私立,技專校院,1034,弘光科技大學,學術(系、所、學位學程)主管,餐旅管理系,
107,私立,技專校院,1034,弘光科技大學,學術(學院)主管,通識學院,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,工業管理系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,行銷與流通管理系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,財務金融系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,電機工程系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,數位多媒體設計系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,餐旅管理系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(系、所、學位學程)主管,應用空間資訊系,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(學院)主管,民生創意學院,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(學院)主管,商管學院,
107,私立,技專校院,1036,健行學校財團法人健行科技大學,學術(學院)主管,電資學院,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(系、所、學位學程)主管,企業管理系,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(系、所、學位學程)主管,旅館管理系,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(系、所、學位學程)主管,資訊工程系,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(系、所、學位學程)主管,營建科技系,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(學院)主管,設計學院,
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,學術(學院)主管,觀光餐旅暨管理學院,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,大眾傳播學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,法律學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,社會工作學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,視覺傳達設計學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,資訊管理學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,廣播與電視新聞學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,影劇藝術學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,應用心理學系,
107,私立,一般大學,1039,玄奘大學,學術(系、所、學位學程)主管,藝術與創意設計學系,
107,私立,一般大學,1039,玄奘大學,學術(學院)主管,國際餐旅暨管理學院,
107,私立,一般大學,1039,玄奘大學,學術(學院)主管,設計學院,
107,私立,一般大學,1039,玄奘大學,學術(學院)主管,傳播學院,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,土木工程系暨土木與防災研究所,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,商業設計系,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,國際企業管理系,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,資訊與網路通訊系,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,電子工程系所,
107,私立,技專校院,1040,建國科技大學,學術(系、所、學位學程)主管,數位媒體設計系暨媒體與遊戲設計碩士班,
107,私立,技專校院,1040,建國科技大學,學術(學院)主管,工程學院,
107,私立,技專校院,1040,建國科技大學,學術(學院)主管,設計學院,
107,私立,技專校院,1041,明志科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1042,高苑科技大學,學術(學院)主管,規劃與設計學院,
107,私立,技專校院,1043,大仁科技大學,學術(系、所、學位學程)主管,時尚美容應用系,
107,私立,技專校院,1043,大仁科技大學,學術(系、所、學位學程)主管,寵物美容學位學程,
107,私立,技專校院,1043,大仁科技大學,學術(系、所、學位學程)主管,護理學系,
107,私立,技專校院,1043,大仁科技大學,學術(學院)主管,休閒暨餐旅學院,
107,私立,技專校院,1044,聖約翰科技大學,學術(系、所、學位學程)主管,企業管理系,
107,私立,技專校院,1044,聖約翰科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1044,聖約翰科技大學,學術(系、所、學位學程)主管,觀光與休閒管理系,
107,私立,技專校院,1044,聖約翰科技大學,學術(學院)主管,商管學院,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,流行設計系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,資訊網路系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,數位媒體設計系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,應用外語系,
107,私立,技專校院,1045,嶺東科技大學,學術(系、所、學位學程)主管,觀光與休閒管理系,
107,私立,技專校院,1046,中國科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1046,中國科技大學,學術(系、所、學位學程)主管,影視設計系,
107,私立,技專校院,1046,中國科技大學,學術(學院)主管,規劃與設計學院,
107,私立,技專校院,1046,中國科技大學,學術(學院)主管,資訊學院,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,交通運輸學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,行銷學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,法律學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,會計學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,資訊傳播學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,電影與創意媒體學系,
107,私立,一般大學,1049,開南大學,學術(系、所、學位學程)主管,應用英語學系,
107,私立,一般大學,1049,開南大學,學術(學院)主管,人文社會學院,
107,私立,一般大學,1049,開南大學,學術(學院)主管,商學院,
107,私立,一般大學,1050,佛光大學,學術(學院)主管,樂活產業學院,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,幼兒保育系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,企業管理系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,多媒體動畫系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,流行音樂學士學位學程,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,旅館管理系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,財務金融系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,國際企業經營系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,連鎖加盟經營管理學士學位學程,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,運動休閒與健康管理系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,餐旅管理學位學程,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(系、所、學位學程)主管,餐飲系,
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學術(學院)主管,設計學院,
107,私立,技專校院,1052,遠東科技大學,學術(系、所、學位學程)主管,自動化控制系,
107,私立,技專校院,1052,遠東科技大學,學術(系、所、學位學程)主管,流行音樂產業管理系,
107,私立,技專校院,1052,遠東科技大學,學術(系、所、學位學程)主管,旅遊事業管理系,
107,私立,技專校院,1052,遠東科技大學,學術(系、所、學位學程)主管,電機工程系,
107,私立,技專校院,1052,遠東科技大學,學術(系、所、學位學程)主管,數位媒體設計與管理系,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,行動科技應用系,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,網路與數位媒體應用學士學位學程,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,餐飲管理系,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,環境工程衛生系,
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學術(系、所、學位學程)主管,醫學影像暨放射技術系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,行動商務與多媒體應用系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,財務金融(學)系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,國際貿易(學)系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,理財與稅務規劃系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,會議展覽管理學士學位學程,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,資訊工程學系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,餐飲管理學系,
107,私立,技專校院,1054,景文科技大學,學術(系、所、學位學程)主管,環境科技與物業管理系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,化妝品應用與管理系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,長期照顧系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,語言治療系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,調理保健技術系(科),
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,餐旅管理系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,醫務暨健康事業管理系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,醫學檢驗生物技術系,
107,私立,技專校院,1055,中華醫事科技大學,學術(系、所、學位學程)主管,寵物美容學士學位學程,
107,私立,技專校院,1056,東南科技大學,學術(系、所、學位學程)主管,企業管理(學)系,
107,私立,技專校院,1056,東南科技大學,學術(系、所、學位學程)主管,行銷與流通管理系,
107,私立,技專校院,1056,東南科技大學,學術(系、所、學位學程)主管,創意產品設計系,
107,私立,技專校院,1056,東南科技大學,學術(系、所、學位學程)主管,資訊科技系,
107,私立,技專校院,1056,東南科技大學,學術(系、所、學位學程)主管,數位媒體設計系,
107,私立,技專校院,1056,東南科技大學,學術(學院)主管,創新設計學院,
107,私立,技專校院,1057,德明財經科技大學,學術(系、所、學位學程)主管,多媒體設計系,
107,私立,技專校院,1057,德明財經科技大學,學術(系、所、學位學程)主管,國際貿易系,
107,私立,技專校院,1057,德明財經科技大學,學術(學院)主管,財金學院,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,企業管理學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,休閒保健學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,行銷與物流學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,時尚造形學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,財務金融學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,景觀與環境設計學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,資訊傳播學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,精緻農業學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,數位設計學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,餐旅管理學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(系、所、學位學程)主管,應用英語學系,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(學院)主管,人文學院,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(學院)主管,設計學院,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(學院)主管,餐旅觀光學院,
107,私立,一般大學,1058,明道學校財團法人明道大學,學術(學院)主管,應用科學院,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(系、所、學位學程)主管,文創與數位多媒體系,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(系、所、學位學程)主管,生物科技系,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(系、所、學位學程)主管,國際商務與行銷系,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(系、所、學位學程)主管,資訊管理系,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(系、所、學位學程)主管,觀光餐旅系,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(學院)主管,航空學院,
107,私立,技專校院,1061,中華學校財團法人中華科技大學,學術(學院)主管,健康科技學院,
107,私立,技專校院,1062,僑光科技大學,學術(系、所、學位學程)主管,多媒體與遊戲設計系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(系、所、學位學程)主管,幼兒保育系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(系、所、學位學程)主管,休閒事業管理系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(系、所、學位學程)主管,多媒體與遊戲設計系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(系、所、學位學程)主管,應用日語系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(系、所、學位學程)主管,應用英語系,
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學術(學院)主管,人文社會學院,
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學術(系、所、學位學程)主管,生物科技系,
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學術(系、所、學位學程)主管,企業管理系,
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學術(系、所、學位學程)主管,護理系,
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學術(系、所、學位學程)主管,觀光系,
107,私立,技專校院,1064,美和學校財團法人美和科技大學,學術(學院)主管,經營管理學院,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,幼兒保育系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,安全科技與管理系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,長期照護系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,消防系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,應用日語系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,應用遊戲科技系,
107,私立,技專校院,1065,吳鳳科技大學,學術(系、所、學位學程)主管,應用數位媒體系,
107,私立,技專校院,1065,吳鳳科技大學,學術(學院)主管,醫學健康學院,
107,私立,技專校院,1065,吳鳳科技大學,學術(學院)主管,觀光餐旅學院,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,幼兒保育系,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,多媒體動畫設計系,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,視覺傳達設計系,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,資訊與電子商務管理系,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,應用外語系,
107,私立,技專校院,1066,環球學校財團法人環球科技大學,學術(系、所、學位學程)主管,觀光與生態旅遊系,
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學術(學院)主管,旅館管理學院,
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學術(學院)主管,教育與設計學院,
107,私立,技專校院,1068,中州學校財團法人中州科技大學,學術(學院)主管,健康學院,
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,人力資源管理與發展系(含碩士班),
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,行銷與流通管理系,
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,國際企業經營系,
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,資訊網路技術系,
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,數位媒體設計系,
107,私立,技專校院,1069,修平學校財團法人修平科技大學,學術(系、所、學位學程)主管,應用日語系,
