學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別[日間],專業必修實際開設學分數,專業選修實際開設學分數
105,2,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),18,101
105,2,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),33,30
105,2,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),23,62
105,2,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),252,233
105,2,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),42,25
105,2,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),82,60
105,2,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),28,38
105,2,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),41,46
105,2,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),20,13
105,2,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),18,52
105,2,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),31,15
105,2,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),19,42
105,2,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),30,12
105,2,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),24,21
105,2,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),27,6
105,2,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),33,3
105,2,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),47,79
105,2,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),59,36
105,2,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),14,15
105,2,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),18,4
105,2,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),47,19
105,2,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),17,27
105,2,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),23,17
105,2,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),33,33
105,2,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),36,14
105,2,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),31,6
105,2,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),16,11
105,2,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),38,8
105,2,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),19,3
105,2,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),44,94
105,2,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),23,15
105,2,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),26,14
105,2,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),47,2
105,2,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),45,22
105,2,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),17,5
105,2,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),20,24
105,2,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),37,27
105,2,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),31,11
105,2,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),12,11
105,2,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),29,15
105,2,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),24,38
105,2,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),16,3
105,2,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),52,29
105,2,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),56,12
105,2,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),102,0
105,2,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),130,219
105,2,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),45,2
105,2,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),17,3
105,2,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),54,17
105,2,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),56,12
105,2,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),67,22
105,2,公立,一般大學,0003,國立臺灣大學,09161129,藥學系四年制,學士班(日間),8,6
105,2,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),20,28
105,2,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),27,18
105,2,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),32,44
105,2,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),25,48
105,2,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),50,58
105,2,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),11,29
105,2,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),14,35
105,2,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),25,35
105,2,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),56,80
105,2,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,學士班(日間),21,42
105,2,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),36,28
105,2,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,學士班(日間),47,51
105,2,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),21,46
105,2,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),244,87
105,2,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術學士學位學程,學士班(日間),11,22
105,2,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),30,69
105,2,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),109,97
105,2,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,學士班(日間),40,54
105,2,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),14,20
105,2,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),95,113
105,2,公立,一般大學,0004,國立臺灣師範大學,02323030,應用華語文學系,學士班(日間),36,31
105,2,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),26,37
105,2,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),27,51
105,2,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,學士班(日間),12,52
105,2,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),16,55
105,2,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),24,33
105,2,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),23,88
