學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
107,公立,一般大學,0029,國立臺灣藝術大學,02191018,表演藝術學院表演藝術博士班,博士班,7,3,4,29.17
107,公立,一般大學,0029,國立臺灣藝術大學,02192026,藝術管理與文化政策研究所,碩士班(日間),5,0,5,13.51
107,公立,一般大學,0029,國立臺灣藝術大學,02192026,藝術管理與文化政策研究所,博士班,4,2,2,12.90
107,公立,一般大學,0029,國立臺灣藝術大學,02199030,圖文傳播藝術學系,學士班(日間),16,4,12,8.60
107,公立,一般大學,0029,國立臺灣藝術大學,02199030,圖文傳播藝術學系,碩士班(日間),2,1,1,6.90
107,公立,一般大學,0029,國立臺灣藝術大學,03213029,廣播電視學系,學士班(日間),9,4,5,4.64
107,公立,一般大學,0029,國立臺灣藝術大學,03213029,廣播電視學系,碩士班(日間),7,3,4,9.33
107,公立,一般大學,0030,國立臺東大學,01111001,教育學系,學士班(日間),8,3,5,4.28
107,公立,一般大學,0030,國立臺東大學,01111001,教育學系教育研究博士班,博士班,1,1,0,5.88
107,公立,一般大學,0030,國立臺東大學,01113008,特殊教育學系,學士班(日間),6,0,6,3.43
107,公立,一般大學,0030,國立臺東大學,01116005,數位媒體與文教產業學系,學士班(日間),2,0,2,1.40
107,公立,一般大學,0030,國立臺東大學,01121007,幼兒教育學系,學士班(日間),9,2,7,4.76
107,公立,一般大學,0030,國立臺東大學,01141006,體育學系,學士班(日間),7,5,2,3.76
107,公立,一般大學,0030,國立臺東大學,01141006,體育學系,碩士班(日間),1,1,0,4.17
107,公立,一般大學,0030,國立臺東大學,02131009,美術產業學系,學士班(日間),11,6,5,6.04
107,公立,一般大學,0030,國立臺東大學,02151011,音樂學系,學士班(日間),1,0,1,0.67
107,公立,一般大學,0030,國立臺東大學,02151011,音樂學系,碩士班(日間),1,1,0,6.67
107,公立,一般大學,0030,國立臺東大學,02311015,英美語文學系,學士班(日間),1,0,1,0.63
107,公立,一般大學,0030,國立臺東大學,02323013,華語文學系,學士班(日間),8,2,6,4.40
107,公立,一般大學,0030,國立臺東大學,02323013,華語文學系,碩士班(日間),2,1,1,7.14
107,公立,一般大學,0030,國立臺東大學,02399016,兒童文學研究所,碩士班(日間),1,0,1,1.96
107,公立,一般大學,0030,國立臺東大學,02399016,兒童文學研究所,博士班,3,2,1,11.11
107,公立,一般大學,0030,國立臺東大學,05111020,生命科學系,學士班(日間),6,5,1,3.23
107,公立,一般大學,0030,國立臺東大學,05411024,應用數學系,學士班(日間),1,1,0,0.64
107,公立,一般大學,0030,國立臺東大學,06131028,資訊管理學系,學士班(日間),6,6,0,3.26
107,公立,一般大學,0030,國立臺東大學,06131028,資訊管理學系,碩士班(日間),1,0,1,7.14
107,公立,一般大學,0030,國立臺東大學,10151031,文化資源與休閒產業學系,學士班(日間),4,0,4,1.96
107,公立,一般大學,0030,國立臺東大學,10151031,文化資源與休閒產業學系,碩士班(日間),1,0,1,4.55
107,公立,一般大學,0030,國立臺東大學,10152035,身心整合與運動休閒產業學系,學士班(日間),2,2,0,1.39
107,公立,一般大學,0031,國立宜蘭大學,02311001,外國語文學系,學士班(日間),12,3,9,6.78
107,公立,一般大學,0031,國立宜蘭大學,02311001,外國語文學系,碩士班(日間),1,0,1,7.69
107,公立,一般大學,0031,國立宜蘭大學,03111007,應用經濟與管理學系,學士班(日間),9,4,5,2.49
107,公立,一般大學,0031,國立宜蘭大學,03111007,應用經濟與管理學系經營管理碩士班,碩士班(日間),1,1,0,4.35
107,公立,一般大學,0031,國立宜蘭大學,07111023,化學工程與材料工程學系,學士班(日間),3,2,1,0.79
107,公立,一般大學,0031,國立宜蘭大學,07121024,環境工程學系,學士班(日間),7,5,2,3.70
107,公立,一般大學,0031,國立宜蘭大學,07121024,環境工程學系,碩士班(日間),1,0,1,3.23
107,公立,一般大學,0031,國立宜蘭大學,07141011,電機工程學系,學士班(日間),1,1,0,0.31
107,公立,一般大學,0031,國立宜蘭大學,07141012,電子工程學系,學士班(日間),2,2,0,0.61
107,公立,一般大學,0031,國立宜蘭大學,07141012,電子工程學系,碩士班(日間),2,2,0,6.25
107,公立,一般大學,0031,國立宜蘭大學,07141013,資訊工程學系,學士班(日間),14,13,1,7.57
107,公立,一般大學,0031,國立宜蘭大學,07141013,資訊工程學系,碩士班(日間),4,4,0,12.50
107,公立,一般大學,0031,國立宜蘭大學,07151017,機械與機電工程學系,學士班(日間),5,5,0,1.39
107,公立,一般大學,0031,國立宜蘭大學,07151017,機械與機電工程學系,碩士班(日間),1,1,0,3.85
107,公立,一般大學,0031,國立宜蘭大學,07211033,食品科學系,學士班(日間),18,7,11,4.72
107,公立,一般大學,0031,國立宜蘭大學,07211033,食品科學系,碩士班(日間),1,1,0,2.13
107,公立,一般大學,0031,國立宜蘭大學,07311027,建築與永續規劃研究所,碩士班(日間),1,0,1,2.22
107,公立,一般大學,0031,國立宜蘭大學,07321021,土木工程學系,學士班(日間),21,21,0,5.29
107,公立,一般大學,0031,國立宜蘭大學,08112030,生物技術與動物科學系,學士班(日間),23,14,9,5.91
107,公立,一般大學,0031,國立宜蘭大學,08112030,生物技術與動物科學系,博士班,1,0,1,9.09
107,公立,一般大學,0031,國立宜蘭大學,08121031,園藝學系,學士班(日間),12,8,4,5.22
107,公立,一般大學,0031,國立宜蘭大學,08211036,森林暨自然資源學系,學士班(日間),14,9,5,6.57
107,公立,一般大學,0031,國立宜蘭大學,10152038,休閒產業與健康促進學系,學士班(日間),7,4,3,3.48
107,公立,一般大學,0032,國立聯合大學,02122005,文化創意與數位行銷學系,學士班(日間),1,0,1,0.56
107,公立,一般大學,0032,國立聯合大學,02123006,工業設計學系,學士班(日間),11,5,6,6.92
107,公立,一般大學,0032,國立聯合大學,02321001,臺灣語文與傳播學系,學士班(日間),8,6,2,4.73
107,公立,一般大學,0032,國立聯合大學,02323002,華語文學系,學士班(日間),3,0,3,1.49
107,公立,一般大學,0032,國立聯合大學,04121014,財務金融學系,學士班(日間),4,3,1,2.05
107,公立,一般大學,0032,國立聯合大學,04131011,經營管理學系,學士班(日間),21,7,14,3.60
107,公立,一般大學,0032,國立聯合大學,06131016,資訊管理學系,學士班(日間),11,9,2,3.37
107,公立,一般大學,0032,國立聯合大學,06131020,資訊工程學系,學士班(日間),4,4,0,2.55
107,公立,一般大學,0032,國立聯合大學,07111028,化學工程學系,學士班(日間),3,3,0,0.89
107,公立,一般大學,0032,國立聯合大學,07112029,材料科學工程學系,學士班(日間),1,0,1,0.57
107,公立,一般大學,0032,國立聯合大學,07121034,環境與安全衛生工程學系,學士班(日間),2,0,2,0.57
107,公立,一般大學,0032,國立聯合大學,07132035,能源工程學系,學士班(日間),2,2,0,1.44
107,公立,一般大學,0032,國立聯合大學,07132035,能源工程學系,碩士班(日間),4,4,0,17.39
107,公立,一般大學,0032,國立聯合大學,07141017,電機工程學系,學士班(日間),2,2,0,0.31
107,公立,一般大學,0032,國立聯合大學,07141019,光電工程學系,學士班(日間),1,1,0,0.29
107,公立,一般大學,0032,國立聯合大學,07151025,機械工程學系,學士班(日間),4,4,0,0.59
107,公立,一般大學,0032,國立聯合大學,07311040,建築學系,學士班(日間),6,5,1,2.73
107,公立,一般大學,0032,國立聯合大學,07321027,土木與防災工程學系,學士班(日間),2,2,0,1.03
107,公立,一般大學,0032,國立聯合大學,10151042,文化觀光產業學系,學士班(日間),1,1,0,0.58
107,公立,技專校院,0033,國立虎尾科技大學,02112002,多媒體設計系,學士班(日間),7,6,1,2.34
107,公立,技專校院,0033,國立虎尾科技大學,02112002,多媒體設計系數位內容創意產業碩士班,碩士班(日間),3,1,2,11.54
107,公立,技專校院,0033,國立虎尾科技大學,04121005,財務金融系,學士班(日間),3,2,1,1.32
107,公立,技專校院,0033,國立虎尾科技大學,04121005,財務金融系,碩士班(日間),7,3,4,33.33
107,公立,技專校院,0033,國立虎尾科技大學,04131003,企業管理系,學士班(日間),3,2,1,0.76
107,公立,技專校院,0033,國立虎尾科技大學,04131003,企業管理系經營管理碩士班,碩士班(日間),12,2,10,38.71
107,公立,技專校院,0033,國立虎尾科技大學,05121007,生物科技系,學士班(日間),1,0,1,0.41
107,公立,技專校院,0033,國立虎尾科技大學,05121007,生物科技系,碩士班(日間),3,0,3,8.33
107,公立,技專校院,0033,國立虎尾科技大學,06131008,資訊管理系,學士班(日間),4,4,0,1.92
107,公立,技專校院,0033,國立虎尾科技大學,06131008,資訊管理系,碩士班(日間),12,2,10,29.27
107,公立,技專校院,0033,國立虎尾科技大學,06131013,資訊工程系,學士班(日間),2,2,0,0.47
107,公立,技專校院,0033,國立虎尾科技大學,06131013,資訊工程系,碩士班(日間),6,1,5,11.76
107,公立,技專校院,0033,國立虎尾科技大學,07112025,材料科學與工程系,學士班(日間),1,0,1,0.23
107,公立,技專校院,0033,國立虎尾科技大學,07112025,材料科學與工程系材料科學與綠色能源工程碩士班,碩士班(日間),2,1,1,3.64
107,公立,技專校院,0033,國立虎尾科技大學,07141009,電機工程系,學士班(日間),1,1,0,0.24
107,公立,技專校院,0033,國立虎尾科技大學,07141009,電機工程系,碩士班(日間),2,1,1,2.27
107,公立,技專校院,0033,國立虎尾科技大學,07141010,電子工程系,學士班(日間),4,3,1,1.56
107,公立,技專校院,0033,國立虎尾科技大學,07141010,電子工程系,碩士班(日間),2,1,1,3.85
107,公立,技專校院,0033,國立虎尾科技大學,07141011,光電工程系光電與材料科技博士班,博士班,2,2,0,9.09
107,公立,技專校院,0033,國立虎尾科技大學,07151014,自動化工程系,學士班(日間),5,5,0,1.21
107,公立,技專校院,0033,國立虎尾科技大學,07151014,自動化工程系,碩士班(日間),1,1,0,2.56
107,公立,技專校院,0033,國立虎尾科技大學,07151016,動力機械工程系,學士班(日間),1,1,0,0.24
107,公立,技專校院,0033,國立虎尾科技大學,07151016,動力機械工程系機械與機電工程博士班,博士班,6,5,1,35.29
107,公立,技專校院,0033,國立虎尾科技大學,07151016,動力機械工程系機械與機電工程碩士班,碩士班(日間),7,7,0,13.73
107,公立,技專校院,0033,國立虎尾科技大學,07151019,機械設計工程系,學士班(日間),8,8,0,1.83
107,公立,技專校院,0033,國立虎尾科技大學,07151019,機械設計工程系,碩士班(日間),2,1,1,3.92
107,公立,技專校院,0033,國立虎尾科技大學,07151020,機械與電腦輔助工程系,學士班(日間),6,6,0,1.47
107,公立,技專校院,0033,國立虎尾科技大學,07151020,機械與電腦輔助工程系,碩士班(日間),1,1,0,1.14
107,公立,技專校院,0033,國立虎尾科技大學,07151020,機械與電腦輔助工程系_機電整合國際學生產學合作專班,學士班(日間),16,14,2,94.12
107,公立,技專校院,0033,國立虎尾科技大學,07161017,車輛工程系,學士班(日間),2,2,0,0.55
107,公立,技專校院,0033,國立虎尾科技大學,07162018,飛機工程系,學士班(日間),9,7,2,1.06
107,公立,技專校院,0033,國立虎尾科技大學,07162018,飛機工程系航空與電子科技碩士班,碩士班(日間),2,1,1,4.76
107,公立,技專校院,0033,國立虎尾科技大學,07162033,航空維修學士學位學程,學士班(日間),1,1,0,6.67
107,公立,技專校院,0033,國立虎尾科技大學,07191006,工業管理系,學士班(日間),2,2,0,0.52
107,公立,技專校院,0033,國立虎尾科技大學,07191006,工業管理系工業工程與管理碩士班,碩士班(日間),16,3,13,35.56
107,公立,技專校院,0033,國立虎尾科技大學,10199030,休閒遊憩系,學士班(日間),1,1,0,0.51
107,公立,一般大學,0035,國立臺南藝術大學,02111010,音像紀錄與影像維護研究所,碩士班(日間),2,2,0,5.41
107,公立,一般大學,0035,國立臺南藝術大學,02111013,動畫藝術與影像美學研究所,碩士班(日間),1,1,0,1.19
107,公立,一般大學,0035,國立臺南藝術大學,02131012,造形藝術研究所,碩士班(日間),5,2,3,9.80
107,公立,一般大學,0035,國立臺南藝術大學,02131016,藝術創作理論研究所,博士班,2,0,2,5.41
107,公立,一般大學,0035,國立臺南藝術大學,02141017,應用藝術研究所,碩士班(日間),7,1,6,11.29
107,公立,一般大學,0035,國立臺南藝術大學,02141020,材質創作與設計系,學士班(日間),6,1,5,2.87
107,公立,一般大學,0035,國立臺南藝術大學,02151003,應用音樂學系,學士班(日間),21,13,8,10.77
107,公立,一般大學,0035,國立臺南藝術大學,02151004,民族音樂學研究所,碩士班(日間),2,0,2,6.45
107,公立,一般大學,0035,國立臺南藝術大學,02191014,藝術史學系,學士班(日間),3,1,2,1.55
107,公立,一般大學,0035,國立臺南藝術大學,02192022,博物館學與古物維護研究所,碩士班(日間),4,0,4,3.67
107,公立,一般大學,0036,國立臺南大學,01111001,教育學系,學士班(日間),5,2,3,1.47
107,公立,一般大學,0036,國立臺南大學,01111001,教育學系教育經營與管理博士班,博士班,4,1,3,5.71
107,公立,一般大學,0036,國立臺南大學,01111001,教育學系課程與教學博士班,博士班,3,1,2,9.38
107,公立,一般大學,0036,國立臺南大學,01111001,教育學系課程與教學碩士班,碩士班(日間),1,1,0,1.85
107,公立,一般大學,0036,國立臺南大學,01113019,特殊教育學系,學士班(日間),8,0,8,4.28
107,公立,一般大學,0036,國立臺南大學,01113019,特殊教育學系,博士班,2,1,1,8.00
107,公立,一般大學,0036,國立臺南大學,01121018,幼兒教育學系,學士班(日間),13,1,12,7.26
107,公立,一般大學,0036,國立臺南大學,02111030,視覺藝術與設計學系,學士班(日間),7,3,4,4.05
107,公立,一般大學,0036,國立臺南大學,02111030,視覺藝術與設計學系,碩士班(日間),3,1,2,6.00
107,公立,一般大學,0036,國立臺南大學,02151027,音樂學系,學士班(日間),5,4,1,2.73
107,公立,一般大學,0036,國立臺南大學,02151027,音樂學系,碩士班(日間),2,2,0,3.33
107,公立,一般大學,0036,國立臺南大學,02152029,戲劇創作與應用學系,學士班(日間),4,1,3,2.45
107,公立,一般大學,0036,國立臺南大學,02152029,戲劇創作與應用學系,碩士班(日間),4,1,3,8.70
107,公立,一般大學,0036,國立臺南大學,02311032,英語學系,學士班(日間),7,0,7,3.65
107,公立,一般大學,0036,國立臺南大學,02322031,國語文學系,學士班(日間),9,3,6,2.94
107,公立,一般大學,0036,國立臺南大學,02322031,國語文學系,碩士班(日間),1,0,1,5.56
107,公立,一般大學,0036,國立臺南大學,03131036,諮商與輔導學系,學士班(日間),9,3,6,5.00
107,公立,一般大學,0036,國立臺南大學,03143037,文化與自然資源學系,學士班(日間),3,3,0,1.81
107,公立,一般大學,0036,國立臺南大學,03143037,文化與自然資源學系臺灣文化碩士班,碩士班(日間),2,1,1,7.69
107,公立,一般大學,0036,國立臺南大學,04131041,經營與管理學系,學士班(日間),11,7,4,6.83
107,公立,一般大學,0036,國立臺南大學,04134040,行政管理學系,學士班(日間),9,4,5,5.33
107,公立,一般大學,0036,國立臺南大學,05121044,生物科技學系,學士班(日間),3,1,2,1.82
107,公立,一般大學,0036,國立臺南大學,05212063,生態暨環境資源學系,學士班(日間),2,2,0,1.50
107,公立,一般大學,0036,國立臺南大學,05411047,應用數學系,碩士班(日間),1,0,1,5.56
107,公立,一般大學,0036,國立臺南大學,06131052,資訊工程學系,學士班(日間),10,8,2,6.02
107,公立,一般大學,0036,國立臺南大學,06134024,數位學習科技學系,學士班(日間),1,1,0,0.59
107,公立,一般大學,0036,國立臺南大學,06134024,數位學習科技學系,碩士班(日間),1,1,0,3.85
107,公立,一般大學,0036,國立臺南大學,07112055,材料科學系,學士班(日間),1,1,0,0.62
107,公立,一般大學,0036,國立臺南大學,07132058,綠色能源科技學系,學士班(日間),1,1,0,0.60
107,公立,一般大學,0036,國立臺南大學,07132058,綠色能源科技學系,碩士班(日間),1,1,0,3.33
107,公立,一般大學,0036,國立臺南大學,07141049,電機工程學系,博士班,1,0,1,8.33
107,公立,一般大學,0036,國立臺南大學,07151054,機電系統工程研究所,碩士班(日間),4,3,1,15.38
107,公立,一般大學,0037,國立臺北教育大學,01111001,教育學系生命教育碩士班,碩士班(日間),1,0,1,3.13
107,公立,一般大學,0037,國立臺北教育大學,01113003,特殊教育學系,學士班(日間),10,0,10,5.41
107,公立,一般大學,0037,國立臺北教育大學,01113003,特殊教育學系,碩士班(日間),2,0,2,4.35
107,公立,一般大學,0037,國立臺北教育大學,01114044,教育經營與管理學系,學士班(日間),18,5,13,9.63
107,公立,一般大學,0037,國立臺北教育大學,01114044,教育經營與管理學系教育政策與管理博士班,博士班,5,3,2,6.33
107,公立,一般大學,0037,國立臺北教育大學,01114044,教育經營與管理學系教育政策與管理碩士班,碩士班(日間),2,1,1,2.53
107,公立,一般大學,0037,國立臺北教育大學,01115020,課程與教學傳播科技研究所,博士班,1,0,1,2.86
107,公立,一般大學,0037,國立臺北教育大學,01115020,課程與教學傳播科技研究所課程與教學碩士班,碩士班(日間),1,1,0,1.61
107,公立,一般大學,0037,國立臺北教育大學,01115047,學習與教學國際碩士學位學程,碩士班(日間),8,2,6,100.00
107,公立,一般大學,0037,國立臺北教育大學,01121035,幼兒與家庭教育學系,學士班(日間),13,2,11,7.14
107,公立,一般大學,0037,國立臺北教育大學,01121035,幼兒與家庭教育學系,碩士班(日間),4,0,4,5.06
107,公立,一般大學,0037,國立臺北教育大學,01131001,教育學系,學士班(日間),18,4,14,9.05
107,公立,一般大學,0037,國立臺北教育大學,01141002,體育學系,學士班(日間),5,4,1,2.09
107,公立,一般大學,0037,國立臺北教育大學,01141002,體育學系,碩士班(日間),1,1,0,1.49
107,公立,一般大學,0037,國立臺北教育大學,02121014,藝術與造形設計學系,學士班(日間),20,11,9,5.62
107,公立,一般大學,0037,國立臺北教育大學,02121014,藝術與造形設計學系,碩士班(日間),5,1,4,6.10
107,公立,一般大學,0037,國立臺北教育大學,02121014,藝術與造形設計學系藝術跨域整合博士班,博士班,1,0,1,8.33
107,公立,一般大學,0037,國立臺北教育大學,02121028,文化創意產業經營學系,學士班(日間),11,3,8,5.73
107,公立,一般大學,0037,國立臺北教育大學,02121028,文化創意產業經營學系,碩士班(日間),3,1,2,6.98
107,公立,一般大學,0037,國立臺北教育大學,02122011,數位科技設計學系,學士班(日間),6,3,3,3.49
107,公立,一般大學,0037,國立臺北教育大學,02151031,音樂學系,學士班(日間),11,8,3,6.15
107,公立,一般大學,0037,國立臺北教育大學,02151031,音樂學系,碩士班(日間),3,1,2,3.75
107,公立,一般大學,0037,國立臺北教育大學,02192027,當代藝術評論與策展研究全英語碩士學位學程,碩士班(日間),18,6,12,90.00
107,公立,一般大學,0037,國立臺北教育大學,02322018,語文與創作學系,學士班(日間),22,5,17,6.01
107,公立,一般大學,0037,國立臺北教育大學,02322018,語文與創作學系,碩士班(日間),4,1,3,7.55
107,公立,一般大學,0037,國立臺北教育大學,03131007,心理與諮商學系,學士班(日間),11,3,8,5.76
107,公立,一般大學,0037,國立臺北教育大學,03131007,心理與諮商學系,碩士班(日間),4,1,3,3.96
107,公立,一般大學,0037,國立臺北教育大學,03143005,社會與區域發展學系,學士班(日間),18,6,12,8.18
107,公立,一般大學,0037,國立臺北教育大學,03143005,社會與區域發展學系,碩士班(日間),2,1,1,3.45
107,公立,一般大學,0037,國立臺北教育大學,04131048,東南亞區域管理碩士學位學程,碩士班(日間),10,0,10,100.00
107,公立,一般大學,0037,國立臺北教育大學,05399040,自然科學教育學系,學士班(日間),2,1,1,1.01
107,公立,一般大學,0037,國立臺北教育大學,05399040,自然科學教育學系,碩士班(日間),1,0,1,2.17
107,公立,一般大學,0037,國立臺北教育大學,06131004,資訊科學系,學士班(日間),4,3,1,2.53
107,公立,一般大學,0039,國立臺中教育大學,01111001,教育學系,學士班(日間),8,1,7,4.76
107,公立,一般大學,0039,國立臺中教育大學,01111001,教育學系,碩士班(日間),2,0,2,5.71
107,公立,一般大學,0039,國立臺中教育大學,01111001,教育學系,博士班,3,1,2,5.88
107,公立,一般大學,0039,國立臺中教育大學,01113022,特殊教育學系,學士班(日間),12,1,11,5.91
107,公立,一般大學,0039,國立臺中教育大學,01114025,高等教育經營管理碩士學位學程,碩士班(日間),1,1,0,4.76
107,公立,一般大學,0039,國立臺中教育大學,01121021,幼兒教育學系,學士班(日間),34,1,33,16.19
107,公立,一般大學,0039,國立臺中教育大學,01121021,幼兒教育學系,碩士班(日間),2,0,2,5.88
107,公立,一般大學,0039,國立臺中教育大學,01131006,語文教育學系,學士班(日間),11,2,9,5.39
107,公立,一般大學,0039,國立臺中教育大學,01131006,語文教育學系,碩士班(日間),9,1,8,26.47
107,公立,一般大學,0039,國立臺中教育大學,01131006,語文教育學系,博士班,3,1,2,9.38
107,公立,一般大學,0039,國立臺中教育大學,01131006,語文教育學系華語文教學碩士班,碩士班(日間),1,0,1,2.44
107,公立,一般大學,0039,國立臺中教育大學,01131008,科學教育與應用學系,學士班(日間),1,0,1,0.60
107,公立,一般大學,0039,國立臺中教育大學,01131011,數學教育學系,學士班(日間),8,2,6,4.28
107,公立,一般大學,0039,國立臺中教育大學,01131011,數學教育學系,碩士班(日間),2,1,1,7.69
107,公立,一般大學,0039,國立臺中教育大學,01131019,體育學系,學士班(日間),14,13,1,6.90
107,公立,一般大學,0039,國立臺中教育大學,02122034,文化創意產業設計與營運學系,學士班(日間),10,4,6,5.49
107,公立,一般大學,0039,國立臺中教育大學,02131029,美術學系,學士班(日間),11,5,6,5.95
107,公立,一般大學,0039,國立臺中教育大學,02131029,美術學系,碩士班(日間),1,1,0,2.17
107,公立,一般大學,0039,國立臺中教育大學,02151030,音樂學系,學士班(日間),18,6,12,10.23
107,公立,一般大學,0039,國立臺中教育大學,02151030,音樂學系,碩士班(日間),1,0,1,3.33
107,公立,一般大學,0039,國立臺中教育大學,02311032,英語學系,學士班(日間),4,0,4,1.92
107,公立,一般大學,0039,國立臺中教育大學,03131035,諮商與應用心理學系,學士班(日間),13,8,5,6.91
107,公立,一般大學,0039,國立臺中教育大學,03199037,區域與社會發展學系,學士班(日間),7,2,5,3.61
107,公立,一般大學,0039,國立臺中教育大學,03199037,區域與社會發展學系,碩士班(日間),1,0,1,4.17
107,公立,一般大學,0039,國立臺中教育大學,04131034,文化創意產業設計與營運學系事業經營管理碩士班,碩士班(日間),1,1,0,2.70
107,公立,一般大學,0039,國立臺中教育大學,04131039,國際企業學系,學士班(日間),61,27,34,25.63
107,公立,一般大學,0039,國立臺中教育大學,04131040,管理學院國際經營管理碩士學位學程,碩士班(日間),23,9,14,88.46
107,公立,一般大學,0039,國立臺中教育大學,06131042,資訊工程學系,學士班(日間),1,1,0,0.52
107,公立,一般大學,0039,國立臺中教育大學,06131042,資訊工程學系,碩士班(日間),1,1,0,2.56
107,公立,一般大學,0039,國立臺中教育大學,10151045,永續觀光暨遊憩管理碩士學位學程,碩士班(日間),1,1,0,2.86
107,公立,技專校院,0042,國立澎湖科技大學,02311001,應用外語系,學士班(日間),4,4,0,2.74
107,公立,技專校院,0042,國立澎湖科技大學,04132002,行銷與物流管理系,學士班(日間),4,4,0,2.05
107,公立,技專校院,0042,國立澎湖科技大學,06131004,資訊管理系,學士班(日間),1,0,1,0.51
107,公立,技專校院,0042,國立澎湖科技大學,07141007,資訊工程系,學士班(日間),2,1,1,0.98
107,公立,技專校院,0042,國立澎湖科技大學,10131014,餐旅管理系,學士班(日間),13,8,5,5.88
107,公立,技專校院,0042,國立澎湖科技大學,10151016,觀光休閒系,學士班(日間),10,5,5,2.44
107,公立,技專校院,0042,國立澎湖科技大學,10151016,觀光休閒系,碩士班(日間),2,1,1,10.00
107,公立,技專校院,0042,國立澎湖科技大學,10152022,海洋遊憩系,學士班(日間),4,4,0,2.13
107,公立,技專校院,0042,國立澎湖科技大學,10412025,航運管理系,學士班(日間),5,3,2,2.25
107,公立,技專校院,0043,國立勤益科技大學,02299005,文化創意事業系,學士班(日間),3,1,2,1.41
107,公立,技專校院,0043,國立勤益科技大學,02299005,文化創意事業系,碩士班(日間),1,1,0,10.00
107,公立,技專校院,0043,國立勤益科技大學,02311001,應用英語系,學士班(日間),5,2,3,2.22
107,公立,技專校院,0043,國立勤益科技大學,04131002,企業管理系,學士班(日間),11,6,5,2.44
107,公立,技專校院,0043,國立勤益科技大學,04131002,企業管理系,碩士班(日間),29,9,20,69.05
107,公立,技專校院,0043,國立勤益科技大學,04132003,流通管理系,學士班(日間),6,4,2,1.45
107,公立,技專校院,0043,國立勤益科技大學,04132003,流通管理系,碩士班(日間),1,1,0,5.00
107,公立,技專校院,0043,國立勤益科技大學,04199032,休閒產業管理系專案管理碩士班,碩士班(日間),1,1,0,7.69
107,公立,技專校院,0043,國立勤益科技大學,04199033,管理學院_管理與資訊國際學生產學合作專班,學士班(日間),2,0,2,100.00
107,公立,技專校院,0043,國立勤益科技大學,06131010,資訊管理系,學士班(日間),1,1,0,0.26
107,公立,技專校院,0043,國立勤益科技大學,06131010,資訊管理系,碩士班(日間),2,2,0,22.22
107,公立,技專校院,0043,國立勤益科技大學,06131013,資訊工程系,學士班(日間),13,13,0,2.30
107,公立,技專校院,0043,國立勤益科技大學,06131013,資訊工程系,碩士班(日間),4,4,0,9.09
107,公立,技專校院,0043,國立勤益科技大學,06131013,資訊工程系_資通訊國際學生產學合作專班,學士班(日間),20,10,10,100.00
107,公立,技專校院,0043,國立勤益科技大學,07111020,化工與材料工程系,學士班(日間),1,1,0,0.17
107,公立,技專校院,0043,國立勤益科技大學,07111020,化工與材料工程系,碩士班(日間),2,1,1,6.90
107,公立,技專校院,0043,國立勤益科技大學,07132026,冷凍空調與能源系,學士班(日間),3,3,0,0.60
107,公立,技專校院,0043,國立勤益科技大學,07132026,冷凍空調與能源系,碩士班(日間),11,10,1,20.37
107,公立,技專校院,0043,國立勤益科技大學,07132026,冷凍空調與能源系_機電能源與環境控制國際學生產學合作專班,學士班(日間),22,19,3,100.00
107,公立,技專校院,0043,國立勤益科技大學,07141011,電機工程系,學士班(日間),3,3,0,0.52
107,公立,技專校院,0043,國立勤益科技大學,07141011,電機工程系,碩士班(日間),1,1,0,1.89
107,公立,技專校院,0043,國立勤益科技大學,07141011,電機工程系_電機工程資電國際學生產學合作專班,學士班(日間),38,20,18,95.00
107,公立,技專校院,0043,國立勤益科技大學,07141012,電子工程系,學士班(日間),18,17,1,2.77
107,公立,技專校院,0043,國立勤益科技大學,07141012,電子工程系,碩士班(日間),1,1,0,2.33
107,公立,技專校院,0043,國立勤益科技大學,07151016,機械工程系,學士班(日間),23,22,1,3.18
107,公立,技專校院,0043,國立勤益科技大學,07151016,機械工程系,碩士班(日間),3,3,0,6.67
107,公立,技專校院,0043,國立勤益科技大學,07151016,機械工程系_精密機械國際學生產學合作專班,學士班(日間),42,30,12,100.00
107,公立,技專校院,0043,國立勤益科技大學,07191022,工業工程與管理系,學士班(日間),2,2,0,0.26
107,公立,技專校院,0043,國立勤益科技大學,07194024,精密製造科技研究所,博士班,1,1,0,5.56
107,公立,技專校院,0043,國立勤益科技大學,07312029,景觀系,學士班(日間),1,1,0,0.50
107,公立,技專校院,0043,國立勤益科技大學,07312029,景觀系,碩士班(日間),1,0,1,9.09
107,公立,技專校院,0043,國立勤益科技大學,10151032,休閒產業管理系,學士班(日間),5,1,4,2.23
107,公立,一般大學,0044,國立體育大學,01141001,體育研究所,碩士班(日間),2,1,1,5.00
107,公立,一般大學,0044,國立體育大學,01141001,體育研究所,博士班,11,9,2,15.94
107,公立,一般大學,0044,國立體育大學,10141005,球類運動技術學系,學士班(日間),3,2,1,1.20
107,公立,一般大學,0044,國立體育大學,10141006,陸上運動技術學系,學士班(日間),4,2,2,1.79
107,公立,一般大學,0044,國立體育大學,10141007,技擊運動技術學系,學士班(日間),4,2,2,1.91
107,公立,一般大學,0044,國立體育大學,10141008,競技與教練科學研究所,碩士班(日間),7,5,2,7.53
107,公立,一般大學,0044,國立體育大學,10141008,競技與教練科學研究所,博士班,7,5,2,11.48
