學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數-教師總數,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
109,公立,技專校院,0024,國立屏東科技大學,433,304,129,134,40,83,44,55,31,29,12,3,2,387,272,115,428,301,127
109,公立,技專校院,0025,國立臺北科技大學,459,374,85,184,23,114,32,60,21,8,5,8,4,434,358,76,447,366,81
109,公立,一般大學,0028,國立臺北藝術大學,165,85,80,26,13,23,36,26,17,8,4,2,10,141,75,66,153,83,70
109,公立,一般大學,0029,國立臺灣藝術大學,155,95,60,33,28,34,17,23,11,4,2,1,2,146,90,56,152,94,58
109,公立,一般大學,0030,國立臺東大學,202,139,63,41,13,54,30,35,14,7,4,2,2,187,130,57,198,137,61
109,公立,一般大學,0031,國立宜蘭大學,235,178,57,83,11,56,18,29,16,8,11,2,1,213,168,45,232,176,56
109,公立,一般大學,0032,國立聯合大學,284,215,69,64,13,96,27,43,19,9,9,3,1,262,203,59,280,212,68
109,公立,技專校院,0033,國立虎尾科技大學,347,285,62,120,13,93,23,64,20,6,5,2,1,333,277,56,344,283,61
109,公立,一般大學,0035,國立臺南藝術大學,109,60,49,18,12,17,19,23,17,2,1,0,0,106,58,48,109,60,49
109,公立,一般大學,0036,國立臺南大學,230,133,97,77,36,38,40,17,18,0,0,1,3,226,132,94,226,132,94
109,公立,一般大學,0037,國立臺北教育大學,238,129,109,64,37,19,38,41,29,5,2,0,3,228,124,104,235,129,106
109,公立,一般大學,0039,國立臺中教育大學,203,121,82,56,28,34,30,27,18,2,4,2,2,193,117,76,199,119,80
109,公立,技專校院,0042,國立澎湖科技大學,127,86,41,29,6,25,13,25,18,6,4,1,0,116,79,37,126,85,41
109,公立,技專校院,0043,國立勤益科技大學,315,238,77,90,22,74,25,59,24,10,5,5,1,294,223,71,309,233,76
109,公立,一般大學,0044,國立體育大學,102,67,35,25,8,29,16,3,7,3,2,7,2,88,57,31,93,60,33
109,公立,技專校院,0046,國立臺北護理健康大學,207,53,154,18,21,19,40,14,57,1,8,1,28,169,51,118,178,52,126
109,公立,技專校院,0047,國立高雄餐旅大學,164,109,55,27,10,35,25,40,12,4,7,3,1,149,102,47,160,106,54
109,公立,一般大學,0048,國立金門大學,147,106,41,23,3,55,22,24,16,3,0,1,0,143,102,41,146,105,41
109,公立,一般大學,0049,國立臺灣體育運動大學,124,89,35,17,7,32,13,17,6,5,5,18,4,92,66,26,102,71,31
109,公立,技專校院,0050,國立臺中科技大學,423,178,245,60,41,65,75,46,76,4,20,3,33,363,171,192,387,175,212
109,公立,技專校院,0051,國立臺北商業大學,221,123,98,36,17,43,42,29,20,6,14,9,5,187,108,79,207,114,93
109,公立,一般大學,0052,國立屏東大學,350,214,136,64,28,80,55,59,43,8,6,3,4,329,203,126,343,211,132
109,公立,技專校院,0053,國立高雄科技大學,864,657,207,281,43,230,80,117,53,18,18,11,13,804,628,176,840,646,194
109,公立,技專校院,0144,國立臺灣戲曲學院,32,17,15,2,0,7,6,6,6,2,3,0,0,27,15,12,32,17,15
109,公立,技專校院,0221,國立臺南護理專科學校,92,19,73,5,5,5,12,8,21,0,9,1,26,56,18,38,65,18,47
109,公立,技專校院,0222,國立臺東專科學校,67,46,21,7,1,12,2,22,10,5,8,0,0,54,41,13,67,46,21
109,私立,一般大學,1001,東海大學,561,378,183,128,31,114,55,105,74,15,12,16,11,507,347,160,534,362,172
109,私立,一般大學,1002,輔仁大學,728,403,325,96,64,158,121,118,110,19,23,12,7,667,372,295,709,391,318
109,私立,一般大學,1003,東吳大學,431,251,180,94,49,69,66,73,47,12,17,3,1,398,236,162,427,248,179
109,私立,一般大學,1004,中原大學,496,352,144,134,23,100,63,95,48,7,8,16,2,463,329,134,478,336,142
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,722,454,268,167,46,173,132,82,71,8,9,24,10,671,422,249,688,430,258
109,私立,一般大學,1006,中國文化大學,704,437,267,155,57,169,116,93,82,12,7,8,5,672,417,255,691,429,262
109,私立,一般大學,1007,逢甲大學,664,513,151,167,35,175,52,145,54,12,4,14,6,628,487,141,644,499,145
109,私立,一般大學,1008,靜宜大學,383,228,155,64,27,73,58,71,54,17,14,3,2,347,208,139,378,225,153
109,私立,一般大學,1009,長庚大學,571,390,181,155,53,122,51,97,67,13,9,3,1,545,374,171,567,387,180
109,私立,一般大學,1010,元智大學,301,215,86,80,15,66,38,58,31,7,1,4,1,288,204,84,296,211,85
109,私立,一般大學,1011,中華大學學校財團法人中華大學,216,135,81,45,14,48,28,35,20,5,17,2,2,190,128,62,212,133,79
109,私立,一般大學,1012,大葉大學,292,193,99,41,11,68,37,68,35,10,15,6,1,260,177,83,285,187,98
109,私立,一般大學,1013,華梵大學,76,54,22,16,2,17,8,16,8,4,3,1,1,67,49,18,74,53,21
109,私立,一般大學,1014,義守大學,540,376,164,110,32,131,39,111,68,19,23,5,2,491,352,139,533,371,162
109,私立,一般大學,1015,世新大學,346,205,141,62,25,60,61,57,43,23,8,3,4,308,179,129,339,202,137
109,私立,一般大學,1016,銘傳大學,568,332,236,88,33,117,108,105,80,20,13,2,2,531,310,221,564,330,234
109,私立,一般大學,1017,實踐大學,339,189,150,30,12,67,44,77,73,10,20,5,1,303,174,129,333,184,149
109,私立,技專校院,1018,朝陽科技大學,394,266,128,51,16,87,49,104,49,18,11,6,3,356,242,114,385,260,125
109,私立,一般大學,1019,高雄醫學大學,544,343,201,142,60,106,62,84,70,11,7,0,2,524,332,192,542,343,199
109,私立,一般大學,1020,南華大學,192,124,68,33,6,46,28,44,34,1,0,0,0,191,123,68,192,124,68
109,私立,一般大學,1021,真理大學,233,147,86,37,8,57,39,46,24,5,13,2,2,211,140,71,229,145,84
109,私立,一般大學,1022,大同大學,143,106,37,43,7,33,13,19,11,10,6,1,0,126,95,31,142,105,37
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,559,379,180,86,15,149,59,113,74,23,30,8,2,496,348,148,549,371,178
109,私立,技專校院,1024,崑山科技大學,313,228,85,56,2,86,44,64,32,19,7,3,0,284,206,78,310,225,85
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,391,217,174,44,20,74,58,78,79,16,13,5,4,353,196,157,382,212,170
109,私立,技專校院,1026,樹德科技大學,267,175,92,20,3,63,13,81,66,10,9,1,1,246,164,82,265,174,91
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,238,111,127,27,23,46,52,34,41,4,10,0,1,223,107,116,237,111,126
109,私立,一般大學,1028,臺北醫學大學,669,455,214,146,64,143,77,156,68,10,3,0,2,654,445,209,667,455,212
109,私立,一般大學,1029,中山醫學大學,404,247,157,101,41,71,57,52,45,20,13,3,1,367,224,143,400,244,156
109,私立,技專校院,1030,龍華科技大學,265,197,68,34,5,69,23,77,32,14,7,3,1,240,180,60,261,194,67
109,私立,技專校院,1031,輔英科技大學,323,104,219,17,7,39,48,40,74,5,25,3,65,225,96,129,255,101,154
109,私立,技專校院,1032,明新學校財團法人明新科技大學,323,209,114,29,5,85,38,58,45,32,22,5,4,260,172,88,314,204,110
109,私立,一般大學,1033,長榮大學,323,186,137,35,14,52,51,94,62,4,8,1,2,308,181,127,320,185,135
109,私立,技專校院,1034,弘光科技大學,343,134,209,31,20,47,44,41,86,7,8,8,51,269,119,150,284,126,158
109,私立,一般大學,1035,中國醫藥大學,521,366,155,154,47,108,66,102,41,2,0,0,1,518,364,154,520,366,154
109,私立,技專校院,1036,健行學校財團法人健行科技大學,285,198,87,28,1,75,22,61,46,24,17,10,1,233,164,69,274,188,86
109,私立,技專校院,1037,正修學校財團法人正修科技大學,425,298,127,74,8,106,49,80,41,31,25,7,4,358,260,98,414,291,123
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,251,163,88,15,4,52,22,73,39,23,21,0,2,205,140,65,249,163,86
109,私立,一般大學,1039,玄奘大學,112,67,45,11,3,18,9,31,26,7,7,0,0,98,60,38,112,67,45
109,私立,技專校院,1040,建國科技大學,223,152,71,19,3,63,19,46,28,22,18,2,3,178,128,50,218,150,68
109,私立,技專校院,1041,明志科技大學,199,165,34,44,5,50,9,51,15,17,4,3,1,174,145,29,195,162,33
109,私立,技專校院,1042,高苑科技大學,187,146,41,22,0,56,17,46,11,19,13,3,0,152,124,28,184,143,41
109,私立,技專校院,1043,大仁科技大學,180,105,75,15,2,45,27,21,25,23,20,1,1,135,81,54,178,104,74
109,私立,技專校院,1044,聖約翰科技大學,133,100,33,14,0,42,10,26,14,17,8,1,1,106,82,24,131,99,32
109,私立,技專校院,1045,嶺東科技大學,274,159,115,16,4,59,50,67,42,14,17,3,2,238,142,96,269,156,113
109,私立,技專校院,1046,中國科技大學,248,174,74,7,2,46,24,85,32,33,14,3,2,196,138,58,243,171,72
109,私立,技專校院,1047,中臺科技大學,242,120,122,23,14,46,37,37,46,11,23,3,2,203,106,97,237,117,120
109,私立,一般大學,1048,亞洲大學,394,227,167,70,25,71,39,70,83,15,18,1,2,358,211,147,391,226,165
109,私立,一般大學,1049,開南大學,204,124,80,20,9,52,28,45,37,6,6,1,0,191,117,74,203,123,80
109,私立,一般大學,1050,佛光大學,165,105,60,24,11,41,22,34,21,5,6,1,0,153,99,54,164,104,60
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,328,155,173,19,9,49,60,67,68,17,36,3,0,272,135,137,325,152,173
109,私立,技專校院,1052,遠東科技大學,183,137,46,31,1,43,15,49,17,13,11,1,2,156,123,33,180,136,44
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,184,99,85,13,6,32,19,41,42,11,13,2,5,153,86,67,177,97,80
109,私立,技專校院,1054,景文科技大學,172,95,77,13,4,27,29,37,22,15,19,3,3,132,77,55,166,92,74
109,私立,技專校院,1055,中華醫事科技大學,279,109,170,17,8,33,58,42,42,14,31,3,31,200,92,108,245,106,139
109,私立,技專校院,1056,東南科技大學,170,125,45,14,1,44,13,43,16,24,14,0,1,131,101,30,169,125,44
109,私立,技專校院,1057,德明財經科技大學,224,111,113,7,5,43,31,44,46,17,31,0,0,176,94,82,224,111,113
109,私立,一般大學,1058,明道學校財團法人明道大學,116,75,41,13,1,18,5,39,33,4,2,1,0,109,70,39,115,74,41
109,私立,技專校院,1060,南開科技大學,140,108,32,22,1,47,14,23,13,13,4,3,0,120,92,28,137,105,32
109,私立,技專校院,1061,中華學校財團法人中華科技大學,155,108,47,9,0,34,9,36,21,27,16,2,1,109,79,30,152,106,46
109,私立,技專校院,1062,僑光科技大學,237,147,90,13,1,58,35,55,26,18,26,3,2,188,126,62,232,144,88
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,96,55,41,7,0,15,11,22,20,10,8,1,2,75,44,31,93,54,39
109,私立,技專校院,1064,美和學校財團法人美和科技大學,212,82,130,4,3,33,17,28,37,12,26,5,47,122,65,57,160,77,83
109,私立,技專校院,1065,吳鳳科技大學,145,97,48,7,0,46,10,27,17,15,19,2,2,107,80,27,141,95,46
109,私立,技專校院,1066,環球學校財團法人環球科技大學,137,81,56,9,2,23,11,37,23,11,17,1,3,105,69,36,133,80,53
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,66,44,22,1,0,11,0,27,19,3,2,2,1,58,39,19,63,42,21
109,私立,技專校院,1068,中州學校財團法人中州科技大學,88,56,32,5,1,28,7,18,13,5,11,0,0,72,51,21,88,56,32
109,私立,技專校院,1069,修平學校財團法人修平科技大學,177,133,44,21,1,46,9,44,23,20,8,2,3,144,111,33,172,131,41
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,328,57,271,15,18,22,71,12,69,6,33,2,80,207,49,158,246,55,191
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,251,171,80,10,2,66,19,58,29,30,24,7,6,184,134,50,238,164,74
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,41,29,12,2,0,14,3,6,5,7,4,0,0,30,22,8,41,29,12
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,218,113,105,12,4,35,30,41,28,24,43,1,0,150,88,62,217,112,105
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,267,117,150,15,11,41,52,49,57,11,29,1,1,225,105,120,265,116,149
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,123,90,33,12,0,37,10,22,11,17,9,2,3,92,71,21,118,88,30
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,163,49,114,5,0,16,21,21,41,5,21,2,31,104,42,62,130,47,83
109,私立,技專校院,1078,致理學校財團法人致理科技大學,269,129,140,17,4,44,62,48,51,19,20,1,3,226,109,117,265,128,137
109,私立,一般大學,1079,康寧學校財團法人康寧大學,121,48,73,3,3,3,13,21,26,19,30,2,1,69,27,42,118,46,72
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,181,123,58,7,1,41,13,41,27,32,17,2,0,130,89,41,179,121,58
109,私立,技專校院,1081,東方學校財團法人東方設計大學,95,64,31,6,0,29,10,18,9,6,8,5,4,72,53,19,86,59,27
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,75,43,32,5,0,16,14,17,5,4,13,1,0,57,38,19,74,42,32
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,143,80,63,5,1,18,20,42,30,11,9,4,3,116,65,51,136,76,60
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,55,35,20,11,3,6,2,12,9,6,5,0,1,43,29,14,54,35,19
109,私立,技專校院,1148,大漢技術學院,42,32,10,3,0,12,3,12,1,4,6,1,0,31,27,4,41,31,10
109,私立,技專校院,1159,和春技術學院,48,32,16,1,1,8,1,14,7,9,7,0,0,32,23,9,48,32,16
109,私立,技專校院,1166,亞東技術學院,149,103,46,18,2,42,13,31,23,10,5,2,3,129,91,38,144,101,43
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,93,59,34,8,0,15,7,17,12,16,15,3,0,59,40,19,90,56,34
109,私立,一般大學,1176,稻江科技暨管理學院,17,10,7,0,0,2,1,7,4,1,2,0,0,14,9,5,17,10,7
109,私立,技專校院,1182,蘭陽技術學院,44,30,14,1,0,6,2,12,1,11,11,0,0,22,19,3,44,30,14
109,私立,技專校院,1183,黎明技術學院,169,116,53,7,0,37,10,38,20,32,22,2,1,112,82,30,166,114,52
109,私立,技專校院,1185,經國管理暨健康學院,139,47,92,3,2,18,19,17,29,8,21,1,21,88,38,50,117,46,71
109,私立,技專校院,1188,大同技術學院,52,25,27,2,0,7,9,12,11,2,5,2,2,41,21,20,48,23,25
109,私立,技專校院,1192,臺灣觀光學院,10,6,4,1,0,0,0,2,3,3,1,0,0,6,3,3,10,6,4
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,127,84,43,15,2,31,12,36,23,2,6,0,0,119,82,37,127,84,43
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,24,15,9,2,1,7,4,6,4,0,0,0,0,24,15,9,24,15,9
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,145,48,97,4,0,7,5,21,18,12,51,4,23,55,32,23,118,44,74
109,私立,技專校院,1283,仁德醫護管理專科學校,216,76,140,2,0,0,0,22,24,44,75,8,41,48,24,24,167,68,99
109,私立,技專校院,1284,樹人醫護管理專科學校,224,60,164,1,0,3,1,25,32,22,96,9,35,62,29,33,180,51,129
109,私立,技專校院,1285,慈惠醫護管理專科學校,140,41,99,1,0,1,0,11,14,19,47,9,38,27,13,14,93,32,61
109,私立,技專校院,1286,耕莘健康管理專科學校,164,39,125,0,0,7,5,13,21,11,79,8,20,46,20,26,136,31,105
109,私立,技專校院,1287,敏惠醫護管理專科學校,128,37,91,1,0,7,0,11,10,12,64,6,17,29,19,10,105,31,74
109,私立,技專校院,1289,育英醫護管理專科學校,70,12,58,0,0,1,1,6,3,3,30,2,24,11,7,4,44,10,34
109,私立,技專校院,1291,聖母醫護管理專科學校,89,25,64,2,0,6,0,3,11,10,44,4,9,22,11,11,76,21,55
109,私立,技專校院,1292,新生醫護管理專科學校,214,42,172,0,0,2,1,12,31,19,101,9,39,46,14,32,166,33,133
109,私立,技專校院,1293,崇仁醫護管理專科學校,124,29,95,2,0,4,1,5,14,15,56,3,24,26,11,15,97,26,71
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,12,6,6,1,0,3,1,2,5,0,0,0,0,12,6,6,12,6,6
109,私立,宗教研修學院,1R03,臺北基督學院,10,6,4,0,1,0,0,5,2,1,1,0,0,8,5,3,10,6,4
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,12,9,3,2,0,1,2,6,1,0,0,0,0,12,9,3,12,9,3
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,19,12,7,2,2,2,2,8,3,0,0,0,0,19,12,7,19,12,7
109,私立,宗教研修學院,1R06,一貫道崇德學院,6,3,3,1,0,2,1,0,2,0,0,0,0,6,3,3,6,3,3
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,10,6,4,2,0,4,1,0,3,0,0,0,0,10,6,4,10,6,4
109,公立,一般大學,3002,臺北市立大學,323,170,153,65,53,67,50,29,42,6,4,3,4,306,161,145,316,167,149
110,公立,一般大學,0001,國立政治大學,726,420,306,197,114,128,92,82,63,11,18,2,19,676,407,269,705,418,287
110,公立,一般大學,0002,國立清華大學,859,581,278,360,104,137,107,78,58,2,9,4,0,844,575,269,855,577,278
110,公立,一般大學,0003,國立臺灣大學,2064,1427,637,878,271,320,215,216,130,12,10,1,11,2030,1414,616,2052,1426,626
110,公立,一般大學,0004,國立臺灣師範大學,825,477,348,288,166,113,100,60,50,14,21,2,11,777,461,316,812,475,337
110,公立,一般大學,0005,國立成功大學,1328,991,337,536,118,292,124,144,75,11,10,8,10,1289,972,317,1310,983,327
110,公立,一般大學,0006,國立中興大學,840,655,185,346,70,160,58,137,42,5,8,7,7,813,643,170,826,648,178
110,公立,一般大學,0007,國立陽明交通大學,1156,856,300,471,135,208,88,158,60,11,10,8,7,1120,837,283,1141,848,293
110,公立,一般大學,0008,國立中央大學,675,530,145,307,56,136,39,83,32,4,13,0,5,653,526,127,670,530,140
110,公立,一般大學,0009,國立中山大學,574,420,154,193,58,97,42,129,50,1,0,0,4,569,419,150,570,420,150
110,公立,一般大學,0012,國立臺灣海洋大學,443,356,87,168,25,93,22,88,30,4,0,3,10,426,349,77,430,353,77
110,公立,一般大學,0013,國立中正大學,532,380,152,222,67,96,61,57,19,3,3,2,2,522,375,147,528,378,150
110,公立,一般大學,0014,國立高雄師範大學,284,174,110,106,46,39,40,27,18,0,1,2,5,276,172,104,277,172,105
110,公立,一般大學,0015,國立彰化師範大學,382,259,123,148,56,67,36,40,27,4,3,0,1,374,255,119,381,259,122
110,公立,一般大學,0017,國立臺北大學,382,233,149,97,52,70,45,55,40,6,4,5,8,359,222,137,369,228,141
110,公立,一般大學,0018,國立嘉義大學,500,340,160,155,52,94,55,82,37,8,9,1,7,475,331,144,492,339,153
110,公立,一般大學,0019,國立高雄大學,238,183,55,96,21,49,23,34,10,3,0,1,1,233,179,54,236,182,54
110,公立,一般大學,0020,國立東華大學,456,297,159,141,58,102,66,40,25,14,10,0,0,432,283,149,456,297,159
110,公立,一般大學,0021,國立暨南國際大學,270,182,88,97,33,63,39,17,12,5,4,0,0,261,177,84,270,182,88
110,公立,技專校院,0022,國立臺灣科技大學,522,419,103,235,42,86,20,86,28,12,11,0,2,497,407,90,520,419,101
110,公立,技專校院,0023,國立雲林科技大學,418,322,96,138,23,93,26,78,37,10,4,3,6,395,309,86,409,319,90
110,公立,技專校院,0024,國立屏東科技大學,403,280,123,129,41,83,47,49,24,16,9,3,2,373,261,112,398,277,121
110,公立,技專校院,0025,國立臺北科技大學,463,374,89,183,25,111,37,62,18,9,5,9,4,436,356,80,450,365,85
110,公立,一般大學,0028,國立臺北藝術大學,168,85,83,28,15,23,35,24,18,8,5,2,10,143,75,68,156,83,73
110,公立,一般大學,0029,國立臺灣藝術大學,165,101,64,37,30,30,18,30,15,3,1,1,0,160,97,63,164,100,64
110,公立,一般大學,0030,國立臺東大學,206,140,66,46,15,52,29,34,16,6,4,2,2,192,132,60,202,138,64
110,公立,一般大學,0031,國立宜蘭大學,233,176,57,82,10,59,17,27,19,7,10,1,1,214,168,46,231,175,56
110,公立,一般大學,0032,國立聯合大學,283,217,66,69,13,94,24,43,20,9,8,2,1,263,206,57,280,215,65
110,公立,技專校院,0033,國立虎尾科技大學,349,288,61,128,17,89,21,59,19,9,4,3,0,333,276,57,346,285,61
110,公立,一般大學,0035,國立臺南藝術大學,107,60,47,18,14,16,15,24,17,2,1,0,0,104,58,46,107,60,47
110,公立,一般大學,0036,國立臺南大學,227,131,96,78,35,37,43,16,15,0,0,0,3,224,131,93,224,131,93
110,公立,一般大學,0037,國立臺北教育大學,245,136,109,64,40,26,41,41,24,5,1,0,3,236,131,105,242,136,106
110,公立,一般大學,0039,國立臺中教育大學,204,120,84,58,27,32,33,27,19,2,2,1,3,196,117,79,200,119,81
110,公立,技專校院,0042,國立澎湖科技大學,128,88,40,30,7,25,10,26,20,6,3,1,0,118,81,37,127,87,40
110,公立,技專校院,0043,國立勤益科技大學,314,235,79,93,22,70,25,57,26,9,5,6,1,293,220,73,307,229,78
110,公立,一般大學,0044,國立體育大學,102,69,33,29,10,24,11,6,8,3,2,7,2,88,59,29,93,62,31
110,公立,技專校院,0046,國立臺北護理健康大學,212,53,159,19,24,20,41,12,55,1,8,1,31,171,51,120,180,52,128
110,公立,技專校院,0047,國立高雄餐旅大學,164,109,55,27,10,33,25,41,12,5,7,3,1,148,101,47,160,106,54
110,公立,一般大學,0048,國立金門大學,148,103,45,29,3,50,27,20,15,3,0,1,0,144,99,45,147,102,45
110,公立,一般大學,0049,國立臺灣體育運動大學,126,90,36,18,8,34,11,15,8,4,3,19,6,94,67,27,101,71,30
110,公立,技專校院,0050,國立臺中科技大學,418,176,242,56,44,71,76,44,77,2,13,3,32,368,171,197,383,173,210
110,公立,技專校院,0051,國立臺北商業大學,220,127,93,36,19,45,41,30,18,7,11,9,4,189,111,78,207,118,89
110,公立,一般大學,0052,國立屏東大學,355,209,146,64,28,84,59,52,50,6,5,3,4,337,200,137,348,206,142
110,公立,技專校院,0053,國立高雄科技大學,860,658,202,296,52,214,75,121,47,19,17,8,11,805,631,174,841,650,191
110,公立,技專校院,0144,國立臺灣戲曲學院,35,21,14,4,0,8,8,9,4,0,2,0,0,33,21,12,35,21,14
110,公立,技專校院,0221,國立臺南護理專科學校,92,18,74,4,5,5,16,8,21,0,5,1,27,59,17,42,64,17,47
110,公立,技專校院,0222,國立臺東專科學校,64,43,21,6,1,13,2,21,10,3,8,0,0,53,40,13,64,43,21
110,私立,一般大學,1001,東海大學,554,375,179,129,33,111,61,108,62,16,11,11,12,504,348,156,531,364,167
110,私立,一般大學,1002,輔仁大學,732,407,325,104,69,157,114,116,117,18,18,12,7,677,377,300,713,395,318
110,私立,一般大學,1003,東吳大學,432,251,181,94,45,69,67,74,55,12,14,2,0,404,237,167,430,249,181
110,私立,一般大學,1004,中原大學,499,345,154,131,26,100,62,92,55,7,8,15,3,466,323,143,481,330,151
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,742,471,271,174,54,171,126,97,72,8,9,21,10,694,442,252,711,450,261
110,私立,一般大學,1006,中國文化大學,693,432,261,153,53,164,114,97,83,10,7,8,4,664,414,250,681,424,257
110,私立,一般大學,1007,逢甲大學,657,501,156,169,36,173,53,137,58,12,3,10,6,626,479,147,641,491,150
110,私立,一般大學,1008,靜宜大學,374,221,153,62,26,73,58,68,55,15,12,3,2,342,203,139,369,218,151
110,私立,一般大學,1009,長庚大學,592,401,191,164,54,116,52,104,75,14,9,3,1,565,384,181,588,398,190
110,私立,一般大學,1010,元智大學,296,212,84,76,18,67,34,58,31,7,1,4,0,284,201,83,292,208,84
110,私立,一般大學,1011,中華大學學校財團法人中華大學,207,131,76,45,13,46,29,34,19,4,13,2,2,186,125,61,203,129,74
110,私立,一般大學,1012,大葉大學,285,184,101,37,12,59,31,71,37,14,20,3,1,247,167,80,281,181,100
110,私立,一般大學,1013,華梵大學,70,50,20,16,2,14,6,15,9,4,2,1,1,62,45,17,68,49,19
110,私立,一般大學,1014,義守大學,532,367,165,113,32,123,44,109,64,19,23,3,2,485,345,140,527,364,163
110,私立,一般大學,1015,世新大學,339,205,134,65,29,57,57,57,39,23,7,3,2,304,179,125,334,202,132
110,私立,一般大學,1016,銘傳大學,556,322,234,82,33,113,109,108,80,17,11,2,1,525,303,222,553,320,233
110,私立,一般大學,1017,實踐大學,324,184,140,30,13,70,49,71,63,8,14,5,1,296,171,125,318,179,139
110,私立,技專校院,1018,朝陽科技大學,390,264,126,56,13,89,50,96,51,18,9,5,3,355,241,114,382,259,123
110,私立,一般大學,1019,高雄醫學大學,535,339,196,149,58,100,65,79,66,11,5,0,2,517,328,189,533,339,194
110,私立,一般大學,1020,南華大學,195,127,68,34,6,44,31,48,31,1,0,0,0,194,126,68,195,127,68
110,私立,一般大學,1021,真理大學,225,144,81,39,10,53,35,46,22,4,12,2,2,205,138,67,221,142,79
110,私立,一般大學,1022,大同大學,140,102,38,41,7,31,12,21,12,8,7,1,0,124,93,31,139,101,38
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,531,358,173,88,14,127,57,113,72,21,28,9,2,471,328,143,520,349,171
110,私立,技專校院,1024,崑山科技大學,293,213,80,53,2,79,44,60,26,20,8,1,0,264,192,72,292,212,80
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,352,192,160,41,18,60,54,68,74,18,11,5,3,315,169,146,344,187,157
110,私立,技專校院,1026,樹德科技大學,256,164,92,21,2,58,14,75,64,10,11,0,1,234,154,80,255,164,91
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,232,108,124,29,25,44,50,31,41,4,8,0,0,220,104,116,232,108,124
110,私立,一般大學,1028,臺北醫學大學,681,469,212,162,72,137,79,160,56,10,4,0,1,666,459,207,680,469,211
110,私立,一般大學,1029,中山醫學大學,410,252,158,102,46,76,53,53,46,20,12,1,1,376,231,145,408,251,157
110,私立,技專校院,1030,龍華科技大學,275,210,65,33,5,69,24,92,29,14,5,2,2,252,194,58,271,208,63
110,私立,技專校院,1031,輔英科技大學,321,101,220,18,5,38,47,38,77,5,23,2,68,223,94,129,251,99,152
110,私立,技專校院,1032,明新學校財團法人明新科技大學,308,202,106,30,5,84,35,61,41,25,22,2,3,256,175,81,303,200,103
110,私立,一般大學,1033,長榮大學,318,183,135,36,17,47,50,95,59,4,8,1,1,304,178,126,316,182,134
110,私立,技專校院,1034,弘光科技大學,337,131,206,32,18,46,43,40,88,7,6,6,51,267,118,149,280,125,155
110,私立,一般大學,1035,中國醫藥大學,518,364,154,163,50,104,65,95,38,2,0,0,1,515,362,153,517,364,153
110,私立,技專校院,1036,健行學校財團法人健行科技大學,277,191,86,27,1,70,22,64,48,21,14,9,1,232,161,71,267,182,85
110,私立,技專校院,1037,正修學校財團法人正修科技大學,411,283,128,68,10,98,50,82,42,30,22,5,4,350,248,102,402,278,124
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,238,153,85,16,4,50,19,65,39,22,21,0,2,193,131,62,236,153,83
110,私立,一般大學,1039,玄奘大學,107,66,41,11,3,19,9,30,22,6,7,0,0,94,60,34,107,66,41
