學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,技專校院,0023,國立雲林科技大學,7個月,6,12,7,9,1,2,10,41,90,30,10,8
109,公立,技專校院,0023,國立雲林科技大學,8個月,5,35,7,1,2,0,21,41,71,21,3,14
109,公立,技專校院,0023,國立雲林科技大學,9個月,0,7,11,1,1,0,7,26,74,23,6,8
109,公立,技專校院,0023,國立雲林科技大學,10個月,2,20,7,4,1,0,5,25,72,24,10,7
109,公立,技專校院,0023,國立雲林科技大學,11個月,16,17,9,16,0,1,0,19,50,20,9,2
109,公立,技專校院,0024,國立屏東科技大學,12個月,4,28,30,50,8,3,0,1,9,14,13,10
109,公立,技專校院,0024,國立屏東科技大學,1個月,66,133,32,33,4,1,120,34,22,22,13,0
109,公立,技專校院,0024,國立屏東科技大學,2個月,43,102,34,31,4,2,15,25,17,9,15,2
109,公立,技專校院,0024,國立屏東科技大學,3個月,19,95,46,28,6,2,6,20,11,9,11,5
109,公立,技專校院,0024,國立屏東科技大學,4個月,17,88,37,27,8,0,198,63,18,3,15,1
109,公立,技專校院,0024,國立屏東科技大學,5個月,9,101,40,51,3,1,0,9,12,8,10,5
109,公立,技專校院,0024,國立屏東科技大學,6個月,15,56,31,17,5,1,1,6,6,6,5,0
109,公立,技專校院,0024,國立屏東科技大學,7個月,5,43,37,13,3,0,1,10,4,4,4,1
109,公立,技專校院,0024,國立屏東科技大學,8個月,18,29,21,19,4,2,52,32,6,6,5,1
109,公立,技專校院,0024,國立屏東科技大學,9個月,8,45,20,28,5,0,0,1,7,4,3,1
109,公立,技專校院,0024,國立屏東科技大學,10個月,2,40,38,36,4,2,0,0,0,2,4,0
109,公立,技專校院,0024,國立屏東科技大學,11個月,4,33,61,43,5,0,0,1,5,6,7,1
109,公立,技專校院,0025,國立臺北科技大學,12個月,89,384,92,84,88,22,0,0,2,19,10,0
109,公立,技專校院,0025,國立臺北科技大學,1個月,92,170,27,21,34,6,23,34,1,42,21,8
109,公立,技專校院,0025,國立臺北科技大學,2個月,37,170,42,26,25,1,4,12,4,22,20,6
109,公立,技專校院,0025,國立臺北科技大學,3個月,50,133,43,50,63,5,20,19,27,7,15,3
109,公立,技專校院,0025,國立臺北科技大學,4個月,88,159,47,27,50,6,6,39,15,189,5,1
109,公立,技專校院,0025,國立臺北科技大學,5個月,99,336,34,35,26,4,2,3,18,21,10,1
109,公立,技專校院,0025,國立臺北科技大學,6個月,25,128,28,30,31,2,1,0,19,17,12,0
109,公立,技專校院,0025,國立臺北科技大學,7個月,26,242,25,6,42,2,2,0,3,8,4,0
109,公立,技專校院,0025,國立臺北科技大學,8個月,28,134,34,12,9,5,0,38,8,74,3,1
109,公立,技專校院,0025,國立臺北科技大學,9個月,16,51,20,3,11,2,1,1,6,10,1,0
109,公立,技專校院,0025,國立臺北科技大學,10個月,15,50,26,24,5,1,0,0,1,10,14,0
109,公立,技專校院,0025,國立臺北科技大學,11個月,63,128,28,26,45,3,0,0,23,16,7,1
109,公立,一般大學,0028,國立臺北藝術大學,12個月,0,1,0,0,0,0,1,3,5,7,2,2
109,公立,一般大學,0028,國立臺北藝術大學,1個月,0,0,0,0,3,2,143,56,23,17,16,6
109,公立,一般大學,0028,國立臺北藝術大學,2個月,0,0,0,0,0,0,43,24,5,8,9,2
109,公立,一般大學,0028,國立臺北藝術大學,3個月,0,1,0,0,0,0,16,20,8,4,3,7
109,公立,一般大學,0028,國立臺北藝術大學,4個月,0,0,0,0,0,0,7,18,6,4,7,4
109,公立,一般大學,0028,國立臺北藝術大學,5個月,0,6,0,0,0,0,3,8,7,9,14,1
109,公立,一般大學,0028,國立臺北藝術大學,6個月,0,0,0,0,0,0,3,2,1,2,2,2
109,公立,一般大學,0028,國立臺北藝術大學,7個月,2,5,4,0,0,0,1,4,3,0,5,0
109,公立,一般大學,0028,國立臺北藝術大學,8個月,0,0,0,0,0,0,0,1,5,2,3,0
109,公立,一般大學,0028,國立臺北藝術大學,9個月,0,0,0,0,0,0,0,2,3,1,5,0
109,公立,一般大學,0028,國立臺北藝術大學,10個月,0,0,0,0,0,0,0,2,3,1,5,0
109,公立,一般大學,0028,國立臺北藝術大學,11個月,0,0,0,0,0,0,0,4,1,1,2,2
109,公立,一般大學,0029,國立臺灣藝術大學,12個月,0,0,0,0,1,0,0,4,5,5,12,0
109,公立,一般大學,0029,國立臺灣藝術大學,1個月,0,4,0,0,0,0,168,55,39,22,30,6
109,公立,一般大學,0029,國立臺灣藝術大學,2個月,0,4,0,0,0,0,53,33,28,16,18,5
109,公立,一般大學,0029,國立臺灣藝術大學,3個月,0,2,0,0,0,0,27,30,18,10,17,4
109,公立,一般大學,0029,國立臺灣藝術大學,4個月,0,0,0,0,0,0,17,32,16,13,21,0
109,公立,一般大學,0029,國立臺灣藝術大學,5個月,0,3,0,0,0,0,5,36,12,13,25,2
109,公立,一般大學,0029,國立臺灣藝術大學,6個月,0,1,0,0,0,0,4,10,9,6,10,1
109,公立,一般大學,0029,國立臺灣藝術大學,7個月,0,2,0,0,0,0,3,15,18,4,12,1
109,公立,一般大學,0029,國立臺灣藝術大學,8個月,0,0,0,0,0,0,5,13,10,7,2,1
109,公立,一般大學,0029,國立臺灣藝術大學,9個月,0,1,1,0,0,0,3,49,18,5,7,0
109,公立,一般大學,0029,國立臺灣藝術大學,10個月,4,0,0,0,1,0,0,17,20,7,9,0
109,公立,一般大學,0029,國立臺灣藝術大學,11個月,0,0,0,0,0,0,0,5,10,7,8,1
109,公立,一般大學,0030,國立臺東大學,12個月,7,5,7,5,3,1,0,4,4,8,3,0
109,公立,一般大學,0030,國立臺東大學,1個月,36,14,7,1,6,0,111,37,4,13,5,6
109,公立,一般大學,0030,國立臺東大學,2個月,5,19,9,2,3,0,12,10,7,6,5,0
109,公立,一般大學,0030,國立臺東大學,3個月,3,47,46,2,16,1,13,22,13,4,6,1
109,公立,一般大學,0030,國立臺東大學,4個月,16,70,87,4,14,0,4,94,12,6,0,0
109,公立,一般大學,0030,國立臺東大學,5個月,4,27,8,3,4,3,3,25,16,6,4,1
109,公立,一般大學,0030,國立臺東大學,6個月,3,16,13,5,6,0,0,15,5,10,0,0
109,公立,一般大學,0030,國立臺東大學,7個月,4,17,20,5,9,1,6,17,4,3,2,0
109,公立,一般大學,0030,國立臺東大學,8個月,2,62,31,16,18,0,1,98,15,3,0,0
109,公立,一般大學,0030,國立臺東大學,9個月,0,16,21,4,7,0,1,20,12,10,2,0
109,公立,一般大學,0030,國立臺東大學,10個月,2,7,10,3,3,0,0,22,18,4,2,0
109,公立,一般大學,0030,國立臺東大學,11個月,1,5,8,4,3,3,0,12,28,17,7,0
109,公立,一般大學,0031,國立宜蘭大學,12個月,0,0,0,1,1,0,0,0,0,0,0,0
109,公立,一般大學,0031,國立宜蘭大學,1個月,53,65,27,29,21,6,41,58,29,22,41,15
109,公立,一般大學,0031,國立宜蘭大學,2個月,17,38,30,11,12,0,7,17,44,22,43,4
109,公立,一般大學,0031,國立宜蘭大學,3個月,11,27,21,10,11,1,1,51,32,19,17,7
109,公立,一般大學,0031,國立宜蘭大學,4個月,3,17,21,10,8,0,1,7,16,11,9,1
109,公立,一般大學,0031,國立宜蘭大學,5個月,3,29,17,7,5,1,0,44,42,19,20,0
109,公立,一般大學,0031,國立宜蘭大學,6個月,3,9,8,11,9,0,0,3,5,10,16,0
109,公立,一般大學,0031,國立宜蘭大學,7個月,2,14,9,5,7,1,0,1,8,7,13,1
109,公立,一般大學,0031,國立宜蘭大學,8個月,3,14,15,9,14,0,0,1,1,5,9,0
109,公立,一般大學,0031,國立宜蘭大學,9個月,1,13,15,6,8,0,0,0,5,2,8,5
109,公立,一般大學,0031,國立宜蘭大學,10個月,1,4,13,15,10,1,0,1,3,2,2,6
109,公立,一般大學,0031,國立宜蘭大學,11個月,0,0,1,7,4,0,0,1,0,2,2,1
109,公立,一般大學,0032,國立聯合大學,12個月,18,37,8,23,4,4,1,0,0,10,6,2
109,公立,一般大學,0032,國立聯合大學,1個月,142,54,9,2,0,0,133,32,5,0,0,0
109,公立,一般大學,0032,國立聯合大學,2個月,49,58,51,11,1,0,105,52,6,4,3,0
109,公立,一般大學,0032,國立聯合大學,3個月,23,18,19,5,1,0,28,33,5,2,1,0
109,公立,一般大學,0032,國立聯合大學,4個月,87,46,11,2,0,0,33,21,9,1,0,0
109,公立,一般大學,0032,國立聯合大學,5個月,49,26,18,1,0,0,110,53,16,1,0,0
109,公立,一般大學,0032,國立聯合大學,6個月,20,27,3,2,4,0,23,6,2,1,1,0
109,公立,一般大學,0032,國立聯合大學,7個月,23,21,5,4,1,0,21,4,1,9,0,0
109,公立,一般大學,0032,國立聯合大學,8個月,31,18,12,2,0,0,34,12,6,1,0,0
109,公立,一般大學,0032,國立聯合大學,9個月,32,13,5,2,1,0,12,21,6,5,0,0
109,公立,一般大學,0032,國立聯合大學,10個月,12,21,5,7,2,0,0,0,5,0,0,0
109,公立,一般大學,0032,國立聯合大學,11個月,11,16,2,3,0,1,0,6,5,3,1,0
109,公立,技專校院,0033,國立虎尾科技大學,12個月,9,41,25,16,20,3,0,1,3,0,45,0
109,公立,技專校院,0033,國立虎尾科技大學,1個月,33,42,14,9,16,3,183,62,57,5,16,2
109,公立,技專校院,0033,國立虎尾科技大學,2個月,20,25,13,4,2,0,57,84,57,7,9,1
109,公立,技專校院,0033,國立虎尾科技大學,3個月,28,34,8,6,7,1,99,165,42,3,10,1
109,公立,技專校院,0033,國立虎尾科技大學,4個月,11,30,12,5,3,0,28,80,42,10,10,0
109,公立,技專校院,0033,國立虎尾科技大學,5個月,16,31,24,6,2,0,29,42,41,7,12,4
109,公立,技專校院,0033,國立虎尾科技大學,6個月,9,31,10,6,5,1,41,119,27,6,8,0
109,公立,技專校院,0033,國立虎尾科技大學,7個月,3,15,5,8,2,1,8,46,16,1,12,0
109,公立,技專校院,0033,國立虎尾科技大學,8個月,11,31,4,3,3,0,5,26,16,3,6,0
109,公立,技專校院,0033,國立虎尾科技大學,9個月,9,9,9,5,5,0,8,20,12,2,5,0
109,公立,技專校院,0033,國立虎尾科技大學,10個月,6,19,9,5,3,0,3,19,12,0,6,0
109,公立,技專校院,0033,國立虎尾科技大學,11個月,5,34,23,15,7,0,0,7,5,0,17,0
109,公立,一般大學,0035,國立臺南藝術大學,12個月,0,1,1,0,2,0,0,1,4,0,2,0
109,公立,一般大學,0035,國立臺南藝術大學,1個月,0,7,3,1,3,0,142,50,21,4,7,0
109,公立,一般大學,0035,國立臺南藝術大學,2個月,1,6,6,1,2,0,75,28,7,3,1,0
109,公立,一般大學,0035,國立臺南藝術大學,3個月,0,3,1,1,2,0,45,30,6,4,1,0
109,公立,一般大學,0035,國立臺南藝術大學,4個月,0,5,6,2,1,0,17,18,14,2,2,0
109,公立,一般大學,0035,國立臺南藝術大學,5個月,1,5,0,2,3,0,4,20,8,1,0,0
109,公立,一般大學,0035,國立臺南藝術大學,6個月,0,0,16,0,5,0,9,10,5,2,0,0
109,公立,一般大學,0035,國立臺南藝術大學,7個月,1,0,4,2,1,0,5,12,3,0,0,0
109,公立,一般大學,0035,國立臺南藝術大學,8個月,0,1,1,1,2,0,4,12,2,1,0,0
109,公立,一般大學,0035,國立臺南藝術大學,9個月,0,3,1,1,0,0,0,20,5,0,0,0
109,公立,一般大學,0035,國立臺南藝術大學,10個月,0,3,3,1,2,0,1,9,5,0,1,0
109,公立,一般大學,0035,國立臺南藝術大學,11個月,0,0,3,0,0,0,0,2,3,2,0,0
109,公立,一般大學,0036,國立臺南大學,12個月,0,2,0,0,0,2,0,9,3,0,2,0
109,公立,一般大學,0036,國立臺南大學,1個月,13,1,0,0,0,0,129,146,61,10,7,2
109,公立,一般大學,0036,國立臺南大學,2個月,18,0,0,0,0,0,39,54,19,6,8,7
109,公立,一般大學,0036,國立臺南大學,3個月,28,2,0,0,0,0,128,102,18,2,7,2
109,公立,一般大學,0036,國立臺南大學,4個月,65,8,0,1,0,0,33,91,17,2,12,5
109,公立,一般大學,0036,國立臺南大學,5個月,28,2,0,0,0,0,12,45,25,4,6,2
109,公立,一般大學,0036,國立臺南大學,6個月,8,4,0,0,0,0,53,45,4,0,2,0
109,公立,一般大學,0036,國立臺南大學,7個月,25,2,0,0,0,0,5,9,3,3,8,0
109,公立,一般大學,0036,國立臺南大學,8個月,130,10,0,0,0,0,2,6,3,0,0,0
109,公立,一般大學,0036,國立臺南大學,9個月,13,4,0,0,0,0,0,4,2,0,0,1
109,公立,一般大學,0036,國立臺南大學,10個月,32,5,0,0,1,0,6,14,3,2,0,0
109,公立,一般大學,0036,國立臺南大學,11個月,25,9,0,0,0,0,1,9,3,1,8,0
109,公立,一般大學,0037,國立臺北教育大學,12個月,0,4,9,8,0,0,0,23,28,4,10,4
109,公立,一般大學,0037,國立臺北教育大學,1個月,0,5,0,3,2,0,89,98,47,12,51,27
109,公立,一般大學,0037,國立臺北教育大學,2個月,261,17,8,2,0,0,4,42,30,10,19,2
109,公立,一般大學,0037,國立臺北教育大學,3個月,17,18,0,4,1,0,4,51,24,4,3,1
109,公立,一般大學,0037,國立臺北教育大學,4個月,1,11,5,2,0,0,27,101,24,18,9,2
109,公立,一般大學,0037,國立臺北教育大學,5個月,1,12,5,2,0,0,1,47,31,3,4,0
109,公立,一般大學,0037,國立臺北教育大學,6個月,0,4,1,0,0,0,0,28,17,5,2,1
109,公立,一般大學,0037,國立臺北教育大學,7個月,7,6,0,0,0,0,0,31,14,3,4,1
109,公立,一般大學,0037,國立臺北教育大學,8個月,0,1,0,0,0,0,19,81,22,0,1,0
109,公立,一般大學,0037,國立臺北教育大學,9個月,0,2,1,2,0,0,2,38,22,2,4,0
109,公立,一般大學,0037,國立臺北教育大學,10個月,2,18,4,2,0,0,0,26,11,2,3,0
109,公立,一般大學,0037,國立臺北教育大學,11個月,1,5,1,1,0,0,1,5,23,1,3,0
109,公立,一般大學,0039,國立臺中教育大學,12個月,18,4,5,2,1,0,4,8,3,3,3,1
109,公立,一般大學,0039,國立臺中教育大學,1個月,61,75,1,0,0,0,10,20,11,22,4,1
109,公立,一般大學,0039,國立臺中教育大學,2個月,43,67,1,2,0,0,19,14,6,2,3,0
109,公立,一般大學,0039,國立臺中教育大學,3個月,32,21,1,5,4,0,31,28,7,4,2,0
109,公立,一般大學,0039,國立臺中教育大學,4個月,6,13,3,0,1,0,6,28,10,2,3,0
109,公立,一般大學,0039,國立臺中教育大學,5個月,6,7,0,0,0,0,13,36,5,3,2,1
109,公立,一般大學,0039,國立臺中教育大學,6個月,7,21,1,1,0,0,7,15,3,0,1,0
109,公立,一般大學,0039,國立臺中教育大學,7個月,48,18,4,0,0,0,8,8,3,2,0,0
109,公立,一般大學,0039,國立臺中教育大學,8個月,6,2,0,0,0,0,5,12,4,1,0,0
109,公立,一般大學,0039,國立臺中教育大學,9個月,16,2,2,0,0,0,1,11,6,3,1,0
109,公立,一般大學,0039,國立臺中教育大學,10個月,10,3,0,0,0,0,4,6,6,2,0,1
109,公立,一般大學,0039,國立臺中教育大學,11個月,22,8,3,0,0,0,1,2,3,1,0,0
109,公立,技專校院,0042,國立澎湖科技大學,12個月,0,0,0,0,0,0,0,0,1,0,2,0
109,公立,技專校院,0042,國立澎湖科技大學,1個月,0,3,0,0,0,0,30,78,18,5,2,1
109,公立,技專校院,0042,國立澎湖科技大學,2個月,0,10,0,0,0,0,32,40,10,3,2,0
109,公立,技專校院,0042,國立澎湖科技大學,3個月,0,128,0,0,0,0,17,33,13,4,3,0
109,公立,技專校院,0042,國立澎湖科技大學,4個月,0,19,0,0,0,0,31,27,6,2,5,0
109,公立,技專校院,0042,國立澎湖科技大學,5個月,0,14,0,0,0,0,6,16,9,0,1,0
109,公立,技專校院,0042,國立澎湖科技大學,6個月,0,0,0,0,0,0,4,7,2,0,0,0
109,公立,技專校院,0042,國立澎湖科技大學,7個月,0,12,0,0,0,0,1,6,7,0,0,0
109,公立,技專校院,0042,國立澎湖科技大學,8個月,0,1,0,0,0,0,24,12,1,0,1,0
109,公立,技專校院,0042,國立澎湖科技大學,9個月,0,0,0,0,0,0,0,4,2,0,0,0
109,公立,技專校院,0042,國立澎湖科技大學,10個月,0,8,0,0,0,0,0,1,2,0,0,0
109,公立,技專校院,0042,國立澎湖科技大學,11個月,0,0,0,0,0,0,0,0,1,0,0,0
109,公立,技專校院,0043,國立勤益科技大學,12個月,4,28,21,8,4,0,0,0,1,2,50,1
109,公立,技專校院,0043,國立勤益科技大學,1個月,15,33,4,4,4,0,198,132,124,62,260,21
109,公立,技專校院,0043,國立勤益科技大學,2個月,6,56,6,5,7,1,0,7,26,58,171,5
109,公立,技專校院,0043,國立勤益科技大學,3個月,8,77,5,4,3,0,0,0,12,20,86,3
109,公立,技專校院,0043,國立勤益科技大學,4個月,10,36,8,8,0,0,0,0,2,5,30,3
109,公立,技專校院,0043,國立勤益科技大學,5個月,12,101,3,6,1,0,0,0,2,7,29,1
109,公立,技專校院,0043,國立勤益科技大學,6個月,9,14,6,5,2,0,0,0,1,2,18,1
109,公立,技專校院,0043,國立勤益科技大學,7個月,6,23,6,4,2,0,0,0,0,3,11,2
109,公立,技專校院,0043,國立勤益科技大學,8個月,1,31,11,6,1,0,0,0,4,3,9,0
109,公立,技專校院,0043,國立勤益科技大學,9個月,14,27,10,6,4,0,0,0,0,3,15,1
109,公立,技專校院,0043,國立勤益科技大學,10個月,10,20,13,6,4,0,0,0,3,5,10,2
109,公立,技專校院,0043,國立勤益科技大學,11個月,4,39,16,5,0,0,0,0,0,2,15,1
109,公立,一般大學,0044,國立體育大學,12個月,1,1,1,4,1,0,0,2,5,2,7,0
109,公立,一般大學,0044,國立體育大學,1個月,0,2,0,2,0,0,164,139,39,12,21,0
109,公立,一般大學,0044,國立體育大學,2個月,0,4,0,0,0,0,48,24,18,19,22,2
109,公立,一般大學,0044,國立體育大學,3個月,7,11,0,0,0,0,34,17,14,14,7,0
109,公立,一般大學,0044,國立體育大學,4個月,1,33,1,2,0,0,14,18,9,8,8,0
109,公立,一般大學,0044,國立體育大學,5個月,1,0,2,0,0,0,8,17,18,13,8,0
109,公立,一般大學,0044,國立體育大學,6個月,7,6,4,0,0,0,8,7,15,5,4,1
109,公立,一般大學,0044,國立體育大學,7個月,1,9,1,0,0,0,2,10,8,2,4,0
109,公立,一般大學,0044,國立體育大學,8個月,0,49,0,0,0,0,0,7,12,6,7,0
109,公立,一般大學,0044,國立體育大學,9個月,7,0,0,1,0,0,0,11,11,3,9,0
109,公立,一般大學,0044,國立體育大學,10個月,0,0,1,1,1,0,0,0,14,6,5,0
109,公立,一般大學,0044,國立體育大學,11個月,0,1,0,6,0,0,0,1,5,3,6,0
109,公立,技專校院,0046,國立臺北護理健康大學,12個月,0,0,0,0,0,0,0,3,2,1,2,0
109,公立,技專校院,0046,國立臺北護理健康大學,1個月,0,1,1,0,0,0,78,45,31,17,26,1
109,公立,技專校院,0046,國立臺北護理健康大學,2個月,0,0,0,0,0,0,23,45,27,20,18,0
109,公立,技專校院,0046,國立臺北護理健康大學,3個月,0,0,0,0,0,0,15,37,21,9,3,1
109,公立,技專校院,0046,國立臺北護理健康大學,4個月,0,0,0,0,0,0,55,26,11,9,11,0
109,公立,技專校院,0046,國立臺北護理健康大學,5個月,0,0,1,0,0,0,6,24,8,8,8,0
109,公立,技專校院,0046,國立臺北護理健康大學,6個月,0,0,0,0,0,0,4,16,16,8,4,0
109,公立,技專校院,0046,國立臺北護理健康大學,7個月,0,0,0,0,0,0,4,7,8,6,1,0
109,公立,技專校院,0046,國立臺北護理健康大學,8個月,0,0,0,0,0,0,7,7,6,1,3,1
109,公立,技專校院,0046,國立臺北護理健康大學,9個月,0,0,0,0,0,0,1,6,6,4,2,0
109,公立,技專校院,0046,國立臺北護理健康大學,10個月,0,0,0,0,0,0,1,6,1,2,2,0
109,公立,技專校院,0046,國立臺北護理健康大學,11個月,0,0,0,0,0,0,0,3,5,4,1,0
109,公立,技專校院,0047,國立高雄餐旅大學,12個月,0,0,0,0,0,0,0,0,3,7,10,0
109,公立,技專校院,0047,國立高雄餐旅大學,1個月,0,0,0,0,0,0,41,50,25,21,26,1
109,公立,技專校院,0047,國立高雄餐旅大學,2個月,0,0,0,0,0,0,9,32,34,21,32,1
109,公立,技專校院,0047,國立高雄餐旅大學,3個月,0,0,0,0,0,0,11,12,19,21,21,1
109,公立,技專校院,0047,國立高雄餐旅大學,4個月,0,0,0,0,0,0,3,14,16,16,21,1
109,公立,技專校院,0047,國立高雄餐旅大學,5個月,0,0,0,0,0,0,2,14,13,10,27,0
109,公立,技專校院,0047,國立高雄餐旅大學,6個月,0,0,0,0,0,0,0,5,6,6,9,0
109,公立,技專校院,0047,國立高雄餐旅大學,7個月,0,0,0,0,0,0,0,1,7,5,10,0
109,公立,技專校院,0047,國立高雄餐旅大學,8個月,0,0,0,0,0,0,5,4,4,4,5,0
109,公立,技專校院,0047,國立高雄餐旅大學,9個月,0,0,0,0,0,0,0,1,9,10,8,0
109,公立,技專校院,0047,國立高雄餐旅大學,10個月,0,0,0,0,0,0,0,4,6,6,19,0
109,公立,技專校院,0047,國立高雄餐旅大學,11個月,0,0,0,0,0,0,0,1,4,7,15,1
109,公立,一般大學,0048,國立金門大學,12個月,14,3,6,1,0,1,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,1個月,5,16,3,0,0,0,0,1,0,0,0,0
109,公立,一般大學,0048,國立金門大學,2個月,4,3,4,2,0,0,0,1,0,0,0,0
109,公立,一般大學,0048,國立金門大學,3個月,10,11,2,4,0,0,100,2,0,1,0,0
109,公立,一般大學,0048,國立金門大學,4個月,6,5,3,0,0,0,0,1,0,0,0,0
109,公立,一般大學,0048,國立金門大學,5個月,1,3,1,0,0,1,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,6個月,3,3,1,0,0,0,51,2,1,0,0,0
109,公立,一般大學,0048,國立金門大學,7個月,4,2,2,0,0,0,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,8個月,6,3,0,0,0,0,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,9個月,4,4,1,0,0,0,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,10個月,0,6,1,2,0,0,0,0,0,0,0,0
109,公立,一般大學,0048,國立金門大學,11個月,2,1,1,0,0,0,0,0,0,0,0,0
109,公立,一般大學,0049,國立臺灣體育運動大學,12個月,1,5,1,6,1,0,0,0,2,0,13,0
109,公立,一般大學,0049,國立臺灣體育運動大學,1個月,19,13,4,0,0,0,4,5,0,0,1,0
109,公立,一般大學,0049,國立臺灣體育運動大學,2個月,18,10,5,1,2,0,0,4,0,1,2,1
109,公立,一般大學,0049,國立臺灣體育運動大學,3個月,3,26,4,1,5,0,1,11,1,4,3,0
109,公立,一般大學,0049,國立臺灣體育運動大學,4個月,0,23,2,0,0,0,0,39,0,3,0,0
109,公立,一般大學,0049,國立臺灣體育運動大學,5個月,4,10,4,2,0,0,0,3,1,0,0,0
109,公立,一般大學,0049,國立臺灣體育運動大學,6個月,0,7,1,2,0,0,0,0,0,0,1,1
109,公立,一般大學,0049,國立臺灣體育運動大學,7個月,0,20,3,0,1,0,0,0,0,0,1,0
109,公立,一般大學,0049,國立臺灣體育運動大學,8個月,0,19,2,1,1,0,1,50,2,0,1,0
109,公立,一般大學,0049,國立臺灣體育運動大學,9個月,0,7,1,0,0,0,0,2,2,0,0,0
109,公立,一般大學,0049,國立臺灣體育運動大學,10個月,0,5,4,0,0,0,0,2,1,1,2,2
109,公立,一般大學,0049,國立臺灣體育運動大學,11個月,0,2,2,3,0,0,0,1,0,0,1,0
109,公立,技專校院,0050,國立臺中科技大學,12個月,1,13,5,4,0,1,0,5,8,9,75,1
109,公立,技專校院,0050,國立臺中科技大學,1個月,4,3,0,5,0,0,95,54,31,12,76,6
109,公立,技專校院,0050,國立臺中科技大學,2個月,6,7,1,1,1,2,17,32,23,11,49,4
109,公立,技專校院,0050,國立臺中科技大學,3個月,0,12,3,5,0,2,2,42,18,8,30,2
109,公立,技專校院,0050,國立臺中科技大學,4個月,2,14,1,2,1,0,2,31,17,11,26,3
109,公立,技專校院,0050,國立臺中科技大學,5個月,1,15,2,1,2,0,0,23,22,15,34,1
109,公立,技專校院,0050,國立臺中科技大學,6個月,0,9,0,1,0,0,0,15,11,5,20,0
109,公立,技專校院,0050,國立臺中科技大學,7個月,0,9,0,1,0,0,0,8,6,4,17,2
109,公立,技專校院,0050,國立臺中科技大學,8個月,4,13,1,3,0,0,0,21,3,9,12,0
109,公立,技專校院,0050,國立臺中科技大學,9個月,3,10,1,7,0,0,0,9,20,8,12,0
109,公立,技專校院,0050,國立臺中科技大學,10個月,4,16,1,2,0,0,0,12,7,5,16,0
109,公立,技專校院,0050,國立臺中科技大學,11個月,0,8,1,4,1,1,0,3,2,5,38,0
109,公立,技專校院,0051,國立臺北商業大學,12個月,0,11,6,0,0,0,0,0,0,0,4,1
109,公立,技專校院,0051,國立臺北商業大學,1個月,81,46,26,8,0,0,1,5,4,1,0,0
109,公立,技專校院,0051,國立臺北商業大學,2個月,45,51,12,4,3,0,2,5,0,0,0,1
109,公立,技專校院,0051,國立臺北商業大學,3個月,44,47,6,1,2,0,4,11,0,0,0,0
109,公立,技專校院,0051,國立臺北商業大學,4個月,55,55,7,4,0,0,36,44,9,0,0,20
109,公立,技專校院,0051,國立臺北商業大學,5個月,14,31,9,2,0,0,0,0,4,0,0,0
109,公立,技專校院,0051,國立臺北商業大學,6個月,17,29,8,0,0,0,2,3,0,0,0,2
109,公立,技專校院,0051,國立臺北商業大學,7個月,12,32,6,1,3,0,4,4,0,0,0,0
109,公立,技專校院,0051,國立臺北商業大學,8個月,4,34,8,1,1,0,25,26,4,0,2,0
109,公立,技專校院,0051,國立臺北商業大學,9個月,6,14,7,3,0,0,0,0,0,0,0,0
109,公立,技專校院,0051,國立臺北商業大學,10個月,2,15,2,2,2,0,0,0,0,0,0,1
109,公立,技專校院,0051,國立臺北商業大學,11個月,1,10,1,1,0,0,0,0,0,0,0,0
109,公立,一般大學,0052,國立屏東大學,12個月,2,18,8,10,1,0,0,11,8,10,12,0
109,公立,一般大學,0052,國立屏東大學,1個月,16,37,7,2,2,0,264,123,90,18,21,5
109,公立,一般大學,0052,國立屏東大學,2個月,6,22,2,0,0,0,50,206,43,13,10,0
109,公立,一般大學,0052,國立屏東大學,3個月,4,10,4,2,0,0,27,90,59,9,9,4
109,公立,一般大學,0052,國立屏東大學,4個月,170,17,1,0,0,0,22,103,34,10,7,3
109,公立,一般大學,0052,國立屏東大學,5個月,20,18,3,1,0,0,9,64,43,6,5,1
109,公立,一般大學,0052,國立屏東大學,6個月,3,8,0,0,0,0,13,50,17,6,3,0
109,公立,一般大學,0052,國立屏東大學,7個月,10,7,2,0,0,0,6,24,25,10,1,0
109,公立,一般大學,0052,國立屏東大學,8個月,4,10,1,3,0,0,0,26,22,8,4,0
109,公立,一般大學,0052,國立屏東大學,9個月,14,24,3,0,0,0,2,23,24,7,1,1
