學年度,設立別,學校類別,學校統計處代碼,學校名稱,授課時間,現行支給數額規定開始適用之日期,教授,副教授,助理教授,講師
110,私立,技專校院,1066,環球學校財團法人環球科技大學,夜間,86/10/30,830,710,665,615
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,日間,106/10/8,795,685,630,575
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,夜間,106/10/8,830,710,665,615
110,私立,技專校院,1068,中州學校財團法人中州科技大學,日間,101/06/05,795,685,630,575
110,私立,技專校院,1068,中州學校財團法人中州科技大學,夜間,101/06/05,795,685,630,575
110,私立,技專校院,1069,修平學校財團法人修平科技大學,日間,103/08/01,795,685,630,575
110,私立,技專校院,1069,修平學校財團法人修平科技大學,夜間,103/08/01,830,710,665,615
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,夜間,109/01/01,995,850,800,740
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,日間,109/11/30,795,685,630,575
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,夜間,109/11/30,795,685,630,575
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,日間,109/08/01,925,795,735,670
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,夜間,109/08/01,965,825,775,715
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,日間,109/08/01,795,685,630,575
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,夜間,109/08/01,795,685,630,575
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,日間,103/06/24,795,685,630,575
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,夜間,103/06/24,830,710,665,615
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,日間,105/01/01,795,685,630,575
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,夜間,105/01/01,830,710,665,615
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,日間,108/08/01,955,820,760,695
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,夜間,108/08/01,995,850,800,740
110,私立,技專校院,1078,致理學校財團法人致理科技大學,日間,108/08/01,795,685,630,575
110,私立,技專校院,1078,致理學校財團法人致理科技大學,夜間,108/08/01,830,710,665,615
110,私立,一般大學,1079,康寧學校財團法人康寧大學,日間,110/8/26,795,685,630,575
110,私立,一般大學,1079,康寧學校財團法人康寧大學,夜間,110/8/26,830,710,665,615
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,日間,106/07/25,795,685,630,575
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,夜間,106/07/25,830,710,665,615
110,私立,技專校院,1081,東方學校財團法人東方設計大學,日間,110/05/10,795,685,630,575
110,私立,技專校院,1081,東方學校財團法人東方設計大學,夜間,110/05/10,795,685,630,575
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,日間,101/08/01,795,685,630,575
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,日間,96/08/01,795,685,630,575
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,夜間,96/08/01,795,685,630,575
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,日間,108/10/09,955,820,760,695
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,夜間,108/10/09,995,850,800,740
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,日間,108/8/1,955,820,760,695
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,夜間,108/8/1,995,850,800,740
110,私立,技專校院,1148,大漢技術學院,日間,88/11/17,795,685,630,575
110,私立,技專校院,1148,大漢技術學院,夜間,88/11/17,795,685,630,575
110,私立,技專校院,1159,和春技術學院,日間,107/05/30,795,685,630,575
110,私立,技專校院,1159,和春技術學院,夜間,107/05/30,830,710,665,615
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,日間,109/11/04,795,685,630,575
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,夜間,109/11/04,795,685,630,575
110,私立,技專校院,1182,蘭陽技術學院,日間,110/08/01,795,685,630,575
110,私立,技專校院,1182,蘭陽技術學院,夜間,110/08/01,795,685,630,575
110,私立,技專校院,1183,黎明技術學院,日間,100/07/01,795,685,630,575
110,私立,技專校院,1183,黎明技術學院,夜間,100/07/01,830,710,665,615
110,私立,技專校院,1185,經國管理暨健康學院,日間,86/03/21,795,685,630,575
110,私立,技專校院,1185,經國管理暨健康學院,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1188,大同技術學院,日間,110/08/01,795,685,630,575
110,私立,技專校院,1188,大同技術學院,夜間,110/08/01,795,685,630,575
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,日間,108/8/1,955,820,760,695
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,夜間,108/8/1,995,850,800,740
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,日間,108/8/1,955,825,765,695
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,夜間,108/8/1,995,850,800,740
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,日間,107/12/06,795,685,630,575
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,夜間,107/12/06,830,710,665,615
110,私立,技專校院,1283,仁德醫護管理專科學校,日間,106/05/24,795,685,630,575
110,私立,技專校院,1283,仁德醫護管理專科學校,夜間,106/05/24,830,710,665,615
110,私立,技專校院,1284,樹人醫護管理專科學校,日間,104/04/13,795,685,630,575
110,私立,技專校院,1284,樹人醫護管理專科學校,夜間,104/04/13,830,710,665,615
110,私立,技專校院,1285,慈惠醫護管理專科學校,日間,106/05/10,795,685,630,575
110,私立,技專校院,1285,慈惠醫護管理專科學校,夜間,106/05/10,835,725,670,615
110,私立,技專校院,1286,耕莘健康管理專科學校,日間,90/08/01,795,685,630,575
110,私立,技專校院,1286,耕莘健康管理專科學校,夜間,90/08/01,830,710,665,615
110,私立,技專校院,1287,敏惠醫護管理專科學校,日間,109/07/22,795,685,630,575
110,私立,技專校院,1287,敏惠醫護管理專科學校,夜間,109/07/22,830,710,665,615
110,私立,技專校院,1289,育英醫護管理專科學校,日間,110/02/01,795,685,630,575
110,私立,技專校院,1291,聖母醫護管理專科學校,日間,106/08/01,952,795,735,670
110,私立,技專校院,1291,聖母醫護管理專科學校,夜間,106/08/01,965,825,775,715
110,私立,技專校院,1292,新生醫護管理專科學校,日間,110/02/01,795,685,630,575
110,私立,技專校院,1292,新生醫護管理專科學校,夜間,110/02/01,795,685,630,575
110,私立,技專校院,1293,崇仁醫護管理專科學校,日間,94/08/01,790,685,630,575
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,日間,108/8/1,955,820,760,695
110,私立,宗教研修學院,1R03,臺北基督學院,日間,108/8/1,955,820,760,695
110,私立,宗教研修學院,1R03,臺北基督學院,夜間,108/8/1,995,850,800,740
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,日間,108/1/1,955,820,760,695
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,夜間,108/1/1,995,850,800,740
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,日間,107/8/1,925,795,735,670
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,夜間,107/8/1,925,795,735,670
110,私立,宗教研修學院,1R06,一貫道崇德學院,日間,108/8/1,955,820,760,695
110,私立,宗教研修學院,1R06,一貫道崇德學院,夜間,108/8/1,995,850,800,740
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,日間,107/1/1,925,795,735,670
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,夜間,107/1/1,925,795,735,670
110,私立,宗教研修學院,1R08,中華福音神學研究學院,日間,110/10/14,1000,900,850,800
110,私立,宗教研修學院,1R08,中華福音神學研究學院,夜間,110/10/14,1000,900,850,800
110,私立,宗教研修學院,1R09,唯心聖教學院,日間,110/9/1,955,820,760,695
110,私立,宗教研修學院,1R09,唯心聖教學院,夜間,110/9/1,995,850,800,740
