,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,小計,低收入戶學生,中低收入戶學生,身心障礙學生及身心障礙人士子女,特殊境遇家庭之子女,原住民學生
,101,1,私立,一般大學,1125,興國管理學院,526,62,11,112,0,341
,101,1,私立,一般大學,1176,稻江科技暨管理學院,611,162,26,247,11,165
,101,1,私立,一般大學,1195,馬偕醫學院,18,3,1,9,1,4
,101,1,私立,一般大學,1R01,法鼓佛教學院,0,0,0,0,0,0
,101,1,私立,一般大學,1R02,基督教台灣浸會神學院,1,0,0,0,0,1
,101,1,私立,一般大學,1R03,臺北基督學院,7,2,0,4,0,1
,101,1,私立,技專校院,1018,朝陽科技大學,1556,334,154,834,73,161
,101,1,私立,技專校院,1023,南臺科技大學,1758,442,201,940,86,89
,101,1,私立,技專校院,1024,崑山科技大學,1250,297,93,710,48,102
,101,1,私立,技專校院,1025,嘉南藥理大學,2216,571,291,1002,103,249
,101,1,私立,技專校院,1026,樹德科技大學,1428,412,156,646,73,141
,101,1,私立,技專校院,1030,龍華科技大學,934,202,35,573,15,109
,101,1,私立,技專校院,1031,輔英科技大學,1247,440,135,495,56,121
,101,1,私立,技專校院,1032,明新科技大學,1207,192,63,740,31,181
,101,1,私立,技專校院,1034,弘光科技大學,1289,240,89,728,50,182
,101,1,私立,技專校院,1036,健行科技大學,1265,197,45,747,46,230
,101,1,私立,技專校院,1037,正修科技大學,2143,537,253,1070,103,180
,101,1,私立,技專校院,1038,萬能科技大學,1166,167,43,638,30,288
,101,1,私立,技專校院,1040,建國科技大學,1194,223,120,725,58,68
,101,1,私立,技專校院,1041,明志科技大學,341,72,23,185,17,44
,101,1,私立,技專校院,1042,高苑科技大學,1186,377,128,488,52,141
,101,1,私立,技專校院,1043,大仁科技大學,1493,430,148,569,55,291
,101,1,私立,技專校院,1044,聖約翰科技大學,709,214,35,375,10,75
,101,1,私立,技專校院,1045,嶺東科技大學,1020,222,72,614,36,76
,101,1,私立,技專校院,1046,中國科技大學,1281,380,55,646,22,178
,101,1,私立,技專校院,1047,中臺科技大學,1048,214,86,571,35,142
,101,1,私立,技專校院,1051,台南應用科技大學,1309,350,106,675,61,117
,101,1,私立,技專校院,1052,遠東科技大學,1331,419,124,626,59,103
,101,1,私立,技專校院,1053,元培醫事科技大學,812,166,35,447,26,138
,101,1,私立,技專校院,1054,景文科技大學,936,264,47,473,22,130
,101,1,私立,技專校院,1055,中華醫事科技大學,1205,332,102,625,61,85
,101,1,私立,技專校院,1056,東南科技大學,953,364,43,431,12,103
,101,1,私立,技專校院,1057,德明財經科技大學,980,294,46,546,18,76
,101,1,私立,技專校院,1060,南開科技大學,802,169,46,471,34,82
,101,1,私立,技專校院,1061,中華科技大學,1026,323,47,473,19,164
,101,1,私立,技專校院,1062,僑光科技大學,853,173,69,492,29,90
,101,1,私立,技專校院,1063,育達科技大學,951,207,44,516,36,148
,101,1,私立,技專校院,1064,美和科技大學,1856,517,112,552,42,633
,101,1,私立,技專校院,1065,吳鳳科技大學,985,212,67,586,46,74
,101,1,私立,技專校院,1066,環球科技大學,1368,263,55,629,37,384
,101,1,私立,技專校院,1068,中州科技大學,874,201,84,491,21,77
,101,1,私立,技專校院,1069,修平科技大學,724,164,54,420,24,62
,101,1,私立,技專校院,1070,長庚科技大學,830,166,29,426,28,181
,101,1,私立,技專校院,1071,臺北城市科技大學,1258,498,41,564,9,146
,101,1,私立,技專校院,1072,大華科技大學,529,108,13,252,16,140
,101,1,私立,技專校院,1073,醒吾科技大學,1000,255,46,493,18,188
,101,1,私立,技專校院,1147,文藻外語學院,691,171,75,334,34,77
,101,1,私立,技專校院,1148,大漢技術學院,998,110,5,245,14,624
,101,1,私立,技專校院,1150,慈濟技術學院,735,145,8,128,9,445
,101,1,私立,技專校院,1154,永達技術學院,386,82,15,131,2,156
,101,1,私立,技專校院,1159,和春技術學院,877,297,46,412,8,114
,101,1,私立,技專校院,1164,致理技術學院,1018,294,39,568,23,94
,101,1,私立,技專校院,1166,亞東技術學院,499,149,19,271,12,48
,101,1,私立,技專校院,1168,桃園創新技術學院,953,186,29,505,31,202
,101,1,私立,技專校院,1179,德霖技術學院,919,286,32,461,10,130
,101,1,私立,技專校院,1181,南榮技術學院,437,112,24,248,24,29
,101,1,私立,技專校院,1182,蘭陽技術學院,660,212,19,306,9,114
,101,1,私立,技專校院,1183,黎明技術學院,540,180,24,260,3,73
,101,1,私立,技專校院,1184,東方設計學院,707,280,75,270,17,65
,101,1,私立,技專校院,1185,經國管理暨健康學院,772,278,36,324,8,126
,101,1,私立,技專校院,1187,崇右技術學院,514,196,13,222,5,78
,101,1,私立,技專校院,1188,大同技術學院,633,146,24,310,20,133
,101,1,私立,技專校院,1189,亞太創意技術學院,522,123,10,276,5,108
,101,1,私立,技專校院,1190,高鳳數位內容學院,221,72,13,71,2,63
,101,1,私立,技專校院,1191,華夏技術學院,626,194,24,338,8,62
,101,1,私立,技專校院,1192,臺灣觀光學院,591,93,11,167,6,314
,101,1,私立,技專校院,1197,台北海洋技術學院,842,349,32,352,17,92
,101,1,私立,技專校院,1281,康寧醫護暨管理專科學校,300,141,9,104,2,44
,101,1,私立,技專校院,1282,馬偕醫護管理專科學校,577,159,9,107,2,300
,101,1,私立,技專校院,1283,仁德醫護管理專科學校,708,221,11,276,18,182
,101,1,私立,技專校院,1284,樹人醫護管理專科學校,710,324,18,191,23,154
,101,1,私立,技專校院,1285,慈惠醫護管理專科學校,1323,584,26,182,20,511
,101,1,私立,技專校院,1286,耕莘健康管理專科學校,543,254,12,134,12,131
,101,1,私立,技專校院,1287,敏惠醫護管理專科學校,402,173,11,132,16,70
,101,1,私立,技專校院,1288,高美醫護管理專科學校,173,73,1,41,2,56
,101,1,私立,技專校院,1289,育英醫護管理專科學校,225,143,3,45,3,31
,101,1,私立,技專校院,1290,崇仁醫護管理專科學校,259,109,4,109,9,28
,101,1,私立,技專校院,1291,聖母醫護管理專科學校,593,235,10,144,4,200
,101,1,私立,技專校院,1292,新生醫護管理專科學校,711,244,2,127,14,324
,101,2,公立,一般大學,1,國立政治大學,714,83,27,425,15,164
,101,2,公立,一般大學,2,國立清華大學,491,58,27,356,9,41
,101,2,公立,一般大學,3,國立臺灣大學,1302,119,51,874,20,238
,101,2,公立,一般大學,4,國立臺灣師範大學,753,94,36,403,16,204
,101,2,公立,一般大學,5,國立成功大學,976,105,52,690,29,100
,101,2,公立,一般大學,6,國立中興大學,672,87,33,473,13,66
,101,2,公立,一般大學,7,國立交通大學,481,60,21,357,10,33
,101,2,公立,一般大學,8,國立中央大學,537,57,22,403,18,37
,101,2,公立,一般大學,9,國立中山大學,469,71,31,310,22,35
,101,2,公立,一般大學,12,國立臺灣海洋大學,453,68,30,302,13,40
,101,2,公立,一般大學,13,國立中正大學,623,84,41,414,17,67
,101,2,公立,一般大學,14,國立高雄師範大學,393,60,35,226,15,57
,101,2,公立,一般大學,15,國立彰化師範大學,424,57,39,261,24,43
,101,2,公立,一般大學,16,國立陽明大學,150,12,6,112,3,17
,101,2,公立,一般大學,17,國立臺北大學,534,82,20,322,5,105
,101,2,公立,一般大學,18,國立嘉義大學,856,111,92,504,36,113
,101,2,公立,一般大學,19,國立高雄大學,332,53,25,212,11,31
,101,2,公立,一般大學,20,國立東華大學,991,148,39,373,10,421
,101,2,公立,一般大學,21,國立暨南國際大學,391,46,36,218,23,68
,101,2,公立,一般大學,28,國立臺北藝術大學,154,17,6,77,6,48
,101,2,公立,一般大學,29,國立臺灣藝術大學,281,30,8,182,5,56
,101,2,公立,一般大學,30,國立臺東大學,454,74,27,166,14,173
,101,2,公立,一般大學,31,國立宜蘭大學,407,67,34,241,15,50
,101,2,公立,一般大學,32,國立聯合大學,557,83,60,344,14,56
,101,2,公立,一般大學,35,國立臺南藝術大學,85,15,5,50,1,14
,101,2,公立,一般大學,36,國立臺南大學,431,73,36,238,25,59
,101,2,公立,一般大學,37,國立臺北教育大學,266,40,11,144,8,63
,101,2,公立,一般大學,38,國立新竹教育大學,256,33,17,131,7,68
,101,2,公立,一般大學,39,國立臺中教育大學,330,46,27,170,19,68
,101,2,公立,一般大學,40,國立屏東教育大學,457,52,46,175,16,168
,101,2,公立,一般大學,44,國立體育大學,247,32,10,89,10,106
,101,2,公立,一般大學,48,國立金門大學,345,67,16,215,4,43
,101,2,公立,一般大學,49,國立臺灣體育運動大學,440,74,26,137,10,193
,101,2,公立,一般大學,3001,臺北市立教育大學,258,44,10,130,10,64
,101,2,公立,一般大學,3102,臺北市立體育學院,325,55,10,95,9,156
,101,2,公立,技專校院,22,國立臺灣科技大學,355,87,40,127,27,74
,101,2,公立,技專校院,23,國立雲林科技大學,441,111,57,168,34,71
,101,2,公立,技專校院,24,國立屏東科技大學,961,235,135,370,42,179
,101,2,公立,技專校院,25,國立臺北科技大學,477,117,56,173,18,113
,101,2,公立,技專校院,26,國立高雄第一科技大學,463,122,53,175,40,73
,101,2,公立,技專校院,27,國立高雄應用科技大學,749,185,97,282,43,142
,101,2,公立,技專校院,33,國立虎尾科技大學,550,136,70,206,42,96
,101,2,公立,技專校院,34,國立高雄海洋科技大學,658,150,121,271,26,90
,101,2,公立,技專校院,42,國立澎湖科技大學,275,92,28,120,10,25
,101,2,公立,技專校院,43,國立勤益科技大學,611,161,70,231,34,115
,101,2,公立,技專校院,46,國立臺北護理健康大學,271,67,23,90,6,85
,101,2,公立,技專校院,47,國立高雄餐旅大學,418,107,54,161,22,74
,101,2,公立,技專校院,50,國立臺中科技大學,976,223,113,336,35,269
,101,2,公立,技專校院,136,國立屏東商業技術學院,431,92,75,167,25,72
,101,2,公立,技專校院,142,國立臺北商業技術學院,739,150,42,192,14,341
,101,2,公立,技專校院,144,國立臺灣戲曲學院,67,20,5,25,1,16
,101,2,公立,技專校院,221,國立臺南護理專科學校,203,61,10,71,10,51
,101,2,公立,技專校院,222,國立臺東專科學校,262,61,17,78,3,103
,101,2,私立,一般大學,1001,東海大學,925,156,80,592,46,51
,101,2,私立,一般大學,1002,輔仁大學,1364,255,89,797,29,194
,101,2,私立,一般大學,1003,東吳大學,777,166,49,443,15,104
,101,2,私立,一般大學,1004,中原大學,805,132,53,522,36,62
,101,2,私立,一般大學,1005,淡江大學,1472,282,106,884,50,150
,101,2,私立,一般大學,1006,中國文化大學,1658,360,114,860,51,273
,101,2,私立,一般大學,1007,逢甲大學,1158,181,101,734,74,68
,101,2,私立,一般大學,1008,靜宜大學,893,167,97,489,53,87
,101,2,私立,一般大學,1009,長庚大學,357,44,15,268,10,20
,101,2,私立,一般大學,1010,元智大學,364,47,17,264,15,21
,101,2,私立,一般大學,1011,中華大學,562,100,31,346,18,67
,101,2,私立,一般大學,1012,大葉大學,753,146,95,417,29,66
,101,2,私立,一般大學,1013,華梵大學,256,71,16,142,5,22
,101,2,私立,一般大學,1014,義守大學,1271,234,138,659,53,187
,101,2,私立,一般大學,1015,世新大學,740,152,53,368,28,139
,101,2,私立,一般大學,1016,銘傳大學,1078,212,75,607,50,134
,101,2,私立,一般大學,1017,實踐大學,1181,238,64,624,39,216
,101,2,私立,一般大學,1019,高雄醫學大學,340,36,21,223,21,39
,101,2,私立,一般大學,1020,南華大學,477,107,22,264,20,64
,101,2,私立,一般大學,1021,真理大學,698,164,55,328,23,128
,101,2,私立,一般大學,1022,大同大學,202,36,16,136,6,8
,101,2,私立,一般大學,1027,慈濟大學,274,28,19,154,12,61
,101,2,私立,一般大學,1028,臺北醫學大學,262,32,9,186,6,29
,101,2,私立,一般大學,1029,中山醫學大學,496,88,31,283,24,70
,101,2,私立,一般大學,1033,長榮大學,998,205,109,428,60,196
,101,2,私立,一般大學,1035,中國醫藥大學,436,55,18,294,8,61
,101,2,私立,一般大學,1039,玄奘大學,612,132,32,281,15,152
,101,2,私立,一般大學,1048,亞洲大學,935,187,75,503,39,131
,101,2,私立,一般大學,1049,開南大學,787,154,36,405,24,168
,101,2,私立,一般大學,1050,佛光大學,244,56,8,121,5,54
,101,2,私立,一般大學,1058,明道大學,714,113,74,380,14,133
,101,2,私立,一般大學,1059,康寧大學,294,114,16,112,7,45
,101,2,私立,一般大學,1067,台灣首府大學,942,253,73,372,32,212
,101,2,私立,一般大學,1125,興國管理學院,409,50,11,106,0,242
,101,2,私立,一般大學,1176,稻江科技暨管理學院,564,141,22,235,15,151
,101,2,私立,一般大學,1195,馬偕醫學院,17,3,1,8,1,4
,101,2,私立,一般大學,1R01,法鼓佛教學院,0,0,0,0,0,0
,101,2,私立,一般大學,1R02,基督教台灣浸會神學院,1,0,0,0,0,1
,101,2,私立,一般大學,1R03,臺北基督學院,7,2,0,4,0,1
,101,2,私立,技專校院,1018,朝陽科技大學,1167,300,169,469,73,156
,101,2,私立,技專校院,1023,南臺科技大學,1338,366,214,580,95,83
,101,2,私立,技專校院,1024,崑山科技大學,851,255,103,358,42,93
,101,2,私立,技專校院,1025,嘉南藥理大學,1938,497,295,792,99,255
,101,2,私立,技專校院,1026,樹德科技大學,1262,365,164,529,66,138
,101,2,私立,技專校院,1030,龍華科技大學,613,170,74,244,18,107
,101,2,私立,技專校院,1031,輔英科技大學,1209,381,138,519,51,120
,101,2,私立,技專校院,1032,明新科技大學,644,152,68,220,36,168
,101,2,私立,技專校院,1034,弘光科技大學,830,209,94,303,54,170
,101,2,私立,技專校院,1036,健行科技大學,692,158,57,215,50,212
,101,2,私立,技專校院,1037,正修科技大學,1643,449,239,688,96,171
,101,2,私立,技專校院,1038,萬能科技大學,678,147,41,188,35,267
,101,2,私立,技專校院,1040,建國科技大學,786,206,125,331,64,60
,101,2,私立,技專校院,1041,明志科技大學,232,65,23,88,13,43
,101,2,私立,技專校院,1042,高苑科技大學,1059,305,131,436,50,137
,101,2,私立,技專校院,1043,大仁科技大學,1339,358,145,503,57,276
,101,2,私立,技專校院,1044,聖約翰科技大學,525,192,31,223,9,70
,101,2,私立,技專校院,1045,嶺東科技大學,680,204,83,287,34,72
,101,2,私立,技專校院,1046,中國科技大學,987,317,83,400,21,166
,101,2,私立,技專校院,1047,中臺科技大學,708,196,82,278,35,117
,101,2,私立,技專校院,1051,台南應用科技大學,1062,317,127,444,56,118
,101,2,私立,技專校院,1052,遠東科技大學,1186,367,146,513,66,94
,101,2,私立,技專校院,1053,元培醫事科技大學,530,141,44,185,26,134
,101,2,私立,技專校院,1054,景文科技大學,711,224,59,283,20,125
,101,2,私立,技專校院,1055,中華醫事科技大學,955,299,107,406,57,86
,101,2,私立,技專校院,1056,東南科技大學,854,317,55,372,16,94
,101,2,私立,技專校院,1057,德明財經科技大學,692,235,62,297,18,80
,101,2,私立,技專校院,1060,南開科技大學,510,154,42,196,37,81
,101,2,私立,技專校院,1061,中華科技大學,871,283,63,346,17,162
,101,2,私立,技專校院,1062,僑光科技大學,608,162,85,247,29,85
,101,2,私立,技專校院,1063,育達科技大學,627,186,42,228,33,138
,101,2,私立,技專校院,1064,美和科技大學,1783,456,114,570,37,606
,101,2,私立,技專校院,1065,吳鳳科技大學,651,186,82,268,44,71
,101,2,私立,技專校院,1066,環球科技大學,920,228,59,287,34,312
,101,2,私立,技專校院,1068,中州科技大學,685,195,100,295,25,70
,101,2,私立,技專校院,1069,修平科技大學,492,149,54,203,26,60
,101,2,私立,技專校院,1070,長庚科技大學,569,148,37,185,29,170
,101,2,私立,技專校院,1071,臺北城市科技大學,1078,402,65,467,9,135
,101,2,私立,技專校院,1072,大華科技大學,352,90,15,105,16,126
,101,2,私立,技專校院,1073,醒吾科技大學,720,215,49,264,15,177
,101,2,私立,技專校院,1147,文藻外語學院,562,156,72,228,30,76
,101,2,私立,技專校院,1148,大漢技術學院,790,97,11,108,6,568
,101,2,私立,技專校院,1150,慈濟技術學院,731,130,9,139,8,445
,101,2,私立,技專校院,1154,永達技術學院,317,72,16,88,2,139
,101,2,私立,技專校院,1159,和春技術學院,765,276,47,323,10,109
,101,2,私立,技專校院,1164,致理技術學院,759,260,60,320,24,95
,101,2,私立,技專校院,1166,亞東技術學院,376,134,26,160,13,43
,101,2,私立,技專校院,1168,桃園創新技術學院,586,155,27,182,30,192
,101,2,私立,技專校院,1179,德霖技術學院,701,244,41,285,9,122
,101,2,私立,技專校院,1181,南榮技術學院,293,96,25,121,22,29
,101,2,私立,技專校院,1182,蘭陽技術學院,525,178,28,206,11,102
,101,2,私立,技專校院,1183,黎明技術學院,440,153,34,187,3,63
,101,2,私立,技專校院,1184,東方設計學院,717,241,73,314,19,70
,101,2,私立,技專校院,1185,經國管理暨健康學院,659,216,50,266,7,120
,101,2,私立,技專校院,1187,崇右技術學院,479,175,23,198,5,78
,101,2,私立,技專校院,1188,大同技術學院,466,129,30,159,20,128
,101,2,私立,技專校院,1189,亞太創意技術學院,357,105,20,125,6,101
,101,2,私立,技專校院,1190,高鳳數位內容學院,197,60,9,69,2,57
,101,2,私立,技專校院,1191,華夏技術學院,469,169,32,201,9,58
,101,2,私立,技專校院,1192,臺灣觀光學院,502,85,20,105,5,287
,101,2,私立,技專校院,1197,台北海洋技術學院,801,304,49,353,11,84
,101,2,私立,技專校院,1281,康寧醫護暨管理專科學校,342,136,13,149,2,42
,101,2,私立,技專校院,1282,馬偕醫護管理專科學校,621,153,10,163,4,291
,101,2,私立,技專校院,1283,仁德醫護管理專科學校,648,208,17,225,18,180
,101,2,私立,技專校院,1284,樹人醫護管理專科學校,824,300,21,321,24,158
,101,2,私立,技專校院,1285,慈惠醫護管理專科學校,1648,542,29,571,21,485
,101,2,私立,技專校院,1286,耕莘健康管理專科學校,643,231,19,250,11,132
,101,2,私立,技專校院,1287,敏惠醫護管理專科學校,427,151,13,164,15,84
,101,2,私立,技專校院,1288,高美醫護管理專科學校,202,69,2,71,1,59
,101,2,私立,技專校院,1289,育英醫護管理專科學校,290,123,7,130,2,28
,101,2,私立,技專校院,1290,崇仁醫護管理專科學校,236,93,7,100,8,28
,101,2,私立,技專校院,1291,聖母醫護管理專科學校,630,205,10,215,7,193
,101,2,私立,技專校院,1292,新生醫護管理專科學校,803,225,9,234,12,323
,102,1,公立,一般大學,1,國立政治大學,713,94,37,395,18,169
,102,1,公立,一般大學,2,國立清華大學,522,75,30,363,14,40
,102,1,公立,一般大學,3,國立臺灣大學,1362,165,64,862,25,246
,102,1,公立,一般大學,4,國立臺灣師範大學,830,103,50,434,17,226
,102,1,公立,一般大學,5,國立成功大學,987,126,70,668,33,90
,102,1,公立,一般大學,6,國立中興大學,726,97,45,476,22,86
,102,1,公立,一般大學,7,國立交通大學,465,62,29,326,12,36
,102,1,公立,一般大學,8,國立中央大學,546,67,25,398,20,36
,102,1,公立,一般大學,9,國立中山大學,493,82,50,307,18,36
,102,1,公立,一般大學,12,國立臺灣海洋大學,476,81,48,287,17,43
,102,1,公立,一般大學,13,國立中正大學,668,96,49,432,27,64
,102,1,公立,一般大學,14,國立高雄師範大學,392,60,46,207,13,66
,102,1,公立,一般大學,15,國立彰化師範大學,457,62,54,263,25,53
,102,1,公立,一般大學,16,國立陽明大學,153,16,5,108,6,18
,102,1,公立,一般大學,17,國立臺北大學,563,87,33,335,11,97
,102,1,公立,一般大學,18,國立嘉義大學,903,129,120,496,34,124
,102,1,公立,一般大學,19,國立高雄大學,346,58,37,210,8,33
,102,1,公立,一般大學,20,國立東華大學,1119,194,54,371,16,484
,102,1,公立,一般大學,21,國立暨南國際大學,398,48,43,217,24,66
,102,1,公立,一般大學,28,國立臺北藝術大學,166,21,9,83,6,47
,102,1,公立,一般大學,29,國立臺灣藝術大學,284,40,17,170,2,55
,102,1,公立,一般大學,30,國立臺東大學,527,79,45,155,14,234
,102,1,公立,一般大學,31,國立宜蘭大學,445,86,42,247,14,56
,102,1,公立,一般大學,32,國立聯合大學,579,100,65,340,18,56
,102,1,公立,一般大學,35,國立臺南藝術大學,97,17,9,54,0,17
,102,1,公立,一般大學,36,國立臺南大學,446,83,53,218,28,64
,102,1,公立,一般大學,37,國立臺北教育大學,285,44,16,149,9,67
,102,1,公立,一般大學,38,國立新竹教育大學,262,41,22,119,6,74
,102,1,公立,一般大學,39,國立臺中教育大學,344,57,33,166,19,69
,102,1,公立,一般大學,40,國立屏東教育大學,553,82,59,183,17,212
,102,1,公立,一般大學,44,國立體育大學,273,42,16,87,10,118
,102,1,公立,一般大學,48,國立金門大學,408,73,25,243,6,61
,102,1,公立,一般大學,49,國立臺灣體育運動大學,449,81,37,131,11,189
,102,1,公立,一般大學,3002,臺北市立大學,627,113,38,218,18,240
,102,1,公立,技專校院,22,國立臺灣科技大學,634,110,56,365,30,73
,102,1,公立,技專校院,23,國立雲林科技大學,731,154,69,398,35,75
,102,1,公立,技專校院,24,國立屏東科技大學,1236,265,209,529,50,183
,102,1,公立,技專校院,25,國立臺北科技大學,885,154,70,517,22,122
,102,1,公立,技專校院,26,國立高雄第一科技大學,668,142,68,336,40,82
,102,1,公立,技專校院,27,國立高雄應用科技大學,1120,217,135,573,50,145
,102,1,公立,技專校院,33,國立虎尾科技大學,869,154,95,478,48,94
,102,1,公立,技專校院,34,國立高雄海洋科技大學,806,181,162,346,31,86
,102,1,公立,技專校院,42,國立澎湖科技大學,282,91,37,126,7,21
,102,1,公立,技專校院,43,國立勤益科技大學,1099,188,116,629,43,123
