,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,101,私立,一般大學,1010,元智大學,桃園縣,自有,2892,1440,1452,122,115,7
,101,私立,一般大學,1011,中華大學,新竹市,自有,2899,1485,1414,0,0,0
,101,私立,一般大學,1012,大葉大學,彰化縣,自有,2087,968,1119,0,0,0
,101,私立,一般大學,1013,華梵大學,新北市,自有,861,372,489,0,0,0
,101,私立,一般大學,1014,義守大學,高雄市,自有,4222,1882,2340,2226,1262,964
,101,私立,一般大學,1015,世新大學,臺北市,自有,499,134,365,0,0,0
,101,私立,一般大學,1015,世新大學,新北市,自有,327,60,267,214,54,160
,101,私立,一般大學,1016,銘傳大學,臺北市,自有,922,334,588,196,112,84
,101,私立,一般大學,1016,銘傳大學,桃園縣,自有,1466,440,1026,644,304,340
,101,私立,一般大學,1016,銘傳大學,金門縣,自有,100,56,44,0,0,0
,101,私立,一般大學,1017,實踐大學,臺北市,自有,958,0,958,260,136,124
,101,私立,一般大學,1017,實踐大學,高雄市,自有,1373,0,1373,606,606,0
,101,私立,一般大學,1019,高雄醫學大學,高雄市,自有,1360,588,772,0,0,0
,101,私立,一般大學,1020,南華大學,嘉義縣,自有,1392,345,1047,0,0,0
,101,私立,一般大學,1021,真理大學,新北市,自有,1088,360,728,0,0,0
,101,私立,一般大學,1021,真理大學,臺南市,自有,656,272,384,0,0,0
,101,私立,一般大學,1022,大同大學,臺北市,自有,1026,692,334,0,0,0
,101,私立,一般大學,1027,慈濟大學,花蓮縣,自有,3522,1347,2175,0,0,0
,101,私立,一般大學,1028,臺北醫學大學,臺北市,自有,810,360,450,0,0,0
,101,私立,一般大學,1029,中山醫學大學,臺中市,自有,1672,712,960,0,0,0
,101,私立,一般大學,1033,長榮大學,臺南市,自有,2966,1349,1617,0,0,0
,101,私立,一般大學,1035,中國醫藥大學,臺中市,自有,415,210,205,0,0,0
,101,私立,一般大學,1035,中國醫藥大學,雲林縣,自有,856,384,472,0,0,0
,101,私立,一般大學,1039,玄奘大學,新竹市,自有,1300,570,730,50,16,34
,101,私立,一般大學,1048,亞洲大學,臺中市,自有,4425,1582,2843,0,0,0
,101,私立,一般大學,1049,開南大學,桃園縣,自有,1646,716,930,0,0,0
,101,私立,一般大學,1050,佛光大學,宜蘭縣,自有,1638,586,1052,0,0,0
,101,私立,一般大學,1058,明道大學,彰化縣,自有,985,526,459,1104,568,536
,101,私立,一般大學,1059,康寧大學,臺南市,自有,2074,888,1186,0,0,0
,101,私立,一般大學,1067,台灣首府大學,臺南市,自有,1724,953,771,0,0,0
,101,私立,一般大學,1125,興國管理學院,臺南市,自有,1641,666,975,0,0,0
,101,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,自有,1304,754,550,0,0,0
,101,私立,一般大學,1195,馬偕醫學院,新北市,自有,486,282,204,0,0,0
,101,私立,一般大學,1R01,法鼓佛教學院,新北市,自有,124,24,100,0,0,0
,101,私立,一般大學,1R02,基督教台灣浸會神學院,臺北市,自有,64,32,32,0,0,0
,101,私立,一般大學,1R03,臺北基督學院,新北市,自有,1066,204,862,0,0,0
,101,私立,技專校院,1018,朝陽科技大學,臺中市,自有,1076,416,660,1064,354,710
,101,私立,技專校院,1023,南臺科技大學,臺南市,自有,3408,1476,1932,0,0,0
,101,私立,技專校院,1024,崑山科技大學,臺南市,自有,1881,1271,610,0,0,0
,101,私立,技專校院,1025,嘉南藥理大學,臺南市,自有,3046,620,2426,0,0,0
,101,私立,技專校院,1026,樹德科技大學,高雄市,自有,2562,814,1748,0,0,0
,101,私立,技專校院,1030,龍華科技大學,桃園縣,自有,746,402,344,0,0,0
,101,私立,技專校院,1031,輔英科技大學,高雄市,自有,2826,402,2424,0,0,0
,101,私立,技專校院,1032,明新科技大學,新竹縣,自有,2151,1100,1051,0,0,0
,101,私立,技專校院,1034,弘光科技大學,臺中市,自有,364,50,314,2967,989,1978
,101,私立,技專校院,1036,健行科技大學,桃園縣,自有,1520,910,610,0,0,0
,101,私立,技專校院,1037,正修科技大學,高雄市,自有,968,472,496,526,266,260
,101,私立,技專校院,1038,萬能科技大學,桃園縣,自有,1746,929,817,300,143,157
,101,私立,技專校院,1040,建國科技大學,彰化縣,自有,554,267,287,368,208,160
,101,私立,技專校院,1041,明志科技大學,新北市,自有,3018,2124,894,0,0,0
,101,私立,技專校院,1042,高苑科技大學,高雄市,自有,1494,976,518,0,0,0
,101,私立,技專校院,1043,大仁科技大學,屏東縣,自有,1310,496,814,0,0,0
,101,私立,技專校院,1044,聖約翰科技大學,新北市,自有,1309,805,504,0,0,0
,101,私立,技專校院,1045,嶺東科技大學,臺中市,自有,580,0,580,0,0,0
,101,私立,技專校院,1046,中國科技大學,臺北市,自有,88,0,88,0,0,0
,101,私立,技專校院,1046,中國科技大學,新竹縣,自有,1286,436,850,0,0,0
,101,私立,技專校院,1047,中臺科技大學,臺中市,自有,1098,293,805,0,0,0
,101,私立,技專校院,1051,台南應用科技大學,臺南市,自有,1468,370,1098,0,0,0
,101,私立,技專校院,1052,遠東科技大學,臺南市,自有,1584,972,612,0,0,0
,101,私立,技專校院,1053,元培醫事科技大學,新竹市,自有,564,0,564,612,363,249
,101,私立,技專校院,1054,景文科技大學,新北市,自有,887,247,640,0,0,0
,101,私立,技專校院,1055,中華醫事科技大學,臺南市,自有,2240,582,1658,0,0,0
,101,私立,技專校院,1056,東南科技大學,新北市,自有,743,488,255,0,0,0
,101,私立,技專校院,1057,德明財經科技大學,臺北市,自有,600,108,492,0,0,0
,101,私立,技專校院,1060,南開科技大學,南投縣,自有,882,630,252,0,0,0
,101,私立,技專校院,1061,中華科技大學,臺北市,自有,502,332,170,0,0,0
,101,私立,技專校院,1061,中華科技大學,新竹縣,自有,320,167,153,0,0,0
,101,私立,技專校院,1062,僑光科技大學,臺中市,自有,870,221,649,0,0,0
,101,私立,技專校院,1063,育達科技大學,苗栗縣,自有,1675,541,1134,0,0,0
,101,私立,技專校院,1064,美和科技大學,屏東縣,自有,928,198,730,0,0,0
,101,私立,技專校院,1065,吳鳳科技大學,嘉義縣,自有,1288,876,412,0,0,0
,101,私立,技專校院,1066,環球科技大學,雲林縣,自有,919,360,559,0,0,0
,101,私立,技專校院,1068,中州科技大學,彰化縣,自有,980,582,398,0,0,0
,101,私立,技專校院,1069,修平科技大學,臺中市,自有,1346,828,518,0,0,0
,101,私立,技專校院,1070,長庚科技大學,桃園縣,自有,5299,228,5071,0,0,0
,101,私立,技專校院,1070,長庚科技大學,嘉義縣,自有,2020,212,1808,0,0,0
,101,私立,技專校院,1071,臺北城市科技大學,臺北市,自有,587,315,272,0,0,0
,101,私立,技專校院,1072,大華科技大學,新竹縣,自有,633,287,346,0,0,0
,101,私立,技專校院,1073,醒吾科技大學,新北市,自有,447,165,282,0,0,0
,101,私立,技專校院,1147,文藻外語學院,高雄市,自有,736,86,650,0,0,0
,101,私立,技專校院,1148,大漢技術學院,花蓮縣,自有,280,190,90,0,0,0
