學校名稱,採購案件公告網址
致理科技大學,http://financialreport.chihlee.edu.tw/files/11-1032-2505.php?Lang=zh-tw
醒吾科技大學,http://info.hwu.edu.tw/
德明財經科技大學,http://www.takming.edu.tw/purchase/
臺灣觀光學院,http://gen.tht.edu.tw/files/11-1012-1291.php
崇右技術學院,http://www.cit.edu.tw/releaseRedirect.do?unitID=183&pageID=8204
元培醫事科技大學,http://info.ypu.edu.tw/bin/home.php
中臺科技大學,http://spa.ctust.edu.tw/bin/home.php
中華醫事科技大學,http://www.hwai.edu.tw/hwaipublic/pub/LIT_6.asp
大仁科技大學,http://a06.tajen.edu.tw/files/90-1006-3.php
美和科技大學,http://b012.meiho.edu.tw/files/11-1012-2553.php
經國管理暨健康學院,http://www.cku.edu.tw/files/13-1000-408.php?Lang=zh-tw
長庚科技大學,http://web.cgust.edu.tw/PublicInfo/
慈濟科技大學,http://ga-epage.tccn.edu.tw/files/40-1006-24.php
文藻外語大學,http://c005.wzu.edu.tw/front/bin/ptdetail.phtml?Part=15080023&Rcg=15
台北海洋技術學院,http://bdgt.tcmt.edu.tw/files/13-1023-4404.php?Lang=zh-tw
馬偕醫護管理專科學校,http://www.mkc.edu.tw/releaseRedirect.do?unitID=183&pageID=3212
仁德醫護管理專科學校,http://oga.jente.edu.tw/index.php/2015-07-15-07-10-2/2015-07-27-03-35-51/2015-07-27-03-39-08
育達科技大學,http://info.ydu.edu.tw/front/bin/cglist.phtml?Category=129
樹人醫護管理專科學校,https://web.pcc.gov.tw/pishtml/pisindex.html
慈惠醫護管理專科學校,http://163.24.235.144/cmh/2013school2/index.html
耕莘健康管理專科學校,http://www.ctcn.edu.tw/g01/general-2009/general-01-bid.asp
高美醫護管理專科學校,http://www.kmvs.khc.edu.tw/content.php?obj=4&opn=28
敏惠醫護管理專科學校,"http://www.mhchcm.edu.tw/028/app/eip.asp?dblabel=028&apid=page.asp&dept_id=160_800&seo
=%A8%E4%A5L%AD%AB%ADn%B8%EA%B0T"
育英醫護管理專科學校,http://www.yuhing.edu.tw/releaseRedirect.do?unitID=1&pageID=3025
崇仁醫護管理專科學校,http://w3.ocu.edu.tw/genaffa/
聖母醫護管理專科學校,http://www.smc.edu.tw/info/D3.htm
新生醫護管理專科學校,http://www.web.hsc.edu.tw/files/13-1000-32883.php?Lang=zh-tw
