學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,公立,一般大學,0036,國立臺南大學,https://ecourse.nutn.edu.tw/public/tea_preview_list.aspx,http://www.nutn.edu.tw/oga/menu.asp?m=20180508171904283,https://www.nutn.edu.tw/info.html
110,公立,一般大學,0037,國立臺北教育大學,https://apstu.ntue.edu.tw/Secure/default.aspx,https://web.pcc.gov.tw/,https://ntueinfoir.ntue.edu.tw/
110,公立,一般大學,0039,國立臺中教育大學,https://financial.ntcu.edu.tw/front/infor/course/pages.php?ID=bnRjdV9maW5hbmNpYWwmY291cnNl,https://financial.ntcu.edu.tw/front/infor/ass/assA/pages.php?ID=bnRjdV9maW5hbmNpYWwmYXNzQQ==,https://financial.ntcu.edu.tw/
110,公立,技專校院,0042,國立澎湖科技大學,https://as1.npu.edu.tw/npu/index.html,http://web.pcc.gov.tw/pishtml/pisindex.html,"http://WWW.NPU.EDU.TW/CONTENT/INDEX.ASPX?PARSER=1,6,52,46"
110,公立,技專校院,0043,國立勤益科技大學,https://nmsd.ncut.edu.tw/wbcmss/Query/CourseView,https://oga01.ncut.edu.tw/files/11-1049-4425.php,https://info.ncut.edu.tw/bin/home.php
110,公立,一般大學,0044,國立體育大學,https://aca.ntsu.edu.tw/p/412-1004-34.php?Lang=zh-tw,"https://general.ntsu.edu.tw/p/406-1028-20500,r4.php?Lang=zh-tw",https://secretary.ntsu.edu.tw/p/412-1002-164.php?Lang=zh-tw
110,公立,技專校院,0046,國立臺北護理健康大學,http://system10.ntunhs.edu.tw/AcadInfoSystem/Modules/QueryCourse/QueryCourse.aspx,http://general.ntunhs.edu.tw/files/11-1003-1716.php?Lang=zh-tw,http://ircenter.ntunhs.edu.tw/info/
110,公立,技專校院,0047,國立高雄餐旅大學,http://academic.nkuht.edu.tw/,http://web.pcc.gov.tw/pishtml/pisindex.html,http://finance.nkuht.edu.tw/
110,公立,一般大學,0048,國立金門大學,https://select.nqu.edu.tw/,https://web.pcc.gov.tw/,https://www.nqu.edu.tw/cht/index.php?code=list&ids=2262
110,公立,一般大學,0049,國立臺灣體育運動大學,https://drive.google.com/file/d/16-tm6FCV3RLQTDfNQ3evqL06Co0stchT/view,https://drive.google.com/drive/folders/103sRrG4eOFVMbPnWh78BnaTSZAM91bqh,https://www.ntus.edu.tw/cht/index.php?code=list&flag=detail&ids=105&article_id=20431
110,公立,技專校院,0050,國立臺中科技大學,http://163.17.131.131/curriculum/show_subject/select_menu.asp,http://web.pcc.gov.tw/pishtml/pisindex.html,http://info.nutc.edu.tw/
