學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,學制班別,授課語言,修習全外語院、系所、學位學程之學生人數-本國學生數-小計,修習全外語院、系所、學位學程之學生人數-本國學生數-男,修習全外語院、系所、學位學程之學生人數-本國學生數-女,修習全外語院、系所、學位學程之學生人數-境外學生數-小計,修習全外語院、系所、學位學程之學生人數-境外學生數-男,修習全外語院、系所、學位學程之學生人數-境外學生數-女
107,公立,一般大學,0007,國立陽明交通大學,05211043,環境科技博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,1,1,0
107,公立,一般大學,0008,國立中央大學,05321041,地球系統科學國際研究生博士學位學程,博士班,英語,10,7,3,38,26,12
107,公立,一般大學,0008,國立中央大學,07121073,國際永續發展碩士在職專班,碩士在職專班,英語,0,0,0,7,4,3
107,公立,一般大學,0008,國立中央大學,07112071,應用材料科學國際研究生碩士學位學程,碩士班(日間),英語,0,0,0,4,3,1
107,公立,一般大學,0009,國立中山大學,04131028,人力資源管理全英語碩士學位學程,碩士班(日間),英語,27,8,19,36,21,15
107,公立,一般大學,0009,國立中山大學,03122019,亞太事務英語碩士學位學程,碩士班(日間),英語,0,0,0,20,13,7
107,公立,一般大學,0009,國立中山大學,05399070,理學國際博士學位學程,博士班,英語,9,9,0,1,1,0
107,公立,一般大學,0009,國立中山大學,07141056,電信工程國際碩士學位學程,碩士班(日間),英語,0,0,0,11,9,2
107,公立,一般大學,0009,國立中山大學,07141058,電機電力工程國際碩士學位學程,碩士班(日間),英語,0,0,0,12,11,1
107,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,碩士班(日間),英語,82,24,58,54,19,35
107,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,博士班,英語,1,0,1,3,2,1
107,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,碩士班(日間),英語,11,5,6,27,16,11
107,公立,一般大學,0013,國立中正大學,07151071,前瞻製造系統碩士學位學程,碩士班(日間),英語,5,3,2,5,5,0
107,公立,一般大學,0013,國立中正大學,01114007,教育領導與管理發展國際博士學位學程,博士班,英語,0,0,0,5,2,3
107,公立,一般大學,0013,國立中正大學,01114007,教育領導與管理發展國際碩士學位學程,碩士班(日間),英語,0,0,0,19,11,8
107,公立,一般大學,0013,國立中正大學,07199076,環境智能及智慧系統博士學位學程,博士班,英語,1,1,0,1,1,0
