學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,學制班別,授課語言,修習全外語院、系所、學位學程之學生人數-本國學生數-小計,修習全外語院、系所、學位學程之學生人數-本國學生數-男,修習全外語院、系所、學位學程之學生人數-本國學生數-女,修習全外語院、系所、學位學程之學生人數-境外學生數-小計,修習全外語院、系所、學位學程之學生人數-境外學生數-男,修習全外語院、系所、學位學程之學生人數-境外學生數-女
107,私立,一般大學,1012,大葉大學,02311008,文創產業國際人才學士學位學程,學士班(日間),英語,34,14,20,1,0,1
107,私立,一般大學,1012,大葉大學,02311009,外語服務產業碩士學位學程,碩士班(日間),英語,2,2,0,0,0,0
107,私立,一般大學,1014,義守大學,10199058,娛樂事業管理學系,學士班(日間),英語,90,27,63,44,16,28
107,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),英語,96,41,55,76,45,31
107,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),英語,81,34,47,32,17,15
107,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),英語,154,42,112,101,43,58
107,私立,一般大學,1014,義守大學,07194062,智慧化自動控制英語學士學位學程,學士班(日間),英語,16,11,5,9,9,0
107,私立,一般大學,1014,義守大學,03214063,傳播產製英語學士學位學程,學士班(日間),英語,11,3,8,4,2,2
107,私立,一般大學,1014,義守大學,04131012,管理學院管理碩士班,碩士班(日間),英語,15,11,4,63,25,38
107,私立,一般大學,1014,義守大學,09121011,學士後醫學系外國學生專班,學士班(日間),英語,0,0,0,159,72,87
107,私立,一般大學,1016,銘傳大學,04131036,企業管理學系,碩士班(日間),英語,0,0,0,11,5,6
107,私立,一般大學,1016,銘傳大學,10151008,旅遊與觀光學士學位學程,學士班(日間),英語,31,2,29,37,16,21
107,私立,一般大學,1016,銘傳大學,04199027,時尚創意管理學士學位學程,學士班(日間),英語,21,3,18,11,2,9
107,私立,一般大學,1016,銘傳大學,04121020,財務金融學系,學士班(日間),英語,0,0,0,0,0,0
107,私立,一般大學,1016,銘傳大學,04131017,國際企業與貿易學士學位學程,學士班(日間),英語,101,32,69,253,105,148
107,私立,一般大學,1016,銘傳大學,04131061,國際企業學系,碩士班(日間),英語,0,0,0,25,13,12
107,私立,一般大學,1016,銘傳大學,03122004,國際事務碩士學位學程(外國學生專班),碩士班(日間),英語,0,0,0,16,7,9
107,私立,一般大學,1016,銘傳大學,03122005,國際事務與外交學士學位學程,學士班(日間),英語,60,11,49,30,9,21
107,私立,一般大學,1016,銘傳大學,01131042,華語文教學碩士學位學程,碩士班(日間),英語,0,0,0,12,5,7
107,私立,一般大學,1016,銘傳大學,03213064,新媒體暨傳播管理碩士學位學程,碩士班(日間),英語,0,0,0,9,4,5
107,私立,一般大學,1016,銘傳大學,03211063,新聞與大眾傳播學士學位學程,學士班(日間),英語,46,8,38,59,24,35
107,私立,一般大學,1016,銘傳大學,06134068,資訊科技應用學士學位學程,學士班(日間),英語,32,20,12,30,24,6
107,私立,一般大學,1017,實踐大學,04131023,管理學院國際企業英語碩士學位學程,碩士班(日間),英語,8,4,4,10,2,8
107,私立,一般大學,1017,實踐大學,04131023,管理學院國際企業英語學士學位學程,學士班(日間),英語,83,25,58,11,8,3
107,私立,一般大學,1019,高雄醫學大學,09121020,轉譯醫學博士學位學程,博士班,英語,7,5,2,0,0,0
107,私立,一般大學,1020,南華大學,10151048,管理學院旅遊管理越南境外學士班(越南外貿大學河內校區),學士班(日間),英語,0,0,0,9,3,6
107,私立,一般大學,1020,南華大學,10151048,管理學院旅遊管理越南境外學士班(越南外貿大學胡志明校區),學士班(日間),英語,0,0,0,15,4,11
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131030,商管專業學院碩士班,碩士班(日間),英語,10,3,7,48,19,29
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04121022,國際金融學士學位學程,學士班(日間),英語,28,11,17,22,10,12
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131020,國際商務學士學位學程,學士班(日間),英語,52,16,36,56,29,27
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,04131016,經營管理博士學位學程,博士班,英語,0,0,0,28,17,11
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,07141039,電機工程系,博士班,英語,0,0,0,14,11,3
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,07141039,電機工程系,碩士班(日間),英語,0,0,0,3,1,2
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,07141039,電機工程系_自動化國際學生產學合作專班,學士班(日間),英語,0,0,0,20,20,0
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,07151045,機械工程系,碩士班(日間),英語,0,0,0,8,7,1
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,07151045,機械工程系機電科技博士班,博士班,英語,11,10,1,9,9,0
107,私立,技專校院,1024,崑山科技大學,04131015,企業管理系_企業管理研究所外國學生專班,碩士班(日間),英語,0,0,0,10,8,2
107,私立,技專校院,1024,崑山科技大學,04131015,企業管理系_製造業提昇廠務管理效能產業國際學生產學合作專班,學士班(日間),英語,0,0,0,74,36,38
107,私立,技專校院,1024,崑山科技大學,06131028,資訊工程系_國際學生產學合作專班,學士班(日間),英語,0,0,0,37,24,13
107,私立,技專校院,1024,崑山科技大學,07141029,電腦與通訊系_國際學生產學合作專班,學士班(日間),英語,0,0,0,31,16,15
107,私立,技專校院,1024,崑山科技大學,07141025,電機工程系_國際太陽光電國際學生產學合作專班,學士班(日間),英語,0,0,0,28,7,21
107,私立,技專校院,1024,崑山科技大學,07151030,機械工程系_外國學生專班,學士班(日間),英語,0,0,0,18,11,7
107,私立,技專校院,1024,崑山科技大學,07151030,機械工程系_機械工程碩士學程外國學生專班,碩士班(日間),英語,0,0,0,7,7,0
107,私立,技專校院,1024,崑山科技大學,07151030,機械工程系_機械工程學士學程外國學生專班,學士班(日間),英語,0,0,0,32,26,6
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,10152021,休閒保健管理系,碩士班(日間),英語,13,6,7,0,0,0
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,07121009,環境工程與科學系,碩士班(日間),英語,14,12,2,0,0,0
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,04133003,醫務管理系,碩士班(日間),英語,38,6,32,0,0,0
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,10151020,觀光事業管理系溫泉產業碩士班,碩士班(日間),英語,4,1,3,0,0,0
107,私立,技專校院,1026,樹德科技大學,02122005,應用設計研究所,碩士在職專班,英語,0,0,0,19,12,7
107,私立,一般大學,1028,臺北醫學大學,07193053,生醫光機電研究所,碩士班(日間),英語,3,3,0,1,1,0
107,私立,一般大學,1028,臺北醫學大學,09191023,全球衛生暨發展碩士學位學程,碩士班(日間),英語,3,1,2,7,4,3
107,私立,一般大學,1028,臺北醫學大學,09191056,全球衛生暨衛生安全博士學位學程,博士班,英語,1,1,0,3,1,2
107,私立,一般大學,1028,臺北醫學大學,07193011,國際生醫工程博士學位學程,博士班,英語,0,0,0,5,3,2
107,私立,一般大學,1028,臺北醫學大學,09121019,國際醫學研究博士學位學程,博士班,英語,0,0,0,28,19,9
107,私立,一般大學,1028,臺北醫學大學,09121019,國際醫學研究碩士學位學程,碩士班(日間),英語,0,0,0,19,9,10
107,私立,一般大學,1028,臺北醫學大學,09121054,細胞治療與再生醫學國際博士學位學程,博士班,英語,2,2,0,6,2,4
107,私立,一般大學,1028,臺北醫學大學,09161028,癌症生物學與藥物研發研究所,碩士班(日間),英語,2,2,0,1,0,1
107,私立,技專校院,1031,輔英科技大學,09131019,護理系_越南境外碩士在職護理專班,碩士在職專班,英語,0,0,0,55,8,47
107,私立,一般大學,1033,長榮大學,04191022,國際財務與商務管理學士學位學程,學士班(日間),英語,76,20,56,14,7,7
107,私立,一般大學,1035,中國醫藥大學,09191026,公共衛生國際碩士學位學程,碩士班(日間),英語,0,0,0,4,2,2
107,私立,一般大學,1035,中國醫藥大學,09121020,國際生物醫學碩士學位學程,碩士班(日間),英語,0,0,0,14,4,10
107,私立,一般大學,1035,中國醫藥大學,09171048,國際針灸碩士學位學程,碩士班(日間),英語,0,0,0,4,2,2
107,私立,技專校院,1041,明志科技大學,07132021,能源電池科技博士學位學程,博士班,英語,3,3,0,10,9,1
107,私立,技專校院,1041,明志科技大學,04131030,國際企業管理碩士學位學程(IMBA),碩士班(日間),英語,0,0,0,7,1,6
107,私立,一般大學,1048,亞洲大學,03131013,心理學系,學士班(日間),英語,1,0,1,0,0,0
107,私立,一般大學,1048,亞洲大學,03131013,心理學系,碩士班(日間),英語,0,0,0,13,3,10
107,私立,一般大學,1048,亞洲大學,02311002,外國語文學系,學士班(日間),英語,0,0,0,11,1,10
107,私立,一般大學,1048,亞洲大學,05121028,生物科技學系,碩士班(日間),英語,0,0,0,8,4,4
107,私立,一般大學,1048,亞洲大學,07193029,生物資訊與醫學工程學系,博士班,英語,2,2,0,8,7,1
107,私立,一般大學,1048,亞洲大學,07193029,生物資訊與醫學工程學系,碩士班(日間),英語,1,1,0,2,2,0
107,私立,一般大學,1048,亞洲大學,02122004,時尚設計學系,學士班(日間),英語,2,0,2,0,0,0
107,私立,一般大學,1048,亞洲大學,04121019,財務金融學系,學士班(日間),英語,29,28,1,50,50,0
107,私立,一般大學,1048,亞洲大學,04212027,財經法律學系,學士班(日間),英語,79,31,48,83,55,28
107,私立,一般大學,1048,亞洲大學,04212027,財經法律學系,碩士班(日間),英語,10,8,2,14,9,5
107,私立,一般大學,1048,亞洲大學,09191021,健康產業管理學系,博士班,英語,0,0,0,2,1,1
107,私立,一般大學,1048,亞洲大學,09191021,健康產業管理學系,碩士班(日間),英語,8,4,4,2,1,1
107,私立,一般大學,1048,亞洲大學,04121020,國際財務金融管理學士學位學程,學士班(日間),英語,19,19,0,18,15,3
107,私立,一般大學,1048,亞洲大學,04111015,會計與資訊學系,學士班(日間),英語,58,12,46,2,2,0
107,私立,一般大學,1048,亞洲大學,04131017,經營管理學系,博士班,英語,24,16,8,5,3,2
107,私立,一般大學,1048,亞洲大學,04131017,經營管理學系,碩士班(日間),英語,1,0,1,43,17,26
107,私立,一般大學,1048,亞洲大學,04131017,經營管理學系,碩士在職專班,英語,1,1,0,0,0,0
107,私立,一般大學,1048,亞洲大學,06134037,資訊工程學系,學士班(日間),英語,1,1,0,4,3,1
107,私立,一般大學,1048,亞洲大學,06134037,資訊工程學系,博士班,英語,17,15,2,3,3,0
107,私立,一般大學,1048,亞洲大學,06134037,資訊工程學系,碩士班(日間),英語,16,9,7,16,14,2
107,私立,一般大學,1048,亞洲大學,06134037,資訊工程學系,碩士在職專班,英語,4,3,1,0,0,0
107,私立,一般大學,1048,亞洲大學,03213014,資訊傳播學系,碩士班(日間),英語,1,1,0,0,0,0
107,私立,一般大學,1048,亞洲大學,02112007,數位媒體設計學系,博士班,英語,1,1,0,1,1,0
107,私立,一般大學,1049,開南大學,04131031,商學院國際榮譽學士學位學程,學士班(日間),英語,0,0,0,82,40,42
107,私立,技專校院,1052,遠東科技大學,99999Z01,通識教育中心,學士班(日間),英語,276,115,161,13,8,5
107,私立,技專校院,1064,美和學校財團法人美和科技大學,05121008,生物科技系_四技日間部(越南胡志明食品工業大學),學士班(日間),英語,0,0,0,17,8,9
107,私立,技專校院,1064,美和學校財團法人美和科技大學,04131004,企業管理系_越南境外四技專班,學士班(日間),英語,0,0,0,39,13,26
107,私立,技專校院,1064,美和學校財團法人美和科技大學,04131004,企業管理系_越南境外專班,學士班(日間),英語,0,0,0,11,3,8
107,私立,技專校院,1064,美和學校財團法人美和科技大學,04131004,企業管理系經營管理所_境外進修學制碩士在職專班,碩士在職專班,英語,0,0,0,12,6,6
107,私立,技專校院,1064,美和學校財團法人美和科技大學,05191012,食品營養系_日間學士境外專班,學士班(日間),英語,0,0,0,49,20,29
107,私立,技專校院,1064,美和學校財團法人美和科技大學,06121011,資訊管理系_國際學生產學合作專班,學士班(日間),英語,0,0,0,27,10,17
107,私立,技專校院,1064,美和學校財團法人美和科技大學,10131018,餐旅管理系,學士班(日間),英語,36,13,23,0,0,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,10131018,餐旅管理科,五專,英語,112,47,65,0,0,0
107,私立,技專校院,1064,美和學校財團法人美和科技大學,09131013,護理系_健康照護境外碩士在職專班,碩士在職專班,英語,0,0,0,30,4,26
107,私立,技專校院,1064,美和學校財團法人美和科技大學,09131013,護理系_境外專班,碩士在職專班,英語,0,0,0,11,3,8
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311005,外語文教事業發展研究所,碩士班(日間),英語,5,1,4,5,3,2
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,02311007,英國語文系,碩士班(日間),英語,14,2,12,5,0,5
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,03122016,國際事務碩士學位學程,碩士班(日間),英語,6,1,5,7,4,3
107,私立,技專校院,1166,亞東技術學院,07141010,電子工程系,學士班(日間),英語,76,71,5,0,0,0
107,私立,技專校院,1166,亞東技術學院,07151014,機械工程系,學士班(日間),英語,34,34,0,0,0,0
107,私立,技專校院,1166,亞東技術學院,04133005,醫務管理系,學士班(日間),英語,42,9,33,0,0,0
108,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,英語,14,7,7,63,34,29
108,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),英語,20,5,15,51,28,23
108,公立,一般大學,0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,博士班,英語,5,4,1,10,9,1
108,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),英語,14,5,9,42,29,13
108,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),英語,33,7,26,28,5,23
108,公立,一般大學,0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,碩士班(日間),英語,103,50,53,74,35,39
108,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),英語,14,4,10,20,9,11
108,公立,一般大學,0002,國立清華大學,05311035,分子科學與技術學程,博士班,英語,1,0,1,10,9,1
108,公立,一般大學,0002,國立清華大學,05311036,化學生物學與分子生物物理學學程,博士班,英語,7,5,2,19,10,9
108,公立,一般大學,0002,國立清華大學,05121031,生物資訊學學程,博士班,英語,1,0,1,6,6,0
108,公立,一般大學,0002,國立清華大學,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),英語,18,9,9,1,0,1
108,公立,一般大學,0002,國立清華大學,07194067,奈米科學與技術學程,博士班,英語,10,7,3,22,17,5
108,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,英語,0,0,0,19,15,4
108,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),英語,16,2,14,5,1,4
108,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,博士班,英語,5,4,1,1,1,0
108,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),英語,12,4,8,42,15,27
108,公立,一般大學,0002,國立清華大學,06134047,國際資訊科技與應用碩士學程,碩士班(日間),英語,0,0,0,15,9,6
108,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,英語,68,52,16,23,9,14
108,公立,一般大學,0003,國立臺灣大學,07112154,分子科學與技術國際研究生博士學位學程,博士班,英語,5,5,0,6,3,3
108,公立,一般大學,0003,國立臺灣大學,05124155,生物資訊學國際研究生博士學位學程,博士班,英語,3,2,1,1,1,0
108,公立,一般大學,0003,國立臺灣大學,09191163,全球衛生碩士學位學程,碩士班(日間),英語,0,0,0,11,4,7
108,公立,一般大學,0003,國立臺灣大學,09199159,國際三校農業生技與健康醫療碩士學位學程,碩士班(日間),英語,10,5,5,0,0,0
108,公立,一般大學,0003,國立臺灣大學,05199156,跨領域神經科學國際研究生博士學位學程,博士班,英語,5,3,2,3,2,1
108,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,碩士班(日間),英語,74,31,43,70,42,28
108,公立,一般大學,0003,國立臺灣大學,09121119,轉譯醫學博士學位學程,博士班,英語,3,2,1,0,0,0
108,公立,一般大學,0004,國立臺灣師範大學,05111057,生物多樣性國際研究生博士學位學程,博士班,英語,11,4,7,20,16,4
108,公立,一般大學,0004,國立臺灣師範大學,04191054,國際人力資源發展研究所,碩士班(日間),英語,34,9,25,25,7,18
108,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系醫療器材創新國際碩士班,碩士班(日間),英語,12,5,7,20,8,12
108,公立,一般大學,0005,國立成功大學,07112065,尖端材料國際碩士學位學程,碩士班(日間),英語,0,0,0,15,8,7
108,公立,一般大學,0005,國立成功大學,05291025,自然災害減災及管理國際碩士學位學程,碩士班(日間),英語,11,10,1,10,5,5
108,公立,一般大學,0005,國立成功大學,07132052,能源工程國際博士學位學程,博士班,英語,1,1,0,3,2,1
108,公立,一般大學,0005,國立成功大學,07132052,能源工程國際碩士學位學程,碩士班(日間),英語,16,12,4,9,9,0
108,公立,一般大學,0005,國立成功大學,07132052,能源工程國際學士學位學程,學士班(日間),英語,65,47,18,52,38,14
108,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),博士班,英語,1,1,0,14,7,7
108,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士班(日間),英語,0,0,0,104,35,69
108,公立,一般大學,0005,國立成功大學,04131125,國際經營管理研究所(IMBA),碩士在職專班,英語,85,32,53,0,0,0
108,公立,一般大學,0005,國立成功大學,02122112,創意產業設計研究所,博士班,英語,19,5,14,20,3,17
108,公立,一般大學,0005,國立成功大學,02122112,創意產業設計研究所,碩士班(日間),英語,33,12,21,8,5,3
108,公立,一般大學,0005,國立成功大學,05199016,跨領域神經科學國際博士學位學程,博士班,英語,9,5,4,9,8,1
108,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),英語,65,23,42,38,21,17
108,公立,一般大學,0006,國立中興大學,08111064,國際農學碩士學位學程,碩士班(日間),英語,8,5,3,30,22,8
108,公立,一般大學,0007,國立陽明交通大學,05311039,永續化學科技國際研究生博士學位學程,博士班,英語,3,1,2,54,45,9
108,公立,一般大學,0007,國立陽明交通大學,07141054,光電博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,14,13,1
108,公立,一般大學,0007,國立陽明交通大學,07141066,國際半導體產業學院博士班,博士班,英語,32,29,3,17,16,1
108,公立,一般大學,0007,國立陽明交通大學,07141066,國際半導體產業學院碩士班,碩士班(日間),英語,54,44,10,13,10,3
108,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際博士學位學程,博士班,英語,0,0,0,98,84,14
108,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,碩士班(日間),英語,0,0,0,73,58,15
108,公立,一般大學,0007,國立陽明交通大學,04131016,管理學院企業管理碩士學位學程,碩士班(日間),英語,36,11,25,27,13,14
108,公立,一般大學,0007,國立陽明交通大學,05211043,環境科技博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,1,1,0
108,公立,一般大學,0008,國立中央大學,05321041,地球系統科學國際研究生博士學位學程,博士班,英語,11,5,6,42,27,15
108,公立,一般大學,0008,國立中央大學,02299012,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),英語,4,1,3,12,4,8
108,公立,一般大學,0008,國立中央大學,07121073,國際永續發展碩士在職專班,碩士在職專班,英語,0,0,0,13,8,5
108,公立,一般大學,0008,國立中央大學,05211048,遙測科技碩士學位學程,碩士班(日間),英語,16,9,7,8,4,4
108,公立,一般大學,0008,國立中央大學,07112071,應用材料科學國際研究生碩士學位學程,碩士班(日間),英語,0,0,0,4,3,1
108,公立,一般大學,0009,國立中山大學,04131028,人力資源管理全英語碩士學位學程,碩士班(日間),英語,26,7,19,39,20,19
108,公立,一般大學,0009,國立中山大學,03122019,亞太事務英語碩士學位學程,碩士班(日間),英語,0,0,0,20,12,8
108,公立,一般大學,0009,國立中山大學,05399070,理學國際博士學位學程,博士班,英語,10,6,4,13,7,6
108,公立,一般大學,0009,國立中山大學,07141056,電信工程國際碩士學位學程,碩士班(日間),英語,0,0,0,10,9,1
108,公立,一般大學,0009,國立中山大學,07141058,電機電力工程國際碩士學位學程,碩士班(日間),英語,0,0,0,9,8,1
108,公立,一般大學,0009,國立中山大學,04131022,管理學院國際經營管理碩士學程,碩士班(日間),英語,80,27,53,61,24,37
108,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,博士班,英語,0,0,0,3,2,1
108,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,碩士班(日間),英語,20,17,3,13,5,8
108,公立,一般大學,0013,國立中正大學,07151071,前瞻製造系統碩士學位學程,碩士班(日間),英語,4,3,1,7,5,2
108,公立,一般大學,0013,國立中正大學,04121035,國際財務金融管理碩士學位學程,碩士班(日間),英語,2,1,1,17,8,9
108,公立,一般大學,0013,國立中正大學,01114007,教育領導與管理發展國際博士學位學程,博士班,英語,0,0,0,6,3,3
108,公立,一般大學,0013,國立中正大學,01114007,教育領導與管理發展國際碩士學位學程,碩士班(日間),英語,0,0,0,24,9,15
108,公立,一般大學,0013,國立中正大學,03199022,認知科學博士學位學程,博士班,英語,4,2,2,5,2,3
108,公立,一般大學,0013,國立中正大學,07199076,環境智能及智慧系統博士學位學程,博士班,英語,1,1,0,1,1,0
108,公立,一般大學,0016,國立陽明大學,07193018,光電博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,1,0,1
108,公立,一般大學,0016,國立陽明大學,09191040,國際衛生碩士學位學程,碩士班(日間),英語,4,1,3,17,5,12
108,公立,一般大學,0016,國立陽明大學,09121016,跨領域神經科學國際研究生博士學位學程,博士班,英語,13,3,10,6,3,3
108,公立,一般大學,0016,國立陽明大學,05211017,環境科技博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,1,1,0
108,公立,一般大學,0017,國立臺北大學,07399040,城市治理英語碩士學位學程,碩士班(日間),英語,0,0,0,5,2,3
108,公立,一般大學,0017,國立臺北大學,04121020,財務金融英語碩士學位學程,碩士班(日間),英語,0,0,0,14,5,9
108,公立,一般大學,0018,國立嘉義大學,05111048,生命科學全英文碩士學位學程,碩士班(日間),英語,0,0,0,36,8,28
108,公立,一般大學,0018,國立嘉義大學,01111006,師範學院教學專業國際碩士學位學程,碩士班(日間),英語,0,0,0,20,4,16
108,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),英語,0,0,0,10,4,6
108,公立,一般大學,0018,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,碩士班(日間),英語,0,0,0,36,4,32
108,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),英語,5,4,1,25,9,16
108,公立,一般大學,0019,國立高雄大學,05499037,應用科學碩士學位學程,碩士班(日間),英語,0,0,0,2,2,0
108,公立,一般大學,0020,國立東華大學,05211100,人文與環境碩士學位學程,碩士班(日間),英語,1,1,0,7,3,4
108,公立,一般大學,0020,國立東華大學,05311071,化學系,博士班,英語,0,0,0,5,2,3
108,公立,一般大學,0020,國立東華大學,04131059,企業管理學系,碩士班(日間),英語,0,0,0,8,5,3
108,公立,一般大學,0020,國立東華大學,07112090,材料科學與工程學系,博士班,英語,0,0,0,5,4,1
108,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理博士班,博士班,英語,0,0,0,17,10,7
108,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理碩士班,碩士班(日間),英語,0,0,0,8,6,2
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),英語,57,47,10,54,42,12
108,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,碩士班(日間),英語,0,0,0,15,11,4
108,公立,一般大學,0020,國立東華大學,06134081,資訊管理學系,碩士班(日間),英語,0,0,0,1,1,0
108,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),英語,48,17,31,30,14,16
108,公立,技專校院,0022,國立臺灣科技大學,07199033,工程學院_大學部先進科技全英語外國學生專班,學士班(日間),英語,0,0,0,41,30,11
108,公立,技專校院,0022,國立臺灣科技大學,07191012,工業管理系,博士班,英語,0,0,0,29,22,7
108,公立,技專校院,0022,國立臺灣科技大學,07191012,工業管理系,碩士班(日間),英語,0,0,0,64,31,33
108,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,學士班(日間),英語,0,0,0,30,16,14
108,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,博士班,英語,0,0,0,47,36,11
108,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,碩士班(日間),英語,0,0,0,35,14,21
108,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系_化工醫檢分析器材國際學生產學合作專班,學士班(日間),英語,0,0,0,5,2,3
108,公立,技專校院,0022,國立臺灣科技大學,04131008,企業管理系,博士班,英語,0,0,0,16,9,7
108,公立,技專校院,0022,國立臺灣科技大學,04131008,企業管理系,碩士班(日間),英語,0,0,0,17,3,14
108,公立,技專校院,0022,國立臺灣科技大學,07141019,光電工程研究所,博士班,英語,0,0,0,3,2,1
108,公立,技專校院,0022,國立臺灣科技大學,07141019,光電工程研究所,碩士班(日間),英語,0,0,0,3,0,3
108,公立,技專校院,0022,國立臺灣科技大學,07151024,自動化及控制研究所,博士班,英語,0,0,0,2,2,0
108,公立,技專校院,0022,國立臺灣科技大學,07151024,自動化及控制研究所,碩士班(日間),英語,0,0,0,8,5,3
108,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,博士班,英語,0,0,0,40,32,8
108,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,碩士班(日間),英語,0,0,0,11,10,1
108,公立,技專校院,0022,國立臺灣科技大學,07311038,建築系,博士班,英語,0,0,0,3,0,3
108,公立,技專校院,0022,國立臺灣科技大學,07311038,建築系,碩士班(日間),英語,0,0,0,22,8,14
108,公立,技專校院,0022,國立臺灣科技大學,04199011,科技管理研究所,碩士班(日間),英語,0,0,0,4,2,2
108,公立,技專校院,0022,國立臺灣科技大學,04121010,財務金融研究所,博士班,英語,0,0,0,2,1,1
108,公立,技專校院,0022,國立臺灣科技大學,04121010,財務金融研究所,碩士班(日間),英語,0,0,0,15,8,7
108,公立,技專校院,0022,國立臺灣科技大學,06131020,資訊工程系,博士班,英語,0,0,0,25,20,5
108,公立,技專校院,0022,國立臺灣科技大學,06131020,資訊工程系,碩士班(日間),英語,0,0,0,21,16,5
108,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,博士班,英語,0,0,0,16,9,7
108,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,碩士班(日間),英語,0,0,0,21,13,8
108,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,博士班,英語,0,0,0,27,23,4
108,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,碩士班(日間),英語,0,0,0,28,24,4
108,公立,技專校院,0022,國立臺灣科技大學,07141017,電機工程系,博士班,英語,0,0,0,23,19,4
108,公立,技專校院,0022,國立臺灣科技大學,07141017,電機工程系,碩士班(日間),英語,0,0,0,20,13,7
108,公立,技專校院,0022,國立臺灣科技大學,04199013,管理學院MBA,碩士班(日間),英語,0,0,0,49,16,33
108,公立,技專校院,0022,國立臺灣科技大學,01116002,數位學習與教育研究所,博士班,英語,0,0,0,16,8,8
108,公立,技專校院,0022,國立臺灣科技大學,01116002,數位學習與教育研究所,碩士班(日間),英語,0,0,0,4,2,2
